time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,58.74,59.83,58.66,59.82,4197,1,0
2024-01-03,59.93,60.18,59.75,59.93,4496,1,0
2024-01-04,59.9,60.25,59.65,59.78,3777,1,0
2024-01-05,59.79,59.94,59.09,59.62,3736,1,0
2024-01-08,59.69,60.17,59.41,60.11,3077,1,0
2024-01-09,59.74,60.13,59.61,60.0,3318,1,0
2024-01-10,60.11,60.4,59.98,60.2,2822,1,0
2024-01-11,60.14,60.24,59.69,59.88,4317,1,0
2024-01-12,60.06,60.45,59.9,60.42,3431,1,0
2024-01-16,60.35,60.42,59.85,59.96,3819,1,0
2024-01-17,59.93,60.2,59.81,60.02,3209,1,0
2024-01-18,59.57,60.22,59.54,60.18,3259,1,0
2024-01-19,60.03,60.11,59.63,59.78,3721,1,0
2024-01-22,59.64,60.06,59.44,59.62,2930,1,0
2024-01-23,59.55,59.99,59.49,59.85,2394,1,0
2024-01-24,59.7,59.8,58.92,58.93,2374,1,0
2024-01-25,58.95,59.14,58.66,59.14,2951,1,0
2024-01-26,59.2,59.48,59.12,59.37,2033,1,0
2024-01-29,59.29,59.78,59.16,59.73,2063,1,0
2024-01-30,59.68,60.01,59.43,59.85,2014,1,0
2024-01-31,60.06,60.44,59.29,59.47,4840,1,0
2024-02-01,59.55,60.97,59.36,60.97,3478,1,0
2024-02-02,60.8,60.84,60.23,60.59,3892,1,0
2024-02-05,60.24,60.34,59.87,60.08,3083,1,0
2024-02-06,59.93,60.05,59.68,59.89,2963,1,0
2024-02-07,60.07,60.2,59.94,60.03,3106,1,0
2024-02-08,59.82,59.96,59.41,59.78,2539,1,0
2024-02-09,59.41,59.55,59.03,59.54,2685,1,0
2024-02-12,59.62,59.75,58.96,59.72,2501,1,0
2024-02-13,59.55,60.64,58.78,59.35,6332,1,0
2024-02-14,59.25,59.57,59.03,59.23,3178,1,0
2024-02-15,59.44,59.58,59.13,59.38,2800,1,0
2024-02-16,59.15,59.61,58.95,59.36,3416,1,0
2024-02-20,59.56,60.83,59.5,60.61,3894,1,0
2024-02-21,60.83,61.27,60.83,61.26,3288,1,0
2024-02-22,60.7,61.24,60.57,61.2,3586,1,0
2024-02-23,61.07,61.61,60.96,61.24,3157,1,0
2024-02-26,61.06,61.23,60.65,60.79,2484,1,0
2024-02-27,60.57,60.77,60.12,60.36,2657,1,0
2024-02-28,60.39,60.43,60.06,60.39,2465,1,0
2024-02-29,60.55,60.63,59.9,60.05,2294,1,0
2024-03-01,59.63,59.76,59.33,59.56,2248,1,0
2024-03-04,59.32,59.94,59.3,59.75,2991,1,0
2024-03-05,59.96,60.11,59.42,59.51,2497,1,0
2024-03-06,59.75,59.99,59.38,59.54,3023,1,0
2024-03-07,59.54,59.58,59.23,59.4,2438,1,0
2024-03-08,59.18,59.78,58.97,59.57,3781,0,0
2024-03-11,59.93,60.28,59.57,60.24,3276,1,0
2024-03-12,60.38,60.74,60.21,60.56,2859,1,0
2024-03-13,60.85,61.2,60.8,61.19,2879,1,0
2024-03-14,60.62,60.79,60.4,60.48,2852,0,0
2024-03-15,60.3,60.4,59.69,59.69,4463,1,0
2024-03-18,59.88,60.39,59.8,60.11,3027,1,0
2024-03-19,60.1,60.34,60.07,60.22,1966,1,0
2024-03-20,60.19,60.81,60.18,60.76,2994,1,0
