time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,26.08,26.82,26.01,26.37,4271,1,0
2024-01-03,26.01,26.01,25.3,25.33,4408,1,0
2024-01-04,25.24,25.42,25.11,25.26,3939,1,0
2024-01-05,25.24,25.93,25.16,25.55,4128,1,0
2024-01-08,25.6,25.9,25.6,25.78,2695,1,0
2024-01-09,25.5,25.75,25.4,25.64,2790,1,0
2024-01-10,25.7,26.07,25.65,25.98,2076,1,0
2024-01-11,25.75,25.94,25.5,25.62,3263,1,0
2024-01-12,25.73,25.93,25.27,25.4,2971,1,0
2024-01-16,25.25,25.25,22.71,23.28,3921,1,0
2024-01-17,23.03,23.42,22.9,23.42,2162,1,0
2024-01-18,23.51,23.59,23.13,23.27,3789,0,0
2024-01-19,23.25,23.25,22.79,22.81,2564,1,0
2024-01-22,22.93,23.25,22.8,22.98,2344,1,0
2024-01-23,23.01,23.62,23.01,23.42,3252,1,0
2024-01-24,23.38,23.58,23.05,23.17,2366,1,0
2024-01-25,23.31,23.89,23.26,23.85,2495,1,0
2024-01-26,23.9,24.14,23.88,24.09,2057,1,0
2024-01-29,24.0,24.29,23.8,24.23,1999,1,0
2024-01-30,24.1,24.21,23.56,23.61,2036,1,0
2024-01-31,23.6,23.72,23.12,23.21,2577,1,0
2024-02-01,23.27,23.53,22.97,23.37,3405,1,0
2024-02-02,22.9,23.42,22.77,23.23,3414,0,0
2024-02-05,22.79,23.03,22.73,22.93,2059,1,0
2024-02-06,22.7,23.25,22.7,23.15,2462,1,0
2024-02-07,23.21,23.21,22.92,23.1,3032,1,0
2024-02-08,23.14,23.34,23.11,23.27,2807,1,0
2024-02-09,21.62,21.94,20.38,20.46,3206,0,0
2024-02-12,20.87,21.05,20.28,20.85,2899,1,0
2024-02-13,20.05,20.2,19.66,19.94,3438,1,0
2024-02-14,20.0,20.0,19.62,19.84,2292,1,0
2024-02-15,19.86,20.19,19.8,20.04,2624,1,0
2024-02-16,19.72,20.1,19.67,19.85,2308,1,0
2024-02-20,19.61,20.48,19.61,20.4,2038,1,0
2024-02-21,20.4,20.52,20.15,20.35,1979,1,0
2024-02-22,20.09,20.55,20.0,20.45,1675,1,0
2024-02-23,20.55,20.88,20.38,20.6,2235,1,0
2024-02-26,20.32,20.6,20.2,20.32,2273,1,0
2024-02-27,20.45,20.67,20.36,20.63,1929,1,0
2024-02-28,20.46,20.83,20.46,20.59,1530,1,0
2024-02-29,20.6,20.79,20.34,20.4,1458,1,0
2024-03-01,20.35,20.7,20.04,20.58,1453,1,0
2024-03-04,20.63,21.03,20.63,20.82,2362,1,0
2024-03-05,20.7,20.96,20.45,20.55,2078,1,0
2024-03-06,20.6,20.75,20.45,20.75,2622,1,0
2024-03-07,20.71,20.9,20.5,20.54,2432,1,0
2024-03-08,20.65,20.82,20.37,20.45,2248,1,0
2024-03-11,20.55,20.73,20.43,20.67,1643,1,0
2024-03-12,20.1,20.1,19.12,19.33,3034,1,0
2024-03-13,19.42,19.62,19.16,19.31,1604,1,0
2024-03-14,18.5,18.89,18.4,18.55,2175,0,0
2024-03-15,18.49,18.87,18.49,18.63,2322,1,0
2024-03-18,18.49,18.74,18.36,18.39,1691,1,0
2024-03-19,18.35,18.91,18.35,18.82,1425,1,0
2024-03-20,18.79,18.89,18.51,18.85,1774,0,0
2024-03-21,18.75,19.09,18.75,18.93,1721,1,0
2024-03-22,18.83,18.99,18.67,18.79,1079,1,0
2024-03-25,18.91,19.04,18.57,18.66,897,1,0
2024-03-26,18.58,18.61,17.8,18.08,1197,1,0
2024-03-27,18.29,19.0,18.29,18.95,1339,1,0
2024-03-28,18.92,19.15,18.8,19.14,590,1,0
2024-04-01,19.11,19.17,18.86,18.89,1241,1,0
2024-04-02,18.45,18.53,18.1,18.44,750,1,0
2024-04-03,18.3,18.61,18.2,18.58,949,1,0
2024-04-04,18.44,19.08,18.33,18.72,2057,1,0
2024-04-05,18.58,18.8,18.5,18.66,693,1,0
2024-04-08,18.82,19.05,18.75,18.98,1267,1,0
2024-04-09,19.08,19.32,18.83,18.99,843,1,0
2024-04-10,18.37,18.54,18.2,18.35,1006,0,0
2024-04-11,18.41,18.51,17.93,17.98,1720,1,0
2024-04-12,17.78,17.86,17.59,17.67,861,1,0
2024-04-15,17.75,17.9,17.44,17.59,1875,1,0
2024-04-16,17.4,17.56,17.27,17.29,959,1,0
2024-04-17,17.39,17.5,17.19,17.35,852,1,0
2024-04-18,17.35,17.64,17.31,17.64,819,1,0
2024-04-19,17.71,18.26,17.71,18.21,1037,1,0
2024-04-22,18.22,18.48,18.15,18.28,923,1,0
2024-04-23,18.13,18.43,18.1,18.21,735,0,0
2024-04-24,17.94,18.24,17.93,18.22,948,1,0
2024-04-25,17.93,18.09,17.65,17.98,833,1,0
2024-04-26,17.96,18.25,17.96,18.03,764,1,0
2024-04-29,18.06,18.37,18.06,18.29,880,1,0
2024-04-30,18.05,18.27,18.01,18.05,975,1,0
2024-05-01,12.4,13.63,11.02,13.25,3017,1,0
2024-05-02,13.01,13.66,12.75,13.52,2010,1,0
2024-05-03,13.76,14.29,13.75,13.93,1940,1,0
2024-05-06,14.18,14.26,13.54,13.64,1408,1,0
2024-05-07,13.61,13.61,13.15,13.18,1053,1,0
2024-05-08,12.92,13.07,12.85,13.03,903,1,0
2024-05-09,12.91,13.04,12.81,12.99,757,1,0
