time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,16.12,16.36,15.72,16.28,2524,1,0
2024-01-03,16.01,16.13,15.51,15.59,2006,1,0
2024-01-04,15.5,15.68,15.36,15.6,1657,1,0
2024-01-05,15.43,16.39,15.43,16.08,1948,1,0
2024-01-08,16.14,16.37,16.0,16.25,1578,1,0
2024-01-09,16.1,16.41,16.1,16.26,1485,1,0
2024-01-10,16.15,16.37,16.06,16.35,1240,1,0
2024-01-11,16.25,16.28,16.05,16.27,1474,1,0
2024-01-12,16.2,16.31,15.73,15.89,1488,1,0
2024-01-16,15.11,15.41,14.87,15.28,1904,1,0
2024-01-17,15.12,15.41,15.07,15.41,1847,1,0
2024-01-18,15.55,15.57,15.08,15.48,1689,1,0
2024-01-19,15.58,15.68,15.33,15.62,1466,1,0
2024-01-22,15.65,15.88,15.6,15.84,1427,1,0
2024-01-23,15.87,16.08,15.6,15.76,1755,1,0
2024-01-24,15.79,15.86,15.63,15.7,1752,1,0
2024-01-25,15.81,15.96,15.6,15.79,2027,1,0
2024-01-26,15.1,17.45,15.1,15.94,4216,1,0
2024-01-29,16.21,16.74,16.05,16.55,2674,1,0
2024-01-30,16.41,16.83,16.41,16.8,1546,1,0
2024-01-31,16.77,16.92,16.25,16.26,2352,1,0
2024-02-01,16.42,16.71,16.2,16.7,1820,1,0
2024-02-02,16.38,16.49,16.13,16.26,2970,1,0
2024-02-05,16.15,16.43,15.99,16.39,1665,1,0
2024-02-06,16.25,16.94,16.25,16.81,2081,1,0
2024-02-07,16.75,17.21,16.75,17.09,1881,1,0
2024-02-08,17.35,17.99,17.22,17.81,1843,1,0
2024-02-09,17.5,17.87,17.5,17.77,1810,1,0
2024-02-12,17.98,18.09,17.75,17.95,1424,1,0
2024-02-13,17.33,17.61,17.2,17.6,2217,0,0
2024-02-14,17.47,17.85,17.36,17.69,1799,1,0
2024-02-15,17.81,17.99,17.75,17.88,2008,1,0
2024-02-16,17.67,18.0,17.51,17.84,1732,0,0
2024-02-20,17.9,18.13,17.75,17.99,1935,1,0
2024-02-21,17.77,18.09,17.7,17.91,1457,1,0
2024-02-22,18.06,18.1,17.84,17.99,1273,1,0
2024-02-23,18.03,18.22,17.79,18.2,1885,1,0
2024-02-26,18.05,18.16,17.99,18.11,1610,1,0
2024-02-27,18.16,18.31,18.1,18.26,1390,1,0
2024-02-28,17.6,18.11,17.6,17.97,1287,1,0
2024-02-29,18.0,18.2,17.89,18.16,1067,1,0
2024-03-01,18.09,18.39,17.85,18.22,1173,1,0
