time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,47.5,48.21,47.11,47.3,1665.0,1,0.0
2024-01-03,46.77,47.28,46.43,46.64,1238.0,1,0.0
2024-01-04,46.2,46.74,46.06,46.55,1154.0,1,0.0
2024-01-05,46.1,47.28,46.06,47.09,1219.0,1,0.0
2024-01-08,46.91,47.74,46.64,47.62,3264.0,1,0.0
2024-01-09,47.02,47.54,46.63,46.86,1373.0,1,0.0
2024-01-10,46.63,47.02,46.56,47.02,1113.0,1,0.0
2024-01-11,46.72,47.21,46.23,47.05,1402.0,1,0.0
2024-01-12,47.3,47.83,46.83,47.03,1301.0,1,0.0
2024-01-16,46.7,47.44,46.3,47.37,1485.0,1,0.0
2024-01-17,46.99,47.42,46.82,47.07,2727.0,1,0.0
2024-01-18,47.03,47.35,46.75,47.27,3901.0,1,0.0
2024-01-19,47.23,47.64,46.85,47.35,4133.0,1,0.0
2024-01-22,47.45,48.4,47.4,48.28,3855.0,1,0.0
2024-01-23,48.53,48.73,47.27,47.93,3157.0,1,0.0
2024-01-24,47.91,48.03,47.29,47.48,1062.0,1,0.0
2024-01-25,47.46,47.68,47.1,47.55,1356.0,1,0.0
2024-01-26,47.38,47.75,47.38,47.61,1163.0,1,0.0
2024-01-29,47.61,47.67,46.81,47.66,1477.0,1,0.0
2024-01-30,47.09,47.86,47.04,47.53,1196.0,1,0.0
2024-01-31,47.29,47.48,46.5,46.64,1450.0,1,0.0
2024-02-01,46.7,47.71,46.43,47.7,4441.0,1,0.0
2024-02-02,47.12,47.68,46.56,47.31,1437.0,1,0.0
2024-02-05,46.13,46.61,45.93,46.36,1675.0,1,0.0
2024-02-06,46.35,47.08,45.92,47.07,1276.0,1,0.0
2024-02-07,47.12,47.69,46.86,47.56,1860.0,1,0.0
2024-02-08,47.19,47.61,47.0,47.5,3462.0,1,0.0
2024-02-09,47.23,48.11,47.23,47.93,2978.0,0,0.0
2024-02-12,48.2,49.22,47.84,49.14,3668.0,1,0.0
2024-02-13,48.15,48.39,47.63,48.11,4824.0,1,0.0
2024-02-14,48.12,48.97,47.88,48.86,4259.0,1,0.0
2024-02-15,49.01,49.3,48.75,49.13,3524.0,1,0.0
2024-02-16,48.78,50.33,48.45,50.09,3878.0,1,0.0
2024-02-20,49.58,49.97,49.0,49.76,2773.0,1,0.0
2024-02-21,49.51,50.41,49.45,50.31,2359.0,1,0.0
2024-02-22,50.73,52.38,50.73,51.86,2937.0,1,0.0
2024-02-23,52.08,52.45,51.49,52.15,2704.0,1,0.0
2024-02-26,51.67,52.57,51.59,52.48,2434.0,1,0.0
2024-02-27,52.34,53.11,52.24,52.9,2790.0,1,0.0
2024-02-28,52.69,53.0,52.25,52.77,1105.0,1,0.0
2024-02-29,52.83,53.17,52.15,52.31,2905.0,1,0.0
2024-03-01,51.82,52.26,51.5,51.94,1333.0,1,0.0
2024-03-04,51.73,52.19,51.51,52.09,2184.0,1,0.0
2024-03-05,51.62,52.52,51.62,51.87,2679.0,1,0.0
2024-03-06,52.13,52.2,51.34,51.51,1501.0,1,0.0
2024-03-07,51.72,51.99,51.25,51.47,1415.0,1,0.0
2024-03-08,51.5,51.92,51.25,51.42,1105.0,1,0.0
2024-03-11,51.48,51.79,51.01,51.71,1435.0,1,0.0
2024-03-12,51.6,52.31,51.28,51.89,1285.0,1,0.0
2024-03-13,51.47,52.08,51.39,51.82,1076.0,1,0.0
2024-03-14,51.68,51.9,51.01,51.32,1382.0,0,0.0
2024-03-15,51.15,51.75,51.06,51.5,1735.0,1,0.0
2024-03-18,51.28,51.62,51.03,51.15,1064.0,1,0.0
2024-03-19,51.33,51.74,51.24,51.69,1176.0,1,0.0
2024-03-20,51.37,52.26,51.16,52.23,1333.0,1,0.0
2024-03-21,52.15,53.06,52.15,52.91,1040.0,1,0.0
2024-03-22,52.72,53.15,52.55,52.76,869.0,1,0.0
2024-03-25,52.62,52.93,52.15,52.15,856.0,1,0.0
2024-03-26,52.03,52.43,52.0,52.05,867.0,1,0.0
2024-03-27,52.05,53.32,52.05,53.16,935.0,1,0.0
2024-03-28,53.15,53.63,52.71,53.46,898.0,1,0.0
2024-04-01,53.05,53.36,52.6,53.16,915.0,1,0.0
2024-04-02,52.78,52.95,52.34,52.71,784.0,1,0.0
2024-04-03,52.36,52.71,52.0,52.13,926.0,1,0.0
2024-04-04,52.24,52.64,51.04,51.04,1037.0,1,0.0
2024-04-05,50.94,51.48,50.94,51.39,861.0,1,0.0
2024-04-08,51.35,52.06,51.13,51.41,1022.0,1,0.0
2024-04-09,51.36,51.95,51.21,51.83,1222.0,1,0.0
2024-04-10,50.98,51.08,50.25,50.57,1204.0,1,0.0
2024-04-11,50.42,50.42,49.8,49.99,1109.0,1,0.0
2024-04-12,49.26,49.81,49.13,49.36,992.0,1,0.0
2024-04-15,49.8,50.09,48.95,49.06,1275.0,1,0.0
2024-04-16,48.69,48.87,48.24,48.41,1224.0,1,0.0
2024-04-17,48.67,48.9,47.8,47.91,1176.0,1,0.0
2024-04-18,48.63,48.83,48.01,48.52,1081.0,1,0.0
2024-04-19,48.38,49.23,48.37,49.06,1039.0,1,0.0
2024-04-22,49.0,49.42,48.81,48.86,1043.0,1,0.0
2024-04-23,45.09,45.46,41.45,41.64,2610.0,1,0.0
2024-04-24,41.25,43.26,41.25,43.21,1500.0,1,0.0
2024-04-25,43.42,43.42,42.45,42.87,1329.0,1,0.0
2024-04-26,42.8,44.0,42.8,43.64,1137.0,1,0.0
2024-04-29,43.75,44.15,43.4,43.74,1200.0,1,0.0
2024-04-30,43.52,43.85,42.99,43.11,950.0,1,0.0
2024-05-01,42.98,43.89,42.86,43.09,1325.0,1,0.0
2024-05-02,43.33,43.59,43.2,43.31,971.0,1,0.0
2024-05-03,43.45,43.92,43.35,43.85,1510.0,1,0.0
2024-05-06,43.85,44.69,43.76,44.62,901.0,1,0.0
2024-05-07,44.5,44.85,44.21,44.39,1097.0,1,0.0
2024-05-08,44.0,44.18,43.81,44.01,677.0,1,0.0
2024-05-09,43.58,44.28,43.57,44.28,792.0,1,0.0
2024-05-10,44.33,44.39,43.97,44.22,769.0,1,0.0
2024-05-13,44.21,44.87,44.21,44.47,898.0,1,0.0
