time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,69.13,71.15,68.85,69.51,708,1,0
2024-01-03,66.97,68.77,66.97,67.24,722,2,0
2024-01-04,66.37,67.71,66.07,66.93,669,1,0
2024-01-05,66.0,68.86,65.0,68.39,645,4,0
2024-01-08,68.09,70.1,68.09,69.79,610,1,0
2024-01-09,68.09,70.25,68.09,69.68,823,1,0
2024-01-10,69.33,70.64,68.79,69.3,674,1,0
2024-01-11,67.83,69.16,67.25,69.16,738,2,0
2024-01-12,69.06,70.25,68.08,68.82,734,2,0
2024-01-16,68.0,68.27,67.28,67.5,852,1,0
2024-01-17,66.0,67.76,66.0,67.42,713,2,0
2024-01-18,67.57,68.03,66.74,67.69,629,1,0
2024-01-19,67.37,68.43,66.68,67.56,794,2,0
2024-01-22,67.62,68.64,67.48,68.17,795,1,0
2024-01-23,67.6,68.33,65.28,65.68,1097,1,0
2024-01-24,65.77,66.3,64.81,64.94,951,1,0
2024-01-25,65.31,66.31,64.85,66.31,909,1,0
2024-01-26,65.61,66.93,65.6,66.06,635,1,0
2024-01-29,65.92,67.43,65.28,67.26,763,1,0
2024-01-30,66.0,68.04,66.0,67.65,776,1,0
2024-01-31,67.33,68.35,66.26,66.42,909,3,0
2024-02-01,66.7,67.92,65.82,67.75,1186,1,0
2024-02-02,66.03,67.13,65.36,65.93,994,1,0
2024-02-05,65.0,66.35,63.54,65.13,791,2,0
2024-02-06,64.75,65.52,64.5,65.51,629,1,0
2024-02-07,65.37,66.81,65.15,66.57,729,1,0
2024-02-08,65.5,69.32,65.5,68.89,1426,1,0
2024-02-09,68.38,70.24,68.38,69.24,741,1,0
2024-02-12,70.22,71.73,69.84,70.91,1320,1,0
2024-02-13,66.54,69.89,66.54,68.5,1276,1,0
2024-02-14,67.91,70.78,67.29,69.92,1221,2,0
2024-02-15,70.45,70.45,68.41,69.68,1030,2,0
2024-02-16,68.8,69.7,68.0,68.42,1125,0,0
2024-02-20,67.14,68.67,67.11,68.03,1078,1,0
2024-02-21,67.85,68.41,66.52,67.76,919,1,0
2024-02-22,67.77,70.34,66.83,70.32,1149,1,0
2024-02-23,70.2,71.62,69.82,71.47,866,1,0
2024-02-26,70.65,71.38,69.9,70.79,848,1,0
2024-02-27,70.52,72.62,70.26,72.51,1097,1,0
2024-02-28,71.7,74.88,71.7,73.47,1131,1,0
2024-02-29,73.93,74.47,73.37,73.89,872,2,0
2024-03-01,73.34,75.4,72.64,74.96,1039,1,0
2024-03-04,75.12,76.76,75.0,75.39,949,2,0
2024-03-05,74.52,76.22,74.52,74.99,931,1,0
2024-03-06,75.82,76.22,75.03,75.14,783,3,0
2024-03-07,75.55,76.7,75.35,75.67,734,1,0
2024-03-08,76.41,77.11,75.0,76.75,1221,1,0
2024-03-11,76.65,76.68,74.62,76.4,1036,1,0
2024-03-12,75.99,76.64,74.8,76.32,950,1,0
2024-03-13,76.26,79.67,76.26,78.0,1067,2,0
2024-03-14,77.61,78.25,75.58,76.06,1098,1,0
2024-03-15,75.62,78.58,75.6,78.49,1510,2,0
2024-03-18,79.06,79.12,77.09,77.53,991,1,0
2024-03-19,77.65,78.97,77.0,78.67,820,1,0
2024-03-20,78.13,81.57,78.13,80.66,1033,2,0
2024-03-21,80.78,82.52,80.58,82.25,1153,1,0
2024-03-22,81.84,82.76,81.38,82.25,953,1,0
2024-03-25,82.64,84.27,82.27,82.47,683,3,0
2024-03-26,82.21,83.25,82.01,82.08,711,1,0
2024-03-27,82.3,83.67,82.13,83.46,671,2,0
2024-03-28,83.5,84.06,82.56,83.6,913,2,0
2024-04-01,83.5,83.72,82.63,83.01,796,1,0
2024-04-02,81.05,81.52,80.6,81.42,790,1,0
2024-04-03,81.15,82.42,80.5,82.41,923,1,0
2024-04-04,82.83,83.32,80.17,80.58,824,3,0
