time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,66.9,69.5,66.9,68.41,1682.0,1,0.0
2024-01-03,65.8,67.1,65.24,65.76,1188.0,1,0.0
2024-01-04,62.78,65.92,62.78,64.87,1980.0,1,0.0
2024-01-05,63.85,65.26,63.76,64.55,1496.0,1,0.0
2024-01-08,64.86,66.48,64.13,66.26,1661.0,1,0.0
2024-01-09,65.12,67.39,64.5,66.84,1845.0,1,0.0
2024-01-10,66.0,66.54,64.52,66.22,1467.0,1,0.0
2024-01-11,65.89,66.5,64.0,65.07,1936.0,1,0.0
2024-01-12,65.25,66.26,64.22,65.15,1289.0,1,0.0
2024-01-16,64.34,66.5,63.83,66.23,1756.0,1,0.0
2024-01-17,64.28,64.36,62.7,64.01,1365.0,1,0.0
2024-01-18,65.51,66.78,64.5,66.77,1882.0,1,0.0
2024-01-19,67.25,68.76,66.6,68.31,1501.0,1,0.0
2024-01-22,69.18,69.81,68.2,69.05,1540.0,1,0.0
2024-01-23,69.0,70.47,68.23,70.27,1183.0,1,0.0
2024-01-24,69.62,71.03,68.75,68.86,1806.0,1,0.0
2024-01-25,69.54,69.74,66.77,66.95,1505.0,1,0.0
2024-01-26,63.4,64.58,62.1,62.42,1962.0,1,0.0
2024-01-29,62.64,63.69,61.87,63.63,4973.0,1,0.0
2024-01-30,63.08,63.46,61.06,61.25,1943.0,1,0.0
2024-01-31,59.5,62.13,59.17,60.88,2266.0,1,0.0
2024-02-01,60.47,61.95,60.08,61.12,1811.0,1,0.0
2024-02-02,60.15,61.71,60.0,61.67,1417.0,1,0.0
2024-02-05,61.42,63.01,61.04,62.83,1518.0,1,0.0
2024-02-06,62.3,62.42,60.5,61.42,1543.0,2,0.0
2024-02-07,62.15,64.52,61.55,63.66,1698.0,1,0.0
2024-02-08,64.06,68.22,64.06,68.06,2013.0,1,0.0
2024-02-09,68.47,70.39,68.47,69.69,1443.0,1,0.0
2024-02-12,69.5,72.7,69.5,70.85,2586.0,1,0.0
2024-02-13,68.44,75.7,68.43,72.37,3187.0,1,0.0
2024-02-14,73.45,77.12,73.45,76.25,2565.0,1,0.0
2024-02-15,75.97,76.35,74.05,74.37,1633.0,1,0.0
2024-02-16,74.1,75.14,72.11,73.3,2165.0,1,0.0
2024-02-20,71.8,72.15,70.12,72.11,1317.0,1,0.0
2024-02-21,70.95,72.38,70.95,72.04,1812.0,1,0.0
2024-02-22,73.78,74.98,72.0,74.54,1693.0,1,0.0
2024-02-23,73.85,75.63,73.12,74.79,1767.0,1,0.0
2024-02-26,74.75,75.42,74.2,75.02,1318.0,1,0.0
2024-02-27,75.12,76.06,73.72,74.22,1595.0,1,0.0
2024-02-28,73.03,73.9,72.14,73.15,1579.0,1,0.0
2024-02-29,74.03,76.85,73.68,76.54,1699.0,1,0.0
2024-03-01,76.26,79.12,75.12,78.21,1636.0,1,0.0
2024-03-04,78.5,79.87,78.0,79.28,1695.0,1,0.0
2024-03-05,77.48,78.38,75.88,77.16,2015.0,1,0.0
2024-03-06,79.22,81.91,78.5,80.62,1944.0,1,0.0
2024-03-07,81.03,85.65,81.03,83.65,2148.0,1,0.0
2024-03-08,82.87,84.29,80.28,80.43,2705.0,1,0.0
2024-03-11,79.5,81.1,78.77,79.93,1352.0,1,0.0
2024-03-12,80.36,81.39,78.82,81.12,1910.0,1,0.0
2024-03-13,79.7,80.57,77.64,77.88,2073.0,1,0.0
2024-03-14,77.12,78.19,75.25,76.28,1487.0,0,0.0
2024-03-15,74.38,76.87,74.26,75.64,1662.0,2,0.0
2024-03-18,76.44,77.04,75.39,75.8,1326.0,1,0.0
2024-03-19,73.98,77.23,73.71,76.75,1614.0,1,0.0
