time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,69.44,70.41,69.44,70.28,763.0,1,0.0
2024-01-03,70.28,70.99,70.0,70.19,1049.0,1,0.0
2024-01-04,70.35,71.19,70.35,70.66,629.0,1,0.0
2024-01-05,70.55,71.47,70.52,71.06,1354.0,1,0.0
2024-01-08,71.04,71.32,70.39,71.13,981.0,1,0.0
2024-01-09,71.0,71.04,70.0,70.87,805.0,1,0.0
2024-01-10,70.58,71.09,70.41,70.81,728.0,1,0.0
2024-01-11,70.64,71.07,70.24,71.0,1044.0,1,0.0
2024-01-12,71.25,71.63,70.7,71.09,730.0,1,0.0
2024-01-16,70.62,71.17,70.37,71.06,790.0,1,0.0
2024-01-17,70.79,71.87,70.72,70.95,763.0,1,0.0
2024-01-18,70.46,71.5,70.46,71.38,758.0,1,0.0
2024-01-19,71.84,72.44,71.43,72.11,1221.0,1,0.0
2024-01-22,72.2,73.28,72.2,72.99,1058.0,1,0.0
2024-01-23,72.92,73.31,72.7,72.75,702.0,1,0.0
2024-01-24,72.83,73.42,72.78,72.97,751.0,1,0.0
2024-01-25,73.36,73.61,72.4,72.76,1229.0,1,0.0
2024-01-26,72.88,73.34,72.6,72.65,1161.0,1,0.0
2024-01-29,72.44,73.24,72.0,73.24,873.0,1,0.0
2024-01-30,72.98,73.79,72.9,73.74,847.0,1,0.0
2024-01-31,73.79,73.92,72.83,72.84,1141.0,1,0.0
2024-02-01,72.05,72.39,71.31,72.15,1087.0,1,0.0
2024-02-02,72.58,73.19,72.2,73.0,1104.0,1,0.0
2024-02-05,74.11,74.85,72.2,72.77,1270.0,1,0.0
2024-02-06,72.93,73.16,72.5,72.74,646.0,0,0.0
2024-02-07,72.56,72.96,72.28,72.55,948.0,1,0.0
2024-02-08,72.25,72.44,71.43,72.05,1193.0,1,0.0
2024-02-09,71.58,72.73,71.55,72.59,696.0,1,0.0
2024-02-12,72.79,73.5,72.4,73.07,762.0,1,0.0
2024-02-13,73.51,73.51,72.41,72.97,1227.0,1,0.0
2024-02-14,73.23,73.49,72.79,73.4,1186.0,1,0.0
2024-02-15,73.39,75.36,73.39,75.15,972.0,1,0.0
2024-02-16,74.9,75.17,74.15,74.26,846.0,1,0.0
2024-02-20,73.68,74.51,73.65,73.81,908.0,1,0.0
2024-02-21,73.59,74.44,73.59,74.36,888.0,1,0.0
2024-02-22,74.26,74.99,73.91,74.89,1030.0,1,0.0
2024-02-23,74.79,75.41,74.7,75.23,854.0,1,0.0
2024-02-26,74.84,75.3,74.43,74.57,716.0,1,0.0
2024-02-27,74.32,74.95,73.91,74.82,787.0,2,0.0
2024-02-28,74.68,75.46,74.63,74.99,733.0,1,0.0
2024-02-29,74.83,75.22,74.47,75.09,1044.0,1,0.0
2024-03-01,74.89,75.13,74.21,74.4,1163.0,1,0.0
2024-03-04,74.3,74.8,74.02,74.4,791.0,1,0.0
2024-03-05,74.12,74.81,74.08,74.55,1007.0,1,0.0
2024-03-06,74.71,75.53,74.16,75.39,1137.0,1,0.0
2024-03-07,75.26,75.65,74.9,75.14,779.0,1,0.0
2024-03-08,74.87,75.2,74.63,74.67,1142.0,1,0.0
2024-03-11,74.68,75.93,74.5,75.83,883.0,1,0.0
2024-03-12,75.86,76.22,75.55,76.12,747.0,1,0.0
2024-03-13,76.03,76.32,75.69,76.12,1053.0,1,0.0
2024-03-14,75.93,76.04,75.14,76.02,1289.0,1,0.0
2024-03-15,75.58,76.89,75.56,76.83,1075.0,1,0.0
2024-03-18,76.76,77.55,76.44,76.92,789.0,1,0.0
2024-03-19,77.29,77.7,77.17,77.49,729.0,1,0.0
2024-03-20,76.94,77.82,76.94,77.73,1195.0,1,0.0
2024-03-21,77.5,77.82,77.1,77.45,792.0,2,0.0
2024-03-22,77.4,77.55,76.47,76.53,521.0,1,0.0
2024-03-25,76.53,77.34,76.5,77.02,634.0,1,0.0
2024-03-26,76.69,77.23,76.56,76.81,529.0,1,0.0
2024-03-27,76.94,78.04,76.9,77.92,588.0,1,0.0
2024-03-28,77.94,78.52,77.94,78.3,471.0,1,0.0
2024-04-01,78.08,78.08,77.24,77.49,788.0,1,0.0
2024-04-02,77.67,77.87,76.95,76.95,875.0,1,0.0
2024-04-03,76.61,77.55,76.61,77.25,608.0,1,0.0
2024-04-04,77.41,77.64,76.0,76.21,1072.0,1,0.0
2024-04-05,76.29,76.81,76.15,76.59,598.0,1,0.0
2024-04-08,76.42,76.75,75.99,76.06,592.0,1,0.0
2024-04-09,75.93,76.19,74.66,75.09,751.0,1,0.0
2024-04-10,74.51,75.12,74.51,74.9,861.0,1,0.0
2024-04-11,74.23,74.37,73.51,73.77,877.0,1,0.0
2024-04-12,73.68,74.31,73.41,73.77,956.0,1,0.0
2024-04-15,74.48,74.77,73.2,73.45,710.0,1,0.0
2024-04-16,73.48,73.6,73.05,73.13,794.0,1,0.0
2024-04-17,72.72,73.65,72.72,73.05,709.0,1,0.0
2024-04-18,73.6,74.2,73.49,73.74,568.0,1,0.0
2024-04-19,73.82,75.64,73.75,75.53,661.0,1,0.0
2024-04-22,75.47,76.86,75.14,76.27,555.0,1,0.0
2024-04-23,76.34,76.8,75.87,76.59,519.0,1,0.0
2024-04-24,76.0,76.83,75.78,76.77,701.0,1,0.0
2024-04-25,76.54,76.72,75.98,76.38,706.0,1,0.0
2024-04-26,75.4,75.96,75.22,75.5,519.0,1,0.0
2024-04-29,75.27,75.87,75.16,75.65,449.0,1,0.0
2024-04-30,75.42,75.56,74.94,75.16,629.0,2,0.0
2024-05-01,75.28,76.78,75.19,76.21,793.0,1,0.0
2024-05-02,76.5,76.78,75.85,76.36,821.0,1,0.0
2024-05-03,76.22,76.52,75.33,76.39,714.0,1,0.0
2024-05-06,76.5,78.19,76.5,77.64,747.0,1,0.0
2024-05-07,77.7,78.05,77.5,77.73,555.0,1,0.0
2024-05-08,77.7,77.89,77.11,77.22,651.0,1,0.0
2024-05-09,76.92,77.72,76.62,77.59,517.0,1,0.0
2024-05-10,77.53,78.14,77.31,78.03,549.0,1,0.0
2024-05-13,77.58,78.05,77.1,77.23,583.0,1,0.0
2024-05-14,77.23,77.48,76.86,77.18,362.0,2,0.0
2024-05-15,76.9,77.42,76.37,76.58,432.0,1,0.0
2024-05-16,77.35,77.48,76.76,77.26,474.0,1,0.0
2024-05-17,77.08,77.77,76.85,77.6,530.0,2,0.0
2024-05-20,77.6,77.6,75.99,76.05,568.0,1,0.0
2024-05-21,76.16,76.53,75.93,76.04,387.0,1,0.0
2024-05-22,75.95,76.14,75.61,75.79,581.0,1,0.0
2024-05-23,75.31,75.53,73.95,74.13,487.0,1,0.0
2024-05-24,74.22,74.71,74.07,74.59,365.0,1,0.0
2024-05-28,74.36,74.59,73.91,73.93,483.0,1,0.0
2024-05-29,73.39,74.28,73.39,74.09,456.0,1,0.0
2024-05-30,73.85,75.34,73.85,75.21,482.0,1,0.0
2024-05-31,75.08,76.75,74.9,76.6,533.0,1,0.0
2024-06-03,76.45,76.57,75.34,75.73,444.0,1,0.0
2024-06-04,75.37,75.94,74.93,75.47,461.0,1,0.0
2024-06-05,75.32,75.44,74.5,74.98,359.0,1,0.0
2024-06-06,74.67,75.25,74.25,74.88,539.0,1,0.0
2024-06-07,74.98,75.69,74.39,75.12,424.0,1,0.0
2024-06-10,74.83,75.56,74.24,75.31,706.0,1,0.0
2024-06-11,74.87,74.98,74.05,74.11,543.0,1,0.0
2024-06-12,74.32,74.94,73.33,74.6,802.0,1,0.0
2024-06-13,74.2,74.38,73.36,74.12,481.0,1,0.0
2024-06-14,73.59,73.98,73.32,73.65,461.0,1,0.0
2024-06-17,73.56,75.25,73.48,75.13,355.0,1,0.0
2024-06-18,75.27,76.26,75.27,76.26,588.0,1,0.0
2024-06-20,75.93,76.85,75.8,76.43,577.0,1,0.0
2024-06-21,76.01,76.85,75.47,76.51,597.0,1,0.0
2024-06-24,76.36,77.89,76.18,77.2,524.0,1,0.0
2024-06-25,77.01,77.32,75.93,76.17,479.0,1,0.0
2024-06-26,75.22,75.5,74.48,74.85,531.0,1,0.0
2024-06-27,74.36,75.22,74.17,75.1,576.0,1,0.0
2024-06-28,74.86,75.52,74.4,74.58,552.0,1,0.0
2024-07-01,75.05,75.5,74.41,74.72,558.0,1,0.0
2024-07-02,74.03,75.0,73.57,74.87,442.0,2,0.0
2024-07-03,74.61,75.31,74.19,74.38,364.0,3,0.0
2024-07-05,73.91,74.34,73.05,73.68,583.0,1,0.0
2024-07-08,74.0,74.9,74.0,74.29,1446.0,1,0.0
2024-07-09,74.06,75.3,73.68,74.6,1675.0,1,0.0
2024-07-10,74.65,75.6,74.39,75.49,1203.0,1,0.0
2024-07-11,75.51,76.97,75.51,76.67,1556.0,1,0.0
2024-07-12,76.64,77.38,76.1,76.94,1384.0,1,0.0
2024-07-15,76.88,77.85,76.62,77.37,431.0,1,0.0
2024-07-16,77.24,78.41,77.01,78.39,572.0,1,0.0
2024-07-17,78.41,79.84,78.41,79.63,678.0,1,0.0
2024-07-18,79.01,81.07,78.66,79.71,599.0,1,0.0
2024-07-19,79.05,79.05,77.51,77.9,705.0,1,0.0
2024-07-22,77.59,78.32,77.29,78.0,408.0,1,0.0
2024-07-23,78.02,78.47,78.01,78.23,385.0,1,0.0
2024-07-24,78.13,78.52,77.52,77.8,526.0,1,0.0
2024-07-25,77.83,79.55,77.83,78.33,689.0,1,0.0
2024-07-26,78.95,80.33,78.74,80.03,748.0,1,0.0
2024-07-29,81.04,81.44,78.04,78.68,657.0,1,0.0
2024-07-30,79.0,80.95,79.0,80.48,758.0,1,0.0
2024-07-31,80.14,80.53,79.49,80.01,692.0,1,0.0
2024-08-01,80.28,80.37,78.59,79.0,1029.0,1,0.0
2024-08-02,78.35,79.41,77.46,78.47,991.0,2,0.0
2024-08-05,77.63,77.63,75.3,76.04,1352.0,1,0.0
2024-08-06,75.84,77.4,75.76,76.38,1259.0,1,0.0
2024-08-07,76.71,77.54,76.18,76.23,1189.0,1,0.0
2024-08-08,75.9,77.47,75.43,77.43,810.0,2,0.0
2024-08-09,77.09,77.99,76.64,77.79,602.0,1,0.0
2024-08-12,77.86,78.01,76.73,76.77,579.0,1,0.0
2024-08-13,76.9,77.11,76.16,76.96,569.0,1,0.0
2024-08-14,77.01,77.69,77.01,77.62,469.0,1,0.0
2024-08-15,77.76,78.56,77.65,78.14,430.0,2,0.0
2024-08-16,78.13,79.0,77.66,78.77,470.0,1,0.0
2024-08-19,78.75,79.68,78.75,79.33,949.0,1,0.0
2024-08-20,79.0,79.16,78.57,78.84,388.0,1,0.0
2024-08-21,78.79,79.04,78.14,78.84,564.0,2,0.0
2024-08-22,78.87,79.49,78.71,79.21,557.0,1,0.0
2024-08-23,79.61,80.59,79.36,80.3,658.0,2,0.0
2024-08-26,80.66,81.41,80.18,80.18,1098.0,2,0.0
2024-08-27,80.36,80.82,80.21,80.71,896.0,2,0.0
2024-08-28,80.61,81.73,80.61,81.21,593.0,1,0.0
2024-08-29,81.1,81.88,80.14,81.67,640.0,1,0.0
2024-08-30,81.46,82.09,81.16,81.86,763.0,1,0.0
2024-09-03,81.52,82.27,81.11,81.64,914.0,1,0.0
2024-09-04,81.91,82.56,81.35,81.9,881.0,1,0.0
2024-09-05,81.8,81.8,80.27,80.62,740.0,2,0.0
2024-09-06,80.46,81.0,79.24,79.37,833.0,2,0.0
2024-09-09,79.52,81.23,79.42,80.44,942.0,1,0.0
2024-09-10,80.22,80.69,79.09,79.29,722.0,1,0.0
2024-09-11,78.59,78.59,76.93,77.67,823.0,1,0.0
2024-09-12,77.7,78.15,76.96,77.95,728.0,1,0.0
2024-09-13,78.18,78.92,78.0,78.19,611.0,1,0.0
2024-09-16,78.93,79.24,78.46,78.84,566.0,1,0.0
2024-09-17,78.83,79.67,78.35,79.15,483.0,2,0.0
2024-09-18,78.98,79.69,78.36,79.21,800.0,2,0.0
2024-09-19,79.32,79.66,78.4,79.21,803.0,2,0.0
2024-09-20,78.57,78.99,78.17,78.3,630.0,2,0.0
2024-09-23,78.29,78.93,78.1,78.52,613.0,1,0.0
2024-09-24,78.1,78.72,77.17,77.97,667.0,1,0.0
2024-09-25,78.06,78.48,77.54,78.01,698.0,1,0.0
2024-09-26,77.62,78.89,77.5,78.65,636.0,1,0.0
2024-09-27,78.98,79.26,78.38,78.96,786.0,1,0.0
2024-09-30,78.58,79.12,78.0,78.94,791.0,1,0.0
2024-10-01,78.82,79.8,78.45,79.23,1817.0,1,0.0
2024-10-02,79.05,79.62,78.05,78.48,765.0,1,0.0
2024-10-03,78.2,78.69,77.59,78.03,1177.0,1,0.0
2024-10-04,78.18,79.38,77.92,79.19,745.0,1,0.0
2024-10-07,78.48,78.48,76.17,76.42,852.0,1,0.0
2024-10-08,76.78,77.55,76.53,77.43,699.0,1,0.0
2024-10-09,76.88,78.49,76.69,78.25,936.0,1,0.0
2024-10-10,78.8,78.8,77.8,78.13,853.0,1,0.0
2024-10-11,78.57,79.79,78.56,79.29,1493.0,1,0.0
2024-10-14,79.02,80.48,78.9,80.29,1428.0,1,0.0
2024-10-15,80.61,81.57,80.12,80.22,1020.0,3,0.0
2024-10-16,80.15,81.2,79.98,80.54,821.0,1,0.0
2024-10-17,80.87,81.71,80.69,81.61,1176.0,1,0.0
2024-10-18,81.24,82.02,80.7,81.71,497.0,2,0.0
2024-10-21,81.31,81.74,80.73,80.98,977.0,2,0.0
2024-10-22,80.62,80.99,79.44,80.77,584.0,2,0.0
2024-10-23,80.21,81.04,79.9,80.88,608.0,2,0.0
2024-10-24,80.83,81.17,80.24,81.01,558.0,1,0.0
2024-10-25,81.4,81.4,79.33,79.51,682.0,1,0.0
2024-10-28,80.01,80.91,80.01,80.59,484.0,1,0.0
2024-10-29,80.08,80.71,79.68,79.72,538.0,1,0.0
2024-10-30,79.68,80.97,79.42,80.09,474.0,2,0.0
2024-10-31,80.14,80.53,78.84,78.95,965.0,2,0.0
2024-11-01,78.87,80.0,78.87,79.23,600.0,1,0.0
2024-11-04,78.06,78.18,75.11,76.35,780.0,1,0.0
2024-11-05,76.22,78.32,76.2,78.23,748.0,1,0.0
2024-11-06,82.94,83.21,81.36,82.56,975.0,2,0.0
2024-11-07,82.21,82.57,81.43,82.02,691.0,1,0.0
2024-11-08,82.04,83.39,81.7,83.09,560.0,2,0.0
2024-11-11,83.5,84.52,82.85,83.07,628.0,1,0.0
2024-11-12,82.84,83.66,82.7,82.93,787.0,1,0.0
2024-11-13,82.62,83.56,82.05,83.24,618.0,2,0.0
2024-11-14,83.0,83.12,82.18,82.67,1585.0,1,0.0
2024-11-15,83.0,83.86,82.72,83.58,688.0,3,0.0
2024-11-18,83.13,84.58,83.01,84.24,639.0,1,0.0
2024-11-19,83.29,84.16,82.88,84.12,658.0,1,0.0
2024-11-20,84.13,84.62,83.66,84.4,515.0,1,0.0
2024-11-21,84.01,85.33,84.01,85.07,627.0,2,0.0
2024-11-22,84.77,86.25,84.65,86.02,608.0,1,0.0
2024-11-25,86.16,86.76,85.58,85.83,482.0,3,0.0
2024-11-26,85.33,86.72,85.05,86.48,525.0,3,0.0
2024-11-27,86.35,87.4,86.03,86.98,734.0,1,0.0
2024-11-29,87.01,87.24,86.4,86.46,315.0,3,0.0
2024-12-02,86.17,86.74,85.34,86.06,632.0,2,0.0
2024-12-03,85.91,86.43,85.0,85.89,655.0,1,0.0
2024-12-04,85.59,86.12,84.94,85.79,796.0,1,0.0
2024-12-05,85.64,86.52,85.08,85.81,547.0,2,0.0
2024-12-06,85.62,86.2,85.21,86.06,522.0,1,0.0
2024-12-09,85.65,85.99,84.82,84.95,619.0,1,0.0
2024-12-10,83.83,84.73,82.72,83.89,683.0,1,0.0
2024-12-11,83.65,84.95,83.43,84.7,633.0,2,0.0
2024-12-12,84.53,85.07,83.81,83.95,549.0,1,0.0
2024-12-13,84.03,85.24,83.95,84.04,636.0,1,0.0
2024-12-16,83.54,84.87,83.35,84.09,965.0,1,0.0
2024-12-17,83.71,84.08,83.0,83.6,755.0,1,0.0
2024-12-18,83.47,84.17,81.42,81.48,912.0,2,0.0
2024-12-19,81.72,82.53,80.56,81.64,869.0,2,0.0
2024-12-20,81.2,83.87,81.2,83.02,880.0,2,0.0
2024-12-23,82.51,83.44,81.94,83.41,687.0,1,0.0
2024-12-24,82.82,84.66,82.63,84.66,406.0,2,0.0
2024-12-26,84.51,85.36,84.39,85.21,411.0,2,0.0
2024-12-27,84.31,85.54,84.17,84.63,621.0,2,0.0
2024-12-30,83.9,84.92,83.32,84.32,636.0,1,0.0
2024-12-31,84.12,84.94,83.94,84.56,533.0,2,0.0
2025-01-02,84.5,85.1,83.64,84.05,570.0,2,0.0
2025-01-03,84.11,84.77,83.61,84.23,586.0,1,0.0
2025-01-06,83.92,84.55,82.08,82.23,668.0,2,0.0
2025-01-07,82.21,83.62,81.92,82.79,586.0,3,0.0
2025-01-08,82.8,83.64,82.08,83.44,615.0,2,0.0
2025-01-10,82.45,82.45,80.65,81.15,740.0,2,0.0
2025-01-13,80.23,82.2,80.23,82.12,846.0,1,0.0
2025-01-14,81.75,83.53,81.46,83.37,596.0,1,0.0
2025-01-15,83.79,84.91,83.76,84.57,571.0,2,0.0
2025-01-16,84.8,86.27,84.46,86.08,530.0,1,0.0
2025-01-17,85.86,86.67,85.55,86.13,556.0,2,0.0
2025-01-21,86.5,87.22,86.0,86.24,557.0,2,0.0
2025-01-22,86.11,86.19,83.97,84.51,582.0,1,0.0
2025-01-23,84.22,84.75,83.64,83.86,509.0,2,0.0
2025-01-24,83.95,84.92,83.28,84.82,593.0,1,0.0
2025-01-27,85.15,86.5,85.12,86.22,762.0,3,0.0
2025-01-28,86.22,86.78,85.42,85.72,615.0,1,0.0
2025-01-29,84.88,86.93,84.8,86.0,683.0,3,0.0
2025-01-30,86.09,86.65,85.4,86.16,661.0,3,0.0
2025-01-31,85.2,86.31,84.76,85.36,621.0,2,0.0
2025-02-03,84.61,85.53,83.33,85.27,723.0,1,0.0
2025-02-04,85.33,86.49,85.33,85.65,428.0,2,0.0
