time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,224.3,226.49,220.35,221.71,2663,1,0
2024-01-03,219.08,220.81,218.0,218.9,2554,3,0
2024-01-04,218.24,222.37,218.24,219.83,1989,2,0
2024-01-05,219.32,223.32,219.02,222.2,2469,1,0
2024-01-08,222.68,228.17,221.83,227.74,2463,3,0
2024-01-09,225.0,227.17,225.0,226.27,2835,3,0
2024-01-10,226.27,227.9,225.13,226.37,2502,1,0
2024-01-11,227.25,228.86,225.33,226.71,2762,3,0
2024-01-12,226.8,227.64,223.75,225.34,2631,1,0
2024-01-16,223.6,226.32,223.0,226.25,2581,1,0
2024-01-17,224.79,227.87,224.41,227.49,2295,3,0
2024-01-18,227.67,232.99,227.67,232.61,2890,1,0
2024-01-19,232.47,234.02,231.53,233.54,2678,3,0
2024-01-22,234.12,238.19,234.12,237.02,3101,2,0
2024-01-23,237.47,237.55,235.34,236.8,2735,2,0
2024-01-24,237.77,239.22,237.09,237.74,3436,1,0
2024-01-25,240.67,243.47,240.6,242.12,3880,2,0
2024-01-26,241.34,243.13,241.0,241.4,3597,3,0
2024-01-29,241.0,242.17,239.63,242.07,2649,3,0
2024-01-30,240.63,243.93,239.82,243.06,2930,1,0
2024-01-31,243.26,243.38,239.0,239.56,3300,3,0
2024-02-01,240.74,243.63,238.16,243.35,3964,2,0
2024-02-02,242.42,246.68,241.01,244.99,3717,3,0
2024-02-05,242.5,245.27,241.6,244.11,3259,2,0
2024-02-06,243.22,245.0,242.0,244.79,3014,2,0
2024-02-07,243.95,249.9,243.95,247.57,2746,3,0
2024-02-08,249.54,249.54,245.59,249.47,2560,2,0
2024-02-09,248.14,248.45,245.07,246.88,2570,2,0
2024-02-12,245.49,249.08,245.3,248.66,3345,2,0
2024-02-13,237.36,238.5,232.0,234.78,3377,1,0
2024-02-14,234.58,236.31,232.04,235.34,3160,3,0
2024-02-15,236.0,240.75,236.0,240.01,2575,2,0
2024-02-16,238.94,243.05,238.0,241.29,2259,1,0
2024-02-20,241.17,243.88,239.78,242.44,3153,1,0
2024-02-21,241.36,243.95,241.0,242.9,2424,2,0
2024-02-22,244.18,250.4,244.18,249.1,2076,2,0
2024-02-23,248.39,252.09,248.39,251.32,2121,1,0
2024-02-26,250.26,250.71,247.01,248.98,1751,1,0
2024-02-27,248.79,249.53,247.62,248.73,1670,2,0
2024-02-28,247.96,251.15,247.96,248.62,1698,2,0
2024-02-29,248.5,250.28,247.45,249.69,2208,2,0
2024-03-01,248.33,251.1,247.45,249.82,2082,2,0
2024-03-04,249.65,250.17,247.0,247.1,2689,2,0
2024-03-05,246.0,249.02,245.0,247.56,2514,3,0
2024-03-06,247.33,250.37,246.64,247.2,2184,3,0
2024-03-07,247.46,248.55,246.0,246.71,2287,3,0
2024-03-08,246.4,250.96,246.0,250.03,3664,1,0
2024-03-11,249.37,250.29,246.95,248.15,2867,2,0
2024-03-12,248.65,252.26,248.48,250.73,2617,0,0
2024-03-13,249.16,253.09,248.0,251.51,2398,2,0
2024-03-14,251.5,252.14,247.3,247.92,2014,4,0
2024-03-15,244.07,246.84,243.23,244.11,2921,1,0
2024-03-18,245.89,249.25,245.75,247.98,2598,1,0
2024-03-19,247.65,249.93,247.6,249.87,2840,3,0
2024-03-20,248.55,254.55,248.55,253.42,3012,3,0
2024-03-21,254.01,255.95,253.29,254.92,3150,1,0
2024-03-22,256.01,256.38,253.0,254.81,1818,1,0
2024-03-25,254.91,254.91,251.9,252.14,2870,2,0
2024-03-26,253.17,254.01,251.12,251.84,2838,1,0
2024-03-27,253.28,254.02,252.5,253.69,2024,1,0
2024-03-28,254.67,254.92,251.5,252.3,2355,2,0
2024-04-01,253.7,253.7,250.62,250.9,2405,2,0
2024-04-02,249.04,249.04,246.5,247.5,2021,3,0
2024-04-03,247.46,250.64,246.6,250.33,2059,3,0
2024-04-04,253.86,254.69,248.01,248.17,2609,1,0
2024-04-05,248.16,254.3,248.16,253.5,3490,2,0
2024-04-08,253.1,255.02,253.0,254.5,2440,2,0
2024-04-09,254.78,255.16,251.13,254.78,3121,4,0
2024-04-10,250.33,255.11,250.0,254.52,2972,5,0
2024-04-11,253.01,260.52,252.0,258.74,2937,3,0
2024-04-12,255.5,256.95,249.31,250.51,3330,1,0
2024-04-15,255.38,256.77,248.01,248.24,4406,2,0
2024-04-16,247.54,248.34,244.78,245.47,2632,2,0
2024-04-17,243.5,244.95,237.5,238.53,3375,4,0
2024-04-18,237.42,241.16,235.78,235.78,3853,1,0
2024-04-19,236.0,239.03,234.56,235.66,3205,1,0
2024-04-22,236.91,239.03,235.29,236.84,2283,3,0
2024-04-23,238.07,239.89,236.82,239.62,2887,3,0
2024-04-24,242.83,249.16,242.38,243.78,3721,1,0
2024-04-25,240.68,243.05,238.54,241.59,3560,1,0
2024-04-26,240.2,243.92,240.2,240.94,6413,3,0
2024-04-29,241.91,244.02,239.5,240.33,4879,3,0
2024-04-30,239.3,240.29,235.13,235.51,6891,1,0
2024-05-01,232.54,237.1,230.42,233.51,3142,6,0
2024-05-02,234.0,235.59,232.52,234.91,3720,3,0
2024-05-03,237.0,238.67,234.02,234.56,2498,2,0
2024-05-06,235.16,237.28,234.51,236.54,2073,2,0
2024-05-07,236.7,238.24,235.55,236.1,1878,4,0
2024-05-08,235.0,236.09,234.0,235.03,1863,2,0
2024-05-09,232.99,237.68,230.82,237.49,2284,1,0
2024-05-10,237.63,240.63,237.34,240.57,2134,1,0
2024-05-13,240.12,240.6,236.18,237.18,1816,3,0
2024-05-14,237.1,238.32,235.45,235.9,2427,2,0
2024-05-15,235.88,237.26,235.5,236.25,1941,1,0
2024-05-16,235.91,239.35,235.17,238.69,2165,2,0
2024-05-17,238.92,239.34,236.22,237.22,2381,1,0
2024-05-20,237.0,240.47,237.0,239.95,2303,1,0
2024-05-21,240.29,240.37,237.0,238.25,1720,3,0
2024-05-22,237.17,239.35,235.02,235.78,1806,2,0
2024-05-23,235.53,235.73,231.8,232.03,2638,1,0
2024-05-24,233.25,236.65,233.25,236.19,2089,3,0
2024-05-28,234.52,237.41,232.8,233.6,1894,2,0
2024-05-29,231.79,231.79,227.77,228.42,1930,2,0
2024-05-30,228.29,229.34,226.62,228.92,2342,4,0
2024-05-31,227.98,231.34,227.23,231.0,2028,2,0
2024-06-03,230.75,231.32,226.01,228.03,2804,3,0
2024-06-04,226.94,231.6,226.94,230.28,1844,4,0
2024-06-05,230.49,233.05,228.11,232.2,1934,3,0
2024-06-06,233.16,235.24,231.07,231.65,1604,3,0
2024-06-07,230.33,232.86,230.08,230.67,1892,2,0
2024-06-10,230.17,233.36,229.5,232.44,1494,2,0
2024-06-11,231.0,233.15,229.5,232.56,1517,1,0
2024-06-12,234.15,237.06,233.97,236.61,1973,1,0
2024-06-13,235.0,240.75,234.51,240.61,1429,0,0
2024-06-14,238.0,239.35,235.0,238.84,1856,1,0
2024-06-17,237.5,244.93,237.0,244.8,2025,2,0
2024-06-18,245.3,246.8,242.0,243.2,1556,1,0
2024-06-20,242.77,244.3,242.25,243.61,1869,3,0
2024-06-21,244.93,244.93,241.96,243.73,1677,2,0
2024-06-24,242.25,246.15,242.12,245.44,2093,4,0
2024-06-25,245.0,246.36,243.65,244.59,1448,2,0
2024-06-26,241.16,242.74,239.34,241.49,1735,4,0
2024-06-27,240.2,242.26,240.2,242.02,1334,2,0
2024-06-28,242.24,246.75,240.13,241.03,2571,1,0
2024-07-01,242.69,243.01,237.27,239.45,1814,3,0
2024-07-02,238.35,240.01,236.5,239.97,1669,1,0
2024-07-03,238.82,241.4,237.0,240.09,882,4,0
2024-07-05,239.0,241.21,238.16,240.69,1438,4,0
2024-07-08,241.9,242.79,238.97,239.55,1146,5,0
2024-07-09,240.0,240.32,237.24,237.36,1338,3,0
2024-07-10,237.5,242.61,237.0,242.61,1539,2,0
2024-07-11,242.41,242.41,238.82,239.62,1689,4,0
2024-07-12,240.1,245.3,239.7,242.54,1482,2,0
2024-07-15,242.81,246.73,240.8,245.83,1514,4,0
2024-07-16,248.48,255.03,247.8,254.94,1753,1,0
2024-07-17,252.14,255.15,246.88,247.52,1431,6,0
2024-07-18,245.25,248.21,243.85,244.07,1570,3,0
2024-07-19,244.99,245.51,242.41,243.86,1927,4,0
2024-07-22,242.44,243.69,241.07,242.46,1224,9,0
2024-07-23,242.77,245.31,241.68,242.18,920,3,0
2024-07-24,240.74,240.74,234.53,234.92,1550,5,0
2024-07-25,233.62,237.45,232.0,233.91,2510,5,0
2024-07-26,233.2,237.53,233.2,236.22,983,4,0
