time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,423.29,423.43,419.53,421.68,3089,2,0
2024-01-03,420.85,421.1,417.4,418.58,3406,3,0
2024-01-04,418.0,423.35,418.0,419.45,3107,2,0
2024-01-05,420.1,422.66,416.87,419.12,3708,3,0
2024-01-08,419.59,421.98,416.51,421.28,3217,2,0
2024-01-09,419.5,423.29,418.5,422.34,2659,5,0
2024-01-10,423.5,429.35,423.5,427.82,4105,3,0
2024-01-11,430.5,430.5,425.53,426.44,3713,2,0
2024-01-12,429.05,430.81,427.51,428.64,3620,3,0
2024-01-16,427.03,429.61,426.0,428.05,3208,4,0
2024-01-17,425.38,430.27,425.38,426.85,3617,4,0
2024-01-18,427.42,431.15,427.28,430.12,3604,3,0
2024-01-19,429.0,436.92,429.0,436.27,3477,3,0
2024-01-22,438.66,440.62,437.28,439.23,3144,4,0
2024-01-23,439.0,439.84,437.6,438.27,3238,4,0
2024-01-24,438.5,440.81,435.53,438.41,4586,2,0
2024-01-25,434.53,438.46,434.28,436.79,5129,2,0
2024-01-26,433.18,439.77,430.53,437.26,4694,2,0
2024-01-29,435.0,440.9,435.0,440.61,3572,4,0
2024-01-30,440.6,446.14,439.7,444.77,4412,3,0
2024-01-31,449.47,461.1,446.5,449.57,4306,4,0
2024-02-01,453.98,460.42,453.98,460.33,4554,2,0
2024-02-02,461.73,463.66,458.31,460.5,3351,3,0
2024-02-05,458.48,461.14,455.55,456.82,2708,3,0
2024-02-06,455.38,460.09,455.28,459.33,2747,2,0
2024-02-07,461.27,462.2,459.5,462.03,2981,3,0
2024-02-08,458.0,459.96,457.45,458.0,2097,4,0
2024-02-09,456.54,458.79,456.3,457.39,2464,3,0
2024-02-12,457.18,459.12,456.0,457.88,2219,4,0
2024-02-13,456.01,461.68,456.01,459.96,3442,4,0
2024-02-14,461.5,465.08,459.12,465.05,2598,3,0
2024-02-15,465.46,471.99,465.28,470.48,2950,4,0
2024-02-16,472.13,472.13,466.93,467.81,2333,3,0
2024-02-20,453.78,455.5,450.05,451.2,3840,2,0
2024-02-21,452.97,459.5,452.35,458.84,3181,3,0
2024-02-22,463.89,472.42,462.63,471.4,3372,3,0
2024-02-23,473.27,474.92,471.75,473.16,2338,3,0
2024-02-26,473.03,474.93,471.87,474.29,2449,3,0
2024-02-27,472.53,474.95,469.9,474.34,2678,3,0
2024-02-28,474.16,478.61,473.0,478.36,2760,3,0
2024-02-29,476.75,477.39,472.0,475.45,2510,4,0
2024-03-01,474.44,477.07,473.76,476.84,2270,2,0
2024-03-04,475.52,475.53,465.73,468.11,3082,3,0
2024-03-05,467.23,468.9,464.53,467.1,2709,2,0
2024-03-06,469.71,473.41,467.36,471.83,3347,4,0
2024-03-07,472.1,472.1,465.78,466.35,2492,4,0
2024-03-08,468.5,471.39,467.03,468.42,2511,4,0
