time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,295.01,297.19,295.01,296.82,5896,2,0
2024-01-03,296.23,297.93,294.01,294.5,7817,2,0
2024-01-04,294.81,297.21,290.92,291.92,8248,2,0
2024-01-05,289.09,290.05,287.2,288.89,6553,2,0
2024-01-08,288.31,291.85,287.5,291.45,5254,2,0
2024-01-09,289.0,290.79,287.5,290.77,4756,2,0
2024-01-10,290.51,294.0,290.51,293.58,5170,2,0
2024-01-11,294.35,294.87,290.62,294.25,5626,2,0
2024-01-12,295.2,295.53,292.82,293.53,5995,2,0
2024-01-16,293.48,294.04,289.96,290.81,6258,2,0
2024-01-17,290.99,292.25,290.1,291.04,5912,2,0
2024-01-18,291.35,294.45,291.16,294.4,5528,2,0
2024-01-19,296.77,301.08,296.52,300.44,8069,2,0
2024-01-22,300.71,301.94,297.7,298.11,5587,2,0
2024-01-23,297.86,300.19,297.01,300.05,4466,2,0
2024-01-24,299.59,302.01,299.01,300.43,6473,2,0
2024-01-25,300.55,301.19,296.01,297.0,7255,2,0
2024-01-26,295.06,295.92,291.69,292.26,6500,2,0
2024-01-29,291.24,292.71,288.3,292.21,4055,2,0
2024-01-30,291.0,294.89,290.0,294.75,3426,2,0
2024-01-31,295.36,297.25,291.57,292.38,4484,2,0
2024-02-01,290.52,297.55,290.2,297.49,4480,3,0
2024-02-02,295.0,298.12,293.28,296.9,5925,2,0
2024-02-05,285.6,291.0,283.3,286.25,5497,2,0
2024-02-06,282.5,284.54,281.54,284.25,4956,2,0
2024-02-07,284.51,290.43,284.07,287.32,4489,3,0
2024-02-08,285.99,293.12,284.2,292.06,5431,2,0
2024-02-09,292.1,292.41,288.9,289.26,3836,2,0
2024-02-12,289.56,291.13,288.76,289.48,4263,2,0
2024-02-13,288.02,288.75,285.6,286.84,3773,2,0
2024-02-14,286.77,288.17,286.5,287.52,3769,3,0
2024-02-15,287.7,292.05,287.01,291.86,3749,2,0
2024-02-16,290.12,293.63,289.1,291.91,3463,2,0
2024-02-20,292.18,295.41,291.5,292.42,3496,2,0
2024-02-21,292.66,295.07,292.01,293.89,3423,3,0
2024-02-22,293.24,296.62,293.0,295.97,3626,2,0
2024-02-23,295.9,298.7,295.31,297.99,2812,2,0
2024-02-26,298.17,298.5,296.23,297.19,2813,2,0
2024-02-27,295.5,295.75,293.31,293.81,2612,2,0
2024-02-28,293.56,296.01,292.72,295.09,3014,2,0
2024-02-29,293.95,294.01,291.7,292.35,3081,2,0
2024-03-01,291.4,292.5,289.5,290.53,3941,2,0
2024-03-04,289.15,291.22,288.47,290.93,3803,2,0
2024-03-05,290.82,293.42,288.9,292.17,4212,3,0
2024-03-06,293.06,295.1,292.1,293.02,4014,2,0
2024-03-07,293.93,294.83,291.01,291.01,3323,3,0
2024-03-08,290.33,293.45,288.8,292.05,4100,3,0
2024-03-11,293.32,295.42,291.77,294.86,3705,2,0
2024-03-12,295.61,296.34,293.49,294.4,3763,2,0
2024-03-13,291.52,291.52,282.58,282.78,4269,2,0
2024-03-14,281.07,281.74,277.77,281.63,4608,0,0
2024-03-15,283.03,284.04,278.13,278.91,3835,2,0
2024-03-18,279.49,280.22,278.06,278.22,3045,2,0
2024-03-19,278.59,284.32,278.59,282.68,3287,2,0
2024-03-20,282.28,284.32,281.35,283.82,3553,2,0
2024-03-21,284.34,285.57,282.59,283.13,3328,2,0
2024-03-22,283.52,284.34,282.12,282.78,2703,2,0
2024-03-25,279.4,279.69,277.6,278.57,3359,2,0
2024-03-26,278.44,279.41,277.08,278.73,3085,2,0
2024-03-27,278.41,282.26,278.41,282.25,3210,2,0
2024-03-28,281.69,283.28,281.3,281.96,2662,3,0
2024-04-01,280.67,281.25,278.62,280.1,2368,3,0
2024-04-02,279.39,279.39,277.4,277.7,2947,2,0
2024-04-03,276.26,277.89,275.14,275.47,2897,2,0
2024-04-04,275.27,275.95,270.13,270.14,3298,2,0
2024-04-05,268.82,270.41,266.35,266.73,4373,2,0
