time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,384.54,386.72,379.18,381.79,1805,3,0
2024-01-03,377.22,378.23,373.0,375.04,1647,4,0
2024-01-04,373.23,378.43,373.23,374.27,1193,3,0
2024-01-05,372.2,375.95,369.76,371.3,1871,5,0
2024-01-08,372.36,375.75,371.69,375.24,1444,3,0
2024-01-09,370.87,374.87,370.87,372.84,1510,4,0
2024-01-10,373.37,376.24,371.23,375.71,1426,8,0
2024-01-11,375.55,376.54,371.0,376.22,1858,5,0
2024-01-12,378.02,379.84,375.0,379.69,1950,8,0
2024-01-16,375.42,381.59,375.0,380.69,1594,7,0
2024-01-17,377.28,383.52,377.28,380.62,1552,5,0
2024-01-18,380.29,384.31,379.0,382.45,1416,5,0
2024-01-19,383.2,387.93,383.0,386.2,1825,7,0
2024-01-22,387.61,390.34,386.31,388.45,1517,9,0
2024-01-23,388.79,389.78,384.33,389.6,1478,2,0
2024-01-24,389.42,391.81,388.96,389.57,1481,8,0
2024-01-25,390.31,392.44,388.88,391.65,1904,7,0
2024-01-26,389.84,392.3,388.13,388.66,1384,7,0
2024-01-29,388.2,390.79,385.5,389.96,1304,10,0
2024-01-30,391.32,397.18,389.43,396.67,1333,3,0
2024-01-31,396.46,398.79,390.61,392.48,1848,3,0
2024-02-01,391.52,402.31,390.34,401.94,1592,4,0
2024-02-02,399.0,403.03,393.29,399.71,2158,5,0
2024-02-05,393.11,399.24,392.27,396.96,2194,2,0
2024-02-06,395.42,398.23,394.38,398.09,2333,4,0
2024-02-07,399.63,406.15,396.93,404.51,1455,5,0
2024-02-08,394.46,400.25,392.0,398.11,1443,3,0
2024-02-09,396.41,405.1,394.51,404.21,1985,2,0
2024-02-12,404.19,406.2,400.32,401.72,2347,5,0
2024-02-13,375.01,382.84,365.75,369.65,2678,1,0
2024-02-14,370.3,370.3,363.0,366.05,1745,5,0
2024-02-15,368.65,375.41,368.65,372.6,2093,7,0
2024-02-16,372.2,375.4,368.72,370.15,2105,6,0
2024-02-20,369.0,375.89,368.0,375.65,2467,6,0
2024-02-21,374.1,376.14,371.25,375.65,1282,6,0
2024-02-22,376.0,384.04,375.99,382.17,1297,9,0
2024-02-23,382.57,385.86,382.24,385.0,1049,7,0
2024-02-26,384.55,386.1,380.0,380.0,1448,4,0
2024-02-27,378.51,378.51,375.45,377.71,1373,2,0
2024-02-28,376.92,381.25,375.44,379.52,1155,8,0
2024-02-29,378.11,381.78,376.47,379.33,1336,4,0
2024-03-01,378.11,383.45,376.25,382.06,1195,6,0
2024-03-04,376.25,384.42,376.25,381.81,1382,4,0
2024-03-05,380.09,384.46,378.0,382.29,1504,1,0
2024-03-06,381.6,389.5,381.38,389.07,1850,2,0
2024-03-07,390.65,394.27,389.11,390.98,1575,3,0
2024-03-08,391.12,392.71,385.78,387.02,1149,14,0
2024-03-11,384.7,386.5,382.77,384.43,1113,5,0
2024-03-12,384.26,390.37,384.26,388.19,982,7,0
2024-03-13,386.52,391.1,386.5,388.78,874,5,0
2024-03-14,387.08,388.39,380.57,383.11,1085,8,0
2024-03-15,380.75,385.63,378.0,383.47,1230,3,0
2024-03-18,385.55,388.98,382.61,383.09,1026,3,0
2024-03-19,383.17,389.51,382.62,387.28,1243,5,0
2024-03-20,387.98,390.48,386.01,389.12,986,7,0
2024-03-21,391.56,395.65,390.21,394.67,1184,4,0
2024-03-22,395.53,395.71,387.91,388.32,1070,3,0
2024-03-25,386.52,388.07,384.41,386.54,1172,6,0
2024-03-26,386.0,391.81,385.15,390.59,1212,5,0
2024-03-27,390.92,393.08,387.14,390.1,1285,5,0
2024-03-28,389.37,395.33,388.62,392.92,1203,7,0
2024-04-01,393.23,397.98,392.0,393.45,1412,3,0
2024-04-02,393.51,393.51,388.24,390.98,1667,3,0
2024-04-03,390.77,393.95,389.67,392.38,1396,4,0
2024-04-04,394.51,402.14,390.53,391.25,1688,6,0
2024-04-05,390.53,392.55,387.03,391.66,1492,11,0
2024-04-08,391.62,398.2,391.62,395.68,1213,4,0
2024-04-09,397.0,399.16,393.39,397.04,1364,9,0
2024-04-10,390.23,390.93,383.77,384.79,1398,7,0
2024-04-11,382.52,386.59,380.0,383.63,1344,9,0
2024-04-12,379.78,381.52,375.49,376.92,1635,5,0
2024-04-15,380.0,383.5,372.0,373.09,2124,4,0
2024-04-16,370.22,375.01,370.0,370.5,1885,6,0
2024-04-17,372.05,377.73,371.81,375.72,1612,10,0
2024-04-18,376.3,379.49,368.3,373.5,1439,9,0
2024-04-19,374.22,375.73,370.86,374.19,1520,6,0
2024-04-22,374.75,380.32,374.14,378.61,1500,5,0
2024-04-23,377.91,383.28,374.82,381.62,1236,3,0
2024-04-24,379.7,382.3,377.05,381.42,1507,9,0
2024-04-25,378.03,378.83,370.95,375.03,1779,8,0
2024-04-26,372.7,378.8,372.63,375.27,1303,5,0
2024-04-29,375.88,377.22,372.0,374.09,1171,14,0
2024-04-30,372.59,373.8,369.0,369.06,5258,4,0
2024-05-01,369.43,377.43,369.34,372.7,1490,11,0
2024-05-02,363.2,377.25,360.06,374.75,1864,11,0
2024-05-03,379.97,381.84,377.07,379.99,1117,7,0
2024-05-06,380.0,387.47,380.0,387.36,1154,9,0
2024-05-07,387.87,394.44,387.7,393.7,1278,6,0
2024-05-08,391.91,396.61,391.91,396.15,1800,8,0
2024-05-09,394.48,401.9,392.35,400.86,1036,7,0
2024-05-10,401.14,403.39,399.94,400.31,1313,8,0
2024-05-13,400.35,402.36,397.03,397.42,740,8,0
2024-05-14,396.46,402.28,393.84,402.09,1403,3,0
2024-05-15,402.54,413.77,402.2,410.33,1702,9,0
2024-05-16,407.61,414.14,406.55,412.37,1391,12,0
2024-05-17,411.94,414.04,408.88,413.42,1192,7,0
2024-05-20,411.53,414.02,409.87,411.47,928,6,0
2024-05-21,411.23,415.03,409.72,413.12,1385,4,0
2024-05-22,413.86,417.43,412.06,415.59,1697,11,0
2024-05-23,413.93,415.04,405.95,407.3,1523,7,0
2024-05-24,407.22,411.52,405.95,410.35,1385,10,0
2024-05-28,407.47,409.17,402.68,405.25,1124,10,0
2024-05-29,400.55,403.61,400.0,400.15,967,3,0
2024-05-30,398.54,399.18,394.84,395.0,1234,7,0
2024-05-31,394.47,397.91,393.0,396.86,1381,3,0
2024-06-03,396.63,401.39,395.0,400.92,1132,6,0
2024-06-04,399.6,407.15,399.6,406.15,1174,12,0
2024-06-05,404.28,409.69,402.0,409.64,1612,8,0
2024-06-06,408.17,410.73,405.19,405.81,812,7,0
2024-06-07,401.15,406.66,400.22,403.44,1174,7,0
2024-06-10,402.34,402.47,399.56,400.69,1018,4,0
2024-06-11,397.78,403.08,396.92,402.89,809,8,0
2024-06-12,404.59,415.98,404.59,411.88,1292,18,0
2024-06-13,409.61,411.49,406.11,409.98,813,14,0
2024-06-14,404.99,408.24,402.07,407.63,694,13,0
2024-06-17,406.57,412.91,405.11,411.56,974,13,0
2024-06-18,410.11,420.5,410.0,419.67,1099,6,0
2024-06-20,418.5,423.96,417.7,423.1,1137,9,0
2024-06-21,420.62,423.08,418.88,421.54,1646,7,0
2024-06-24,422.03,428.62,421.0,426.05,1301,8,0
2024-06-25,423.37,427.16,420.98,426.77,1033,7,0
2024-06-26,423.22,423.67,417.5,418.79,1503,9,0
2024-06-27,418.01,420.46,415.51,418.43,1125,15,0
2024-06-28,418.72,424.32,418.72,421.58,1718,10,0
2024-07-01,421.3,427.25,418.34,421.38,1019,6,0
2024-07-02,420.42,426.27,420.42,426.22,741,8,0
2024-07-03,424.12,427.03,423.05,426.14,670,14,0
2024-07-05,421.52,432.6,421.52,431.89,1185,7,0
2024-07-08,433.69,433.81,430.43,431.95,1343,7,0
2024-07-09,435.05,436.93,432.23,435.87,1776,3,0
2024-07-10,434.89,436.57,430.06,436.43,1544,9,0
2024-07-11,439.3,443.53,438.92,443.51,1670,9,0
2024-07-12,444.24,450.94,443.06,445.91,1557,8,0
2024-07-15,446.28,449.37,443.96,446.55,1286,7,0
2024-07-16,448.68,452.5,447.33,451.84,1162,8,0
2024-07-17,449.0,458.07,447.8,456.27,1529,9,0
2024-07-18,451.33,456.7,448.15,448.15,1272,10,0
2024-07-19,447.44,448.73,441.23,441.93,1633,4,0
2024-07-22,443.29,449.62,442.04,448.0,1255,5,0
2024-07-23,439.28,457.42,439.28,451.59,1212,15,0
2024-07-24,448.99,450.5,430.0,432.51,1061,7,0
2024-07-25,434.43,447.07,434.43,437.26,1247,10,0
2024-07-26,439.34,452.12,436.78,448.39,962,9,0
2024-07-29,447.15,451.27,443.0,449.41,753,15,0
2024-07-30,455.5,458.86,449.53,457.14,878,8,0
2024-07-31,458.95,459.05,453.5,457.15,1052,13,0
2024-08-01,457.41,461.32,455.32,460.37,1080,14,0
2024-08-02,454.42,461.38,449.2,458.73,990,11,0
2024-08-05,445.89,450.07,437.97,439.75,1168,14,0
2024-08-06,440.75,455.45,440.75,448.39,1095,14,0
2024-08-07,451.87,461.38,450.07,450.07,947,12,0
2024-08-08,450.94,460.49,450.5,459.37,880,13,0
2024-08-09,458.11,465.06,455.66,464.25,867,6,0
2024-08-12,462.94,464.47,458.77,459.01,568,6,0
2024-08-13,460.46,466.64,460.46,463.81,1076,11,0
2024-08-14,462.06,466.62,460.68,465.79,1192,11,0
2024-08-15,469.2,469.2,463.82,466.25,911,11,0
2024-08-16,462.43,466.82,461.99,465.81,840,9,0
