time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,301.35,307.55,300.11,304.77,438,21,0
2024-01-03,298.08,299.0,292.38,295.35,323,23,0
2024-01-04,289.48,297.4,289.48,291.71,577,24,0
2024-01-05,286.05,296.24,286.05,295.1,287,26,0
2024-01-08,294.97,303.82,294.97,303.81,399,18,0
2024-01-09,296.36,305.97,295.38,300.1,544,12,0
2024-01-10,300.19,300.19,285.15,285.88,517,22,0
2024-01-11,285.15,285.15,276.0,284.08,619,16,0
2024-01-12,285.23,286.88,281.28,286.16,419,13,0
2024-01-16,281.0,286.76,277.25,286.76,284,10,0
2024-01-17,281.97,288.21,280.0,283.46,374,30,0
2024-01-18,281.76,290.93,281.76,289.92,437,31,0
2024-01-19,292.24,295.59,288.69,294.81,545,14,0
2024-01-22,295.73,301.74,295.73,298.75,429,29,0
2024-01-23,297.37,298.65,293.4,298.32,465,21,0
2024-01-24,299.04,300.72,294.14,295.26,307,4,0
2024-01-25,296.55,298.93,293.0,297.35,400,29,0
2024-01-26,298.0,298.97,295.59,296.98,436,15,0
2024-01-29,298.16,302.7,298.16,300.76,318,31,0
2024-01-30,300.46,303.96,298.16,301.0,337,25,0
2024-01-31,298.16,298.7,290.0,290.45,315,31,0
2024-02-01,287.08,295.22,286.35,294.97,696,16,0
2024-02-02,288.45,296.31,288.0,294.74,313,32,0
2024-02-05,290.0,296.85,290.0,295.05,458,13,0
2024-02-06,293.0,302.14,293.0,301.25,298,24,0
2024-02-07,300.6,310.46,300.6,307.6,399,17,0
2024-02-08,305.0,318.39,305.0,317.49,400,10,0
2024-02-09,318.4,330.06,318.3,325.93,480,24,0
2024-02-12,322.88,327.05,320.3,323.03,914,23,0
2024-02-13,321.79,365.96,321.79,362.85,718,24,0
2024-02-14,373.03,395.55,367.8,390.24,779,22,0
2024-02-15,383.88,398.52,383.88,393.46,640,16,0
2024-02-16,390.34,396.88,388.42,389.23,370,26,0
2024-02-20,389.82,390.92,381.22,383.79,348,10,0
2024-02-21,373.46,385.93,373.46,384.09,281,53,0
2024-02-22,387.93,399.82,385.74,392.3,340,30,0
2024-02-23,399.95,402.11,392.55,400.57,322,16,0
2024-02-26,396.5,404.6,396.5,401.65,326,19,0
2024-02-27,403.0,403.81,397.39,402.04,332,25,0
2024-02-28,398.18,407.08,395.58,402.55,405,27,0
2024-02-29,402.6,402.6,390.14,396.85,456,13,0
