time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,144.01,146.9,142.03,145.01,508,4,0
2024-01-03,142.47,142.49,139.03,139.66,658,5,0
2024-01-04,138.62,139.92,137.43,138.42,719,7,0
2024-01-05,136.76,140.05,136.67,137.87,515,10,0
2024-01-08,136.8,139.54,136.58,139.21,655,3,0
2024-01-09,136.97,138.12,136.58,137.55,531,8,0
2024-01-10,136.15,139.31,136.1,139.31,527,6,0
2024-01-11,138.03,141.46,137.4,141.11,563,5,0
2024-01-12,141.62,142.6,139.12,139.45,539,10,0
2024-01-16,137.67,139.67,136.92,138.86,491,6,0
2024-01-17,135.8,137.41,134.4,135.17,443,2,0
2024-01-18,135.15,138.28,134.8,137.71,477,4,0
2024-01-19,137.48,141.6,135.72,141.3,420,5,0
2024-01-22,141.54,143.97,140.67,143.44,647,6,0
2024-01-23,143.47,144.91,141.21,141.98,407,9,0
2024-01-24,141.81,142.5,138.85,139.27,459,7,0
2024-01-25,138.97,141.72,138.96,140.73,772,8,0
2024-01-26,140.13,142.82,139.3,140.91,497,7,0
2024-01-29,139.78,144.82,139.52,144.4,709,3,0
2024-01-30,142.78,145.24,141.54,144.87,554,3,0
2024-01-31,142.97,145.49,140.17,141.03,867,10,0
2024-02-01,141.35,146.04,139.85,145.22,794,9,0
2024-02-02,142.76,143.8,139.87,142.76,640,10,0
2024-02-05,140.0,140.67,137.99,139.76,509,5,0
2024-02-06,138.59,141.61,137.91,141.35,340,7,0
2024-02-07,141.44,143.55,139.21,143.16,482,6,0
2024-02-08,142.58,145.32,141.02,145.02,526,4,0
2024-02-09,144.77,146.23,143.58,145.26,428,6,0
2024-02-12,145.49,148.73,144.47,148.35,672,7,0
2024-02-13,143.0,144.37,140.7,142.44,915,7,0
2024-02-14,142.86,144.9,141.98,143.96,647,2,0
2024-02-15,145.12,146.04,143.65,144.39,668,5,0
2024-02-16,142.97,146.33,142.74,144.44,774,3,0
2024-02-20,142.99,148.18,140.0,148.18,780,3,0
