time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,1425.34,1434.81,1425.0,1434.25,333,71,0
2024-01-03,1429.31,1434.79,1413.02,1421.5,250,62,0
2024-01-04,1428.52,1450.82,1428.52,1428.52,229,105,0
2024-01-05,1428.52,1445.92,1428.52,1431.1,209,90,0
2024-01-08,1410.0,1421.16,1404.6,1411.79,265,96,0
2024-01-09,1414.32,1414.32,1400.0,1414.02,220,92,0
2024-01-10,1402.86,1414.55,1402.04,1404.11,194,100,0
2024-01-11,1403.0,1419.51,1395.4,1411.73,297,47,0
2024-01-12,1406.11,1430.72,1406.11,1423.88,129,100,0
2024-01-16,1426.97,1435.35,1405.78,1427.63,229,99,0
2024-01-17,1401.12,1437.8,1401.12,1421.81,217,90,0
2024-01-18,1410.42,1433.01,1410.42,1427.29,206,92,0
2024-01-19,1428.79,1448.81,1428.79,1444.13,271,69,0
2024-01-22,1435.32,1464.29,1435.32,1458.98,196,130,0
2024-01-23,1454.0,1465.0,1452.0,1453.98,213,53,0
2024-01-24,1458.0,1474.08,1458.0,1463.16,197,91,0
2024-01-25,1468.98,1482.3,1450.8,1466.2,218,71,0
2024-01-26,1441.28,1477.74,1441.28,1471.33,131,70,0
2024-01-29,1468.0,1492.15,1468.0,1491.6,321,47,0
2024-01-30,1475.0,1505.01,1475.0,1501.45,291,73,0
2024-01-31,1499.01,1515.36,1496.9,1501.08,184,76,0
2024-02-01,1375.0,1409.71,1341.0,1390.5,881,1,0
2024-02-02,1407.95,1424.35,1396.0,1407.94,482,39,0
2024-02-05,1412.0,1426.12,1412.0,1414.96,456,37,0
2024-02-06,1425.73,1431.33,1402.5,1402.59,342,49,0
2024-02-07,1410.0,1455.55,1410.0,1442.27,315,57,0
2024-02-08,1438.1,1438.71,1407.0,1408.43,288,40,0
2024-02-09,1405.11,1433.42,1405.0,1426.84,272,70,0
2024-02-12,1430.0,1450.22,1426.0,1439.8,380,111,0
2024-02-13,1429.53,1448.06,1429.53,1437.74,394,102,0
2024-02-14,1441.29,1467.44,1441.29,1467.44,297,46,0
2024-02-15,1466.02,1487.9,1464.36,1464.36,296,72,0
2024-02-16,1469.01,1482.24,1460.0,1461.01,205,88,0
2024-02-20,1450.0,1470.49,1450.0,1450.0,218,43,0
2024-02-21,1450.0,1463.63,1450.0,1457.77,151,69,0
2024-02-22,1455.0,1478.92,1454.2,1470.11,240,78,0
2024-02-23,1472.0,1482.97,1462.73,1470.2,271,80,0
2024-02-26,1475.78,1488.65,1438.12,1440.97,266,87,0
2024-02-27,1440.92,1463.74,1430.0,1461.34,269,96,0
2024-02-28,1459.03,1490.26,1459.03,1490.26,262,69,0
2024-02-29,1478.18,1494.9,1468.0,1490.24,262,33,0
2024-03-01,1498.19,1506.82,1481.22,1490.54,339,51,0
2024-03-04,1491.05,1499.05,1479.49,1479.49,248,57,0
2024-03-05,1485.21,1492.44,1465.41,1476.23,357,66,0
2024-03-06,1480.0,1510.43,1475.95,1504.1,263,77,0
2024-03-07,1498.28,1503.72,1490.0,1498.54,224,77,0
2024-03-08,1495.31,1507.04,1491.71,1495.81,178,65,0
2024-03-11,1492.6,1503.74,1490.0,1496.0,128,107,0
2024-03-12,1497.68,1506.26,1491.28,1493.12,148,51,0
2024-03-13,1495.94,1506.25,1490.0,1496.8,209,95,0
2024-03-14,1496.41,1512.77,1495.0,1500.85,283,95,0
2024-03-15,1495.75,1521.16,1493.63,1516.4,238,79,0
2024-03-18,1520.0,1523.35,1505.0,1505.78,186,74,0
2024-03-19,1505.0,1519.86,1505.0,1507.05,288,56,0
2024-03-20,1511.58,1517.99,1509.0,1509.0,217,63,0
2024-03-21,1512.58,1528.27,1509.0,1518.5,262,56,0
2024-03-22,1520.66,1525.1,1513.38,1513.38,149,46,0
2024-03-25,1512.74,1529.46,1505.16,1505.16,127,68,0
2024-03-26,1513.67,1516.58,1485.0,1489.72,255,64,0
2024-03-27,1492.45,1525.44,1492.21,1520.74,167,63,0
2024-03-28,1500.0,1531.04,1500.0,1513.81,200,61,0
2024-04-01,1518.31,1518.31,1495.0,1503.22,188,109,0
2024-04-02,1499.74,1511.0,1497.0,1498.92,171,81,0
2024-04-03,1497.76,1510.01,1487.94,1493.08,142,59,0
2024-04-04,1503.84,1510.64,1484.3,1484.48,151,124,0
2024-04-05,1484.64,1518.24,1484.63,1507.47,225,104,0
2024-04-08,1510.81,1521.04,1500.88,1504.83,125,106,0
2024-04-09,1480.62,1497.27,1480.0,1491.0,223,71,0
2024-04-10,1479.31,1501.09,1479.31,1488.64,191,87,0
2024-04-11,1480.0,1482.96,1440.0,1441.02,439,35,0
2024-04-12,1438.42,1450.0,1425.0,1427.37,271,85,0
2024-04-15,1435.88,1447.73,1424.0,1426.29,257,101,0
2024-04-16,1428.6,1431.0,1420.0,1425.43,186,82,0
2024-04-17,1413.88,1430.0,1412.65,1425.86,170,52,0
2024-04-18,1435.59,1439.01,1427.25,1429.02,159,53,0
2024-04-19,1436.01,1455.43,1436.0,1450.55,288,62,0
2024-04-22,1460.01,1479.99,1445.33,1473.41,211,60,0
2024-04-23,1455.08,1483.04,1455.08,1475.62,194,81,0
2024-04-24,1471.22,1476.0,1445.0,1460.34,214,54,0
2024-04-25,1449.28,1463.54,1440.0,1445.82,191,84,0
2024-04-26,1440.0,1448.38,1432.0,1434.99,186,49,0
2024-04-29,1431.94,1458.69,1428.0,1446.88,186,120,0
2024-04-30,1447.0,1462.4,1440.52,1458.0,176,109,0
2024-05-01,1454.98,1483.12,1454.98,1472.03,359,127,0
2024-05-02,1489.02,1571.66,1486.0,1569.91,398,100,0
2024-05-03,1557.26,1585.79,1530.31,1577.03,309,58,0
2024-05-06,1583.11,1614.13,1576.71,1591.05,505,21,0
2024-05-07,1593.0,1617.12,1582.33,1608.25,272,64,0
2024-05-08,1610.7,1618.88,1600.0,1614.32,345,74,0
2024-05-09,1603.67,1636.25,1603.67,1634.37,134,51,0
2024-05-10,1637.0,1652.19,1637.0,1650.8,204,78,0
2024-05-13,1647.58,1659.6,1626.75,1633.42,149,106,0
2024-05-14,1627.07,1648.93,1620.99,1640.63,207,84,0
2024-05-15,1621.76,1645.77,1621.76,1629.85,129,117,0
2024-05-16,1640.45,1662.59,1635.58,1649.39,146,57,0
2024-05-17,1662.18,1666.98,1646.99,1659.71,137,153,0
2024-05-20,1640.78,1646.98,1625.0,1639.05,251,47,0
2024-05-21,1626.1,1647.38,1626.1,1634.85,309,63,0
2024-05-22,1634.98,1656.63,1634.98,1644.24,148,68,0
2024-05-23,1633.56,1642.42,1608.22,1610.19,329,59,0
2024-05-24,1600.0,1623.51,1588.0,1619.07,258,75,0
2024-05-28,1612.82,1612.82,1600.0,1604.03,208,60,0
2024-05-29,1592.62,1608.0,1592.0,1597.55,254,41,0
2024-05-30,1592.32,1626.69,1590.05,1622.6,158,89,0
2024-05-31,1622.52,1643.33,1615.02,1640.04,276,113,0
2024-06-03,1633.35,1640.0,1612.32,1631.25,266,55,0
2024-06-04,1616.21,1622.24,1592.97,1598.82,188,105,0
2024-06-05,1605.43,1605.43,1583.48,1595.44,131,64,0
2024-06-06,1587.0,1606.08,1587.0,1596.04,209,56,0
2024-06-07,1600.65,1610.24,1593.7,1596.34,282,58,0
2024-06-10,1587.0,1590.23,1574.49,1574.49,187,37,0
2024-06-11,1565.43,1565.43,1546.0,1555.63,181,64,0
2024-06-12,1550.0,1567.21,1533.31,1555.04,225,107,0
2024-06-13,1544.38,1556.92,1544.38,1548.0,199,102,0
2024-06-14,1540.02,1546.06,1534.48,1541.06,194,92,0
