time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,149.03,152.38,149.0,152.23,5900,1,0
2024-01-03,152.05,159.97,152.01,157.69,9457,1,0
2024-01-04,158.01,162.25,152.85,153.4,7587,1,0
2024-01-05,155.34,155.78,151.5,152.57,6518,1,0
2024-01-08,150.19,156.24,148.4,156.1,6639,1,0
2024-01-09,155.55,155.96,153.75,154.3,5786,1,0
2024-01-10,154.0,155.87,151.94,152.77,4627,1,0
2024-01-11,153.34,155.81,153.26,155.37,6094,1,0
2024-01-12,157.44,158.73,156.45,157.14,4325,1,0
2024-01-16,158.92,159.91,153.93,154.11,6135,1,0
2024-01-17,152.14,154.73,151.37,151.8,5320,1,0
2024-01-18,151.05,152.33,148.75,151.8,4947,1,0
2024-01-19,152.0,153.01,151.61,152.63,4652,1,0
2024-01-22,152.0,154.49,151.51,154.13,5811,1,0
2024-01-23,154.12,154.74,152.44,153.73,5715,1,0
2024-01-24,154.39,155.51,153.98,155.01,7436,1,0
2024-01-25,156.01,157.93,154.85,157.07,8286,1,0
2024-01-26,156.31,160.78,156.25,160.33,8000,1,0
2024-01-29,160.51,160.69,158.43,160.09,6540,1,0
2024-01-30,160.4,170.15,158.22,169.67,7402,1,0
2024-01-31,169.79,171.14,163.6,165.55,5810,2,0
2024-02-01,167.26,169.16,163.24,167.12,6151,1,0
2024-02-02,166.85,168.38,164.18,166.41,5350,1,0
2024-02-05,165.83,171.54,164.3,171.25,5228,1,0
2024-02-06,170.0,171.77,166.29,166.48,3678,1,0
2024-02-07,167.16,169.87,167.01,169.31,4158,1,0
2024-02-08,168.56,171.18,168.56,169.52,3904,1,0
2024-02-09,170.06,170.52,168.7,169.75,3913,1,0
2024-02-12,170.51,171.43,168.61,168.83,4245,1,0
2024-02-13,168.69,170.8,166.68,169.75,5104,1,0
2024-02-14,170.26,171.42,167.14,169.48,4823,1,0
2024-02-15,169.2,172.47,169.2,171.07,4511,1,0
2024-02-16,171.07,172.1,169.87,170.04,4087,1,0
2024-02-20,167.17,168.46,163.6,164.18,4634,1,0
2024-02-21,164.29,166.29,164.0,166.03,4839,1,0
2024-02-22,163.68,167.95,163.5,167.61,4815,1,0
2024-02-23,166.54,170.41,166.08,169.82,3555,1,0
2024-02-26,169.0,175.24,169.0,172.24,4080,2,0
