time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,190.16,190.28,188.28,189.84,2535,0,0
2024-01-03,190.21,191.78,189.4,190.91,2799,0,0
2024-01-04,191.9,193.4,191.0,191.14,1994,0,0
2024-01-05,191.31,192.06,189.03,190.84,2173,0,0
2024-01-08,189.73,191.59,188.48,191.47,2047,0,0
2024-01-09,190.2,191.03,188.05,190.93,2508,0,0
2024-01-10,190.42,192.26,189.95,192.05,2155,0,0
2024-01-11,191.98,193.8,191.79,192.94,2427,0,0
2024-01-12,193.54,196.38,193.0,196.03,2208,0,0
2024-01-16,195.72,197.01,194.72,195.52,3303,0,0
2024-01-17,195.88,198.79,195.38,196.0,2932,0,0
2024-01-18,193.39,198.65,193.39,198.39,3610,0,0
2024-01-19,198.88,200.32,197.68,198.98,3305,0,0
2024-01-22,198.6,199.5,197.71,198.35,2781,0,0
2024-01-23,198.11,199.97,197.97,199.0,4240,0,0
2024-01-24,198.22,199.53,197.46,198.28,4034,0,0
2024-01-25,181.28,192.09,181.28,191.17,5683,0,0
2024-01-26,189.04,193.02,189.0,192.62,3367,0,0
2024-01-29,191.96,192.69,189.88,190.72,3903,0,0
2024-01-30,190.15,193.12,189.85,192.88,3911,0,0
2024-01-31,193.1,195.54,193.1,194.04,3410,0,0
2024-02-01,192.42,193.67,190.34,193.63,3665,0,0
2024-02-02,194.07,195.27,192.94,193.36,4846,0,0
2024-02-05,192.41,193.09,191.8,192.36,4590,0,0
2024-02-06,192.24,194.76,191.7,194.64,3980,0,0
2024-02-07,194.58,196.73,194.3,195.47,3976,0,0
2024-02-08,195.73,196.71,194.44,196.39,3865,0,0
2024-02-09,196.11,197.8,195.74,197.74,3722,0,0
2024-02-12,197.02,197.48,195.73,195.94,4510,0,0
2024-02-13,197.58,197.61,194.69,196.28,4002,0,0
2024-02-14,196.73,197.59,195.17,197.16,3699,0,0
2024-02-15,197.62,201.98,197.55,200.81,4161,0,0
2024-02-16,200.41,201.87,199.9,200.18,2545,0,0
2024-02-20,199.47,201.53,199.21,200.63,2231,0,0
2024-02-21,201.27,201.27,198.66,199.67,2376,0,0
2024-02-22,199.57,204.52,199.53,204.02,1812,0,0
2024-02-23,203.89,204.59,203.14,203.58,2001,0,0
2024-02-26,203.6,204.36,203.03,203.56,1673,0,0
2024-02-27,202.26,203.56,201.33,203.05,1654,0,0
2024-02-28,202.66,206.12,202.66,205.84,2069,0,0
2024-02-29,204.78,204.85,200.4,202.56,2818,0,0
2024-03-01,201.42,202.54,200.58,202.11,2109,0,0
2024-03-04,200.33,201.9,199.15,201.73,1767,0,0
2024-03-05,201.43,202.91,200.76,202.21,1809,0,0
2024-03-06,201.0,203.89,200.1,203.73,1917,0,0
2024-03-07,203.06,204.92,202.81,204.22,1501,0,0
2024-03-08,202.92,205.6,202.05,204.76,1576,0,0
2024-03-11,204.52,206.0,204.11,205.6,1489,0,0
2024-03-12,205.66,207.71,205.6,207.32,1613,0,0
2024-03-13,207.36,207.92,206.0,207.58,1440,0,0
2024-03-14,208.28,208.48,206.61,207.35,1488,0,0
2024-03-15,206.89,209.05,205.31,206.18,1999,0,0
2024-03-18,206.25,207.78,205.24,206.5,1765,0,0
2024-03-19,206.48,207.35,205.61,206.75,1353,0,0
2024-03-20,206.18,207.61,205.06,206.38,1853,0,0
2024-03-21,205.58,207.08,204.06,205.15,1899,0,0
2024-03-22,205.33,206.35,204.17,204.28,1472,0,0
2024-03-25,203.33,203.85,202.28,202.8,1624,0,0
2024-03-26,201.91,204.48,201.91,203.51,1614,0,0
2024-03-27,203.43,205.5,203.43,205.06,1689,0,0
2024-03-28,205.65,206.68,204.0,206.15,1882,0,0
2024-04-01,205.06,205.22,203.43,203.89,1546,0,0
2024-04-02,204.04,205.0,202.72,202.97,2170,0,0
2024-04-03,202.42,204.57,202.03,203.61,2647,0,0
2024-04-04,204.19,205.18,200.26,200.61,2860,0,0
2024-04-05,201.81,206.23,200.75,205.68,2873,0,0
2024-04-08,204.92,205.38,203.51,203.96,2615,0,0
2024-04-09,204.03,204.96,202.42,204.06,2959,0,0
2024-04-10,202.5,203.61,201.0,201.38,3763,0,0
2024-04-11,198.92,201.14,198.74,199.38,3133,0,0
2024-04-12,198.82,199.87,197.04,198.05,4553,0,0
2024-04-15,199.59,199.98,196.82,197.0,6950,0,0
2024-04-16,197.34,198.07,196.19,196.21,5676,0,0
2024-04-17,196.64,197.95,195.92,197.19,5745,0,0
2024-04-18,203.49,205.87,201.39,201.61,4027,0,0
2024-04-19,201.97,202.35,198.76,201.97,4684,0,0
2024-04-22,201.6,203.22,201.05,201.05,2711,0,0
2024-04-23,201.34,201.99,200.42,201.55,2848,0,0
2024-04-24,200.2,201.1,199.26,200.75,3130,0,0
2024-04-25,200.64,201.64,199.05,201.15,3019,0,0
2024-04-26,198.57,200.63,197.49,197.65,3326,0,0
2024-04-29,197.11,198.79,197.0,198.07,2389,0,0
2024-04-30,198.08,199.9,196.98,199.31,3353,0,0
2024-05-01,198.66,201.2,197.87,199.41,3291,0,0
2024-05-02,198.65,199.82,197.92,199.17,3357,0,0
2024-05-03,198.04,199.79,196.42,199.07,2832,0,0
2024-05-06,198.87,201.47,198.55,201.3,2102,0,0
2024-05-07,201.5,203.78,200.88,203.49,2480,0,0
2024-05-08,203.28,204.62,202.38,203.59,2191,0,0
2024-05-09,202.44,204.93,202.28,204.75,2100,0,0
2024-05-10,204.62,206.4,204.44,205.73,2471,0,0
2024-05-13,204.61,206.27,204.61,205.07,1920,0,0
2024-05-14,204.32,205.84,203.89,204.69,2465,0,0
2024-05-15,203.78,206.7,203.75,206.32,2550,0,0
2024-05-16,208.0,209.8,206.9,209.54,2478,0,0
2024-05-17,209.0,209.99,208.08,209.72,2306,0,0
2024-05-20,209.18,210.42,208.65,208.74,1738,0,0
2024-05-21,209.17,210.23,208.73,209.69,1967,0,0
2024-05-22,209.34,211.43,208.6,210.64,2540,0,0
2024-05-23,208.67,210.1,207.56,207.68,2619,0,0
2024-05-24,207.94,208.36,207.2,207.65,2217,0,0
2024-05-28,206.07,206.27,203.64,203.8,2643,0,0
2024-05-29,202.66,203.16,201.93,201.93,2244,0,0
2024-05-30,202.23,205.4,201.63,204.17,2777,0,0
2024-05-31,204.55,207.7,204.55,207.13,3477,0,0
2024-06-03,207.46,208.01,204.85,206.25,1199,0,0
2024-06-04,205.95,208.61,205.3,208.47,2435,0,0
2024-06-05,207.55,208.61,206.0,208.11,2055,0,0
2024-06-06,207.93,208.98,207.06,208.1,2880,0,0
2024-06-07,209.27,210.71,209.1,209.95,2363,0,0
2024-06-10,209.66,209.66,206.97,209.27,2285,0,0
