time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,136.53,140.22,135.0,138.71,1433,1,0
2024-01-03,136.5,137.53,134.0,134.57,1170,2,0
2024-01-04,134.05,137.15,134.05,136.13,1138,2,0
2024-01-05,134.96,139.27,134.96,137.64,1062,4,0
2024-01-08,136.82,138.02,135.75,137.97,1152,3,0
2024-01-09,135.8,137.45,135.8,136.41,1158,2,0
2024-01-10,135.0,137.33,135.0,136.47,1445,2,0
2024-01-11,135.0,135.38,133.0,135.33,994,2,0
2024-01-12,135.0,135.66,131.5,132.89,1078,2,0
2024-01-16,131.0,132.79,129.2,131.15,1754,1,0
2024-01-17,129.0,131.95,128.24,130.54,1332,2,0
2024-01-18,132.5,133.01,128.0,132.68,1628,0,0
2024-01-19,132.25,140.26,130.88,139.25,1775,2,0
2024-01-22,139.58,142.02,139.58,141.85,1397,1,0
2024-01-23,142.0,143.62,140.5,141.6,1332,1,0
2024-01-24,140.8,143.44,140.48,142.63,1483,2,0
2024-01-25,142.58,143.69,140.0,142.07,1598,1,0
2024-01-26,141.63,143.26,140.73,141.34,1162,2,0
2024-01-29,140.55,142.75,140.0,142.63,1047,2,0
2024-01-30,142.22,144.32,141.74,143.5,913,2,0
2024-01-31,137.77,141.86,137.0,137.93,1395,2,0
2024-02-01,136.0,136.52,128.29,131.66,2201,1,0
2024-02-02,129.3,134.44,128.76,133.39,1773,2,0
2024-02-05,132.25,134.13,130.95,133.02,1525,2,0
2024-02-06,132.5,134.31,130.54,132.15,1609,2,0
2024-02-07,131.99,132.5,128.01,130.3,1320,1,0
2024-02-08,129.41,132.26,129.25,131.48,1225,3,0
2024-02-09,130.42,133.4,129.8,133.09,1411,1,0
2024-02-12,133.19,138.24,132.28,136.65,1445,1,0
2024-02-13,133.69,135.15,130.75,132.62,1572,2,0
2024-02-14,134.15,136.58,133.62,135.75,1657,2,0
2024-02-15,136.87,139.63,136.41,137.65,1650,2,0
2024-02-16,135.71,138.48,135.55,137.96,1183,2,0
2024-02-20,136.0,138.29,136.0,137.24,1368,2,0
2024-02-21,135.0,137.65,135.0,136.99,1270,3,0
2024-02-22,136.55,139.42,135.72,137.92,1471,1,0
2024-02-23,137.05,138.47,136.0,138.11,1163,2,0
2024-02-26,137.01,138.97,135.0,135.55,1191,1,0
2024-02-27,136.79,139.02,136.0,138.45,1443,1,0
2024-02-28,137.77,138.82,137.49,138.15,1093,1,0
2024-02-29,139.47,140.34,137.58,139.29,1417,1,0
