time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,83.84,84.06,81.73,82.31,16217,1,0
2024-01-03,81.02,82.58,80.65,82.17,17341,1,0
2024-01-04,83.83,84.21,82.6,82.7,15628,1,0
2024-01-05,81.75,83.38,81.0,83.31,19221,1,0
2024-01-08,84.1,85.5,84.1,84.88,14141,0,0
2024-01-09,83.3,84.18,82.9,83.32,14426,1,0
2024-01-10,82.89,82.94,81.65,82.35,15353,1,0
2024-01-11,82.98,83.39,81.8,83.39,23256,1,0
2024-01-12,82.5,83.04,81.7,82.38,16021,1,0
2024-01-16,82.5,85.21,82.41,84.58,18078,1,0
2024-01-17,83.63,83.86,82.61,83.29,20169,1,0
2024-01-18,85.58,85.78,84.03,84.84,17272,1,0
2024-01-19,86.05,87.77,85.61,87.45,16316,1,0
2024-01-22,89.21,89.93,88.0,89.23,14640,1,0
2024-01-23,88.71,88.77,86.87,87.53,10691,1,0
2024-01-24,87.98,88.32,86.6,88.04,17586,1,0
2024-01-25,89.2,90.03,88.47,89.12,19160,1,0
2024-01-26,87.11,88.49,86.33,88.0,17922,1,0
2024-01-29,88.84,89.56,88.01,89.03,10079,1,0
2024-01-30,88.13,88.76,85.75,86.18,11763,1,0
2024-01-31,85.05,86.9,84.8,85.76,19639,1,0
2024-02-01,85.96,86.18,84.61,85.63,16625,1,0
2024-02-02,85.19,86.59,85.01,86.46,16652,1,0
2024-02-05,86.55,87.21,85.6,86.99,13568,1,0
2024-02-06,86.95,87.15,83.72,84.52,14169,1,0
2024-02-07,83.79,85.27,82.45,85.13,13166,1,0
2024-02-08,85.06,86.02,84.51,84.9,13446,1,0
2024-02-09,84.08,85.6,83.93,85.56,12630,1,0
2024-02-12,85.67,86.9,85.53,85.71,15584,1,0
2024-02-13,82.35,82.93,80.76,81.46,20226,1,0
2024-02-14,82.19,83.16,81.49,81.78,15251,1,0
2024-02-15,82.51,82.7,81.5,81.61,17691,1,0
2024-02-16,80.77,81.33,79.25,79.51,16821,0,0
2024-02-20,79.9,80.76,79.13,80.71,20461,1,0
2024-02-21,81.18,81.42,79.92,81.42,18331,1,0
2024-02-22,84.6,86.3,83.88,85.92,18011,1,0
2024-02-23,86.77,86.77,85.04,86.17,16761,1,0
2024-02-26,90.01,92.33,88.92,89.47,16349,1,0
2024-02-27,91.69,92.73,90.48,91.9,14609,1,0
2024-02-28,90.58,90.61,89.3,89.71,11488,1,0
2024-02-29,90.0,90.76,88.82,90.65,12343,1,0
2024-03-01,93.25,96.05,93.03,95.14,15857,1,0
2024-03-04,95.12,97.36,94.59,95.9,13164,1,0
2024-03-05,94.56,95.36,93.27,94.48,16885,1,0
2024-03-06,94.88,96.42,94.55,95.62,17511,1,0
2024-03-07,97.67,99.68,97.45,99.02,16236,1,0
2024-03-08,99.86,101.82,97.31,97.75,25928,1,0
2024-03-11,95.93,96.43,93.52,94.5,17828,1,0
2024-03-12,94.92,97.48,93.62,97.42,17446,1,0
2024-03-13,94.64,95.1,93.1,94.16,16922,1,0
2024-03-14,92.8,93.42,90.29,91.36,16334,1,0
2024-03-15,92.69,94.68,92.01,93.23,16965,1,0
2024-03-18,96.05,96.12,93.69,93.69,14872,1,0
2024-03-19,92.85,94.15,91.03,94.07,15232,1,0
