time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,257.43,262.66,257.09,258.23,603,14,0
2024-01-03,254.53,255.79,250.66,251.14,747,11,0
2024-01-04,249.64,254.01,249.08,251.04,494,14,0
2024-01-05,248.89,251.27,247.5,249.27,524,20,0
2024-01-08,249.75,252.51,247.5,252.41,724,13,0
2024-01-09,248.43,251.01,247.5,249.84,590,9,0
2024-01-10,249.42,250.5,247.5,250.02,692,10,0
2024-01-11,248.92,250.73,247.5,250.44,720,8,0
2024-01-12,251.14,252.04,248.84,251.0,464,13,0
2024-01-16,247.5,250.87,247.5,250.34,511,10,0
2024-01-17,247.5,250.64,247.5,249.47,515,9,0
2024-01-18,248.44,252.87,248.44,251.19,612,4,0
2024-01-19,250.0,253.91,248.54,253.23,714,4,0
2024-01-22,252.81,254.22,252.0,253.35,406,7,0
2024-01-23,253.45,254.46,250.97,253.7,474,10,0
2024-01-24,254.13,254.42,249.77,250.51,755,14,0
2024-01-25,251.51,254.71,251.27,253.67,722,5,0
2024-01-26,251.75,254.55,250.26,251.6,472,14,0
2024-01-29,250.31,254.75,250.31,254.36,714,8,0
2024-01-30,252.35,257.24,250.32,256.63,653,4,0
2024-01-31,254.88,256.58,250.5,251.07,765,10,0
2024-02-01,252.32,257.84,250.0,256.93,780,7,0
2024-02-02,254.2,258.21,252.65,256.67,694,8,0
2024-02-05,252.3,254.29,250.0,252.1,569,14,0
2024-02-06,250.99,253.7,250.2,253.09,630,12,0
2024-02-07,254.34,256.38,252.07,255.22,550,10,0
2024-02-08,254.68,262.52,253.9,261.46,504,1,0
2024-02-09,259.7,263.73,257.38,263.55,605,13,0
2024-02-12,262.77,266.22,262.77,264.24,464,5,0
2024-02-13,258.51,263.12,257.67,259.73,579,3,0
2024-02-14,259.74,263.48,258.55,262.89,487,13,0
2024-02-15,264.04,265.71,261.97,265.09,477,10,0
2024-02-16,262.82,267.04,259.66,263.81,580,8,0
2024-02-20,261.56,264.48,260.53,263.88,542,3,0
2024-02-21,262.2,264.87,260.05,261.57,796,8,0
2024-02-22,259.25,275.34,259.25,273.59,901,7,0
2024-02-23,272.91,274.5,270.67,272.78,831,7,0
2024-02-26,267.84,272.67,267.84,270.46,470,10,0
2024-02-27,269.37,269.87,264.53,267.52,593,9,0
2024-02-28,265.99,268.81,264.55,266.94,501,10,0
2024-02-29,267.83,269.36,264.0,264.13,556,4,0
2024-03-01,264.09,266.05,263.28,265.24,513,7,0
2024-03-04,266.29,268.06,263.96,264.63,478,4,0
2024-03-05,264.0,264.53,260.37,261.07,484,10,0
2024-03-06,261.55,265.82,259.34,264.08,368,7,0
2024-03-07,264.75,268.07,264.75,267.19,383,13,0
2024-03-08,265.81,267.6,262.63,264.06,337,22,0
2024-03-11,264.65,264.65,260.5,262.88,502,15,0
