time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,60.33,62.14,60.18,61.53,10956,1,0
2024-01-03,61.34,62.11,60.45,61.98,13220,1,0
2024-01-04,61.95,62.75,61.72,61.73,12933,1,0
2024-01-05,61.48,62.55,61.25,62.09,13135,1,0
2024-01-08,61.75,63.05,61.55,62.98,9569,1,0
2024-01-09,62.88,63.02,61.88,61.96,10401,1,0
2024-01-10,61.99,62.71,61.91,62.32,8743,1,0
2024-01-11,61.88,62.19,60.59,60.74,15048,1,0
2024-01-12,61.31,61.65,60.91,61.06,10106,1,0
2024-01-16,61.12,61.17,60.2,60.29,11176,1,0
2024-01-17,59.71,60.0,57.8,58.3,10834,1,0
2024-01-18,58.01,58.06,57.22,57.71,11509,0,0
2024-01-19,57.5,57.74,56.57,57.22,9216,1,0
2024-01-22,57.27,57.78,56.65,56.89,9939,1,0
2024-01-23,57.07,57.5,56.89,57.22,8513,1,0
2024-01-24,58.0,58.41,56.75,56.94,10602,1,0
2024-01-25,58.19,59.26,57.05,57.85,11114,1,0
2024-01-26,58.31,59.01,58.2,58.44,8891,1,0
2024-01-29,58.28,59.78,58.2,59.48,9816,1,0
2024-01-30,59.37,59.74,58.56,59.26,7977,1,0
2024-01-31,59.71,59.96,58.39,58.67,13141,1,0
2024-02-01,58.14,59.82,58.0,59.74,12059,1,0
2024-02-02,58.96,59.0,57.97,58.21,15585,1,0
2024-02-05,57.31,57.31,56.01,56.02,10290,1,0
2024-02-06,55.68,56.57,55.5,56.21,10274,1,0
2024-02-07,56.32,56.66,55.62,56.33,13081,1,0
2024-02-08,56.15,56.35,55.38,56.26,10046,1,0
2024-02-09,55.95,56.59,55.72,56.53,9794,0,0
2024-02-12,56.62,57.62,56.5,57.43,10958,1,0
2024-02-13,56.87,56.9,54.66,55.27,12683,1,0
2024-02-14,55.41,56.02,55.09,55.95,12674,1,0
2024-02-15,56.77,57.64,56.51,57.25,12410,1,0
2024-02-16,56.64,57.41,56.4,56.93,11725,1,0
2024-02-20,56.72,57.3,56.03,56.58,12901,1,0
2024-02-21,56.81,57.33,56.63,57.1,10206,1,0
2024-02-22,56.59,57.06,56.31,56.62,11040,1,0
2024-02-23,56.78,57.46,56.51,56.78,9392,1,0
2024-02-26,55.58,55.83,54.86,55.19,8638,1,0
2024-02-27,55.27,55.98,54.78,55.57,10325,1,0
2024-02-28,55.37,55.71,54.7,55.09,8476,1,0
2024-02-29,55.31,55.85,54.96,55.25,7954,1,0
2024-03-01,54.85,55.61,54.28,55.25,9494,1,0
2024-03-04,54.84,55.05,53.95,54.94,8923,1,0
2024-03-05,54.96,56.5,54.94,55.41,12624,1,0
2024-03-06,56.11,56.88,55.26,55.52,11067,1,0
2024-03-07,55.83,56.46,55.52,56.24,8053,1,0
2024-03-08,56.56,58.15,56.31,57.78,10917,1,0
2024-03-11,57.72,58.11,56.89,57.82,7977,1,0
2024-03-12,57.76,57.99,56.55,57.21,6949,1,0
2024-03-13,59.89,60.12,59.14,59.59,10072,1,0
2024-03-14,59.62,60.09,59.1,59.53,11327,1,0
2024-03-15,59.91,60.12,58.86,60.1,9290,1,0
2024-03-18,60.08,61.13,59.4,59.98,9279,1,0
2024-03-19,60.23,61.37,60.18,61.32,8523,1,0
2024-03-20,61.45,62.4,61.37,62.05,9306,1,0
2024-03-21,62.3,63.38,61.28,61.4,7736,1,0
2024-03-22,62.0,62.29,61.71,61.82,6259,1,0
2024-03-25,61.91,62.49,61.4,62.49,6836,1,0
2024-03-26,62.54,62.87,61.3,61.6,7726,1,0
2024-03-27,62.3,63.85,62.02,63.74,7407,0,0
2024-03-28,63.89,64.25,63.4,63.98,6865,1,0
2024-04-01,63.69,63.69,62.75,63.41,6736,1,0
2024-04-02,63.07,63.23,62.35,62.89,7878,1,0
2024-04-03,62.51,62.98,61.83,62.59,7525,0,0
2024-04-04,63.13,63.97,62.93,63.8,9014,1,0
2024-04-05,63.37,64.34,62.88,64.22,10010,1,0
2024-04-08,63.9,64.91,63.9,64.87,6522,1,0
2024-04-09,65.36,65.85,64.79,65.35,7378,1,0
2024-04-10,63.55,64.23,63.0,64.02,10321,0,0
2024-04-11,64.72,64.74,63.31,64.03,6460,1,0
2024-04-12,63.95,64.3,62.94,63.1,8168,0,0
2024-04-15,63.79,64.29,62.3,62.72,10693,1,0
2024-04-16,62.23,62.5,61.3,61.66,9295,1,0
2024-04-17,62.0,63.87,61.9,63.84,9156,1,0
2024-04-18,63.84,64.38,63.12,63.98,8541,1,0
2024-04-19,63.99,64.88,63.63,64.27,8953,1,0
2024-04-22,64.39,65.48,63.91,65.16,8082,1,0
2024-04-23,65.11,67.13,65.11,65.97,7694,1,0
2024-04-24,65.34,67.09,65.17,66.69,7841,1,0
2024-04-25,66.6,67.11,65.5,66.85,8443,1,0
2024-04-26,67.17,67.2,65.73,66.05,7662,1,0
2024-04-29,67.0,67.9,67.0,67.37,7423,1,0
2024-04-30,66.6,67.48,66.25,67.09,8283,1,0
2024-05-01,67.13,68.84,66.84,68.58,11093,1,0
2024-05-02,68.88,68.95,67.67,68.62,9049,1,0
2024-05-03,69.47,70.16,69.27,70.11,10483,1,0
2024-05-06,70.58,71.29,70.3,71.22,8068,1,0
2024-05-07,71.44,72.03,71.3,71.99,8735,1,0
2024-05-08,71.61,72.86,71.42,72.86,7137,1,0
2024-05-09,72.64,74.57,72.5,74.54,6649,1,0
2024-05-10,74.95,75.19,73.64,73.8,9292,1,0
2024-05-13,74.14,74.66,73.56,74.5,5725,1,0
2024-05-14,75.11,75.6,74.66,75.56,5340,1,0
2024-05-15,76.12,77.18,76.03,77.15,7403,1,0
2024-05-16,77.37,77.37,76.04,76.39,6742,1,0
2024-05-17,75.51,76.54,75.51,76.04,5175,1,0
2024-05-20,75.88,76.18,75.55,75.94,4178,1,0
2024-05-21,75.61,76.81,75.52,76.78,4571,1,0
2024-05-22,76.27,77.17,76.15,76.28,5205,1,0
2024-05-23,75.58,75.83,74.6,75.33,5933,1,0
2024-05-24,75.14,77.09,75.14,76.53,5439,1,0
2024-05-28,76.6,78.24,76.31,77.51,6246,1,0
2024-05-29,76.64,76.89,76.15,76.73,4925,1,0
2024-05-30,76.85,78.21,76.59,78.21,5743,1,0
2024-05-31,78.13,79.98,78.13,79.98,6624,1,0
2024-06-03,79.11,79.62,77.5,77.66,6700,1,0
2024-06-04,77.15,77.67,76.52,77.18,7556,1,0
2024-06-05,77.2,77.2,76.59,77.06,4763,1,0
2024-06-06,76.85,77.76,76.61,76.65,6496,1,0
2024-06-07,75.42,76.98,75.37,75.38,5881,1,0
2024-06-10,75.15,76.99,74.85,76.97,6542,1,0
2024-06-11,74.21,75.14,71.55,72.71,7635,1,0
2024-06-12,73.21,73.25,71.4,72.29,9386,1,0
2024-06-13,72.58,73.71,72.55,73.25,7898,1,0
2024-06-14,72.45,73.53,72.36,73.0,5466,1,0
2024-06-17,72.33,73.39,72.16,72.44,6586,1,0
2024-06-18,69.49,70.58,68.97,70.5,7337,1,0
2024-06-20,71.03,72.88,70.9,72.53,7356,1,0
2024-06-21,73.25,73.62,72.06,72.76,7360,1,0
2024-06-24,72.36,74.25,72.24,73.89,8341,1,0
2024-06-25,73.51,73.56,72.38,73.02,6873,1,0
2024-06-26,72.03,73.6,71.9,73.48,7751,1,0
2024-06-27,73.27,74.38,73.27,73.71,6510,1,0
2024-06-28,72.91,73.23,69.86,70.68,8802,1,0
2024-07-01,71.33,71.44,69.53,69.86,6385,1,0
2024-07-02,69.73,70.59,69.37,70.5,6757,1,0
2024-07-03,70.55,71.89,70.53,71.75,4818,1,0
2024-07-05,71.75,72.34,71.63,72.17,5537,1,0
2024-07-08,72.08,72.57,71.72,72.1,4754,1,0
2024-07-09,72.21,72.98,71.67,72.05,7251,1,0
2024-07-10,72.0,73.12,71.68,72.91,6236,1,0
2024-07-11,73.62,75.16,73.5,74.69,9037,1,0
2024-07-12,74.8,76.7,74.77,75.99,5752,1,0
2024-07-15,73.33,73.7,70.76,70.88,8505,1,0
2024-07-16,71.63,72.28,70.84,71.94,6716,1,0
2024-07-17,71.37,72.22,70.48,70.85,8460,1,0
2024-07-18,70.96,72.34,70.82,71.64,8808,1,0
2024-07-19,71.67,72.35,71.42,71.96,7439,1,0
2024-07-22,73.18,74.12,72.76,72.92,9072,1,0
2024-07-23,72.26,73.0,71.9,72.04,8621,1,0
2024-07-24,73.13,75.73,72.22,75.34,8170,1,0
2024-07-25,75.18,75.65,73.29,73.57,9423,1,0
2024-07-26,74.0,74.98,73.51,74.23,7158,1,0
2024-07-29,74.0,74.55,73.54,74.28,6655,1,0
2024-07-30,74.05,74.32,73.2,74.28,6991,1,0
2024-07-31,75.1,76.87,74.85,76.43,8530,1,0
2024-08-01,76.11,78.38,75.87,78.29,9288,1,0
2024-08-02,80.28,80.53,77.81,79.26,11128,1,0
2024-08-05,78.25,78.43,76.46,76.75,12589,1,0
2024-08-06,76.94,78.38,76.65,77.09,7261,1,0
2024-08-07,77.28,78.74,77.25,77.63,6312,1,0
2024-08-08,76.64,78.21,76.6,77.41,7947,1,0
2024-08-09,76.85,78.01,76.34,77.47,5657,1,0
2024-08-12,77.3,77.54,76.88,77.46,7701,1,0
2024-08-13,78.1,78.27,77.52,78.19,4769,1,0
2024-08-14,77.41,78.56,77.07,78.03,3315,1,0
2024-08-15,77.46,77.69,77.1,77.32,3513,1,0
2024-08-16,77.41,78.78,77.25,78.55,3459,1,0
2024-08-19,78.67,79.55,78.67,79.27,2709,1,0
2024-08-20,79.4,79.76,78.98,79.02,3555,1,0
2024-08-21,79.29,79.98,79.1,79.67,4879,1,0
2024-08-22,79.47,79.91,78.45,78.82,6373,1,0
2024-08-23,79.41,80.31,79.15,79.65,5868,1,0
2024-08-26,80.42,81.06,80.19,80.53,5112,1,0
2024-08-27,80.48,80.62,79.6,79.62,4469,1,0
2024-08-28,79.58,80.13,79.19,79.39,6198,1,0
2024-08-29,79.37,80.16,78.69,79.94,5666,1,0
2024-08-30,79.67,80.73,79.54,80.6,5638,1,0
2024-09-03,80.37,81.17,79.62,79.72,8461,1,0
2024-09-04,80.6,81.52,80.31,81.21,6436,1,0
2024-09-05,81.64,81.64,80.23,80.26,6048,1,0
2024-09-06,80.84,81.12,79.8,80.04,6845,1,0
2024-09-09,79.85,81.18,79.24,81.18,4902,1,0
2024-09-10,81.42,82.37,81.03,82.31,6219,1,0
2024-09-11,82.44,83.56,81.73,83.43,7670,1,0
2024-09-12,83.36,83.94,82.7,83.49,6096,1,0
2024-09-13,83.56,84.72,83.55,84.6,6877,1,0
2024-09-16,85.42,85.53,84.36,84.64,6430,1,0
2024-09-17,84.52,84.99,84.16,84.96,5147,1,0
2024-09-18,83.73,84.95,83.64,84.31,8806,1,0
2024-09-19,83.61,83.64,81.45,82.43,7411,1,0
2024-09-20,82.68,83.74,82.52,82.7,8921,1,0
2024-09-23,83.01,84.93,83.01,84.83,5864,1,0
2024-09-24,84.24,85.26,83.9,84.26,8703,1,0
2024-09-25,84.76,85.19,83.85,84.58,5325,1,0
2024-09-26,84.55,84.57,83.23,83.48,6187,1,0
2024-09-27,83.92,84.83,83.81,84.51,4339,1,0
2024-09-30,84.4,84.6,84.0,84.46,5941,1,0
2024-10-01,84.21,85.74,83.8,85.36,10202,1,0
2024-10-02,84.94,85.58,84.47,85.42,6662,1,0
2024-10-03,85.52,86.09,84.74,85.13,6908,1,0
2024-10-04,83.22,84.07,83.0,83.98,7540,1,0
2024-10-07,82.64,82.97,80.18,80.22,7951,1,0
2024-10-08,80.63,81.79,80.52,80.57,7629,1,0
2024-10-09,79.78,81.09,79.65,80.62,8177,1,0
2024-10-10,81.59,82.54,80.81,81.01,5994,1,0
2024-10-11,80.53,81.83,80.38,81.82,5548,1,0
2024-10-14,81.62,83.16,81.62,82.88,5040,1,0
2024-10-15,83.44,84.04,82.65,82.75,7470,1,0
2024-10-16,82.98,84.62,82.68,84.35,3405,1,0
2024-10-17,84.15,84.61,83.68,83.8,6221,1,0
2024-10-18,83.8,84.39,83.55,84.3,5723,1,0
2024-10-21,84.55,84.93,83.65,83.96,4111,1,0
2024-10-22,83.26,84.2,83.26,83.71,4069,1,0
2024-10-23,84.76,85.72,83.0,84.85,7266,1,0
2024-10-24,83.21,84.54,82.5,82.82,5197,1,0
2024-10-25,82.56,83.13,81.3,81.36,5116,1,0
2024-10-28,81.87,83.8,81.64,82.87,10752,1,0
2024-10-29,80.08,80.68,79.46,79.52,6259,1,0
2024-10-30,79.57,79.82,78.88,79.1,5441,1,0
2024-10-31,78.44,79.84,78.39,79.2,7784,1,0
2024-11-01,78.93,79.13,76.96,77.22,7647,1,0
2024-11-04,77.42,78.7,77.24,78.28,8803,1,0
2024-11-05,77.57,78.78,77.3,78.61,5950,1,0
2024-11-06,72.94,74.97,72.65,74.35,15098,1,0
2024-11-07,73.78,75.07,73.68,74.65,5841,1,0
2024-11-08,75.35,77.17,74.8,76.99,8522,1,0
2024-11-11,76.77,77.0,75.74,75.86,7820,1,0
2024-11-12,75.39,75.39,73.61,74.17,5521,1,0
2024-11-13,74.31,75.01,73.91,74.25,5766,1,0
2024-11-14,73.77,76.17,73.63,75.08,7895,1,0
2024-11-15,75.43,76.69,75.31,76.33,12074,1,0
2024-11-18,76.02,76.62,75.3,76.34,5916,1,0
2024-11-19,76.41,77.3,75.7,77.06,6238,1,0
2024-11-20,77.08,77.43,76.35,76.8,4537,1,0
2024-11-21,76.78,77.5,76.3,77.36,4314,1,0
2024-11-22,76.9,77.52,75.75,75.92,4819,1,0
2024-11-25,76.87,77.06,75.81,76.49,6519,1,0
2024-11-26,76.68,77.76,76.44,77.62,4099,1,0
2024-11-27,77.89,79.36,77.85,78.57,5743,1,0
2024-11-29,78.59,78.98,78.3,78.68,1792,1,0
2024-12-02,78.52,78.52,76.89,76.94,6866,1,0
2024-12-03,77.2,77.49,76.21,76.26,4632,1,0
2024-12-04,75.73,76.0,75.1,75.64,4323,1,0
2024-12-05,75.91,76.54,75.68,76.21,4611,1,0
2024-12-06,76.2,76.44,74.92,75.14,4540,1,0
2024-12-09,75.15,75.52,74.54,74.69,6964,1,0
2024-12-10,73.9,74.39,73.33,74.13,6107,1,0
2024-12-11,73.96,74.52,73.56,74.03,4181,1,0
2024-12-12,73.5,74.06,73.09,73.22,5298,1,0
2024-12-13,73.02,73.73,73.02,73.49,4409,1,0
2024-12-16,73.9,74.16,72.75,72.8,3900,1,0
2024-12-17,72.02,72.58,71.8,72.23,5578,1,0
2024-12-18,71.96,72.52,70.5,70.58,4017,1,0
2024-12-19,70.56,70.98,69.77,69.78,8836,1,0
2024-12-20,69.45,71.96,69.41,71.71,7650,1,0
2024-12-23,71.49,72.52,71.18,72.41,4996,1,0
2024-12-24,72.02,72.88,72.02,72.85,2044,1,0
