time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,41.3,41.72,40.74,40.91,6666,1,0
2024-01-03,39.76,40.24,39.43,40.07,8100,1,0
2024-01-04,39.76,40.11,39.33,40.11,3890,1,0
2024-01-05,40.07,40.87,39.75,40.34,6670,1,0
2024-01-08,39.53,40.48,39.33,40.22,5236,1,0
2024-01-09,39.6,39.62,38.57,38.68,4491,1,0
2024-01-10,38.57,38.66,37.96,37.99,4068,1,0
2024-01-11,38.03,38.08,37.19,37.51,6275,1,0
2024-01-12,38.13,38.5,37.63,37.67,4953,1,0
2024-01-16,36.99,37.01,35.98,36.0,5228,1,0
2024-01-17,34.75,35.21,34.72,34.77,4949,1,0
2024-01-18,34.69,34.81,34.38,34.62,4238,1,0
2024-01-19,34.45,34.69,34.21,34.56,3734,1,0
2024-01-22,34.28,35.12,34.2,35.0,3336,1,0
2024-01-23,35.32,35.42,35.01,35.36,3338,1,0
2024-01-24,36.16,36.16,34.41,34.42,4674,1,0
2024-01-25,34.82,34.93,34.25,34.45,3899,1,0
2024-01-26,34.3,34.6,34.16,34.19,3065,1,0
2024-01-29,34.32,34.61,34.07,34.6,3120,0,0
2024-01-30,34.69,34.79,34.19,34.49,2869,1,0
2024-01-31,34.78,35.42,34.49,34.54,6900,1,0
2024-02-01,34.92,35.6,34.9,35.56,4698,1,0
2024-02-02,34.64,34.74,33.8,34.41,3870,1,0
2024-02-05,33.86,33.91,33.37,33.39,3073,1,0
2024-02-06,33.15,33.73,33.08,33.64,3444,0,0
2024-02-07,33.59,33.76,33.3,33.65,2865,1,0
2024-02-08,33.3,33.58,33.22,33.36,2635,1,0
2024-02-09,33.01,33.15,32.54,32.75,2243,1,0
2024-02-12,32.79,33.68,32.6,33.54,2821,1,0
2024-02-13,32.73,32.85,31.73,32.05,3029,1,0
2024-02-14,31.7,32.14,31.61,32.08,3872,1,0
2024-02-15,32.82,33.39,32.76,33.07,3572,1,0
2024-02-16,32.95,33.62,32.89,33.36,3576,1,0
2024-02-20,33.59,33.73,33.03,33.17,3047,1,0
2024-02-21,32.85,33.47,32.68,33.46,3417,1,0
2024-02-22,32.83,33.16,30.71,30.96,5442,1,0
2024-02-23,30.97,31.47,30.17,31.27,3804,1,0
2024-02-26,30.34,30.51,29.74,30.07,3354,1,0
2024-02-27,29.98,30.19,29.75,29.89,2448,1,0
2024-02-28,29.5,30.05,29.45,29.86,1996,1,0
2024-02-29,30.89,31.47,30.79,31.29,3306,1,0
2024-03-01,31.33,32.33,30.93,31.93,4814,1,0
2024-03-04,31.74,33.62,31.73,33.49,4237,1,0
2024-03-05,34.21,34.29,33.22,33.33,5240,1,0
2024-03-06,33.76,34.27,33.5,33.64,5083,1,0
2024-03-07,33.98,34.22,33.6,33.91,3684,1,0
2024-03-08,34.12,34.34,33.75,33.97,4527,1,0
2024-03-11,34.28,35.45,34.28,35.24,4282,1,0
2024-03-12,34.38,34.46,33.68,33.93,4068,1,0
2024-03-13,34.37,34.62,34.11,34.36,4402,1,0
2024-03-14,33.69,34.56,33.66,34.16,4195,1,0
2024-03-15,33.46,34.04,33.37,33.83,4320,1,0
2024-03-18,33.75,34.64,33.61,34.4,3712,1,0
2024-03-19,34.02,34.14,33.36,33.57,3547,1,0
2024-03-20,33.32,34.68,33.3,34.27,6157,1,0
2024-03-21,35.16,35.52,34.47,34.59,5478,1,0
2024-03-22,34.35,34.52,33.82,33.84,3169,1,0
2024-03-25,34.23,34.74,33.86,33.88,3030,1,0
2024-03-26,34.59,34.65,34.02,34.03,3013,1,0
2024-03-27,34.23,35.23,34.23,35.21,3783,0,0
2024-03-28,35.76,36.35,35.36,35.91,4155,1,0
2024-04-01,36.96,36.96,36.1,36.42,4187,1,0
2024-04-02,36.72,36.99,36.44,36.74,4881,1,0
2024-04-03,36.93,37.41,36.67,37.24,4901,1,0
2024-04-04,37.09,38.19,36.98,37.69,6080,1,0
2024-04-05,37.84,39.92,37.79,39.6,8396,1,0
2024-04-08,40.01,40.11,39.16,39.38,6963,1,0
2024-04-09,40.45,40.75,39.45,39.59,6814,0,0
2024-04-10,38.51,39.26,38.22,39.06,9766,1,0
2024-04-11,39.26,39.36,38.35,39.15,6906,1,0
2024-04-12,40.18,41.29,38.3,38.63,13764,1,0
2024-04-15,38.62,38.8,37.77,38.45,8923,1,0
2024-04-16,37.98,38.43,37.38,38.08,10738,1,0
2024-04-17,38.41,38.98,37.97,38.48,7468,1,0
2024-04-18,39.14,39.17,38.25,38.54,6084,1,0
2024-04-19,38.54,39.2,38.51,39.03,6406,1,0
2024-04-22,37.47,38.28,37.37,37.48,6191,1,0
2024-04-23,36.9,37.8,36.86,37.7,6677,1,0
2024-04-24,37.26,38.74,37.26,38.62,5947,1,0
2024-04-25,40.53,43.9,40.05,43.44,9455,1,0
2024-04-26,43.04,43.18,42.5,42.66,7778,1,0
2024-04-29,42.54,42.91,41.51,42.15,6584,1,0
2024-04-30,41.11,41.58,40.48,40.58,7016,1,0
2024-05-01,40.93,41.76,40.47,40.57,9098,1,0
2024-05-02,40.55,41.35,40.31,41.03,6784,1,0
2024-05-03,41.19,41.28,40.6,40.69,5966,1,0
2024-05-06,41.51,41.69,41.07,41.36,6331,1,0
2024-05-07,41.3,41.71,41.16,41.49,5195,1,0
2024-05-08,41.24,41.81,41.04,41.53,4591,1,0
2024-05-09,41.85,42.95,41.75,42.89,6022,1,0
2024-05-10,43.42,43.51,42.49,42.5,5424,1,0
2024-05-13,42.49,42.83,41.92,42.4,4892,1,0
2024-05-14,43.1,43.17,42.53,42.63,5028,1,0
2024-05-15,42.82,43.41,42.13,43.12,6204,1,0
2024-05-16,42.86,43.3,42.3,42.88,5095,1,0
2024-05-17,43.33,43.95,43.1,43.72,5010,1,0
2024-05-20,44.16,44.58,43.46,44.41,5509,1,0
2024-05-21,43.92,44.33,43.79,44.0,5430,1,0
2024-05-22,43.47,43.73,41.95,42.32,6879,1,0
2024-05-23,41.74,41.96,41.08,41.19,7710,1,0
2024-05-24,41.74,42.07,41.37,41.94,4982,1,0
2024-05-28,42.47,42.61,42.01,42.4,5327,1,0
2024-05-29,41.85,41.99,41.51,41.63,5009,1,0
2024-05-30,41.55,42.2,41.48,41.83,5620,1,0
2024-05-31,41.77,42.23,41.39,41.86,6156,1,0
2024-06-03,41.94,42.1,41.64,41.92,5931,1,0
2024-06-04,40.77,40.86,40.06,40.48,6540,1,0
2024-06-05,40.53,41.08,40.34,41.05,5645,1,0
2024-06-06,40.63,42.54,40.63,42.43,6843,1,0
2024-06-07,40.66,41.22,40.18,40.34,6603,1,0
2024-06-10,40.47,41.25,40.1,41.17,5340,1,0
2024-06-11,40.63,40.78,40.11,40.64,4942,1,0
2024-06-12,41.64,41.64,40.77,40.98,7919,1,0
2024-06-13,40.91,41.14,40.12,40.6,5284,1,0
2024-06-14,40.76,41.05,40.51,40.76,5144,1,0
2024-06-17,40.85,41.16,40.68,40.97,4180,1,0
2024-06-18,41.07,41.94,40.82,41.77,4071,1,0
2024-06-20,41.82,43.08,41.75,42.8,5539,1,0
2024-06-21,42.91,42.91,42.16,42.27,5489,1,0
2024-06-24,42.55,43.1,42.41,42.64,3826,1,0
2024-06-25,42.31,42.55,41.85,41.92,2937,1,0
2024-06-26,41.34,41.71,41.25,41.49,3323,1,0
2024-06-27,41.95,42.16,41.78,41.82,3775,1,0
2024-06-28,42.27,42.34,41.63,41.79,3978,1,0
2024-07-01,42.01,42.53,41.66,41.66,3077,1,0
2024-07-02,41.75,42.28,41.31,41.7,3798,1,0
2024-07-03,42.34,43.66,42.34,43.52,2890,1,0
2024-07-05,43.98,44.65,43.92,44.46,4404,1,0
2024-07-08,44.09,44.34,43.53,44.11,4516,1,0
2024-07-09,44.1,44.32,43.78,43.91,4941,1,0
2024-07-10,45.04,45.82,44.96,45.47,5669,1,0
2024-07-11,46.18,47.2,45.29,47.17,6373,1,0
2024-07-12,46.77,48.0,46.77,47.48,4866,1,0
2024-07-15,47.23,48.14,47.06,47.31,5028,1,0
2024-07-16,47.74,48.6,47.39,48.27,5101,1,0
