time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,48.1,48.38,46.18,46.83,4538,0,0
2024-01-03,46.6,47.48,46.6,46.93,4510,1,0
2024-01-04,47.18,48.05,46.67,47.42,3569,0,0
2024-01-05,47.62,47.95,47.18,47.33,3453,1,0
2024-01-08,47.37,48.52,47.37,48.47,3075,1,0
2024-01-09,47.6,48.49,47.37,48.07,3924,1,0
2024-01-10,48.17,48.64,47.29,47.84,4005,0,0
2024-01-11,49.62,50.28,48.38,49.16,6631,1,0
2024-01-12,49.62,49.78,49.06,49.21,3664,0,0
2024-01-16,49.13,49.37,47.8,48.05,3946,0,0
2024-01-17,48.25,48.45,47.51,47.99,3940,0,0
2024-01-18,48.09,48.56,47.8,48.52,4224,0,0
2024-01-19,48.5,48.5,47.61,48.28,3628,0,0
2024-01-22,48.7,48.96,47.96,48.52,4114,0,0
2024-01-23,48.98,49.35,48.12,49.12,5325,0,0
2024-01-24,53.8,56.23,53.8,54.49,8054,0,0
2024-01-25,55.22,56.22,54.84,56.05,6199,0,0
2024-01-26,56.3,57.95,55.8,56.98,6302,0,0
2024-01-29,56.9,57.83,56.27,57.56,4887,0,0
2024-01-30,56.65,57.07,56.08,56.27,4249,0,0
2024-01-31,56.18,57.19,56.18,56.44,4364,1,0
2024-02-01,56.7,57.22,56.36,56.73,3618,1,0
2024-02-02,56.72,56.74,56.23,56.43,3656,0,0
2024-02-05,56.5,57.52,55.71,56.17,3792,1,0
2024-02-06,56.47,56.47,55.43,55.55,2906,1,0
2024-02-07,55.58,56.75,55.48,55.84,3087,1,0
2024-02-08,55.96,56.35,55.56,55.83,2488,0,0
2024-02-09,56.33,56.33,55.8,56.08,2553,0,0
2024-02-12,56.32,56.82,55.69,55.75,3436,1,0
2024-02-13,55.2,55.9,54.9,55.37,3019,1,0
2024-02-14,56.9,58.11,56.4,57.92,4431,0,0
2024-02-15,58.46,59.37,58.07,59.32,5001,1,0
2024-02-16,59.3,59.35,57.76,58.33,3877,1,0
2024-02-20,58.46,58.59,56.96,57.47,2940,1,0
2024-02-21,57.39,57.53,56.71,57.28,3045,0,0
2024-02-22,58.31,59.05,57.87,58.86,5059,1,0
2024-02-23,59.1,59.2,57.97,58.37,2413,1,0
2024-02-26,58.57,59.06,58.3,58.68,2731,1,0
2024-02-27,59.74,60.52,59.22,60.15,4010,1,0
2024-02-28,59.5,59.79,59.0,59.65,2815,0,0
2024-02-29,60.01,60.4,59.5,60.19,2179,1,0
2024-03-01,60.34,62.01,60.08,61.94,4007,0,0
2024-03-04,61.73,62.43,61.5,61.5,3117,1,0
2024-03-05,60.83,60.92,59.2,59.88,4046,0,0
2024-03-06,60.34,60.77,59.3,59.76,3065,1,0
2024-03-07,60.1,61.04,59.57,60.76,2714,1,0
2024-03-08,61.06,61.58,60.0,60.5,2736,1,0
2024-03-11,60.57,61.05,60.0,60.06,2582,1,0
2024-03-12,60.12,61.51,59.6,61.05,2877,1,0
2024-03-13,60.95,61.43,60.71,60.89,2193,1,0
2024-03-14,61.23,61.97,60.7,61.22,2801,1,0
2024-03-15,61.8,61.93,60.36,60.48,3118,0,0
2024-03-18,61.24,62.71,61.0,61.78,3382,0,0
2024-03-19,61.33,62.11,60.8,62.07,3063,1,0
2024-03-20,62.21,62.94,61.84,62.64,2615,1,0
2024-03-21,63.11,63.11,62.23,62.33,2147,0,0
2024-03-22,62.42,62.89,62.25,62.83,2066,1,0
2024-03-25,62.55,63.02,62.31,62.64,2556,1,0
2024-03-26,62.1,63.44,61.93,62.83,3006,1,0
2024-03-27,62.76,62.95,61.04,61.31,2824,1,0
2024-03-28,60.8,60.85,60.13,60.79,2922,1,0
2024-04-01,60.56,61.5,60.48,61.33,3706,0,0
2024-04-02,60.97,61.49,60.55,61.45,2369,1,0
2024-04-03,61.6,63.0,61.27,63.0,3248,0,0
2024-04-04,63.29,63.75,61.66,61.66,3052,1,0
2024-04-05,62.54,63.76,62.2,63.58,4323,1,0
2024-04-08,63.51,63.51,62.74,62.84,2425,1,0
2024-04-09,62.84,62.92,61.53,61.67,2897,1,0
2024-04-10,60.99,61.98,60.95,61.85,3259,1,0
2024-04-11,61.95,63.16,61.7,62.84,3144,1,0
2024-04-12,63.04,63.27,61.86,62.17,3130,0,0
2024-04-15,62.5,62.81,60.4,60.74,3359,0,0
2024-04-16,60.8,62.21,60.8,61.72,3895,1,0
2024-04-17,61.87,61.94,60.76,61.42,3124,1,0
2024-04-18,60.87,61.95,60.52,61.05,4245,1,0
2024-04-19,56.35,57.83,55.21,55.52,6996,0,0
2024-04-22,54.56,55.84,54.2,55.4,4667,1,0
2024-04-23,55.94,57.89,55.75,57.58,5476,0,0
2024-04-24,57.46,57.47,55.13,55.45,3824,0,0
2024-04-25,54.54,56.64,54.54,56.46,4343,1,0
2024-04-26,55.81,56.27,55.3,56.1,3327,1,0
2024-04-29,55.52,55.94,55.42,55.88,2468,1,0
2024-04-30,55.51,55.88,54.93,55.1,2264,1,0
2024-05-01,54.62,56.02,54.4,55.11,3831,1,0
2024-05-02,55.68,56.53,55.57,56.48,3153,0,0
2024-05-03,56.78,58.0,56.69,57.86,5609,1,0
2024-05-06,58.09,59.71,58.0,59.69,3576,1,0
2024-05-07,59.43,60.57,59.1,60.52,5228,1,0
2024-05-08,60.4,61.8,60.29,60.97,3710,1,0
2024-05-09,61.36,61.56,60.55,61.08,3966,1,0
2024-05-10,61.82,62.37,60.5,61.12,2602,1,0
2024-05-13,61.4,61.79,60.67,61.54,2381,1,0
2024-05-14,61.5,62.13,60.84,61.39,2905,1,0
2024-05-15,61.62,62.37,60.9,61.34,3861,1,0
2024-05-16,61.19,61.8,60.9,61.12,3104,1,0
2024-05-17,61.6,62.51,61.43,61.94,2771,1,0
2024-05-20,62.12,64.4,61.92,63.98,3348,0,0
2024-05-21,64.01,65.07,63.85,65.04,2858,1,0
2024-05-22,64.76,64.87,63.82,63.99,2656,1,0
2024-05-23,64.09,64.18,63.01,63.52,3123,1,0
2024-05-24,63.97,65.18,63.8,64.63,2852,1,0
2024-05-28,64.61,64.95,64.3,64.85,3133,1,0
2024-05-29,64.78,66.4,64.71,65.44,3449,1,0
2024-05-30,65.27,65.63,64.46,64.73,2968,1,0
2024-05-31,64.7,64.83,62.83,64.09,3232,1,0
2024-06-03,64.48,64.58,62.72,63.3,3072,1,0
2024-06-04,63.07,63.52,62.63,63.17,3306,0,0
2024-06-05,63.21,65.09,62.83,64.83,2577,1,0
2024-06-06,64.54,65.77,64.54,64.83,2716,1,0
2024-06-07,64.7,64.97,64.02,64.15,2188,1,0
2024-06-10,64.1,64.46,63.55,64.29,2238,1,0
2024-06-11,64.38,65.0,64.06,64.8,2548,1,0
2024-06-12,65.32,65.53,64.3,65.01,2752,1,0
2024-06-13,64.49,65.51,64.25,65.37,3199,0,0
2024-06-14,66.17,67.54,65.82,66.88,4616,1,0
2024-06-17,66.85,68.25,66.51,67.53,3560,1,0
2024-06-18,67.5,68.68,67.46,68.55,2867,1,0
2024-06-20,68.25,68.65,67.36,67.87,3855,1,0
2024-06-21,68.1,68.67,67.8,68.56,2795,1,0
2024-06-24,68.14,68.28,66.45,66.9,3783,1,0
2024-06-25,66.74,67.25,66.2,67.19,1988,1,0
2024-06-26,67.02,68.24,67.02,67.64,2979,1,0
2024-06-27,68.1,68.81,68.02,68.31,3535,1,0
2024-06-28,68.14,68.67,67.3,67.5,2346,1,0
2024-07-01,67.25,67.42,66.37,67.34,2572,1,0
