time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,26.35,27.06,26.3,27.01,2936,1,0
2024-01-03,27.02,27.02,26.74,26.88,3135,1,0
2024-01-04,26.72,27.02,26.72,26.83,2814,1,0
2024-01-05,26.76,27.12,26.68,27.02,3007,1,0
2024-01-08,26.98,27.31,26.85,27.3,1570,1,0
2024-01-09,27.12,27.35,26.99,27.14,2289,1,0
2024-01-10,27.08,27.5,27.08,27.32,1623,1,0
2024-01-11,27.21,27.21,26.41,26.52,2192,1,0
2024-01-12,26.64,26.75,26.49,26.74,1729,1,0
2024-01-16,26.64,26.66,26.25,26.31,2223,1,0
2024-01-17,26.08,26.36,25.73,25.93,2069,1,0
2024-01-18,25.78,25.88,25.42,25.63,1935,1,0
2024-01-19,25.69,25.76,25.45,25.59,1677,1,0
2024-01-22,25.72,26.02,25.46,25.6,1730,1,0
2024-01-23,25.6,25.72,25.48,25.68,1690,1,0
2024-01-24,25.78,25.88,25.12,25.14,1893,1,0
2024-01-25,25.39,25.56,25.2,25.53,1991,1,0
2024-01-26,25.6,25.83,25.6,25.82,1570,1,0
2024-01-29,25.8,26.23,25.62,26.11,1236,1,0
2024-01-30,25.96,26.3,25.84,26.11,1532,1,0
2024-01-31,26.32,26.47,25.78,26.0,2952,1,0
2024-02-01,25.74,26.32,25.72,26.31,2268,1,0
2024-02-02,25.78,25.83,25.29,25.62,2806,1,0
2024-02-05,25.24,25.57,25.06,25.26,2100,1,0
2024-02-06,25.11,25.3,25.06,25.08,2138,1,0
2024-02-07,25.19,25.25,24.96,25.07,1736,1,0
2024-02-08,25.0,25.12,24.82,25.04,1566,1,0
2024-02-09,25.0,25.25,25.0,25.25,1771,1,0
2024-02-12,25.3,25.67,25.21,25.59,1767,1,0
2024-02-13,25.46,25.5,24.79,25.27,2544,1,0
2024-02-14,25.27,25.46,25.08,25.36,1986,1,0
2024-02-15,25.54,25.95,25.54,25.94,2297,1,0
2024-02-16,25.81,26.07,25.72,25.93,2421,1,0
2024-02-20,25.87,26.3,25.86,25.97,2472,1,0
2024-02-21,25.8,26.35,25.51,26.19,2422,1,0
2024-02-22,25.97,26.22,25.88,26.06,2140,1,0
2024-02-23,26.07,26.43,26.05,26.11,2055,1,0
2024-02-26,25.88,25.94,25.58,25.71,1758,1,0
2024-02-27,25.75,26.01,25.65,25.99,1623,1,0
2024-02-28,25.93,26.08,25.84,25.84,1605,1,0
2024-02-29,25.9,26.17,25.85,26.11,1616,1,0
2024-03-01,25.81,26.18,25.68,26.15,1878,1,0
2024-03-04,26.06,26.68,25.98,26.6,1554,1,0
2024-03-05,26.75,27.01,26.48,26.61,2332,1,0
2024-03-06,26.75,26.95,26.71,26.89,1933,1,0
2024-03-07,26.95,27.09,26.86,26.97,1925,1,0
2024-03-08,26.95,27.12,26.76,27.0,1877,1,0
2024-03-11,27.14,27.26,26.86,27.11,1557,1,0
2024-03-12,26.96,27.03,26.59,26.79,1418,1,0
2024-03-13,26.79,27.06,26.68,26.71,1678,1,0
2024-03-14,26.52,26.6,26.03,26.32,2098,0,0
2024-03-15,26.46,26.64,26.37,26.51,1782,1,0
