time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,467.2,476.16,467.2,469.49,1767,7,0
2024-01-03,471.95,483.51,468.0,474.54,1424,9,0
2024-01-04,479.69,483.36,471.41,471.72,1286,3,0
2024-01-05,471.05,472.0,466.8,468.8,1520,10,0
2024-01-08,466.4,475.01,465.15,474.25,1672,4,0
2024-01-09,471.46,477.18,469.7,471.7,1515,9,0
2024-01-10,471.43,476.65,471.0,471.0,1744,8,0
2024-01-11,471.65,471.65,465.28,467.45,1319,8,0
2024-01-12,468.12,481.3,468.12,480.53,1587,4,0
2024-01-16,481.08,481.75,475.68,477.63,1715,4,0
2024-01-17,475.0,482.44,473.49,473.61,1577,5,0
2024-01-18,470.49,475.93,468.18,474.18,1438,6,0
2024-01-19,471.77,473.28,469.11,469.6,1764,6,0
2024-01-22,468.25,470.33,466.0,466.86,1490,4,0
2024-01-23,466.1,470.6,464.14,466.92,1897,5,0
2024-01-24,465.12,471.5,463.28,463.57,1633,7,0
2024-01-25,447.97,447.97,426.0,434.46,2921,8,0
2024-01-26,435.5,438.8,431.55,436.81,1560,6,0
2024-01-29,438.5,442.11,435.28,438.43,1322,4,0
2024-01-30,441.97,445.03,437.38,443.84,2287,3,0
2024-01-31,445.0,449.5,443.0,446.53,2519,4,0
2024-02-01,446.0,447.48,442.0,445.23,2118,6,0
2024-02-02,444.07,447.65,441.28,447.02,1994,1,0
2024-02-05,443.33,444.05,440.11,442.07,1732,3,0
2024-02-06,442.0,449.82,440.69,447.97,1662,8,0
2024-02-07,448.17,453.49,448.17,452.43,1670,4,0
2024-02-08,450.48,454.19,449.5,451.25,1327,7,0
2024-02-09,451.39,455.34,450.02,454.5,1576,1,0
2024-02-12,454.74,455.35,451.48,451.48,1572,6,0
2024-02-13,452.9,455.07,443.02,446.64,1449,6,0
2024-02-14,447.0,449.5,443.0,445.35,1582,6,0
2024-02-15,446.69,450.77,446.37,449.48,1281,7,0
2024-02-16,450.09,452.68,447.28,450.71,1130,7,0
