time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,86.28,87.19,85.86,86.22,1590,1,0
2024-01-03,85.56,86.87,85.55,86.34,1582,1,0
2024-01-04,85.4,86.56,85.4,86.07,2042,1,0
2024-01-05,85.86,86.43,84.93,85.06,2299,1,0
2024-01-08,83.43,86.0,83.43,85.99,1831,1,0
2024-01-09,85.34,86.29,84.82,86.02,1662,1,0
2024-01-10,86.07,86.88,85.9,86.53,2175,1,0
2024-01-11,86.34,87.33,85.55,86.98,1807,1,0
2024-01-12,87.01,87.48,86.22,86.51,2154,1,0
2024-01-16,85.74,85.97,84.5,85.86,1980,1,0
2024-01-17,85.15,85.63,84.41,85.42,1647,1,0
2024-01-18,86.03,86.46,84.93,86.46,2074,1,0
2024-01-19,86.43,88.0,86.25,87.6,2207,1,0
2024-01-22,88.52,88.82,88.04,88.64,1842,1,0
2024-01-23,88.39,88.9,87.95,88.23,1312,1,0
2024-01-24,88.8,89.43,88.21,88.65,1600,1,0
2024-01-25,89.15,89.27,88.33,89.21,1732,1,0
2024-01-26,88.53,88.98,87.52,87.94,1475,1,0
2024-01-29,87.65,88.5,87.5,88.5,1849,1,0
2024-01-30,88.48,89.67,88.48,88.95,1891,1,0
2024-01-31,87.97,88.56,86.74,87.17,1718,1,0
2024-02-01,86.85,87.66,86.05,87.3,1690,1,0
2024-02-02,87.2,88.36,86.53,87.8,2051,1,0
2024-02-05,87.09,87.38,86.29,87.11,1638,1,0
2024-02-06,87.28,87.74,86.64,87.53,1370,1,0
2024-02-07,87.66,87.66,86.62,87.2,1400,1,0
2024-02-08,87.17,89.47,87.17,88.87,1859,1,0
2024-02-09,88.82,90.32,88.82,89.7,1554,1,0
2024-02-12,89.96,90.9,89.7,90.64,1954,1,0
2024-02-13,88.1,88.64,86.43,87.28,1904,1,0
2024-02-14,87.51,88.17,87.3,87.73,1426,1,0
2024-02-15,87.29,88.49,86.24,87.1,1739,1,0
2024-02-16,86.77,87.4,85.55,85.66,1457,1,0
2024-02-20,85.1,85.91,84.5,85.41,2146,1,0
2024-02-21,84.33,84.86,83.71,84.61,1633,1,0
2024-02-22,85.18,86.56,84.91,85.97,1588,1,0
2024-02-23,86.25,87.55,85.95,87.43,2003,1,0
2024-02-26,87.12,88.1,86.91,87.41,1550,1,0
2024-02-27,87.49,87.71,86.9,87.15,1437,1,0
2024-02-28,86.7,88.36,86.25,87.9,1523,1,0
