time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,46.17,46.62,45.12,45.85,1891,1,0
2024-01-03,45.56,46.18,44.65,44.84,1476,1,0
2024-01-04,45.16,45.55,44.84,44.97,1832,1,0
2024-01-05,44.51,46.0,44.51,45.88,1536,1,0
2024-01-08,46.13,46.96,46.0,46.83,1354,1,0
2024-01-09,46.22,48.9,46.22,46.99,2361,1,0
2024-01-10,47.51,48.88,47.25,48.76,1998,1,0
2024-01-11,48.85,49.14,48.13,49.12,1781,1,0
2024-01-12,49.48,50.63,49.34,50.3,2064,1,0
2024-01-16,49.88,50.68,49.8,50.42,1754,1,0
2024-01-17,51.92,52.85,50.39,52.84,2079,1,0
2024-01-18,53.43,53.91,52.5,53.49,2097,1,0
2024-01-19,53.9,55.29,53.54,54.92,1592,1,0
2024-01-22,55.41,56.23,54.53,55.98,1843,1,0
2024-01-23,55.85,56.2,54.9,56.19,1509,1,0
2024-01-24,56.65,57.5,56.0,56.49,1960,1,0
2024-01-25,57.2,57.2,54.61,54.99,1887,1,0
2024-01-26,54.92,55.52,54.58,54.97,1375,1,0
2024-01-29,55.1,56.91,55.1,56.79,1270,1,0
2024-01-30,56.96,57.0,55.77,56.52,1009,1,0
2024-01-31,55.7,56.75,55.34,56.14,1477,1,0
2024-02-01,57.0,57.44,56.61,57.11,2230,1,0
2024-02-02,57.52,58.9,57.5,57.77,1638,1,0
2024-02-05,58.17,58.88,56.78,57.4,1469,1,0
2024-02-06,57.65,58.12,56.1,56.54,2142,1,0
2024-02-07,57.59,58.13,56.85,57.52,1649,1,0
2024-02-08,57.35,58.93,57.17,58.6,1609,1,0
2024-02-09,58.67,58.85,58.0,58.13,1611,1,0
2024-02-12,57.45,58.06,56.4,56.45,1649,1,0
2024-02-13,53.58,56.21,53.58,55.52,2381,1,0
2024-02-14,56.26,57.73,56.04,57.65,2203,1,0
2024-02-15,58.11,59.2,57.2,59.01,1828,1,0
2024-02-16,58.59,59.85,58.29,58.33,1480,1,0
2024-02-20,57.39,57.49,55.86,56.12,1963,1,0
2024-02-21,55.31,55.31,53.64,54.4,1675,1,0
2024-02-22,57.44,58.97,56.78,58.19,2369,1,0
2024-02-23,58.35,59.83,58.07,58.75,1671,1,0
2024-02-26,59.0,59.76,58.12,58.92,2386,1,0
2024-02-27,59.0,59.64,58.03,58.22,1800,1,0
2024-02-28,57.3,59.07,57.08,58.98,1934,1,0
2024-02-29,61.5,63.74,60.31,62.87,2499,1,0
2024-03-01,63.94,65.74,63.25,64.21,2351,1,0
2024-03-04,64.4,66.25,64.0,65.42,2115,1,0
2024-03-05,64.1,64.52,62.3,63.48,2251,1,0
2024-03-06,64.2,65.35,63.1,64.41,1668,1,0
2024-03-07,64.84,65.57,63.71,65.28,1861,1,0
2024-03-08,65.17,66.96,64.9,65.85,2930,1,0
2024-03-11,64.53,64.53,62.88,63.29,1627,1,0
2024-03-12,63.61,64.11,62.96,63.73,1606,1,0
2024-03-13,62.93,65.5,62.93,64.65,1682,1,0
2024-03-14,64.04,64.08,62.53,63.72,2202,1,0
2024-03-15,63.0,63.96,62.82,63.14,1923,1,0
2024-03-18,62.92,64.98,62.46,64.66,2158,1,0
2024-03-19,63.42,63.51,61.07,62.22,1558,1,0
2024-03-20,62.29,63.0,61.34,62.58,2270,1,0
2024-03-21,63.01,63.17,61.62,62.44,1992,1,0
2024-03-22,62.31,64.38,62.08,64.35,1943,1,0
2024-03-25,63.88,66.32,63.46,63.6,1738,1,0
2024-03-26,64.26,64.32,63.0,63.67,1230,1,0
2024-03-27,64.25,64.62,61.0,61.81,1318,1,0
2024-03-28,62.12,62.8,61.19,61.59,1323,1,0
2024-04-01,61.51,62.51,61.5,62.36,1466,1,0
2024-04-02,60.09,61.14,58.85,61.12,1351,1,0
2024-04-03,61.61,63.68,61.09,63.2,1763,1,0
2024-04-04,64.21,66.48,63.51,63.71,1912,1,0
2024-04-05,63.93,66.23,63.5,65.76,1886,1,0
2024-04-08,65.96,66.24,64.5,65.78,1732,1,0
2024-04-09,65.5,65.61,63.9,64.5,1985,1,0
2024-04-10,63.59,65.64,63.59,65.5,2019,1,0
2024-04-11,66.04,66.92,63.85,64.3,1865,1,0
2024-04-12,63.7,64.47,62.73,63.31,1639,1,0
2024-04-15,63.46,63.94,61.0,61.06,1586,1,0
2024-04-16,61.11,62.49,60.84,62.39,1476,1,0
2024-04-17,62.6,62.6,60.31,60.72,1410,1,0
2024-04-18,60.6,60.82,59.23,59.52,1233,0,0
2024-04-19,59.21,59.62,58.08,58.72,1429,1,0
2024-04-22,59.22,60.6,58.37,59.72,1231,1,0
2024-04-23,60.14,62.19,59.95,61.07,1515,0,0
2024-04-24,60.77,61.96,60.55,60.92,1095,1,0
2024-04-25,58.51,61.19,58.51,60.96,1332,1,0
2024-04-26,61.58,62.15,61.0,61.56,1103,1,0
2024-04-29,61.5,62.83,60.94,62.19,1155,1,0
2024-04-30,62.11,62.68,60.51,60.57,1282,1,0
2024-05-01,60.5,62.86,60.06,61.07,1958,1,0
2024-05-02,61.75,62.19,60.11,62.05,1492,1,0
2024-05-03,62.27,63.72,62.15,62.25,1459,1,0
2024-05-06,62.54,64.88,62.5,64.74,1184,1,0
2024-05-07,64.37,65.6,64.23,65.32,1820,1,0
2024-05-08,65.44,67.12,65.44,66.14,1436,1,0
2024-05-09,66.1,67.8,65.75,67.41,1597,1,0
2024-05-10,68.25,68.5,67.26,67.62,1424,1,0
2024-05-13,67.57,67.75,65.3,65.58,1161,1,0
2024-05-14,65.25,67.23,64.87,67.23,1209,1,0
2024-05-15,67.62,69.94,67.62,69.04,1789,1,0
2024-05-16,68.1,69.35,68.1,68.93,1355,1,0
2024-05-17,69.09,70.67,68.65,70.24,1349,1,0
2024-05-20,70.24,72.64,70.09,72.12,1494,1,0
2024-05-21,72.0,73.64,71.5,73.24,1591,1,0
2024-05-22,73.3,73.41,71.0,71.83,1404,1,0
2024-05-23,72.5,72.57,70.72,71.37,1293,1,0
2024-05-24,71.46,72.79,71.02,72.79,1048,1,0
2024-05-28,72.83,72.83,71.47,71.66,1211,1,0
2024-05-29,70.97,73.59,70.51,73.26,1645,1,0
2024-05-30,61.53,62.33,56.07,56.4,3244,1,0
2024-05-31,56.05,56.24,52.92,55.29,2682,1,0
2024-06-03,55.7,55.7,52.74,52.99,1599,1,0
2024-06-04,53.11,54.64,53.11,53.87,1537,1,0
2024-06-05,54.3,54.61,52.88,53.2,1763,1,0
2024-06-06,53.75,53.93,52.1,52.18,1526,1,0
2024-06-07,52.04,54.08,51.55,52.27,1273,1,0
2024-06-10,52.14,53.95,52.14,53.8,1298,1,0
2024-06-11,53.21,53.21,52.4,52.74,1148,1,0
2024-06-12,53.85,55.12,53.77,53.96,1341,1,0
2024-06-13,53.62,54.28,52.87,53.09,1147,0,0
2024-06-14,53.11,54.3,53.11,53.89,1123,1,0
2024-06-17,54.08,54.8,53.21,54.39,1456,1,0
2024-06-18,54.4,54.43,53.0,53.42,1444,1,0
2024-06-20,53.07,53.32,51.88,52.38,1422,1,0
2024-06-21,52.18,53.47,51.75,53.25,1373,1,0
2024-06-24,52.9,53.12,52.17,52.74,1279,1,0
2024-06-25,53.0,53.55,52.58,53.36,948,1,0
2024-06-26,53.0,55.14,53.0,54.96,1524,1,0
2024-06-27,54.87,57.26,54.73,56.27,1531,1,0
2024-06-28,56.67,57.63,56.29,56.63,1431,1,0
2024-07-01,57.05,59.43,56.4,59.41,1819,1,0
2024-07-02,59.11,60.68,57.92,59.8,1423,1,0
2024-07-03,59.45,59.83,58.26,58.59,888,1,0
2024-07-05,58.93,60.16,58.64,60.05,1280,1,0
2024-07-08,59.73,60.56,59.4,59.4,1401,1,0
2024-07-09,59.55,60.14,59.0,59.37,1220,1,0
2024-07-10,58.59,59.46,57.71,59.12,1308,1,0
2024-07-11,59.35,59.89,56.49,56.69,1608,1,0
2024-07-12,55.55,55.93,54.05,54.35,1494,1,0
2024-07-15,54.01,54.1,51.54,51.83,1703,1,0
2024-07-16,51.57,51.75,49.11,50.44,2102,1,0
2024-07-17,49.43,49.76,47.88,48.28,1593,1,0
2024-07-18,48.11,48.16,46.9,47.93,1468,1,0
2024-07-19,47.43,48.65,47.43,48.23,1430,1,0
2024-07-22,48.32,49.4,48.31,49.31,1426,1,0
2024-07-23,49.36,50.58,49.25,50.19,1261,1,0
2024-07-24,49.64,50.88,48.8,48.98,1367,1,0
2024-07-25,48.73,49.72,48.06,49.26,1558,1,0
2024-07-26,49.06,49.84,49.01,49.39,1284,1,0
2024-07-29,49.42,50.4,49.42,49.88,1075,1,0
2024-07-30,49.6,50.07,48.1,48.92,1117,1,0
2024-07-31,50.03,50.59,49.74,50.53,999,1,0
2024-08-01,50.54,50.87,48.45,48.98,1343,1,0
2024-08-02,47.06,47.57,46.12,47.27,1479,1,0
2024-08-05,44.08,46.66,44.08,45.98,3400,1,0
2024-08-06,46.44,47.63,46.13,46.89,1557,1,0
2024-08-07,47.61,48.91,47.16,47.36,1369,1,0
2024-08-08,48.0,49.24,47.04,48.89,1152,1,0
2024-08-09,48.85,49.77,48.4,49.77,1415,1,0
2024-08-12,49.62,50.04,49.05,49.69,979,1,0
2024-08-13,50.1,51.04,49.71,50.73,1087,1,0
2024-08-14,50.97,51.64,50.54,51.22,973,1,0
2024-08-15,51.65,52.8,51.65,51.75,919,1,0
2024-08-16,51.54,52.18,50.85,51.9,1062,1,0
2024-08-19,51.53,52.0,51.06,51.84,1036,1,0
2024-08-20,51.59,53.3,51.59,52.97,1090,1,0
2024-08-21,52.05,53.19,51.51,53.19,1073,1,0
2024-08-22,53.06,53.93,52.44,52.56,1052,1,0
2024-08-23,53.02,53.38,52.26,53.21,1275,1,0
2024-08-26,52.95,53.53,52.75,52.96,982,1,0
2024-08-27,52.42,53.41,52.0,53.1,1003,1,0
2024-08-28,53.12,53.78,52.07,52.3,1420,1,0
2024-08-29,61.34,63.6,60.37,62.84,2524,1,0
2024-08-30,62.91,64.13,62.26,63.19,1940,1,0
2024-09-03,62.43,63.27,61.44,61.79,1089,1,0
2024-09-04,60.85,63.15,60.37,62.76,1214,1,0
2024-09-05,62.11,63.02,61.53,62.65,1073,1,0
2024-09-06,63.2,63.2,59.91,59.94,1635,1,0
2024-09-09,60.51,61.19,59.67,60.09,1326,1,0
2024-09-10,60.28,60.85,59.22,60.23,1676,1,0
2024-09-11,59.47,60.55,58.03,60.4,1456,1,0
2024-09-12,60.32,61.32,60.03,60.62,1190,1,0
2024-09-13,60.58,61.06,58.97,59.07,1066,1,0
2024-09-16,58.33,60.25,58.01,59.09,1259,1,0
2024-09-17,59.1,59.28,57.7,58.01,1600,1,0
2024-09-18,57.58,58.38,57.22,57.41,1205,2,0
2024-09-19,58.55,59.24,58.13,58.76,1117,1,0
2024-09-20,58.8,60.82,58.53,60.79,1942,1,0
2024-09-23,59.65,61.7,59.55,61.01,1108,1,0
