time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,23.56,24.54,23.56,24.08,1191,1,0
2024-01-03,23.38,23.68,23.0,23.46,1269,1,0
2024-01-04,23.0,23.52,23.0,23.3,1105,1,0
2024-01-05,23.0,23.99,22.76,23.35,1511,1,0
2024-01-08,22.97,24.21,22.97,24.05,1263,1,0
2024-01-09,23.35,25.43,23.35,25.14,1563,1,0
2024-01-10,25.0,25.61,24.62,25.42,1319,1,0
2024-01-11,25.0,25.36,24.62,24.71,1283,1,0
2024-01-12,24.72,25.09,24.14,24.19,1097,1,0
2024-01-16,23.67,23.83,23.35,23.52,1053,1,0
2024-01-17,22.97,23.28,22.82,23.05,871,1,0
2024-01-18,22.96,24.0,22.86,23.99,1397,1,0
2024-01-19,23.81,23.83,23.08,23.66,1145,1,0
2024-01-22,23.79,24.49,23.66,24.07,1064,1,0
2024-01-23,24.18,24.29,23.69,24.2,1006,1,0
2024-01-24,24.09,24.33,23.62,23.86,826,1,0
2024-01-25,23.9,24.45,23.83,24.17,1154,1,0
2024-01-26,24.03,24.67,24.03,24.31,1102,1,0
2024-01-29,24.12,24.5,23.97,24.49,903,1,0
2024-01-30,24.35,24.53,23.9,23.98,1004,1,0
2024-01-31,23.91,24.14,23.43,23.51,1320,1,0
2024-02-01,23.43,24.08,23.37,23.75,1302,1,0
2024-02-02,23.14,23.97,23.14,23.75,1197,1,0
2024-02-05,23.52,23.89,23.27,23.74,1250,1,0
2024-02-06,23.61,24.74,23.49,24.42,1361,1,0
2024-02-07,24.24,24.77,24.15,24.15,1418,1,0
2024-02-08,21.36,22.54,20.58,22.48,2146,1,0
2024-02-09,22.29,22.55,21.69,21.82,1296,1,0
2024-02-12,22.16,22.86,21.85,22.78,1375,1,0
2024-02-13,22.05,22.2,21.52,21.9,1506,1,0
2024-02-14,21.85,22.31,21.74,22.14,996,1,0
2024-02-15,22.3,22.98,22.24,22.46,1138,1,0
2024-02-16,22.02,22.99,22.02,22.54,1153,0,0
2024-02-20,22.25,22.86,22.13,22.84,1031,1,0
2024-02-21,22.28,22.74,22.18,22.38,1105,1,0
2024-02-22,22.2,22.89,22.01,22.81,834,1,0
2024-02-23,22.67,23.04,22.55,22.64,917,1,0
2024-02-26,21.65,22.55,21.65,21.93,856,1,0
2024-02-27,21.65,21.65,21.21,21.44,1058,1,0
2024-02-28,21.21,21.23,20.82,20.86,888,1,0
2024-02-29,20.92,21.28,20.47,20.66,1064,1,0
2024-03-01,20.46,20.98,20.34,20.92,1064,1,0
2024-03-04,20.8,20.94,20.46,20.72,992,1,0
2024-03-05,20.64,20.76,20.41,20.6,811,1,0
2024-03-06,20.63,21.3,20.47,20.82,851,1,0
2024-03-07,20.86,21.33,20.79,21.12,719,1,0
2024-03-08,21.41,21.41,21.05,21.23,915,1,0
2024-03-11,21.08,21.77,21.08,21.75,829,1,0
2024-03-12,21.67,21.78,21.25,21.51,950,1,0
2024-03-13,21.42,21.92,21.42,21.75,1010,1,0
2024-03-14,21.49,21.89,21.41,21.62,1118,1,0
2024-03-15,21.23,21.71,20.98,21.35,1210,1,0
2024-03-18,21.16,21.6,21.03,21.43,802,1,0
2024-03-19,21.31,21.77,21.15,21.73,847,1,0
2024-03-20,21.67,21.8,21.1,21.53,1461,1,0
2024-03-21,21.4,21.76,21.31,21.51,871,1,0
2024-03-22,21.37,21.61,21.18,21.28,721,1,0
2024-03-25,21.3,21.47,20.93,20.95,622,1,0
2024-03-26,20.9,21.02,20.54,20.72,760,1,0
2024-03-27,20.73,21.53,20.73,21.51,819,0,0
2024-03-28,21.3,21.62,21.21,21.42,641,1,0
2024-04-01,21.16,21.24,20.56,20.81,816,1,0
2024-04-02,20.1,20.44,20.05,20.38,978,1,0
2024-04-03,20.24,20.55,20.08,20.22,820,1,0
2024-04-04,20.37,20.74,20.17,20.51,1320,1,0
2024-04-05,20.27,20.57,20.18,20.47,758,1,0
2024-04-08,20.38,20.53,20.21,20.32,747,1,0
2024-04-09,20.31,21.25,20.25,21.03,908,1,0
2024-04-10,20.57,20.69,20.02,20.16,963,1,0
2024-04-11,20.25,20.36,20.01,20.07,656,1,0
2024-04-12,19.55,19.83,19.05,19.14,781,1,0
2024-04-15,19.05,19.27,18.93,19.14,912,1,0
2024-04-16,18.93,19.92,18.93,19.79,1324,1,0
2024-04-17,19.7,19.92,19.42,19.61,750,1,0
2024-04-18,19.53,19.85,19.43,19.62,1017,1,0
2024-04-19,19.63,19.98,19.57,19.95,702,1,0
2024-04-22,19.76,20.23,19.75,20.1,852,1,0
2024-04-23,19.94,20.54,19.93,20.24,661,1,0
2024-04-24,19.85,20.28,19.81,20.25,672,1,0
2024-04-25,19.95,20.2,19.76,20.03,739,1,0
2024-04-26,19.4,20.59,19.4,20.38,883,1,0
2024-04-29,20.35,20.86,20.35,20.61,978,1,0
2024-04-30,20.13,20.48,19.66,19.68,1074,1,0
2024-05-01,19.6,20.24,19.49,19.77,884,1,0
2024-05-02,18.49,20.2,18.03,19.7,1802,1,0
2024-05-03,20.1,20.17,18.9,18.98,938,1,0
2024-05-06,19.12,19.29,18.83,19.01,913,1,0
2024-05-07,19.27,19.64,18.99,19.0,854,1,0
2024-05-08,18.86,18.93,18.4,18.82,818,1,0
2024-05-09,18.85,19.22,18.63,19.22,752,1,0
2024-05-10,19.31,19.31,18.31,18.52,837,1,0
2024-05-13,18.54,19.11,18.54,18.81,899,1,0
2024-05-14,19.07,19.45,18.92,19.17,660,1,0
2024-05-15,19.17,19.17,18.61,18.86,705,1,0
2024-05-16,18.8,19.15,18.75,19.04,541,1,0
2024-05-17,19.03,19.03,18.46,18.51,740,1,0
2024-05-20,18.46,18.55,18.12,18.23,790,1,0
2024-05-21,18.16,18.34,17.86,18.28,762,1,0
2024-05-22,18.19,18.69,18.18,18.61,1117,1,0
2024-05-23,18.29,18.34,17.8,17.98,1011,1,0
2024-05-24,17.92,18.38,17.8,18.27,763,0,0
2024-05-28,18.16,18.28,17.85,17.99,708,1,0
2024-05-29,17.7,18.2,17.62,18.14,1308,1,0
2024-05-30,18.32,18.91,18.28,18.8,963,1,0
2024-05-31,18.97,19.4,18.85,19.34,956,1,0
2024-06-03,19.24,19.35,18.58,18.58,817,1,0
2024-06-04,18.57,18.83,18.44,18.57,1028,1,0
2024-06-05,18.58,18.74,18.29,18.49,867,1,0
2024-06-06,18.32,18.67,18.2,18.39,692,1,0
2024-06-07,18.19,18.52,18.1,18.23,754,1,0
2024-06-10,18.18,18.44,18.03,18.08,1135,1,0
2024-06-11,17.87,18.35,17.84,18.15,794,1,0
2024-06-12,18.38,18.58,18.04,18.11,1819,1,0
2024-06-13,17.9,18.13,17.62,17.85,1666,1,0
2024-06-14,17.64,17.76,17.22,17.67,1575,1,0
2024-06-17,17.37,17.67,17.05,17.17,1520,1,0
2024-06-18,17.15,17.34,16.81,17.01,1555,1,0
2024-06-20,16.89,17.42,16.74,17.19,1974,1,0
2024-06-21,17.05,17.55,16.88,17.38,1667,1,0
2024-06-24,17.29,17.54,16.91,16.96,1333,1,0
2024-06-25,16.6,16.63,15.9,15.9,2116,1,0
2024-06-26,15.94,16.52,15.93,16.5,1507,1,0
2024-06-27,16.28,16.44,16.21,16.43,1248,1,0
2024-06-28,16.46,16.7,16.3,16.59,1433,1,0
2024-07-01,16.62,17.1,16.02,16.12,1225,1,0
2024-07-02,16.04,16.35,16.04,16.35,1145,1,0
2024-07-03,16.35,16.4,16.08,16.3,809,1,0
2024-07-05,16.06,16.45,15.96,16.42,1269,1,0
2024-07-08,16.47,16.68,16.15,16.35,1175,1,0
2024-07-09,16.14,16.42,15.67,16.0,1928,1,0
2024-07-10,15.99,16.04,15.72,15.86,1651,1,0
2024-07-11,16.03,16.99,15.9,16.77,2241,1,0
2024-07-12,16.58,16.71,15.72,16.01,1793,1,0
2024-07-15,15.99,16.14,15.81,15.92,1814,1,0
2024-07-16,15.9,16.8,15.87,16.79,2308,1,0
2024-07-17,16.69,17.54,16.69,17.16,3093,1,0
2024-07-18,16.97,17.51,16.44,16.5,3251,1,0
2024-07-19,16.37,16.79,16.25,16.51,2692,1,0
2024-07-22,16.34,16.45,16.12,16.3,2086,1,0
2024-07-23,16.16,16.7,16.14,16.23,1937,1,0
2024-07-24,16.15,16.44,16.07,16.25,1862,1,0
2024-07-25,16.01,16.6,15.96,16.08,2982,1,0
2024-07-26,16.09,16.36,15.96,16.28,2235,1,0
2024-07-29,16.13,16.55,15.98,16.42,1563,1,0
2024-07-30,16.27,16.94,16.16,16.89,2007,1,0
2024-07-31,16.63,17.44,16.5,17.07,3295,1,0
2024-08-01,17.16,17.46,16.82,16.95,2788,1,0
2024-08-02,16.51,16.83,16.13,16.68,3237,1,0
2024-08-05,15.93,16.16,15.72,15.81,3280,1,0
2024-08-06,15.65,16.25,15.65,15.75,2936,1,0
2024-08-07,15.77,16.13,15.2,15.21,2658,1,0
2024-08-08,14.88,16.54,14.88,16.46,3850,1,0
2024-08-09,16.57,16.81,16.07,16.18,2339,1,0
2024-08-12,16.11,16.52,15.97,16.22,2438,1,0
2024-08-13,16.08,17.27,16.08,17.0,2439,1,0
2024-08-14,17.18,17.65,17.05,17.3,1175,1,0
2024-08-15,17.67,18.44,17.67,17.97,1260,1,0
2024-08-16,17.85,18.16,17.81,17.97,996,1,0
2024-08-19,17.97,18.5,17.95,18.29,1019,1,0
2024-08-20,17.99,18.29,17.71,17.71,1034,1,0
2024-08-21,17.75,18.16,17.63,17.99,2010,1,0
2024-08-22,17.99,18.04,17.67,17.95,1790,1,0
2024-08-23,17.83,18.83,17.77,18.65,2713,1,0
2024-08-26,18.56,18.72,18.31,18.39,1890,1,0
2024-08-27,18.42,18.92,18.23,18.71,1898,1,0
2024-08-28,18.3,18.4,17.81,18.32,1725,1,0
2024-08-29,18.42,18.67,18.18,18.4,1907,1,0
2024-08-30,18.3,18.55,18.06,18.27,1874,1,0
2024-09-03,18.01,18.39,17.76,17.86,1561,1,0
2024-09-04,17.57,17.88,17.0,17.18,1279,1,0
2024-09-05,17.2,17.95,17.2,17.8,1228,1,0
2024-09-06,17.95,18.16,17.34,17.45,1113,1,0
2024-09-09,17.25,17.44,16.87,17.0,1550,1,0
2024-09-10,16.75,17.34,16.72,17.24,1828,1,0
2024-09-11,16.94,17.61,16.72,17.61,1456,1,0
2024-09-12,17.7,18.74,17.3,18.6,1453,1,0
2024-09-13,18.57,19.56,18.46,19.36,2101,1,0
