time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,8.55,8.94,8.53,8.73,1067,1,0
2024-01-03,8.53,8.57,8.35,8.35,1003,1,0
2024-01-04,8.26,8.42,8.24,8.34,808,1,0
2024-01-05,8.26,8.59,8.22,8.4,921,1,0
2024-01-08,8.43,8.69,8.33,8.55,929,1,0
2024-01-09,8.59,9.08,8.48,8.98,995,1,0
2024-01-10,8.92,9.03,8.76,8.87,997,0,0
2024-01-11,8.76,8.9,8.66,8.74,991,1,0
2024-01-12,8.88,8.91,8.4,8.48,900,1,0
2024-01-16,8.39,8.39,8.19,8.26,876,1,0
2024-01-17,8.13,8.2,8.0,8.11,707,1,0
2024-01-18,8.18,8.18,8.0,8.02,870,1,0
2024-01-19,8.01,8.19,7.95,8.14,788,1,0
2024-01-22,8.17,8.53,8.14,8.45,940,1,0
2024-01-23,8.69,8.76,8.35,8.37,1026,1,0
2024-01-24,8.39,8.48,8.25,8.28,829,1,0
2024-01-25,8.34,8.58,8.31,8.54,1114,1,0
2024-01-26,8.59,8.75,8.59,8.69,885,1,0
2024-01-29,8.66,8.77,8.55,8.74,886,1,0
2024-01-30,8.56,8.67,8.51,8.6,785,1,0
2024-01-31,8.56,8.71,8.31,8.34,1759,1,0
2024-02-01,8.33,8.5,8.25,8.47,1000,1,0
2024-02-02,8.25,8.43,8.15,8.31,1167,1,0
2024-02-05,8.16,8.23,8.02,8.1,998,1,0
2024-02-06,8.03,8.28,8.0,8.05,1109,1,0
2024-02-07,8.08,8.15,7.89,7.92,958,1,0
2024-02-08,7.9,8.49,7.9,8.44,855,1,0
2024-02-09,7.47,7.9399999999999995,6.86,6.86,1463,0,0
2024-02-12,6.82,7.39,6.73,7.29,1545,1,0
2024-02-13,7.1,7.48,6.89,7.36,1187,1,0
2024-02-14,7.62,7.67,7.41,7.6,1203,1,0
2024-02-15,7.74,8.01,7.74,7.98,995,1,0
2024-02-16,7.8100000000000005,7.85,7.63,7.66,910,1,0
2024-02-20,7.67,7.97,7.66,7.79,969,1,0
2024-02-21,7.87,7.9399999999999995,7.49,7.6,910,1,0
2024-02-22,7.62,7.7,7.48,7.52,763,1,0
2024-02-23,7.51,7.54,7.23,7.25,823,1,0
2024-02-26,7.01,7.25,6.96,7.15,769,1,0
2024-02-27,7.22,7.42,7.13,7.37,918,1,0
2024-02-28,7.14,7.36,7.07,7.29,764,1,0
2024-02-29,7.39,7.6,7.38,7.51,744,1,0
2024-03-01,7.36,7.63,7.28,7.5600000000000005,835,1,0
2024-03-04,7.51,7.6,7.32,7.54,746,1,0
2024-03-05,7.42,7.66,7.39,7.43,863,1,0
2024-03-06,7.46,7.54,7.4,7.47,825,1,0
2024-03-07,7.49,7.73,7.49,7.72,902,1,0
2024-03-08,7.74,7.91,7.6899999999999995,7.87,874,1,0
2024-03-11,7.84,7.91,7.55,7.58,872,1,0
2024-03-12,7.54,7.73,7.41,7.67,808,1,0
2024-03-13,7.68,7.87,7.68,7.85,759,1,0
2024-03-14,7.73,7.73,7.5600000000000005,7.73,821,0,0
2024-03-15,7.79,8.24,7.77,8.17,1071,1,0
2024-03-18,7.97,8.06,7.63,7.65,1033,1,0
2024-03-19,7.59,7.68,7.47,7.61,889,1,0
2024-03-20,7.59,7.8,7.59,7.79,850,1,0
2024-03-21,7.8100000000000005,7.91,7.67,7.7,752,1,0
2024-03-22,7.6899999999999995,7.71,7.6,7.66,704,1,0
2024-03-25,7.71,7.85,7.65,7.6899999999999995,566,1,0
2024-03-26,7.74,7.77,7.37,7.41,658,1,0
2024-03-27,7.51,7.91,7.51,7.87,867,1,0
2024-03-28,7.96,8.05,7.86,8.01,713,1,0
2024-04-01,8.0,8.04,7.87,7.87,721,1,0
2024-04-02,7.6,7.63,7.46,7.59,774,1,0
2024-04-03,7.6,7.65,7.45,7.54,740,1,0
2024-04-04,7.66,7.74,7.45,7.46,799,1,0
2024-04-05,7.41,7.43,7.21,7.23,715,1,0
2024-04-08,7.27,7.46,7.27,7.46,770,1,0
2024-04-09,7.53,7.66,7.46,7.6,789,1,0
2024-04-10,7.32,7.4,7.26,7.32,943,1,0
2024-04-11,7.41,7.47,7.26,7.38,842,1,0
2024-04-12,7.27,7.3,7.08,7.12,669,1,0
2024-04-15,7.26,7.29,7.06,7.11,928,1,0
2024-04-16,7.01,7.01,6.9399999999999995,6.95,980,0,0
2024-04-17,7.0,7.05,6.87,6.93,799,1,0
2024-04-18,6.93,6.9399999999999995,6.79,6.89,689,0,0
2024-04-19,6.83,6.93,6.76,6.87,791,1,0
2024-04-22,6.89,7.02,6.85,6.9399999999999995,686,1,0
2024-04-23,6.95,7.23,6.9399999999999995,7.13,934,1,0
2024-04-24,7.05,7.14,6.93,7.04,785,1,0
2024-04-25,6.98,6.99,6.71,6.93,976,1,0
2024-04-26,7.59,7.98,7.32,7.78,1750,1,0
2024-04-29,8.04,8.15,7.85,8.05,959,1,0
2024-04-30,7.92,8.02,7.86,7.9399999999999995,942,1,0
2024-05-01,7.8,8.01,7.64,7.76,1393,1,0
2024-05-02,7.88,7.88,7.5,7.62,939,1,0
2024-05-03,7.83,7.92,7.61,7.67,742,1,0
