time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,24.33,24.45,24.13,24.42,2616,1,0
2024-01-03,24.25,24.52,23.99,24.3,2660,1,0
2024-01-04,24.27,24.42,24.04,24.21,2359,1,0
2024-01-05,24.28,24.65,24.21,24.4,3021,1,0
2024-01-08,24.48,24.67,24.18,24.64,1669,1,0
2024-01-09,24.43,24.56,24.24,24.26,2011,1,0
2024-01-10,24.19,24.39,24.06,24.17,1659,1,0
2024-01-11,24.19,24.27,23.85,24.22,2335,1,0
2024-01-12,24.46,24.49,24.07,24.23,2320,1,0
2024-01-16,24.18,24.21,23.54,23.74,3133,0,0
2024-01-17,23.52,23.72,23.37,23.47,2235,1,0
2024-01-18,23.59,23.66,23.27,23.57,2241,0,0
2024-01-19,23.59,24.05,23.49,24.02,2170,1,0
2024-01-22,24.16,24.27,24.02,24.24,1825,1,0
2024-01-23,24.47,24.55,24.1,24.3,2079,1,0
2024-01-24,24.51,24.75,24.48,24.62,1526,1,0
2024-01-25,24.77,25.04,24.62,24.69,2442,1,0
2024-01-26,24.82,24.95,24.67,24.75,1938,1,0
2024-01-29,24.74,25.09,24.5,25.09,1266,1,0
2024-01-30,24.96,25.06,24.64,24.81,1958,1,0
2024-01-31,24.82,25.01,24.57,24.66,3100,1,0
2024-02-01,24.5,24.77,24.27,24.76,2661,1,0
2024-02-02,24.67,24.79,24.42,24.69,3656,1,0
2024-02-05,24.39,24.49,24.08,24.16,2407,1,0
2024-02-06,24.26,24.68,24.22,24.67,2696,0,0
2024-02-07,24.34,24.35,23.7,24.24,3336,1,0
2024-02-08,27.22,27.54,25.26,25.83,4795,1,0
2024-02-09,25.76,26.18,25.65,26.03,2968,0,0
2024-02-12,26.17,26.31,26.0,26.06,2514,1,0
2024-02-13,25.66,25.82,25.4,25.72,3244,1,0
2024-02-14,25.93,26.02,25.61,25.99,2991,1,0
2024-02-15,26.08,26.68,26.05,26.47,2830,1,0
2024-02-16,26.4,26.58,26.13,26.23,2527,0,0
2024-02-20,26.18,26.38,26.08,26.21,2163,1,0
2024-02-21,26.12,26.16,25.79,26.08,2108,1,0
2024-02-22,26.22,26.53,25.91,26.51,1676,0,0
2024-02-23,26.49,26.55,26.18,26.43,1723,1,0
2024-02-26,26.37,26.46,26.22,26.36,1986,1,0
2024-02-27,26.3,26.43,26.22,26.42,1422,1,0
