time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,200.45,203.2,196.88,198.95,803,6,0
2024-01-03,196.12,196.3,191.59,192.68,1131,4,0
2024-01-04,191.1,195.03,190.05,194.61,1181,7,0
2024-01-05,192.61,194.41,190.95,191.46,968,5,0
2024-01-08,193.39,196.41,191.53,195.91,1248,7,0
2024-01-09,193.83,197.25,192.5,194.59,1098,7,0
2024-01-10,194.0,195.37,191.24,195.13,1132,6,0
2024-01-11,194.78,195.49,191.5,194.38,1227,6,0
2024-01-12,194.58,195.31,191.25,194.38,1101,4,0
2024-01-16,193.25,193.54,190.05,190.9,1193,8,0
2024-01-17,188.1,189.02,187.13,188.69,1331,8,0
2024-01-18,190.06,191.91,188.83,190.99,1315,6,0
2024-01-19,190.9,194.2,189.5,193.16,1292,4,0
2024-01-22,195.15,200.9,194.37,200.38,1130,6,0
2024-01-23,200.42,202.0,196.06,196.96,1493,7,0
2024-01-24,196.32,199.12,194.98,195.38,1278,7,0
2024-01-25,196.48,199.74,195.05,197.56,714,11,0
2024-01-26,198.36,198.48,194.0,195.87,1043,4,0
2024-01-29,194.37,198.63,194.37,198.28,1026,6,0
2024-01-30,195.95,199.63,195.95,197.41,1001,5,0
2024-01-31,202.8,205.78,190.01,195.59,838,11,0
2024-02-01,193.01,196.53,188.09,196.09,1162,7,0
2024-02-02,193.43,205.49,192.5,203.76,1098,10,0
2024-02-05,203.51,207.66,200.5,206.97,1039,6,0
2024-02-06,207.35,213.72,207.35,212.8,1198,6,0
2024-02-07,213.53,224.06,213.41,215.82,919,8,0
2024-02-08,215.66,218.1,213.45,217.22,640,5,0
2024-02-09,215.52,218.64,213.23,217.18,959,6,0
2024-02-12,214.99,217.33,213.7,214.43,930,7,0
2024-02-13,210.39,214.06,207.95,212.02,786,9,0
2024-02-14,212.48,216.21,210.39,214.94,748,8,0
2024-02-15,216.59,216.76,212.49,215.91,665,16,0
2024-02-16,214.85,216.98,210.91,211.28,1098,7,0
2024-02-20,210.13,211.78,206.0,209.26,650,10,0
2024-02-21,208.51,212.52,207.56,212.2,710,9,0
2024-02-22,215.44,218.61,213.53,217.94,1762,10,0
2024-02-23,219.78,222.5,218.34,219.41,960,7,0
2024-02-26,218.68,223.5,218.68,222.42,1353,3,0
2024-02-27,223.0,223.0,218.06,220.54,798,9,0
2024-02-28,215.68,218.92,215.11,216.22,869,5,0
2024-02-29,215.87,221.72,215.38,221.4,853,6,0
2024-03-01,221.14,223.58,218.07,221.78,1008,11,0
2024-03-04,223.01,225.8,222.14,222.64,730,6,0
2024-03-05,217.63,219.56,211.77,215.11,1191,6,0
2024-03-06,214.0,219.8,214.0,216.94,816,7,0
2024-03-07,219.86,223.06,218.89,221.0,582,10,0
2024-03-08,220.5,221.6,213.68,214.16,702,11,0
2024-03-11,213.89,216.65,213.54,216.5,687,7,0
2024-03-12,216.3,221.07,214.53,220.32,542,8,0
2024-03-13,220.59,221.25,216.04,216.51,509,11,0
2024-03-14,215.83,218.68,210.0,212.93,582,5,0
2024-03-15,210.57,214.28,209.7,210.44,705,11,0
2024-03-18,213.09,213.09,208.81,209.41,686,12,0
2024-03-19,208.13,212.27,208.0,211.6,450,7,0
2024-03-20,209.69,217.23,209.27,217.02,733,10,0
2024-03-21,218.32,223.38,218.32,222.38,549,10,0
2024-03-22,221.5,221.55,218.44,220.02,520,6,0
2024-03-25,218.56,218.71,216.04,217.11,406,7,0
2024-03-26,218.51,219.37,215.47,216.56,665,4,0
2024-03-27,216.24,216.51,211.77,213.93,843,8,0
2024-03-28,216.32,220.49,213.0,219.27,1042,1,0
2024-04-01,219.31,220.53,216.0,217.86,1101,5,0
2024-04-02,214.0,216.96,214.0,216.49,1047,9,0
2024-04-03,217.21,221.99,217.21,219.86,1309,4,0
2024-04-04,221.95,224.63,216.28,217.38,1075,7,0
2024-04-05,220.2,224.74,218.79,224.12,1219,7,0
2024-04-08,224.16,227.69,224.0,224.3,1091,7,0
2024-04-09,222.32,222.69,215.9,222.09,1320,8,0
2024-04-10,216.45,217.71,214.0,215.15,1687,4,0
2024-04-11,212.89,220.91,212.21,219.4,1126,4,0
2024-04-12,217.05,221.42,216.15,221.0,1504,3,0
2024-04-15,221.99,225.56,218.08,219.49,1279,10,0
2024-04-16,219.11,221.36,217.17,220.14,1623,1,0
2024-04-17,213.1,215.37,206.97,211.06,1826,6,0
2024-04-18,209.91,213.2,207.27,207.66,1422,5,0
2024-04-19,209.02,212.47,208.35,211.44,4309,6,0
2024-04-22,212.5,214.89,207.89,211.43,1444,3,0
2024-04-23,209.81,220.12,209.81,218.5,1493,4,0
2024-04-24,213.44,216.16,188.74,195.02,2190,1,0
2024-04-25,195.1,198.56,192.0,196.37,1692,5,0
2024-04-26,181.99,190.51,181.74,181.74,2130,3,0
2024-04-29,183.08,186.11,180.5,184.09,1658,3,0
2024-04-30,182.77,184.08,180.72,181.57,1515,4,0
2024-05-01,180.0,185.92,179.0,182.83,1446,4,0
2024-05-02,184.08,184.72,181.5,182.83,1233,4,0
2024-05-03,186.96,188.95,184.13,184.76,1298,5,0
2024-05-06,184.55,185.35,179.41,179.8,1510,2,0
2024-05-07,180.06,185.44,180.06,184.47,1497,3,0
2024-05-08,184.17,186.56,181.32,181.32,1397,7,0
2024-05-09,181.36,187.19,181.36,183.01,1416,5,0
2024-05-10,184.14,186.41,182.5,184.73,1785,4,0
2024-05-13,185.04,185.48,181.66,181.66,1639,4,0
2024-05-14,182.09,185.52,180.0,181.44,1655,2,0
2024-05-15,183.62,185.02,182.0,183.71,1770,2,0
2024-05-16,183.46,183.72,180.7,181.97,1791,3,0
2024-05-17,182.0,184.76,181.0,182.94,1729,3,0
2024-05-20,182.19,182.19,178.61,178.74,1568,2,0
2024-05-21,178.29,178.77,174.74,175.0,1749,2,0
2024-05-22,174.83,175.51,172.0,172.17,2260,1,0
2024-05-23,172.09,172.3,169.75,171.39,1795,3,0
2024-05-24,171.0,173.96,170.58,172.64,1676,3,0
2024-05-28,170.91,173.65,170.1,172.95,2387,2,0
2024-05-29,170.34,172.9,170.34,170.89,1698,2,0
2024-05-30,170.46,173.96,170.34,172.71,1887,3,0
2024-05-31,173.02,175.31,171.61,175.11,1720,2,0
2024-06-03,177.46,177.46,168.11,169.14,2211,2,0
2024-06-04,179.37,181.4,171.33,171.82,2000,5,0
2024-06-05,172.81,177.46,172.81,175.43,1933,1,0
2024-06-06,165.86,170.61,164.74,168.95,2112,3,0
2024-06-07,166.13,170.13,165.56,168.47,1837,1,0
2024-06-10,167.44,171.9,167.2,171.12,1680,3,0
2024-06-11,168.33,173.96,168.33,173.56,1625,3,0
2024-06-12,177.14,178.24,173.56,174.55,1745,4,0
2024-06-13,172.35,173.5,169.07,173.14,1591,2,0
2024-06-14,170.07,173.04,166.5,172.2,1742,3,0
2024-06-17,170.22,174.05,170.22,173.54,1685,2,0
2024-06-18,173.77,174.3,171.72,173.05,1646,3,0
2024-06-20,174.08,176.69,172.01,174.71,2162,3,0
2024-06-21,175.0,176.07,173.0,174.64,1378,5,0
2024-06-24,174.0,178.67,174.0,175.58,1588,3,0
2024-06-25,172.0,175.62,172.0,174.96,1603,3,0
2024-06-26,174.63,178.49,174.11,175.64,1509,4,0
2024-06-27,174.45,177.05,173.03,174.12,1472,3,0
2024-06-28,176.06,178.1,174.52,176.7,1732,4,0
2024-07-01,175.0,180.45,175.0,178.68,1412,3,0
2024-07-02,178.0,182.5,178.0,182.2,1421,2,0
2024-07-03,182.5,184.05,180.6,181.44,1055,4,0
2024-07-05,180.63,183.53,180.03,182.88,1513,3,0
2024-07-08,181.29,181.62,177.94,180.77,1793,2,0
2024-07-09,180.03,180.03,177.06,178.42,1274,3,0
2024-07-10,177.95,182.27,177.3,181.84,1511,3,0
2024-07-11,183.85,187.67,182.6,186.54,2067,1,0
2024-07-12,188.16,193.44,186.68,190.18,1604,3,0
2024-07-15,190.14,197.71,190.0,194.84,1693,3,0
2024-07-16,195.9,203.98,195.9,203.8,1592,2,0
2024-07-17,199.85,203.25,198.12,198.33,1255,3,0
2024-07-18,198.48,199.69,193.63,195.43,1996,4,0
2024-07-19,194.94,197.08,193.17,195.12,1569,4,0
2024-07-22,197.38,198.61,192.63,194.78,1245,2,0
2024-07-23,194.78,195.63,192.21,192.99,1604,3,0
2024-07-24,194.16,199.52,182.01,194.62,1788,5,0
2024-07-25,195.46,209.63,195.46,205.76,2010,4,0
2024-07-26,203.52,205.84,199.0,202.91,1529,7,0
2024-07-29,202.0,206.52,200.3,201.53,1094,3,0
2024-07-30,201.19,206.94,201.19,205.23,863,7,0
2024-07-31,204.06,213.95,204.06,210.18,1048,8,0
2024-08-01,210.66,215.52,201.81,202.72,1276,7,0
2024-08-02,196.86,196.86,191.0,194.89,1407,7,0
2024-08-05,186.88,198.11,186.88,193.82,1252,3,0
2024-08-06,194.5,202.39,194.05,197.3,1357,10,0
2024-08-07,196.46,199.03,192.75,192.75,1471,2,0
2024-08-08,195.76,197.56,190.82,195.82,1172,6,0
2024-08-09,196.5,196.94,190.58,192.87,1283,2,0
2024-08-12,193.04,193.34,188.56,190.12,1319,6,0
2024-08-13,191.62,195.02,189.36,195.02,884,5,0
2024-08-14,195.83,196.84,191.81,192.84,1001,9,0
2024-08-15,197.21,200.9,196.0,196.44,1065,7,0
2024-08-16,196.34,200.05,194.33,199.82,1072,5,0
2024-08-19,199.05,200.54,197.4,199.83,944,3,0
2024-08-20,198.54,201.04,198.06,198.63,924,4,0
2024-08-21,197.61,203.09,197.61,202.36,952,4,0
2024-08-22,202.97,204.77,199.5,200.06,1036,7,0
2024-08-23,201.0,204.36,201.0,203.47,624,12,0
2024-08-26,204.45,204.95,198.54,198.54,927,4,0
2024-08-27,196.85,196.85,191.02,192.31,949,3,0
2024-08-28,192.0,195.28,192.0,194.18,898,7,0
2024-08-29,194.45,195.51,191.0,191.85,1084,11,0
2024-08-30,191.04,192.96,188.5,192.38,1159,4,0
2024-09-03,190.35,196.25,189.73,194.79,1180,2,0
2024-09-04,199.0,199.0,193.63,195.77,1017,6,0
2024-09-05,185.62,187.77,179.87,185.09,1308,3,0
2024-09-06,184.68,186.92,182.56,184.41,1267,5,0
2024-09-09,185.0,190.8,185.0,189.42,1179,5,0
2024-09-10,189.31,191.61,187.99,191.22,929,4,0
2024-09-11,189.93,190.11,182.3,188.92,1353,4,0
2024-09-12,188.71,191.57,186.88,191.03,1125,6,0
2024-09-13,189.88,193.72,189.12,192.42,1230,2,0
2024-09-16,193.76,194.71,190.12,191.91,1231,4,0
2024-09-17,192.51,196.93,192.0,194.32,1194,5,0
2024-09-18,193.39,201.01,193.2,196.21,1541,9,0
2024-09-19,201.04,206.35,200.29,204.3,1612,5,0
