time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,185.71,189.41,185.0,186.17,597,11,0
2024-01-03,181.73,183.07,177.84,179.19,708,4,0
2024-01-04,175.88,178.12,173.75,175.31,602,9,0
2024-01-05,174.0,177.86,173.81,176.17,470,8,0
2024-01-08,177.14,180.26,176.63,179.42,426,8,0
2024-01-09,176.37,181.58,175.75,177.34,560,13,0
2024-01-10,176.35,176.75,171.71,176.75,748,3,0
2024-01-11,175.29,179.0,175.0,177.36,799,6,0
2024-01-12,176.45,180.84,175.81,177.29,438,11,0
2024-01-16,175.97,178.67,174.0,178.66,653,2,0
2024-01-17,174.56,174.65,172.0,174.05,453,9,0
2024-01-18,177.16,179.7,174.34,179.32,618,8,0
2024-01-19,177.71,180.41,175.0,176.87,514,11,0
2024-01-22,178.6,184.69,178.6,183.76,856,3,0
2024-01-23,182.66,184.28,178.47,180.08,708,6,0
2024-01-24,180.99,182.79,177.18,177.9,613,9,0
2024-01-25,179.78,182.81,177.5,178.28,540,13,0
2024-01-26,176.51,178.61,173.62,175.24,538,7,0
2024-01-29,175.73,179.55,174.15,179.26,468,7,0
2024-01-30,176.51,177.24,173.5,174.11,459,6,0
2024-01-31,171.0,173.8,168.28,169.25,634,7,0
2024-02-01,170.22,171.11,167.0,170.88,592,7,0
2024-02-02,168.37,171.51,166.72,170.85,483,11,0
2024-02-05,170.33,171.48,167.18,169.57,422,14,0
2024-02-06,168.47,171.54,167.52,171.04,402,11,0
2024-02-07,171.52,176.96,169.0,175.35,571,4,0
2024-02-08,176.0,183.8,176.0,181.23,540,6,0
2024-02-09,181.0,183.83,181.0,183.29,388,8,0
2024-02-12,183.31,186.11,181.51,181.97,635,4,0
2024-02-13,175.58,179.53,175.08,177.4,655,10,0
2024-02-14,179.58,183.39,178.71,183.36,653,4,0
2024-02-15,184.38,186.35,182.14,185.61,571,1,0
2024-02-16,184.17,186.0,180.65,180.87,462,10,0
2024-02-20,179.09,185.85,179.09,185.1,724,13,0
2024-02-21,183.79,184.45,180.5,183.57,729,10,0
2024-02-22,187.5,188.99,184.94,186.83,595,6,0
2024-02-23,174.17,174.96,171.0,171.5,848,10,0
2024-02-26,172.0,176.4,172.0,172.84,590,12,0
2024-02-27,173.25,173.5,168.01,168.44,710,6,0
2024-02-28,167.12,171.28,166.25,169.28,664,10,0
2024-02-29,172.9,175.99,171.83,174.66,585,9,0
2024-03-01,173.51,176.09,173.0,173.92,603,6,0
2024-03-04,175.47,175.47,171.03,172.77,483,8,0
2024-03-05,170.9,171.5,168.8,169.75,679,9,0
2024-03-06,171.21,172.15,168.53,168.75,662,3,0
2024-03-07,170.0,174.3,169.06,172.16,555,6,0
2024-03-08,173.46,174.34,168.43,168.88,556,9,0
2024-03-11,168.0,169.32,166.25,168.3,522,13,0
2024-03-12,168.03,168.95,165.5,166.43,730,6,0
2024-03-13,163.45,164.8,162.02,162.66,742,4,0
2024-03-14,160.6,162.0,158.1,159.57,662,0,0
2024-03-15,158.08,160.2,158.0,159.51,608,13,0
2024-03-18,160.51,161.26,158.62,159.35,628,3,0
2024-03-19,157.28,158.75,155.67,158.47,397,4,0
2024-03-20,159.85,161.98,157.0,161.17,718,5,0
