time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,82.31,83.7,80.26,81.43,6781,1,0
2024-01-03,79.13,79.72,77.51,79.3,10042,1,0
2024-01-04,74.81,77.96,74.78,76.2,9616,1,0
2024-01-05,75.61,77.07,75.05,75.69,7398,1,0
2024-01-08,76.05,78.69,76.03,78.06,6185,1,0
2024-01-09,76.87,77.87,75.75,76.99,7466,1,0
2024-01-10,75.51,76.33,73.16,75.61,6731,1,0
2024-01-11,75.39,75.82,72.91,74.45,8713,1,0
2024-01-12,74.26,75.26,73.23,73.45,5713,1,0
2024-01-16,72.81,74.8,72.5,73.75,7356,1,0
2024-01-17,71.75,72.36,70.68,72.32,6817,1,0
2024-01-18,74.28,74.3,71.93,73.27,6706,1,0
2024-01-19,73.63,74.45,72.58,73.68,8595,1,0
2024-01-22,74.98,76.56,74.36,75.19,6806,1,0
2024-01-23,75.57,77.05,75.0,76.71,5065,1,0
2024-01-24,76.3,77.44,74.98,75.05,7972,1,0
2024-01-25,74.99,75.34,72.3,72.66,7728,1,0
2024-01-26,72.12,73.5,71.44,71.73,7647,1,0
2024-01-29,72.01,72.97,71.61,72.93,5575,1,0
2024-01-30,72.8,73.59,72.16,72.59,5559,1,0
2024-01-31,71.13,72.98,70.7,71.17,9016,1,0
2024-02-01,71.55,71.76,69.23,70.15,8009,1,0
2024-02-02,68.9,71.11,68.52,70.71,7648,1,0
2024-02-05,76.05,78.59,75.24,77.6,8388,1,0
2024-02-06,76.35,77.26,74.87,76.17,7049,1,0
2024-02-07,76.9,77.42,75.02,76.91,5182,1,0
2024-02-08,77.46,80.88,77.33,80.67,6592,1,0
2024-02-09,80.91,81.51,79.7,80.67,5314,1,0
2024-02-12,81.54,83.41,80.67,80.92,6842,1,0
2024-02-13,77.77,79.63,77.49,78.58,7416,1,0
2024-02-14,79.71,81.8,79.07,81.65,6853,1,0
2024-02-15,82.25,82.37,80.39,80.66,6524,1,0
2024-02-16,80.65,81.13,78.12,78.69,6583,1,0
2024-02-20,77.53,77.91,76.25,77.46,6606,1,0
2024-02-21,76.6,77.7,76.1,77.53,6824,1,0
2024-02-22,78.58,79.01,77.35,78.35,5405,0,0
2024-02-23,77.85,78.2,76.27,76.3,6211,0,0
