time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,29.35,29.6,29.31,29.42,2089,1,0
2024-01-03,29.42,29.67,29.34,29.37,2502,1,0
2024-01-04,29.4,29.76,29.39,29.53,1915,1,0
2024-01-05,29.47,29.98,29.47,29.82,2213,1,0
2024-01-08,29.82,29.88,29.41,29.63,1556,1,0
2024-01-09,29.5,29.5,29.13,29.44,1599,1,0
2024-01-10,29.36,29.56,29.32,29.56,1731,1,0
2024-01-11,29.51,29.65,29.27,29.65,2028,1,0
2024-01-12,29.77,29.85,29.56,29.71,2064,1,0
2024-01-16,29.59,29.8,29.4,29.56,2055,0,0
2024-01-17,29.4,29.73,29.31,29.54,1823,1,0
2024-01-18,29.32,29.79,29.32,29.77,1570,1,0
2024-01-19,29.89,30.06,29.76,29.94,2135,1,0
2024-01-22,29.97,30.41,29.97,30.36,2363,1,0
2024-01-23,30.28,30.44,30.1,30.2,1712,1,0
2024-01-24,30.2,30.6,30.2,30.37,2258,1,0
2024-01-25,29.68,29.68,27.35,27.54,4347,1,0
2024-01-26,27.54,28.28,27.54,27.97,2866,1,0
2024-01-29,27.82,28.17,27.78,28.0,1723,1,0
2024-01-30,27.96,28.31,27.89,28.26,2117,1,0
2024-01-31,28.36,28.4,28.01,28.07,2628,1,0
2024-02-01,27.9,27.95,27.35,27.64,2029,1,0
2024-02-02,27.59,27.94,27.59,27.77,2574,1,0
2024-02-05,27.63,27.63,27.35,27.51,1937,1,0
2024-02-06,27.42,27.77,27.42,27.59,1571,1,0
2024-02-07,27.42,27.66,27.32,27.5,1891,1,0
2024-02-08,27.27,27.61,27.19,27.54,1481,1,0
2024-02-09,27.35,27.96,27.31,27.86,1383,1,0
2024-02-12,28.1,28.82,28.1,28.71,2021,1,0
2024-02-13,28.56,28.75,28.38,28.57,2045,1,0
2024-02-14,28.61,28.9,28.56,28.79,1715,1,0
2024-02-15,28.77,29.18,28.77,29.03,1909,1,0
2024-02-16,28.96,29.02,28.39,28.41,1752,1,0
2024-02-20,28.21,28.59,28.2,28.23,2353,1,0
2024-02-21,28.25,28.46,28.1,28.44,1373,1,0
2024-02-22,28.38,28.61,28.2,28.59,1442,1,0
2024-02-23,28.6,28.86,28.48,28.74,1757,1,0
2024-02-26,28.5,28.93,28.5,28.91,1714,1,0
2024-02-27,28.8,29.07,28.7,28.99,1439,1,0
2024-02-28,28.8,29.22,28.8,29.0,1531,1,0
2024-02-29,29.01,29.06,28.8,28.97,1315,1,0
2024-03-01,29.53,29.57,29.13,29.18,2043,1,0
2024-03-04,29.16,29.51,28.98,29.24,1454,1,0
2024-03-05,29.22,29.27,28.86,28.99,1615,1,0
2024-03-06,29.12,29.32,28.87,29.31,2039,1,0
2024-03-07,29.25,29.65,29.25,29.35,1596,1,0
2024-03-08,29.0,29.17,28.74,28.98,1848,1,0
2024-03-11,29.06,29.25,28.94,29.2,1523,1,0
2024-03-12,29.19,29.23,29.03,29.15,1739,1,0
2024-03-13,29.15,29.35,29.1,29.27,1234,1,0
2024-03-14,29.28,29.39,28.98,29.11,2109,1,0
2024-03-15,29.13,29.34,29.01,29.31,2024,1,0
2024-03-18,29.16,29.39,29.04,29.05,1222,1,0
2024-03-19,29.14,29.54,29.14,29.46,1611,1,0
2024-03-20,29.34,29.93,29.34,29.83,1808,1,0
2024-03-21,29.66,30.1,29.65,29.95,1909,1,0
2024-03-22,29.85,29.98,29.6,29.62,1164,1,0
2024-03-25,29.8,30.05,29.71,29.86,1215,1,0
2024-03-26,29.91,30.14,29.89,30.02,1191,1,0
2024-03-27,30.07,30.53,30.07,30.53,1233,1,0
2024-03-28,30.6,30.89,30.6,30.76,1421,1,0
2024-04-01,30.6,30.86,30.6,30.83,1370,1,0
2024-04-02,30.83,31.01,30.68,30.69,1741,1,0
2024-04-03,30.51,31.01,30.42,30.9,1587,0,0
2024-04-04,31.05,31.2,30.61,30.62,1415,1,0
2024-04-05,30.73,30.95,30.61,30.89,1795,1,0
2024-04-08,30.98,31.05,30.72,30.77,1432,1,0
2024-04-09,30.68,30.71,30.01,30.09,1858,1,0
2024-04-10,29.86,29.96,29.36,29.64,1750,1,0
2024-04-11,29.4,29.92,29.4,29.61,1357,1,0
2024-04-12,29.49,29.75,29.31,29.34,1897,1,0
2024-04-15,29.59,29.61,28.82,28.92,1877,1,0
2024-04-16,28.79,29.16,28.61,28.97,2503,1,0
2024-04-17,28.72,29.03,28.56,28.62,1709,1,0
2024-04-18,28.75,29.17,28.65,29.12,1787,1,0
2024-04-19,29.06,29.84,29.06,29.77,1723,1,0
2024-04-22,29.73,30.25,29.54,30.16,1243,1,0
2024-04-23,30.14,30.47,30.06,30.3,1345,0,0
2024-04-24,30.09,30.35,30.03,30.25,1532,1,0
2024-04-25,30.09,30.61,29.37,29.97,2659,1,0
2024-04-26,29.65,30.43,29.44,30.12,1424,1,0
2024-04-29,30.01,30.19,29.7,29.74,1661,1,0
2024-04-30,29.47,29.92,29.47,29.88,1219,1,0
2024-05-01,29.95,30.49,29.92,30.26,1715,1,0
2024-05-02,30.25,30.74,30.1,30.58,2038,1,0
2024-05-03,30.64,30.74,30.33,30.64,1266,1,0
2024-05-06,30.71,31.03,30.59,30.86,1191,1,0
2024-05-07,30.83,31.27,30.83,31.1,1419,1,0
2024-05-08,31.05,31.3,31.0,31.09,964,1,0
2024-05-09,30.86,31.22,30.86,31.19,980,1,0
2024-05-10,31.2,31.47,31.12,31.44,1240,1,0
2024-05-13,31.28,31.58,31.09,31.1,979,1,0
2024-05-14,31.16,31.4,30.97,31.39,1304,1,0
2024-05-15,31.37,31.62,31.23,31.42,1255,1,0
2024-05-16,31.67,32.01,31.48,31.93,1290,1,0
2024-05-17,31.97,32.25,31.81,32.23,995,1,0
2024-05-20,32.01,32.13,31.68,31.75,1039,1,0
2024-05-21,31.73,31.99,31.73,31.79,970,1,0
2024-05-22,31.76,31.92,31.6,31.73,1173,1,0
2024-05-23,31.7,31.7,31.2,31.27,1568,1,0
2024-05-24,31.4,31.51,31.33,31.43,1057,1,0
2024-05-28,31.41,31.46,31.14,31.17,1158,1,0
2024-05-29,31.01,31.08,30.8,30.94,1365,1,0
2024-05-30,31.01,31.51,30.98,31.43,1188,1,0
2024-05-31,31.23,31.81,31.23,31.8,1186,1,0
2024-06-03,31.72,31.79,31.17,31.29,1249,1,0
2024-06-04,31.03,31.28,30.93,31.03,1145,1,0
2024-06-05,31.07,31.07,30.75,30.82,1192,1,0
2024-06-06,30.75,31.01,30.53,30.7,1053,1,0
2024-06-07,30.67,30.97,30.63,30.73,1162,1,0
2024-06-10,30.51,30.66,30.33,30.52,1176,1,0
2024-06-11,30.24,30.28,30.0,30.19,933,1,0
2024-06-12,30.32,30.37,29.84,30.01,1468,1,0
2024-06-13,29.93,30.06,29.66,29.9,1321,1,0
2024-06-14,29.54,29.78,29.5,29.64,1291,1,0
2024-06-17,29.57,29.99,29.52,29.97,1308,1,0
2024-06-18,30.01,30.42,30.01,30.27,1149,1,0
2024-06-20,30.3,30.67,30.25,30.57,1275,1,0
2024-06-21,30.37,30.82,30.37,30.81,1443,1,0
2024-06-24,30.77,31.36,30.7,31.14,1267,1,0
2024-06-25,31.03,31.18,30.71,30.74,1406,1,0
2024-06-26,30.58,30.62,30.29,30.6,1393,1,0
