time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,60.19,60.93,59.89,60.08,8553,1,0
2024-01-03,59.8,60.78,59.43,60.56,10447,1,0
2024-01-04,60.84,61.02,58.99,59.09,7871,1,0
2024-01-05,59.52,59.56,58.58,58.91,7142,1,0
2024-01-08,57.77,58.25,57.32,58.22,6541,1,0
2024-01-09,58.02,58.03,57.31,57.48,6057,1,0
2024-01-10,57.25,57.3,56.67,56.83,4840,1,0
2024-01-11,57.22,57.67,57.02,57.14,7194,1,0
2024-01-12,58.38,58.46,57.5,58.06,6345,1,0
2024-01-16,57.88,57.97,56.62,56.64,5733,1,0
2024-01-17,56.12,56.66,55.96,56.23,5663,1,0
2024-01-18,56.01,56.64,55.53,56.57,5947,1,0
2024-01-19,56.05,56.4,55.81,56.39,5681,1,0
2024-01-22,56.21,56.97,55.91,56.72,5282,1,0
2024-01-23,56.6,57.15,56.54,56.71,4258,1,0
2024-01-24,56.97,57.43,56.78,57.27,6075,1,0
2024-01-25,57.65,58.04,56.95,58.03,5632,1,0
2024-01-26,58.1,58.42,57.54,58.42,5061,1,0
2024-01-29,58.29,58.33,57.6,58.26,4068,1,0
2024-01-30,57.88,58.98,57.75,58.93,5841,1,0
2024-01-31,58.75,58.75,57.6,57.62,8341,1,0
2024-02-01,57.88,58.1,56.91,57.33,8649,1,0
2024-02-02,57.19,57.54,56.73,57.01,8309,1,0
2024-02-05,56.61,57.33,56.07,56.96,7114,1,0
2024-02-06,57.34,58.4,57.12,57.57,8046,1,0
2024-02-07,57.73,58.0,57.07,57.55,7879,1,0
2024-02-08,57.79,58.29,57.55,58.09,6605,1,0
2024-02-09,58.19,58.33,57.23,57.4,6251,0,0
2024-02-12,57.8,58.48,57.61,58.01,6656,1,0
2024-02-13,57.87,58.03,57.03,57.6,9238,1,0
2024-02-14,57.77,58.3,57.05,57.32,8141,1,0
2024-02-15,57.85,60.13,57.61,60.08,12720,1,0
2024-02-16,60.29,60.86,60.08,60.53,8344,0,0
2024-02-20,60.04,60.22,59.15,59.59,9284,1,0
2024-02-21,59.39,60.51,59.31,60.51,7538,1,0
2024-02-22,60.23,60.86,59.82,60.56,10216,1,0
2024-02-23,59.77,60.22,59.45,60.09,7939,1,0
2024-02-26,59.62,60.75,59.55,60.52,5492,1,0
2024-02-27,60.66,60.91,60.16,60.66,6802,1,0
