time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,118.58,118.92,117.22,117.83,3008,1,0
2024-01-03,118.23,118.23,116.69,116.85,2430,1,0
2024-01-04,116.98,118.44,116.27,117.87,3060,1,0
2024-01-05,117.07,118.59,117.0,117.79,3335,1,0
2024-01-08,117.71,119.57,117.33,119.52,3139,1,0
2024-01-09,117.98,118.81,117.5,118.47,3090,1,0
2024-01-10,118.07,119.15,118.0,118.71,2199,2,0
2024-01-11,118.27,119.16,117.63,119.15,3800,1,0
2024-01-12,120.13,120.13,118.55,119.64,3203,1,0
2024-01-16,119.03,119.81,118.07,119.65,2803,1,0
2024-01-17,118.84,120.28,118.84,120.15,3446,1,0
2024-01-18,119.92,120.38,118.82,120.19,3542,1,0
2024-01-19,121.34,122.68,119.58,122.01,4350,1,0
2024-01-22,122.3,123.01,121.86,122.65,3587,1,0
2024-01-23,122.74,123.21,122.22,122.88,3249,1,0
2024-01-24,123.22,124.34,121.45,121.89,6266,1,0
2024-01-25,121.85,123.15,120.46,120.89,4775,1,0
2024-01-26,121.02,121.35,120.15,120.93,4084,1,0
2024-01-29,120.07,121.46,120.04,121.32,3705,1,0
2024-01-30,120.32,122.53,119.66,122.45,4374,1,0
2024-01-31,123.39,123.39,121.28,121.65,3636,1,0
2024-02-01,120.87,121.57,119.1,121.07,2213,1,0
2024-02-02,120.75,122.01,119.84,121.66,2481,1,0
2024-02-05,120.5,120.66,119.23,119.79,4223,1,0
2024-02-06,120.28,122.53,119.73,122.02,4452,1,0
2024-02-07,122.74,122.74,121.42,121.87,3832,1,0
2024-02-08,121.41,122.7,121.0,122.52,3472,1,0
2024-02-09,122.59,123.22,121.7,123.03,4643,1,0
2024-02-12,121.96,122.43,121.4,121.9,4168,1,0
2024-02-13,121.1,121.76,120.28,121.42,5003,1,0
2024-02-14,121.51,122.74,121.2,122.03,3552,1,0
2024-02-15,122.31,123.12,122.31,122.6,3303,1,0
2024-02-16,122.54,123.77,121.75,123.21,2557,2,0
2024-02-20,123.0,124.47,123.0,124.41,3473,1,0
2024-02-21,123.54,124.68,122.64,123.46,3132,2,0
2024-02-22,123.5,124.98,123.05,124.7,2622,1,0
2024-02-23,124.41,125.16,124.34,124.55,2118,2,0
2024-02-26,124.25,124.77,123.26,123.33,2189,1,0
2024-02-27,122.85,123.3,122.28,122.87,2420,1,0
2024-02-28,122.21,123.35,122.03,122.37,2601,1,0
2024-02-29,122.36,123.09,122.03,122.51,2680,1,0
2024-03-01,121.42,122.58,121.38,122.18,2832,1,0
2024-03-04,122.43,124.32,122.09,122.22,3863,1,0
2024-03-05,122.02,122.32,119.5,120.19,2702,1,0
2024-03-06,119.93,121.34,119.5,120.51,2977,1,0
2024-03-07,121.4,121.98,120.08,120.96,2628,1,0
2024-03-08,120.24,121.77,120.0,120.68,5257,1,0
2024-03-11,121.01,121.77,119.8,121.43,3991,1,0
2024-03-12,121.11,122.92,120.67,122.34,3961,0,0
2024-03-13,122.16,123.32,121.77,122.08,3335,1,0
2024-03-14,122.16,122.36,120.4,121.4,3578,1,0
2024-03-15,121.16,121.83,119.75,120.11,4240,1,0
2024-03-18,120.98,121.57,120.24,120.47,3403,1,0
2024-03-19,119.94,121.12,119.8,121.09,2676,1,0
2024-03-20,120.7,123.51,120.25,122.89,3181,1,0
2024-03-21,122.34,123.63,122.1,122.39,2991,1,0
2024-03-22,122.25,122.59,120.55,120.89,2629,1,0
2024-03-25,120.18,120.19,118.4,118.87,2897,1,0
2024-03-26,118.7,119.75,118.5,119.57,2950,1,0
2024-03-27,120.24,121.73,120.24,121.45,2853,1,0
