time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,23.99,23.99,22.99,23.25,695,1,0
2024-01-03,22.85,23.0,22.26,22.38,556,1,0
2024-01-04,22.0,23.13,22.0,22.69,587,1,0
2024-01-05,22.37,22.67,22.26,22.58,434,1,0
2024-01-08,22.48,23.34,22.36,23.08,471,1,0
2024-01-09,22.64,23.35,22.48,23.19,479,1,0
2024-01-10,23.08,23.48,23.08,23.34,327,1,0
2024-01-11,23.46,23.94,23.21,23.66,566,1,0
2024-01-12,24.01,24.17,23.73,23.81,466,2,0
2024-01-16,23.3,23.5,22.94,23.17,475,1,0
2024-01-17,22.8,23.27,22.6,23.02,448,1,0
2024-01-18,23.24,23.33,22.82,23.21,487,1,0
2024-01-19,23.04,24.08,22.92,23.68,528,1,0
2024-01-22,23.8,24.25,23.7,23.92,537,1,0
2024-01-23,23.7,24.18,23.7,23.92,540,1,0
2024-01-24,23.96,24.53,23.88,23.93,496,1,0
2024-01-25,22.77,24.31,22.63,24.05,400,1,0
2024-01-26,23.85,24.35,23.56,24.3,407,1,0
2024-01-29,23.87,24.86,23.87,24.82,409,1,0
2024-01-30,24.65,24.68,24.31,24.38,348,1,0
2024-01-31,24.0,25.13,24.0,24.34,584,1,0
2024-02-01,24.27,25.03,24.25,24.79,536,1,0
2024-02-02,24.5,24.94,24.29,24.77,405,2,0
2024-02-05,24.5,24.6,24.13,24.49,709,1,0
2024-02-06,24.52,24.91,24.22,24.75,380,1,0
2024-02-07,24.86,24.97,24.43,24.57,555,1,0
2024-02-08,24.35,24.82,24.15,24.76,674,1,0
2024-02-09,24.83,25.5,24.56,24.95,743,1,0
2024-02-12,25.18,25.63,24.58,24.99,779,1,0
2024-02-13,24.0,24.44,23.76,24.16,806,1,0
2024-02-14,24.2,25.39,24.2,25.28,781,1,0
2024-02-15,30.01,34.59,30.01,34.24,1457,1,0
2024-02-16,33.04,33.12,31.25,32.39,1078,1,0
2024-02-20,31.8,32.61,31.18,32.31,773,1,0
2024-02-21,31.53,32.0,31.23,31.41,623,1,0
2024-02-22,31.6,32.42,31.5,32.3,565,2,0
2024-02-23,32.35,32.48,31.5,31.76,549,1,0
2024-02-26,31.72,33.07,31.59,32.91,612,1,0
2024-02-27,33.36,33.56,32.7,32.79,807,1,0
2024-02-28,32.25,32.57,31.8,32.16,461,1,0
2024-02-29,32.44,32.6,32.01,32.45,395,2,0
