time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,68.4,70.74,68.4,69.72,854,1,0
2024-01-03,69.51,70.06,68.59,68.78,825,1,0
2024-01-04,68.38,69.83,68.17,68.91,1018,1,0
2024-01-05,68.54,70.53,68.15,69.89,863,1,0
2024-01-08,69.5,70.45,68.6,70.45,777,1,0
2024-01-09,69.61,70.64,69.04,70.49,646,1,0
2024-01-10,70.11,71.1,70.11,70.84,779,1,0
2024-01-11,70.33,70.83,69.88,70.62,776,1,0
2024-01-12,70.94,70.94,70.0,70.32,727,1,0
2024-01-16,70.0,70.65,69.65,69.99,689,1,0
2024-01-17,69.34,71.29,69.34,70.83,878,1,0
2024-01-18,70.37,71.0,69.89,70.9,906,1,0
2024-01-19,70.81,71.12,70.01,70.77,793,1,0
2024-01-22,70.79,71.74,70.55,70.74,605,1,0
2024-01-23,70.72,71.09,70.21,70.65,609,1,0
2024-01-24,70.52,71.14,70.18,70.46,697,1,0
2024-01-25,70.65,71.22,70.03,71.02,783,1,0
2024-01-26,70.8,71.37,70.4,70.63,514,1,0
2024-01-29,70.14,71.44,70.06,71.4,552,1,0
2024-01-30,71.03,74.12,70.74,73.8,980,1,0
2024-01-31,73.75,74.11,72.46,72.67,1635,1,0
2024-02-01,72.62,74.12,71.86,73.58,1078,1,0
2024-02-02,73.35,74.64,73.1,74.37,1015,1,0
2024-02-05,73.85,73.85,72.84,73.13,851,1,0
2024-02-06,72.75,73.73,72.67,73.16,1036,1,0
2024-02-07,70.41,72.89,69.91,72.27,1540,1,0
2024-02-08,72.33,74.21,72.0,72.56,1105,1,0
2024-02-09,72.27,73.19,71.6,71.69,876,1,0
2024-02-12,71.71,73.72,71.71,73.55,992,1,0
2024-02-13,72.69,72.93,70.84,71.35,1083,1,0
2024-02-14,70.83,72.28,70.79,72.23,816,1,0
2024-02-15,72.26,73.88,72.26,73.22,941,2,0
2024-02-16,73.06,75.04,72.59,74.7,1039,1,0
2024-02-20,74.54,75.28,73.96,74.64,845,1,0
2024-02-21,74.5,75.39,74.25,74.66,969,1,0
2024-02-22,74.1,75.49,73.67,75.16,597,1,0
2024-02-23,74.96,75.85,74.62,75.49,404,1,0
2024-02-26,75.19,76.63,75.19,75.83,776,1,0
2024-02-27,75.95,76.68,75.12,76.61,953,1,0
2024-02-28,76.17,76.73,75.98,76.3,619,2,0
2024-02-29,75.64,77.02,75.51,76.68,928,2,0
2024-03-01,76.34,76.64,75.56,76.49,795,1,0
2024-03-04,76.82,77.89,76.45,77.41,959,1,0
2024-03-05,77.57,78.34,76.55,76.62,868,1,0
2024-03-06,76.71,77.1,75.76,76.51,749,1,0
2024-03-07,76.74,78.09,76.14,77.47,662,1,0
2024-03-08,76.94,77.62,76.18,76.22,696,1,0
2024-03-11,75.74,75.74,74.78,74.96,705,2,0
2024-03-12,75.0,75.9,74.79,75.2,759,2,0
2024-03-13,75.18,76.51,74.9,75.74,783,1,0
2024-03-14,74.98,75.84,74.54,75.78,940,1,0
2024-03-15,76.03,76.73,75.33,76.11,820,1,0
2024-03-18,75.88,76.54,75.24,75.53,883,1,0
2024-03-19,75.4,76.4,74.9,76.27,514,1,0
2024-03-20,75.7,76.82,75.04,76.59,787,2,0
2024-03-21,76.42,77.03,75.65,76.46,710,1,0
2024-03-22,76.0,76.35,75.14,75.65,716,1,0
2024-03-25,75.3,76.1,74.86,74.89,722,1,0
2024-03-26,75.1,75.51,74.61,75.13,677,1,0
2024-03-27,75.26,75.81,74.95,75.66,808,0,0
2024-03-28,75.65,76.08,74.66,74.73,717,1,0
2024-04-01,73.93,75.5,73.66,74.04,988,1,0
2024-04-02,73.44,74.19,73.44,73.84,707,1,0
2024-04-03,73.35,73.91,73.14,73.48,640,1,0
2024-04-04,73.34,73.41,68.36,69.53,1604,1,0
2024-04-05,69.35,70.67,69.35,70.18,1011,1,0
2024-04-08,70.15,71.18,69.74,70.84,799,1,0
2024-04-09,70.82,71.53,70.39,71.39,685,1,0
2024-04-10,69.91,71.41,69.91,71.31,735,2,0
2024-04-11,70.89,71.54,70.69,71.23,572,2,0
2024-04-12,70.13,70.99,69.04,69.06,825,1,0
2024-04-15,69.73,70.18,68.61,68.93,930,1,0
2024-04-16,68.61,69.82,68.1,69.73,790,1,0
2024-04-17,70.03,70.03,67.95,68.43,824,2,0
2024-04-18,68.55,68.78,67.68,67.85,819,1,0
2024-04-19,67.59,68.41,67.3,68.29,784,1,0
2024-04-22,68.48,69.36,67.83,68.82,785,1,0
2024-04-23,68.69,69.6,68.53,69.1,708,2,0
2024-04-24,68.36,69.55,68.34,69.36,663,1,0
2024-04-25,69.0,69.13,68.41,68.79,700,1,0
2024-04-26,68.48,69.48,68.26,68.85,719,1,0
2024-04-29,68.63,69.29,68.3,68.57,664,2,0
2024-04-30,67.29,69.36,66.98,67.8,1087,1,0
2024-05-01,67.91,69.27,67.54,68.22,1028,1,0
2024-05-02,68.29,69.22,67.64,68.42,899,1,0
2024-05-03,68.4,69.54,68.2,69.11,676,2,0
2024-05-06,69.31,69.64,68.87,69.46,959,1,0
2024-05-07,69.52,70.2,68.93,69.15,857,1,0
2024-05-08,68.5,73.07,68.23,68.88,1849,1,0
2024-05-09,68.62,71.1,68.12,70.91,1024,1,0
2024-05-10,70.88,71.2,70.03,71.03,775,1,0
2024-05-13,70.52,70.83,69.54,69.74,654,1,0
2024-05-14,69.42,70.57,69.24,70.36,568,1,0
2024-05-15,70.35,71.97,69.83,71.87,826,1,0
2024-05-16,72.19,74.02,71.93,73.88,776,1,0
2024-05-17,73.43,74.07,72.98,73.86,815,1,0
2024-05-20,73.83,74.28,71.79,72.14,978,1,0
2024-05-21,72.07,72.36,70.9,71.52,781,1,0
2024-05-22,71.43,72.25,70.86,71.43,714,1,0
2024-05-23,70.98,71.13,69.51,70.2,738,1,0
2024-05-24,70.3,70.3,69.38,69.62,541,1,0
2024-05-28,69.26,69.51,68.43,68.66,678,1,0
2024-05-29,67.8,68.49,67.66,67.76,585,1,0
2024-05-30,67.52,68.24,67.25,67.89,584,1,0
2024-05-31,67.95,69.57,67.8,69.47,660,2,0
2024-06-03,68.78,71.36,68.74,71.05,1168,1,0
2024-06-04,70.44,70.61,69.11,69.19,725,1,0
2024-06-05,69.48,69.98,69.02,69.47,511,2,0
2024-06-06,68.76,70.99,68.76,70.62,559,1,0
