time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,146.42,149.39,146.31,148.6,8776,2,0
2024-01-03,148.81,149.1,147.16,147.62,11703,2,0
2024-01-04,148.18,149.25,147.68,148.74,9258,2,0
2024-01-05,148.5,148.51,146.54,147.29,8281,2,0
2024-01-08,147.43,148.91,147.43,148.65,11642,2,0
2024-01-09,148.14,149.39,148.01,149.18,11588,2,0
2024-01-10,149.18,149.99,149.18,149.91,6390,2,0
2024-01-11,150.05,150.79,149.28,150.58,8053,2,0
2024-01-12,151.01,151.23,149.88,150.51,6121,2,0
2024-01-16,150.27,151.48,148.87,149.81,8394,2,0
2024-01-17,149.71,150.59,149.3,149.98,14662,2,0
2024-01-18,147.69,148.38,146.9,148.17,14798,0,0
2024-01-19,147.87,148.52,147.3,147.49,14243,2,0
2024-01-22,146.39,148.2,146.28,147.93,14688,2,0
2024-01-23,153.51,156.33,152.86,153.88,13268,2,0
2024-01-24,153.76,154.11,152.08,152.17,13912,2,0
2024-01-25,152.04,155.48,152.04,155.41,13835,2,0
2024-01-26,155.96,156.14,155.3,156.05,14343,2,0
2024-01-29,156.39,157.28,155.38,156.12,12485,2,0
2024-01-30,156.06,157.9,155.81,157.5,12994,2,0
2024-01-31,157.98,158.47,156.69,157.24,13802,2,0
2024-02-01,157.0,159.29,156.61,159.03,15719,2,0
2024-02-02,158.79,159.56,157.5,158.16,15945,2,0
2024-02-05,157.84,158.99,157.51,158.35,11239,2,0
2024-02-06,158.17,159.06,157.81,158.82,15143,2,0
2024-02-07,159.37,159.82,158.72,158.99,14844,2,0
2024-02-08,158.76,159.06,157.75,158.46,13461,2,0
2024-02-09,158.1,158.32,156.95,157.29,15355,2,0
2024-02-12,157.53,157.59,155.46,156.97,16187,2,0
2024-02-13,158.2,158.37,155.48,156.27,14801,2,0
2024-02-14,155.93,156.15,154.9,155.66,14218,2,0
2024-02-15,156.39,157.41,156.35,156.95,12416,2,0
2024-02-16,156.96,158.43,156.65,157.49,13399,2,0
2024-02-20,158.66,159.78,158.0,158.33,9638,2,0
2024-02-21,159.48,160.32,159.08,160.18,10856,2,0
2024-02-22,159.16,161.09,158.62,160.55,8408,2,0
2024-02-23,160.39,161.64,160.13,161.21,8450,2,0
2024-02-26,161.04,161.04,160.05,160.18,8312,2,0
2024-02-27,159.12,159.78,158.96,159.34,6585,2,0
2024-02-28,158.89,160.12,158.62,160.06,5560,2,0
2024-02-29,159.82,160.07,158.18,159.01,6950,2,0
2024-03-01,157.61,159.03,157.55,158.82,5345,2,0
2024-03-04,157.37,159.74,157.37,159.54,4984,2,0
2024-03-05,159.6,159.98,158.76,159.37,6865,2,0
2024-03-06,159.37,159.97,158.9,159.55,8295,2,0
2024-03-07,160.06,160.91,159.45,160.62,6312,2,0
2024-03-08,159.0,161.23,158.05,160.56,6335,2,0
2024-03-11,161.98,162.39,160.79,161.58,5316,2,0
2024-03-12,161.82,162.51,161.2,162.01,4741,2,0
2024-03-13,162.48,162.7,161.33,162.43,4087,2,0
2024-03-14,162.16,162.59,161.1,161.59,5002,0,0
2024-03-15,160.22,161.37,160.07,161.17,4672,2,0
2024-03-18,161.71,162.7,161.01,161.01,4805,2,0
2024-03-19,161.44,162.14,161.14,161.8,4033,2,0
2024-03-20,161.78,162.36,161.45,161.9,4283,2,0
2024-03-21,161.3,162.43,161.08,161.96,4243,2,0
2024-03-22,161.91,162.39,161.45,161.67,2894,2,0
2024-03-25,161.0,161.59,159.73,160.01,3590,2,0
2024-03-26,160.53,161.13,160.1,160.61,3621,2,0
2024-03-27,161.03,162.71,160.98,162.71,4854,2,0
2024-03-28,162.72,163.1,161.68,162.1,4591,2,0
2024-04-01,161.42,161.59,159.77,160.34,4318,2,0
2024-04-02,159.75,160.71,159.59,160.5,4612,2,0
2024-04-03,160.68,160.68,155.67,156.08,5653,2,0
2024-04-04,156.68,157.03,155.46,155.53,5651,2,0
2024-04-05,155.04,157.05,155.01,155.92,6833,2,0
2024-04-08,156.16,156.67,155.79,156.13,4192,2,0
2024-04-09,156.14,156.73,155.68,156.58,5752,2,0
2024-04-10,156.06,157.55,155.88,157.39,8648,2,0
2024-04-11,157.12,157.48,155.76,155.9,6164,2,0
2024-04-12,155.42,155.94,154.74,155.28,7304,2,0
2024-04-15,156.51,156.81,155.38,155.47,8258,2,0
2024-04-16,155.75,156.92,155.63,156.02,8874,2,0
2024-04-17,156.51,156.96,155.73,156.86,7628,2,0
2024-04-18,156.59,157.63,155.95,157.2,7540,2,0
2024-04-19,154.11,157.97,153.5,157.94,8509,2,0
2024-04-22,158.16,161.28,157.21,160.34,6762,2,0
2024-04-23,161.0,162.0,160.39,161.48,5720,2,0
2024-04-24,160.73,162.84,159.4,162.64,6958,2,0
2024-04-25,163.05,164.22,162.06,162.51,7023,2,0
2024-04-26,162.97,163.27,160.46,161.25,5630,2,0
2024-04-29,161.24,161.77,160.4,161.55,4844,2,0
2024-04-30,161.16,163.33,161.16,163.24,5838,2,0
2024-05-01,163.22,164.19,162.21,163.46,7940,2,0
2024-05-02,163.47,164.48,162.61,163.7,6145,2,0
2024-05-03,162.88,164.7,162.14,164.63,5899,2,0
2024-05-06,164.72,164.72,163.25,164.39,4943,2,0
2024-05-07,164.53,166.01,164.53,165.85,5630,2,0
2024-05-08,165.89,166.34,164.92,165.07,5098,2,0
2024-05-09,165.27,166.31,165.24,166.03,5115,2,0
2024-05-10,165.69,167.35,165.59,166.92,5219,2,0
2024-05-13,166.92,167.62,165.35,165.61,4408,2,0
2024-05-14,165.83,166.03,163.95,166.0,4560,2,0
2024-05-15,165.14,166.67,165.13,166.64,4139,2,0
2024-05-16,166.94,168.33,166.55,168.08,4722,2,0
2024-05-17,167.59,167.68,166.86,167.58,4030,2,0
2024-05-20,167.24,167.87,166.79,167.26,5033,2,0
2024-05-21,168.02,168.44,167.27,168.38,6001,2,0
2024-05-22,167.82,168.41,167.6,167.83,4618,2,0
2024-05-23,167.1,168.1,165.51,165.52,7027,2,0
2024-05-24,165.38,166.26,165.14,165.3,4390,2,0
2024-05-28,164.33,164.72,162.26,162.93,5479,2,0
2024-05-29,162.42,162.7,161.4,161.67,7473,2,0
2024-05-30,161.76,162.67,161.43,162.38,7480,2,0
2024-05-31,162.47,164.72,161.99,164.45,6333,2,0
2024-06-03,164.14,166.21,164.07,164.55,5214,2,0
2024-06-04,164.89,167.08,164.36,167.01,6259,2,0
2024-06-05,166.84,166.96,164.9,165.93,4810,2,0
2024-06-06,165.72,168.55,165.07,168.37,5324,2,0
2024-06-07,168.1,168.93,166.8,167.06,4949,2,0
2024-06-10,166.66,167.71,166.02,167.13,4985,2,0
2024-06-11,166.74,167.39,166.02,167.38,4621,2,0
2024-06-12,166.98,167.02,164.14,165.29,6253,2,0
