time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,131.36,134.61,131.36,134.36,4743,1,0
2024-01-03,132.0,132.55,130.0,130.49,6130,1,0
2024-01-04,129.33,131.06,128.87,130.33,4209,1,0
2024-01-05,128.1,131.93,128.0,130.45,4328,2,0
2024-01-08,130.13,133.65,130.13,133.07,7036,1,0
2024-01-09,131.01,134.31,131.0,133.08,4564,1,0
2024-01-10,133.13,134.77,133.0,133.46,4079,0,0
2024-01-11,131.62,132.79,130.5,131.36,5849,1,0
2024-01-12,132.29,132.61,130.5,131.57,6550,1,0
2024-01-16,130.0,131.49,129.13,129.71,6792,1,0
2024-01-17,126.4,129.43,125.32,126.54,4273,1,0
2024-01-18,126.84,127.01,124.55,126.23,6487,1,0
2024-01-19,126.37,128.83,126.0,128.25,6947,1,0
2024-01-22,128.93,130.24,128.63,128.78,5506,1,0
2024-01-23,128.77,129.82,127.88,128.25,7381,1,0
2024-01-24,128.58,129.66,125.16,125.31,7766,1,0
2024-01-25,126.8,127.25,125.48,126.21,7289,1,0
2024-01-26,126.0,127.24,125.68,126.83,5008,1,0
2024-01-29,126.87,128.34,126.06,127.88,6208,1,0
2024-01-30,127.44,127.57,125.38,126.5,6669,1,0
2024-01-31,126.45,128.93,125.82,126.81,6437,1,0
2024-02-01,126.0,130.37,126.0,130.29,8223,1,0
2024-02-02,127.84,130.24,126.23,129.24,7425,1,0
2024-02-05,127.37,128.05,126.0,126.91,7458,1,0
2024-02-06,126.37,130.74,126.37,130.44,8189,1,0
2024-02-07,129.25,131.0,128.68,129.03,8396,1,0
2024-02-08,129.37,132.36,129.05,131.43,7641,1,0
2024-02-09,131.04,132.61,130.14,132.29,7175,1,0
2024-02-12,133.8,133.9,131.59,132.13,7219,1,0
2024-02-13,127.54,130.83,127.07,130.55,9167,1,0
2024-02-14,130.36,131.66,129.06,130.19,7600,1,0
2024-02-15,131.49,133.18,131.49,133.1,6999,1,0
2024-02-16,131.56,134.16,131.56,133.32,8079,1,0
2024-02-20,131.4,133.91,131.4,133.3,6609,1,0
2024-02-21,132.92,134.18,132.68,133.48,9333,1,0
2024-02-22,133.3,134.73,132.94,133.23,6867,1,0
2024-02-23,133.26,134.18,132.77,133.34,7155,1,0
2024-02-26,132.2,133.17,131.49,132.38,5660,1,0
2024-02-27,133.18,134.37,131.71,132.55,6204,1,0
2024-02-28,132.35,135.07,131.81,134.07,5998,1,0
2024-02-29,134.57,135.62,132.98,133.31,6604,1,0
2024-03-01,132.38,134.65,130.28,134.58,5639,1,0
2024-03-04,133.39,133.86,130.59,133.62,5263,1,0
2024-03-05,132.98,133.65,131.75,132.63,5601,1,0
2024-03-06,133.17,133.83,132.21,133.0,5565,1,0
2024-03-07,134.0,134.4,131.93,132.58,4269,1,0
2024-03-08,133.64,135.36,133.22,135.06,6308,1,0
2024-03-11,134.69,135.61,133.14,133.92,4437,2,0
2024-03-12,133.17,134.99,132.44,134.73,5437,1,0
2024-03-13,134.28,134.96,132.55,133.28,4710,1,0
2024-03-14,132.65,132.65,129.48,130.69,5803,1,0
2024-03-15,128.42,129.63,127.25,128.92,5179,1,0
2024-03-18,129.16,129.65,127.85,127.87,4737,1,0
2024-03-19,127.68,128.78,126.91,128.0,4278,1,0
2024-03-20,126.21,129.25,126.21,128.67,4273,1,0
2024-03-21,128.22,130.38,128.22,129.69,5338,1,0
2024-03-22,129.43,130.01,128.0,128.56,4365,1,0
2024-03-25,128.44,128.78,127.06,127.15,3632,1,0
2024-03-26,125.5,127.02,125.3,125.3,4777,1,0
2024-03-27,126.9,129.05,126.9,128.63,5347,1,0
2024-03-28,129.35,130.51,129.08,130.17,4030,1,0
2024-04-01,130.17,130.17,127.29,127.65,4855,1,0
2024-04-02,126.11,126.84,124.83,125.37,4327,1,0
2024-04-03,124.78,126.64,124.18,126.07,4354,1,0
2024-04-04,127.85,128.57,124.3,124.64,4136,2,0
2024-04-05,123.97,124.89,123.19,124.64,5179,1,0
2024-04-08,125.34,126.26,124.53,126.14,3995,1,0
2024-04-09,125.9,126.73,125.51,126.07,5276,1,0
2024-04-10,120.7,121.05,119.11,120.79,7237,1,0
2024-04-11,122.06,122.2,118.72,120.17,6475,1,0
2024-04-12,119.34,120.46,118.42,118.66,5995,1,0
2024-04-15,119.0,119.34,115.17,115.46,6462,1,0
2024-04-16,115.25,115.9,113.82,114.72,8338,1,0
2024-04-17,108.61,109.71,105.53,106.75,7004,1,0
2024-04-18,105.66,106.21,103.58,104.54,6356,1,0
2024-04-19,104.19,104.68,102.51,103.14,6029,1,0
2024-04-22,103.0,104.54,102.53,103.89,4555,1,0
2024-04-23,104.22,105.59,104.0,104.84,4869,1,0
2024-04-24,103.04,104.5,102.4,103.32,6269,1,0
2024-04-25,101.97,104.06,101.63,103.33,5698,1,0
2024-04-26,102.72,104.6,102.5,104.07,4936,1,0
2024-04-29,105.03,105.4,104.11,104.9,3840,1,0
2024-04-30,102.78,103.91,102.0,102.05,4697,1,0
2024-05-01,102.0,103.95,101.55,101.61,5517,1,0
2024-05-02,102.0,104.54,101.1,104.2,6209,1,0
2024-05-03,106.23,107.96,105.33,105.41,4990,1,0
2024-05-06,106.28,106.28,104.16,104.7,4225,1,0
2024-05-07,105.58,107.98,105.22,107.68,4928,1,0
2024-05-08,106.37,107.3,105.25,105.89,4352,1,0
2024-05-09,106.0,108.35,105.6,108.34,3963,1,0
2024-05-10,107.75,108.14,106.95,107.49,3983,1,0
2024-05-13,107.93,108.96,107.19,107.44,3019,1,0
2024-05-14,108.96,109.79,108.01,108.5,4836,1,0
2024-05-15,110.35,111.36,109.17,110.06,7234,1,0
2024-05-16,110.43,111.84,110.04,111.09,4250,1,0
2024-05-17,110.33,111.37,110.19,111.37,3152,1,0
2024-05-20,110.61,113.01,110.3,112.0,3632,1,0
2024-05-21,111.11,111.65,109.75,110.65,2965,1,0
2024-05-22,110.16,111.36,108.53,109.11,3749,1,0
2024-05-23,108.97,108.97,105.38,105.39,3477,1,0
2024-05-24,105.92,106.05,104.5,104.78,3211,1,0
2024-05-28,105.31,105.93,104.33,104.8,3748,1,0
2024-05-29,103.3,105.02,103.3,104.92,3870,1,0
2024-05-30,105.65,107.5,105.22,107.47,4004,1,0
2024-05-31,107.93,110.62,107.5,110.54,4247,1,0
2024-06-03,110.4,110.86,106.95,107.27,4329,1,0
