time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,72.21,74.15,72.21,72.98,1243,1,0
2024-01-03,72.66,72.96,71.5,71.64,1083,1,0
2024-01-04,71.5,71.99,70.76,71.82,1621,1,0
2024-01-05,70.74,73.1,70.74,72.51,1451,1,0
2024-01-08,72.61,75.75,72.61,73.83,1716,1,0
2024-01-09,71.46,74.73,71.46,73.36,1483,1,0
2024-01-10,73.55,74.73,72.81,73.89,1487,1,0
2024-01-11,73.21,73.92,72.4,73.29,1485,1,0
2024-01-12,73.24,74.07,72.8,73.4,1379,1,0
2024-01-16,72.17,74.36,72.17,74.17,1330,1,0
2024-01-17,73.3,73.86,72.9,73.71,887,1,0
2024-01-18,74.11,74.96,73.57,74.78,1217,1,0
2024-01-19,74.57,74.85,73.31,74.7,964,1,0
2024-01-22,74.95,75.19,73.0,73.13,1403,1,0
2024-01-23,73.28,74.28,72.87,73.29,1314,1,0
2024-01-24,72.65,72.65,69.55,70.17,1812,1,0
2024-01-25,70.3,71.55,69.55,69.84,1857,1,0
2024-01-26,70.06,70.54,68.14,68.89,1659,1,0
2024-01-29,68.98,70.32,68.97,70.09,1308,1,0
2024-01-30,69.1,69.7,68.56,68.78,1108,1,0
2024-01-31,68.23,68.94,67.45,67.84,1293,1,0
2024-02-01,67.59,69.31,67.33,69.16,993,1,0
2024-02-02,68.38,69.38,67.71,68.89,1310,1,0
2024-02-05,67.73,68.02,67.0,67.72,1126,1,0
2024-02-06,67.78,69.79,67.0,69.25,1141,1,0
2024-02-07,69.23,69.95,68.45,69.25,1009,1,0
2024-02-08,69.05,70.16,69.05,69.91,865,1,0
2024-02-09,70.01,70.5,69.59,69.88,991,0,0
2024-02-12,69.69,70.74,69.47,69.89,1199,1,0
2024-02-13,68.16,68.73,66.84,67.27,1247,1,0
2024-02-14,67.66,67.95,66.75,67.11,1216,2,0
2024-02-15,67.43,67.87,66.83,67.6,1158,1,0
2024-02-16,66.6,67.44,65.6,66.43,1322,1,0
2024-02-20,65.5,65.99,64.67,65.53,1440,1,0
2024-02-21,64.96,66.36,64.5,65.87,1549,1,0
2024-02-22,65.04,65.83,61.99,61.99,1619,1,0
2024-02-23,61.42,64.32,61.42,63.52,1423,1,0
2024-02-26,63.82,64.68,62.5,62.5,975,1,0
2024-02-27,62.5,63.97,62.5,63.25,1194,1,0
2024-02-28,63.28,64.31,62.55,62.75,1036,1,0
2024-02-29,62.5,63.08,61.59,62.02,1502,1,0
2024-03-01,61.91,62.68,61.07,62.22,1095,1,0
2024-03-04,62.31,62.6,61.23,62.02,1071,1,0
2024-03-05,62.06,64.1,61.98,63.83,1231,1,0
2024-03-06,64.0,64.97,63.4,64.68,1166,1,0
2024-03-07,64.46,67.03,64.22,66.84,1180,1,0
2024-03-08,66.98,67.6,64.99,64.99,1093,1,0
2024-03-11,64.35,65.01,63.14,63.24,1093,1,0
2024-03-12,62.49,64.26,62.25,63.6,927,1,0
2024-03-13,63.52,64.19,62.61,62.7,863,1,0
2024-03-14,62.14,62.14,60.3,60.91,1444,1,0
2024-03-15,60.74,61.27,60.42,60.45,1380,1,0
2024-03-18,60.12,60.2,59.26,59.54,1237,1,0
2024-03-19,59.01,59.23,54.55,56.27,2900,1,0
2024-03-20,55.0,57.02,54.31,56.77,2431,1,0
2024-03-21,57.15,59.04,57.15,58.63,1392,1,0
2024-03-22,58.57,59.92,58.07,59.76,1149,1,0
2024-03-25,59.9,59.9,57.25,58.32,1215,1,0
2024-03-26,58.56,59.43,58.26,58.88,1119,1,0
2024-03-27,58.56,60.95,58.28,60.85,1109,1,0
2024-03-28,60.2,62.9,60.2,62.59,1332,1,0
2024-04-01,63.25,65.35,63.25,63.82,1303,1,0
2024-04-02,63.85,63.86,62.08,63.35,769,2,0
2024-04-03,62.63,64.64,62.0,64.18,1071,1,0
2024-04-04,64.72,65.07,62.59,62.71,909,1,0
2024-04-05,62.01,63.21,62.0,63.01,885,1,0
2024-04-08,63.02,63.1,62.4,62.87,898,1,0
2024-04-09,63.16,65.26,63.16,65.07,1016,1,0
2024-04-10,63.25,64.85,62.6,63.59,1188,2,0
2024-04-11,62.1,63.28,62.0,62.49,1019,1,0
2024-04-12,61.5,62.09,60.71,61.16,945,1,0
2024-04-15,61.34,63.68,61.34,62.61,1068,1,0
2024-04-16,62.01,62.33,59.75,60.52,1321,1,0
2024-04-17,60.75,60.75,58.85,59.55,1142,1,0
2024-04-18,58.5,59.1,58.05,58.63,1315,1,0
2024-04-19,58.01,59.57,57.31,58.67,1220,1,0
2024-04-22,58.83,60.02,58.12,59.35,1184,1,0
2024-04-23,58.95,61.24,58.95,60.44,1090,1,0
2024-04-24,59.35,61.12,59.34,60.97,1007,1,0
2024-04-25,59.21,60.11,58.28,59.84,1227,1,0
2024-04-26,59.36,60.7,59.36,60.31,829,1,0
2024-04-29,59.98,61.15,59.87,60.09,850,2,0
2024-04-30,59.0,60.18,58.7,59.91,1143,1,0
2024-05-01,59.01,59.97,58.42,58.66,1540,1,0
2024-05-02,58.9,60.17,58.76,59.93,975,1,0
2024-05-03,60.78,60.88,59.39,59.55,963,1,0
2024-05-06,59.57,61.02,59.08,60.57,1038,1,0
2024-05-07,60.58,62.11,60.36,62.0,1080,1,0
2024-05-08,61.23,62.16,60.59,61.79,1309,1,0
2024-05-09,58.99,68.01,58.99,65.0,2411,1,0
2024-05-10,63.78,65.35,63.41,65.0,1501,1,0
2024-05-13,64.95,67.06,64.78,65.62,1013,1,0
2024-05-14,67.85,67.85,65.35,65.73,1067,1,0
2024-05-15,65.99,67.85,65.8,67.37,911,1,0
2024-05-16,67.36,67.49,65.38,65.39,905,1,0
2024-05-17,65.0,65.0,62.88,63.26,1249,1,0
2024-05-20,63.29,65.31,63.01,64.68,1033,1,0
2024-05-21,64.69,65.38,64.17,65.26,879,1,0
2024-05-22,64.48,65.62,64.33,64.37,861,1,0
2024-05-23,63.83,64.32,62.77,63.27,1277,1,0
