time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,93.65,95.86,93.5,95.62,4678,1,0
2024-01-03,95.46,95.66,94.59,95.46,3462,1,0
2024-01-04,95.52,96.81,95.52,95.73,4082,1,0
2024-01-05,95.41,95.97,94.61,95.18,3353,1,0
2024-01-08,96.29,96.74,95.57,96.26,4246,1,0
2024-01-09,95.46,95.62,94.78,95.6,3884,1,0
2024-01-10,95.58,96.36,93.5,94.47,3572,1,0
2024-01-11,94.0,95.21,93.75,95.21,3040,1,0
2024-01-12,95.96,96.19,95.02,95.36,3231,1,0
2024-01-16,94.91,95.13,94.14,94.44,8296,1,0
2024-01-17,94.21,94.48,93.36,93.73,5878,1,0
2024-01-18,93.11,93.32,92.19,93.21,6635,0,0
2024-01-19,92.97,93.28,91.75,92.21,5583,1,0
2024-01-22,91.93,93.03,91.8,92.51,4355,1,0
2024-01-23,91.31,91.97,90.51,91.78,5596,1,0
2024-01-24,91.82,92.04,91.0,91.04,8406,1,0
2024-01-25,91.08,91.77,90.85,91.13,5636,1,0
2024-01-26,91.28,92.06,90.99,90.99,5066,1,0
2024-01-29,91.14,91.79,90.95,91.65,5731,1,0
2024-01-30,91.3,91.91,90.47,91.67,3006,1,0
2024-01-31,91.56,91.6,90.77,90.89,3828,1,0
2024-02-01,91.18,93.14,91.0,93.14,3443,1,0
2024-02-02,92.66,93.28,91.97,93.05,2986,1,0
2024-02-05,92.3,92.3,91.64,91.7,2659,1,0
2024-02-06,91.5,91.84,91.03,91.51,4337,1,0
2024-02-07,91.99,91.99,91.18,91.39,6896,1,0
2024-02-08,88.8,90.54,88.32,88.94,3761,1,0
2024-02-09,88.87,89.38,88.87,89.12,2460,1,0
2024-02-12,89.24,90.16,89.0,89.94,7031,1,0
2024-02-13,89.81,90.14,88.41,89.11,8104,1,0
2024-02-14,89.1,89.5,88.77,89.21,5510,1,0
2024-02-15,89.25,89.46,88.8,89.0,7758,1,0
2024-02-16,88.95,90.02,88.79,89.61,6199,1,0
2024-02-20,89.17,89.95,89.09,89.56,5286,1,0
2024-02-21,89.45,90.68,89.38,90.63,6294,1,0
2024-02-22,90.15,91.2,89.96,91.15,5447,1,0
2024-02-23,91.29,91.94,91.0,91.69,3834,0,0
2024-02-26,91.14,91.29,90.04,90.55,4744,1,0
2024-02-27,90.46,90.66,89.89,90.08,6155,1,0
2024-02-28,89.77,90.59,89.77,90.34,2330,1,0
2024-02-29,90.6,90.75,89.9,90.07,2664,1,0
2024-03-01,89.51,89.77,88.85,89.74,2711,1,0
2024-03-04,89.46,90.76,89.15,90.3,6218,1,0
2024-03-05,90.0,90.88,89.92,90.61,3087,1,0
2024-03-06,91.06,91.71,90.75,91.14,3641,1,0
2024-03-07,91.1,91.63,91.09,91.45,2742,1,0
2024-03-08,91.52,92.91,91.4,92.71,4414,1,0
2024-03-11,93.42,94.44,92.88,94.35,2978,1,0
2024-03-12,94.82,95.3,93.79,94.57,2953,1,0
2024-03-13,95.13,95.85,94.9,95.43,3107,1,0
2024-03-14,94.5,94.57,93.05,94.05,3888,1,0
2024-03-15,93.44,94.85,93.23,94.1,3959,1,0
2024-03-18,94.4,95.63,93.67,95.25,4218,1,0
2024-03-19,95.46,95.88,95.0,95.08,2790,1,0
2024-03-20,93.03,93.92,93.0,93.61,3605,0,0
2024-03-21,93.28,94.36,92.19,92.32,3856,1,0
2024-03-22,92.25,92.42,90.88,90.97,2176,1,0
2024-03-25,91.06,91.5,90.84,91.31,2474,1,0
2024-03-26,91.24,91.46,90.3,90.52,3023,1,0
2024-03-27,90.8,92.2,90.72,92.07,3443,0,0
2024-03-28,92.4,92.58,91.66,91.68,3246,1,0
2024-04-01,91.7,92.4,91.21,91.55,2920,1,0
2024-04-02,91.53,92.28,91.39,91.74,3328,1,0
2024-04-03,91.95,91.98,90.92,91.01,2995,1,0
2024-04-04,91.11,91.43,90.06,90.07,2750,1,0
2024-04-05,89.79,90.03,88.96,89.53,2783,1,0
2024-04-08,89.8,90.41,89.55,90.36,2266,1,0
2024-04-09,90.53,91.16,90.4,90.98,3608,0,0
2024-04-10,89.43,89.75,88.65,89.65,4329,1,0
2024-04-11,89.67,89.67,88.85,89.42,2840,1,0
2024-04-12,88.95,89.49,88.67,88.75,3256,1,0
2024-04-15,89.0,89.51,87.81,88.58,3182,1,0
2024-04-16,88.62,89.63,88.4,89.29,4386,1,0
2024-04-17,89.77,90.6,89.29,90.51,3772,1,0
2024-04-18,90.69,91.2,90.63,91.07,3567,1,0
2024-04-19,91.6,94.0,91.54,93.68,3842,1,0
2024-04-22,93.38,94.24,92.93,93.73,3622,1,0
2024-04-23,94.56,97.46,94.1,97.44,4402,1,0
2024-04-24,96.16,99.1,95.61,98.93,5064,0,0
2024-04-25,99.27,99.81,95.92,96.24,4243,1,0
2024-04-26,95.65,96.55,94.91,95.03,3259,1,0
2024-04-29,95.04,95.56,95.02,95.56,2372,1,0
2024-04-30,95.01,95.83,94.41,94.86,3551,1,0
2024-05-01,94.91,97.21,94.52,95.99,4270,1,0
2024-05-02,96.29,97.98,95.8,97.29,4649,1,0
2024-05-03,97.3,98.0,96.22,97.56,3278,1,0
2024-05-06,97.7,97.72,96.62,97.38,3057,1,0
2024-05-07,97.56,98.42,97.34,97.51,2739,1,0
2024-05-08,97.27,98.46,97.03,98.32,2442,1,0
2024-05-09,98.19,99.46,98.11,99.43,2330,1,0
2024-05-10,99.44,99.97,99.31,99.7,2804,1,0
2024-05-13,99.8,100.21,99.0,99.3,1798,1,0
2024-05-14,99.66,100.11,99.38,99.94,2357,1,0
2024-05-15,99.84,100.62,99.83,100.56,2399,1,0
2024-05-16,100.51,101.43,100.46,100.74,2488,1,0
2024-05-17,100.4,100.71,99.77,99.86,2332,1,0
2024-05-20,99.28,100.43,99.28,99.5,2665,1,0
2024-05-21,99.87,100.79,99.25,100.28,2779,1,0
2024-05-22,99.42,101.16,99.41,100.97,3520,1,0
2024-05-23,100.05,100.45,99.18,99.68,3634,1,0
2024-05-24,100.19,100.74,99.57,100.0,2646,1,0
2024-05-28,99.01,100.1,99.01,99.94,2641,1,0
