time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,153.5,157.38,153.0,156.6,4310,1,0
2024-01-03,153.67,154.0,151.25,151.5,3739,1,0
2024-01-04,151.75,154.06,151.75,152.61,3985,1,0
2024-01-05,152.5,157.13,152.0,155.99,5254,1,0
2024-01-08,155.7,157.66,154.54,157.44,3288,2,0
2024-01-09,155.55,155.93,154.0,154.34,3894,1,0
2024-01-10,153.54,155.38,153.05,155.15,3625,1,0
2024-01-11,153.83,153.83,149.81,152.71,3904,1,0
2024-01-12,151.54,152.61,147.95,148.6,4933,1,0
2024-01-16,147.57,149.8,143.55,148.74,4049,1,0
2024-01-17,146.13,152.23,146.0,148.5,4446,1,0
2024-01-18,148.86,149.18,145.0,146.22,5238,1,0
2024-01-19,146.2,150.85,146.2,150.43,4250,1,0
2024-01-22,151.1,152.34,149.25,149.56,4284,1,0
2024-01-23,149.86,150.39,148.09,149.83,3614,1,0
2024-01-24,150.5,151.48,150.0,150.11,4322,1,0
2024-01-25,151.29,151.55,149.1,151.19,3535,1,0
2024-01-26,151.08,152.17,150.34,151.44,4090,1,0
2024-01-29,151.08,153.41,150.58,153.13,3390,1,0
2024-01-30,153.17,154.68,152.58,154.1,3206,1,0
2024-01-31,151.58,155.25,150.67,151.05,3312,1,0
2024-02-01,151.3,151.58,144.7,145.3,5549,1,0
2024-02-02,143.76,148.86,143.1,148.03,5779,1,0
2024-02-05,146.72,147.66,145.33,145.74,5008,1,0
2024-02-06,145.12,150.03,144.87,149.28,6206,1,0
2024-02-07,148.92,149.81,146.2,148.23,5117,1,0
2024-02-08,147.0,148.16,145.52,147.55,4084,1,0
2024-02-09,147.26,148.35,146.43,147.78,4345,1,0
2024-02-12,148.03,150.14,147.0,148.83,5736,1,0
2024-02-13,146.2,146.7,142.77,145.03,4989,1,0
2024-02-14,146.44,147.86,145.95,147.57,5394,1,0
2024-02-15,148.57,150.05,147.3,149.35,5358,1,0
2024-02-16,148.42,149.77,147.57,148.74,3130,1,0
2024-02-20,146.89,147.96,146.28,146.57,2618,1,0
2024-02-21,142.88,146.52,139.5,146.4,3053,1,0
2024-02-22,145.1,147.92,144.5,145.24,2879,1,0
2024-02-23,145.0,147.76,144.59,146.17,2957,2,0
2024-02-26,145.2,146.85,144.6,144.87,2553,1,0
2024-02-27,145.06,146.74,144.76,145.87,2408,1,0
2024-02-28,145.03,147.67,145.03,145.57,1926,1,0
2024-02-29,147.7,148.5,145.77,146.99,2370,1,0
2024-03-01,146.67,148.14,145.16,147.9,2521,1,0
2024-03-04,150.06,156.34,149.5,153.56,4224,1,0
2024-03-05,152.89,157.26,152.82,155.0,3100,1,0
2024-03-06,149.07,152.57,147.0,150.27,4225,1,0
2024-03-07,151.32,153.13,149.55,150.47,2509,1,0
2024-03-08,150.59,151.67,150.01,150.1,3014,1,0
2024-03-11,149.56,152.98,148.91,152.85,2427,2,0
2024-03-12,153.16,153.51,150.3,150.76,2456,1,0
2024-03-13,151.0,153.17,151.0,152.45,2323,1,0
2024-03-14,153.44,153.44,147.17,148.52,2089,2,0
2024-03-15,148.54,150.06,147.53,148.54,2380,1,0
2024-03-18,148.55,149.97,146.95,149.27,3473,1,0
2024-03-19,149.12,150.76,149.0,149.99,2279,1,0
2024-03-20,149.0,154.44,149.0,153.98,1890,2,0
2024-03-21,154.65,158.41,154.65,157.79,2428,1,0
2024-03-22,158.33,158.46,155.69,155.96,1945,1,0
2024-03-25,156.2,157.08,154.31,154.64,1829,1,0
2024-03-26,155.1,155.85,154.5,154.86,1958,1,0
2024-03-27,155.82,159.89,155.48,159.77,2566,1,0
2024-03-28,160.41,162.18,159.82,161.52,2489,1,0
2024-04-01,160.42,161.06,159.23,160.11,1928,1,0
2024-04-02,158.32,159.04,157.44,157.53,2365,1,0
2024-04-03,157.44,159.34,156.3,157.07,2355,1,0
2024-04-04,158.93,159.2,156.05,156.86,2346,1,0
2024-04-05,156.97,157.57,155.77,157.14,3298,1,0
2024-04-08,158.19,161.43,157.63,161.01,2456,1,0
2024-04-09,161.54,161.7,159.11,161.08,2948,1,0
2024-04-10,157.26,157.45,154.08,155.43,3410,1,0
2024-04-11,154.69,155.14,151.66,154.29,3019,1,0
2024-04-12,150.84,151.85,149.66,150.09,2500,1,0
2024-04-15,152.93,154.2,149.25,149.74,2842,2,0
2024-04-16,146.18,147.92,143.5,146.42,3193,1,0
2024-04-17,148.97,149.31,145.5,147.08,2991,1,0
2024-04-18,147.28,148.96,146.58,147.82,2833,1,0
2024-04-19,148.3,152.62,148.3,151.89,4273,2,0
2024-04-22,152.4,155.92,151.75,155.33,3543,1,0
2024-04-23,155.56,158.33,155.56,157.51,2939,1,0
2024-04-24,155.78,158.29,155.7,158.06,2236,2,0
2024-04-25,157.74,157.74,154.25,156.27,2472,1,0
2024-04-26,155.39,157.56,155.26,156.01,1996,1,0
2024-04-29,156.0,156.95,155.2,155.78,2144,1,0
2024-04-30,154.38,155.44,152.78,152.83,2534,1,0
2024-05-01,152.5,156.6,152.5,153.76,2403,1,0
2024-05-02,155.77,155.91,153.63,155.4,2043,1,0
2024-05-03,157.44,158.0,155.81,156.15,1868,1,0
2024-05-06,157.12,157.49,156.0,156.41,1519,1,0
2024-05-07,156.6,156.95,155.5,155.93,1703,2,0
2024-05-08,155.5,157.88,155.0,157.08,1811,1,0
2024-05-09,155.81,157.67,155.15,157.12,1815,1,0
2024-05-10,157.46,158.47,157.45,157.51,1513,2,0
2024-05-13,158.05,158.67,157.6,158.13,1431,1,0
2024-05-14,158.53,159.77,157.6,159.32,1455,2,0
2024-05-15,161.14,161.53,160.08,161.17,1732,1,0
2024-05-16,160.99,161.38,160.0,160.76,1784,1,0
2024-05-17,160.13,161.6,160.09,160.36,1554,1,0
2024-05-20,160.05,160.39,156.73,157.0,1938,1,0
2024-05-21,156.93,158.65,156.93,158.54,1832,1,0
2024-05-22,157.6,158.38,155.69,156.18,1619,1,0
2024-05-23,155.58,155.7,152.5,152.7,2071,2,0
2024-05-24,153.06,154.19,152.45,154.1,1694,1,0
2024-05-28,153.77,154.57,152.08,152.34,1659,1,0
2024-05-29,149.53,151.92,149.0,151.11,1650,1,0
2024-05-30,152.02,154.75,151.37,153.91,3287,1,0
2024-05-31,154.11,157.58,153.35,157.4,2391,1,0
2024-06-03,157.01,157.01,153.25,155.0,1764,2,0
2024-06-04,153.09,155.27,153.04,153.94,1801,1,0
2024-06-05,154.14,154.97,153.5,154.51,1385,1,0
2024-06-06,154.32,155.7,154.0,154.83,1470,1,0
2024-06-07,154.14,156.61,153.83,155.68,1674,2,0
2024-06-10,153.88,153.88,150.96,152.63,1796,1,0
2024-06-11,150.27,151.24,148.0,150.06,2118,1,0
2024-06-12,153.46,154.17,151.68,152.53,2189,1,0
2024-06-13,151.13,151.99,150.25,151.77,1210,2,0
2024-06-14,150.16,151.29,149.0,150.83,1207,1,0
