time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,146.24,148.57,146.24,147.3,2925,1,0
2024-01-03,145.55,146.17,144.2,145.38,2265,1,0
2024-01-04,144.48,145.88,144.16,145.0,3015,1,0
2024-01-05,144.0,146.26,143.56,145.59,3748,1,0
2024-01-08,144.95,147.46,144.95,147.31,1897,1,0
2024-01-09,146.02,146.51,145.0,146.13,2282,1,0
2024-01-10,145.09,147.45,145.09,147.24,2624,1,0
2024-01-11,146.64,147.2,145.41,146.24,3105,2,0
2024-01-12,146.49,146.76,144.5,145.34,3392,1,0
2024-01-16,144.52,144.79,142.96,143.76,3900,1,0
2024-01-17,142.0,144.36,141.83,142.98,2803,1,0
2024-01-18,143.49,145.25,143.24,144.89,3098,0,0
2024-01-19,142.23,144.83,140.49,141.15,3918,1,0
2024-01-22,141.64,143.05,141.64,141.88,2247,1,0
2024-01-23,141.92,142.47,140.28,142.29,2176,1,0
2024-01-24,142.62,143.58,140.71,140.79,2980,1,0
2024-01-25,140.7,143.07,140.7,142.38,2922,1,0
2024-01-26,143.28,143.38,142.12,142.65,2355,1,0
2024-01-29,142.25,143.33,141.49,142.5,2533,1,0
2024-01-30,141.86,143.85,141.4,142.87,2694,1,0
2024-01-31,142.5,142.97,140.28,140.88,3703,1,0
2024-02-01,140.73,141.76,139.16,141.37,3233,1,0
2024-02-02,140.13,140.57,138.53,139.79,3578,2,0
2024-02-05,138.1,138.83,137.4,137.52,2989,1,0
2024-02-06,137.53,139.83,137.0,139.61,2246,1,0
2024-02-07,140.25,140.86,138.91,139.21,1829,3,0
2024-02-08,139.1,139.1,136.34,138.65,1584,2,0
2024-02-09,138.17,139.5,137.17,139.24,1747,1,0
2024-02-12,139.19,141.26,138.72,140.8,1739,1,0
2024-02-13,138.28,139.1,137.28,138.48,1895,2,0
2024-02-14,139.76,140.92,138.47,139.9,2470,1,0
2024-02-15,140.57,142.35,139.91,142.31,1993,1,0
2024-02-16,141.51,142.5,141.0,141.62,2021,1,0
2024-02-20,140.58,141.99,140.58,141.18,1850,2,0
2024-02-21,140.58,142.64,140.58,142.32,1788,1,0
2024-02-22,143.27,143.83,142.4,143.35,1993,1,0
2024-02-23,143.12,144.7,143.12,144.12,1742,2,0
2024-02-26,140.87,142.62,140.5,142.15,1900,2,0
2024-02-27,142.43,144.56,140.37,140.91,2200,2,0
2024-02-28,140.0,142.09,139.35,140.53,1798,1,0
2024-02-29,140.62,142.06,140.37,141.73,1894,1,0
2024-03-01,141.01,141.57,139.35,139.43,2568,1,0
2024-03-04,138.87,139.96,138.28,139.3,2350,1,0
2024-03-05,138.85,140.02,138.3,138.83,2482,1,0
2024-03-06,139.4,141.0,139.09,140.11,2517,1,0
2024-03-07,138.37,141.38,138.37,140.84,2536,1,0
2024-03-08,140.9,142.08,140.38,140.48,2431,2,0
2024-03-11,140.29,142.59,140.0,142.2,2521,1,0
2024-03-12,141.93,143.05,140.9,141.22,2151,1,0
2024-03-13,142.06,142.98,141.4,141.79,2185,2,0
2024-03-14,140.63,141.25,138.45,138.97,2285,1,0
2024-03-15,137.55,139.9,137.5,137.5,2481,1,0
2024-03-18,137.79,139.95,137.29,138.87,2297,1,0
2024-03-19,138.95,141.5,138.95,141.28,2651,1,0
2024-03-20,141.75,142.38,140.75,141.78,2433,1,0
2024-03-21,141.44,143.9,141.34,143.65,1957,1,0
2024-03-22,142.88,143.41,142.03,142.42,2115,1,0
2024-03-25,142.01,142.23,140.5,141.08,1755,1,0
2024-03-26,140.76,142.4,140.76,141.82,1932,1,0
2024-03-27,142.73,144.37,142.49,144.22,2052,1,0
2024-03-28,144.77,145.34,143.7,144.97,1853,1,0
2024-04-01,144.8,144.89,142.55,143.3,2067,1,0
2024-04-02,142.28,142.85,140.45,141.7,1941,1,0
2024-04-03,141.37,142.7,140.83,141.68,1555,2,0
2024-04-04,141.87,143.92,139.22,139.93,2020,2,0
2024-04-05,139.38,139.57,138.09,138.72,2748,1,0
2024-04-08,139.19,140.44,138.61,139.51,2085,1,0
2024-04-09,140.51,142.27,139.18,141.99,2332,0,0
2024-04-10,138.1,139.51,137.57,138.01,2240,1,0
2024-04-11,138.32,138.93,136.98,137.65,2699,1,0
2024-04-12,136.29,136.39,133.5,134.07,2273,1,0
2024-04-15,135.33,136.71,134.18,134.9,1903,1,0
2024-04-16,133.89,134.57,133.35,133.56,2109,1,0
2024-04-17,133.69,135.42,133.35,135.12,4303,1,0
2024-04-18,134.94,136.31,134.0,135.14,3172,1,0
2024-04-19,132.96,133.35,129.5,130.57,3964,1,0
2024-04-22,130.0,131.18,129.13,130.98,2779,1,0
2024-04-23,129.8,131.6,129.13,130.37,3017,1,0
2024-04-24,130.17,130.82,129.83,130.56,2507,2,0
2024-04-25,129.46,129.85,128.25,129.15,3110,1,0
2024-04-26,129.41,130.88,129.23,130.02,2738,1,0
2024-04-29,130.49,131.29,130.11,130.6,2056,1,0
2024-04-30,129.58,130.75,128.64,128.75,2598,1,0
2024-05-01,129.47,132.78,129.12,130.74,2381,1,0
2024-05-02,130.8,132.99,130.6,131.87,2817,1,0
2024-05-03,133.21,134.26,132.2,132.66,2637,1,0
2024-05-06,133.33,133.35,132.25,132.8,1976,1,0
2024-05-07,133.09,134.96,132.71,134.1,2080,2,0
2024-05-08,132.86,133.68,132.6,133.38,2318,1,0
2024-05-09,133.39,134.62,132.62,134.32,1770,1,0
2024-05-10,135.34,136.05,135.07,135.5,1913,1,0
2024-05-13,135.08,136.1,135.08,135.51,1288,1,0
2024-05-14,135.43,136.79,135.05,135.43,1700,1,0
2024-05-15,135.42,136.47,134.59,134.9,1849,1,0
2024-05-16,135.09,135.76,134.08,134.86,1758,1,0
2024-05-17,134.67,134.84,133.68,134.2,2010,1,0
2024-05-20,134.0,135.16,133.3,133.74,1661,1,0
2024-05-21,133.7,133.93,132.98,133.61,1530,1,0
2024-05-22,133.27,134.73,133.0,134.55,2200,1,0
2024-05-23,133.51,133.82,130.74,130.85,2085,1,0
2024-05-24,131.45,132.08,130.75,131.37,1406,1,0
2024-05-28,130.94,131.47,129.25,129.41,1795,1,0
2024-05-29,128.3,128.72,127.0,127.02,1549,1,0
2024-05-30,127.0,129.07,127.0,128.84,1593,2,0
2024-05-31,128.5,131.92,128.5,131.66,1795,1,0
2024-06-03,131.41,131.59,129.75,131.54,2067,1,0
2024-06-04,130.5,132.83,130.5,131.43,2486,1,0
2024-06-05,131.74,133.31,130.5,133.05,1796,1,0
2024-06-06,132.57,133.35,130.26,130.58,2100,1,0
