time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,26.96,27.55,26.9,27.45,2058,1,0
2024-01-03,27.52,27.71,27.4,27.63,2204,1,0
2024-01-04,27.6,27.93,27.57,27.63,2164,1,0
2024-01-05,27.52,27.85,27.45,27.72,2409,1,0
2024-01-08,27.7,27.99,27.58,27.98,1813,0,0
2024-01-09,27.75,27.96,27.7,27.81,1988,1,0
2024-01-10,27.71,27.8,27.56,27.63,1510,1,0
2024-01-11,27.47,27.51,26.88,27.08,2562,1,0
2024-01-12,27.2,27.23,26.98,27.09,1793,1,0
2024-01-16,26.91,27.07,26.78,26.8,1942,1,0
2024-01-17,26.5,26.83,26.13,26.35,2014,1,0
2024-01-18,26.17,26.21,25.7,25.93,2174,0,0
2024-01-19,25.95,26.1,25.73,26.01,1774,1,0
2024-01-22,26.02,26.23,25.75,25.83,1802,1,0
2024-01-23,25.8,25.84,25.51,25.69,1784,1,0
2024-01-24,25.83,25.91,25.4,25.43,1886,1,0
2024-01-25,25.67,25.87,25.54,25.82,2092,1,0
2024-01-26,25.84,25.93,25.76,25.89,1534,1,0
2024-01-29,25.88,26.07,25.75,25.98,1400,1,0
2024-01-30,25.92,26.16,25.78,26.0,1581,1,0
2024-01-31,26.16,26.52,26.03,26.23,2137,1,0
2024-02-01,26.04,26.56,26.0,26.55,2131,1,0
2024-02-02,26.28,26.31,25.8,26.08,2048,1,0
2024-02-05,25.7,25.97,25.53,25.63,1850,1,0
2024-02-06,25.0,25.78,25.0,25.67,1175,1,0
2024-02-07,25.83,25.88,25.66,25.66,1878,1,0
2024-02-08,25.53,25.61,25.35,25.61,1946,1,0
2024-02-09,25.57,25.87,25.53,25.86,1920,1,0
2024-02-12,25.93,26.26,25.76,26.26,1577,1,0
2024-02-13,26.23,26.26,25.59,26.05,1828,1,0
2024-02-14,26.12,26.17,25.95,26.05,1942,1,0
2024-02-15,26.24,26.58,26.23,26.43,2243,1,0
2024-02-16,26.29,26.8,26.07,26.61,2747,1,0
2024-02-20,26.51,26.74,26.43,26.45,1720,1,0
2024-02-21,26.53,26.9,26.49,26.88,1704,1,0
2024-02-22,26.65,26.87,26.49,26.81,2230,1,0
2024-02-23,26.81,26.97,26.74,26.81,1538,1,0
2024-02-26,26.54,26.63,26.15,26.22,1717,1,0
2024-02-27,26.3,26.42,26.2,26.41,2124,1,0
