time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,35.06,35.27,34.31,34.86,4704,1,0
2024-01-03,37.13,37.69,36.15,36.59,7157,1,0
2024-01-04,36.2,36.95,36.2,36.74,7320,1,0
2024-01-05,36.67,37.28,35.95,35.97,4871,1,0
2024-01-08,35.95,37.44,35.89,37.29,5675,0,0
2024-01-09,37.23,37.73,36.87,37.24,5111,1,0
2024-01-10,37.44,37.58,36.48,36.65,4627,1,0
2024-01-11,36.5,37.04,36.26,36.96,4985,1,0
2024-01-12,37.15,37.57,36.39,36.58,4705,1,0
2024-01-16,36.47,36.5,35.43,36.11,4361,1,0
2024-01-17,35.7,36.96,35.34,36.93,4351,1,0
2024-01-18,37.56,39.01,37.21,38.87,6901,0,0
2024-01-19,39.25,40.84,39.1,40.82,5757,1,0
2024-01-22,41.76,42.02,41.01,41.13,5062,1,0
2024-01-23,41.21,41.25,40.53,40.76,4146,1,0
2024-01-24,41.06,42.47,40.95,41.9,4657,1,0
2024-01-25,42.26,42.26,41.28,41.3,4798,1,0
2024-01-26,40.62,41.39,40.62,40.7,3930,1,0
2024-01-29,40.65,41.6,40.63,41.46,3997,1,0
2024-01-30,41.5,41.88,40.96,41.16,3705,1,0
2024-01-31,40.23,40.78,39.8,39.98,3831,1,0
2024-02-01,40.36,40.92,40.0,40.71,4607,1,0
2024-02-02,41.15,42.67,40.68,42.16,7446,1,0
2024-02-05,42.02,42.74,41.56,41.95,5169,1,0
2024-02-06,41.91,42.02,40.9,41.67,5227,1,0
2024-02-07,41.93,42.73,41.65,42.55,4522,1,0
2024-02-08,42.56,44.34,42.56,44.14,4932,1,0
2024-02-09,44.35,45.22,44.35,44.77,4412,1,0
2024-02-12,44.75,45.33,44.44,44.53,5204,1,0
2024-02-13,42.51,43.63,42.21,42.73,7704,1,0
2024-02-14,41.71,42.74,41.3,42.46,6127,1,0
2024-02-15,42.58,43.53,42.13,43.35,6230,1,0
2024-02-16,43.3,43.57,42.7,42.99,6369,1,0
2024-02-20,41.41,41.59,40.51,40.78,8496,1,0
2024-02-21,39.73,39.79,38.77,39.2,7807,1,0
2024-02-22,40.43,41.36,40.25,41.14,7023,1,0
2024-02-23,41.11,41.46,40.5,40.64,7312,0,0
2024-02-26,40.88,41.76,40.77,41.5,6261,1,0
2024-02-27,41.61,42.12,41.28,41.53,5567,1,0
2024-02-28,41.12,42.5,40.93,42.2,5395,1,0
2024-02-29,47.5,52.72,47.5,52.66,8265,1,0
2024-03-01,53.3,55.98,52.81,55.2,8039,1,0
2024-03-04,55.85,56.3,54.63,55.64,6170,1,0
2024-03-05,55.52,55.6,53.94,54.93,5880,1,0
2024-03-06,56.6,57.91,56.02,57.0,4306,1,0
2024-03-07,57.2,57.35,55.65,57.03,2974,1,0
2024-03-08,57.44,58.43,55.15,55.24,3904,1,0
2024-03-11,54.43,54.7,52.9,53.99,3461,1,0
2024-03-12,54.72,55.34,49.75,52.31,4911,1,0
2024-03-13,51.85,51.86,50.18,50.52,2176,1,0
2024-03-14,51.12,51.37,49.98,50.62,2378,0,0
2024-03-15,50.28,51.05,49.75,49.9,2230,1,0
2024-03-18,50.52,51.14,50.11,50.6,1951,1,0
2024-03-19,49.75,49.84,48.8,49.65,1706,1,0
2024-03-20,50.01,51.92,49.9,51.63,2423,1,0
2024-03-21,52.82,53.11,52.33,52.85,2213,1,0
2024-03-22,52.36,52.48,50.95,52.2,2477,1,0
2024-03-25,51.77,53.34,51.71,52.73,1615,1,0
2024-03-26,53.71,53.74,52.12,52.22,1492,1,0
2024-03-27,52.55,53.04,51.85,52.56,1397,1,0
2024-03-28,52.49,53.22,51.85,51.99,1515,1,0
2024-04-01,51.53,52.8,51.41,52.03,1873,1,0
2024-04-02,50.64,51.88,50.28,51.74,1634,1,0
2024-04-03,51.65,53.88,51.56,53.58,2297,1,0
2024-04-04,54.41,54.9,52.38,52.51,2068,1,0
2024-04-05,52.81,53.84,52.0,53.67,2133,1,0
2024-04-08,53.83,54.11,53.25,53.76,1414,1,0
2024-04-09,53.04,53.59,51.75,52.56,1907,1,0
2024-04-10,51.31,53.48,51.31,53.15,2543,1,0
2024-04-11,53.69,55.07,53.56,54.98,2725,1,0
2024-04-12,53.75,54.7,53.06,53.36,1868,1,0
2024-04-15,53.6,54.24,52.24,52.34,1820,1,0
2024-04-16,51.72,53.25,51.61,53.22,1529,1,0
2024-04-17,53.53,53.65,52.26,52.43,1842,1,0
2024-04-18,52.17,52.75,51.14,51.76,1407,1,0
2024-04-19,49.69,50.82,48.55,49.48,2460,1,0
2024-04-22,49.87,50.45,48.88,50.39,1573,1,0
2024-04-23,51.18,51.86,50.81,51.6,1428,1,0
2024-04-24,52.32,52.51,50.56,50.61,1412,1,0
2024-04-25,49.65,52.38,49.5,52.28,1664,1,0
2024-04-26,52.5,53.17,51.88,52.94,1298,1,0
2024-04-29,53.36,53.37,52.04,52.45,1297,1,0
2024-04-30,52.27,52.81,50.36,50.49,1681,1,0
2024-05-01,50.74,51.44,49.85,50.1,1974,1,0
2024-05-02,50.68,51.42,49.33,51.35,1743,1,0
2024-05-03,52.35,52.72,51.43,52.1,1464,0,0
2024-05-06,52.61,54.07,52.27,53.78,1295,1,0
2024-05-07,53.97,54.09,53.2,53.27,1247,1,0
2024-05-08,52.75,53.87,52.75,53.52,992,1,0
2024-05-09,53.8,54.91,53.45,54.07,1615,1,0
2024-05-10,54.11,54.49,53.61,54.38,1270,1,0
2024-05-13,54.16,54.77,53.83,54.33,1087,1,0
2024-05-14,54.57,56.55,54.1,56.27,1964,1,0
