time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,60.94,62.15,60.42,61.47,13108,2,0
2024-01-03,60.55,60.58,58.35,58.64,13181,2,0
2024-01-04,57.79,59.05,57.42,58.49,10497,2,0
2024-01-05,58.0,60.37,57.97,60.13,11763,2,0
2024-01-08,60.42,61.91,60.06,61.76,9356,2,0
2024-01-09,60.35,62.01,60.35,61.03,11622,2,0
2024-01-10,60.82,61.42,60.28,60.94,8839,0,0
2024-01-11,60.74,61.49,60.09,61.36,13352,2,0
2024-01-12,61.68,61.88,60.73,60.99,10782,2,0
2024-01-16,60.02,60.05,58.09,58.45,12040,2,0
2024-01-17,57.23,59.97,56.47,59.91,14483,2,0
2024-01-18,60.35,62.46,60.19,62.11,13110,2,0
2024-01-19,62.32,66.2,62.32,65.78,16846,2,0
2024-01-22,67.47,67.51,63.22,63.74,18814,2,0
2024-01-23,64.51,65.72,64.1,64.77,13698,2,0
2024-01-24,65.49,65.78,62.96,63.01,15277,2,0
2024-01-25,63.29,64.32,58.92,60.68,19006,2,0
2024-01-26,60.21,62.26,60.01,61.76,10598,2,0
2024-01-29,61.24,63.74,60.88,63.74,11059,0,0
2024-01-30,62.8,64.47,62.06,63.69,13793,2,0
2024-01-31,62.8,63.38,61.2,61.37,11366,2,0
2024-02-01,61.4,62.0,60.64,61.97,12594,2,0
2024-02-02,61.6,62.71,61.01,62.45,16611,2,0
2024-02-05,61.76,62.07,61.3,61.6,12502,2,0
2024-02-06,61.86,63.7,61.61,63.69,12926,0,0
2024-02-07,64.1,64.34,62.85,63.23,13863,2,0
2024-02-08,57.32,58.52,55.77,56.09,11216,2,0
2024-02-09,56.24,59.21,56.15,58.91,10417,0,0
2024-02-12,58.86,60.61,58.6,60.11,13255,2,0
2024-02-13,57.98,58.73,57.86,58.24,13847,2,0
2024-02-14,58.37,59.01,57.63,58.87,11870,2,0
2024-02-15,58.68,60.23,58.58,59.67,12181,2,0
2024-02-16,59.07,59.74,58.44,59.12,9993,2,0
2024-02-20,58.3,59.02,58.25,58.62,10999,2,0
2024-02-21,57.99,58.44,57.14,57.48,9379,2,0
2024-02-22,57.59,58.63,57.32,58.38,9393,0,0
2024-02-23,59.4,59.43,58.21,59.26,10533,2,0
2024-02-26,58.85,60.17,58.75,59.36,8804,2,0
2024-02-27,59.56,60.23,59.43,60.14,8257,2,0
2024-02-28,59.46,60.89,59.46,60.27,7305,2,0
2024-02-29,60.68,61.85,60.01,60.37,6825,2,0
2024-03-01,60.73,61.63,60.21,60.53,9640,2,0
2024-03-04,60.52,60.58,58.85,59.99,8298,2,0
2024-03-05,59.79,60.81,57.87,58.25,10027,2,0
2024-03-06,58.73,58.81,57.91,58.19,12630,2,0
2024-03-07,58.27,59.05,57.93,58.52,9747,2,0
2024-03-08,58.6,59.56,58.23,59.02,13690,0,0
2024-03-11,59.8,60.21,59.43,60.02,8975,2,0
2024-03-12,60.14,60.47,59.29,60.08,9297,1,0
2024-03-13,59.8,63.27,59.8,62.38,10733,2,0
2024-03-14,62.8,64.18,62.27,62.97,13383,2,0
2024-03-15,62.78,63.82,62.45,62.86,11537,2,0
2024-03-18,63.74,64.75,63.22,64.16,8580,2,0
2024-03-19,63.84,63.87,62.79,63.02,8491,2,0
2024-03-20,63.32,65.35,63.11,65.0,11894,2,0
2024-03-21,65.03,66.98,65.03,66.19,10848,2,0
2024-03-22,67.1,67.23,64.77,64.82,8030,2,0
2024-03-25,65.3,66.38,65.03,65.97,7511,2,0
2024-03-26,66.79,67.96,66.58,66.66,11126,2,0
2024-03-27,67.55,67.73,66.13,66.56,8537,0,0
2024-03-28,66.59,67.71,66.4,67.0,8648,2,0
2024-04-01,66.98,67.0,64.97,65.01,7214,2,0
2024-04-02,64.22,64.83,63.57,64.67,9201,2,0
2024-04-03,64.64,65.45,64.4,65.34,7795,2,0
2024-04-04,66.14,66.35,64.33,64.49,12153,2,0
2024-04-05,64.65,65.46,64.05,65.13,11883,2,0
2024-04-08,65.45,66.7,65.36,66.3,6438,2,0
2024-04-09,66.83,67.25,66.4,66.92,10317,0,0
2024-04-10,65.46,66.17,65.23,65.98,12770,2,0
2024-04-11,66.2,66.24,64.67,65.84,7993,2,0
2024-04-12,65.37,65.95,64.15,64.57,10923,2,0
2024-04-15,65.03,65.46,63.25,63.48,12394,2,0
2024-04-16,63.61,64.2,62.9,63.45,16923,2,0
2024-04-17,63.6,63.93,62.56,63.28,12750,2,0
2024-04-18,63.43,63.62,61.94,62.08,11777,2,0
2024-04-19,62.4,62.45,61.72,62.24,13098,2,0
2024-04-22,63.02,63.63,62.47,63.09,9441,2,0
2024-04-23,63.56,64.69,63.47,64.36,8075,2,0
2024-04-24,64.25,65.08,64.16,64.87,9752,2,0
2024-04-25,63.83,64.39,62.94,64.07,9243,2,0
2024-04-26,63.86,66.29,63.74,65.97,7408,2,0
2024-04-29,66.64,67.53,66.37,66.99,11585,2,0
2024-04-30,69.93,70.12,67.23,67.96,14760,2,0
2024-05-01,66.13,67.77,65.49,66.14,17494,2,0
2024-05-02,67.05,67.35,65.82,66.88,12385,2,0
2024-05-03,67.21,67.21,64.7,65.66,12107,0,0
2024-05-06,65.86,65.88,64.94,65.57,6923,2,0
2024-05-07,66.05,66.76,65.83,65.93,7415,2,0
2024-05-08,65.57,65.58,63.77,63.81,6783,2,0
2024-05-09,63.81,64.44,63.4,64.42,5583,2,0
2024-05-10,64.84,64.85,62.88,62.96,6405,2,0
2024-05-13,63.45,64.4,63.18,63.93,6333,2,0
2024-05-14,64.6,64.84,64.26,64.64,5939,2,0
2024-05-15,65.28,65.47,63.45,63.93,6510,2,0
2024-05-16,63.55,64.42,63.4,64.11,6535,2,0
2024-05-17,64.01,64.7,63.84,64.46,6137,2,0
2024-05-20,64.11,65.03,63.75,64.69,5077,2,0
2024-05-21,64.55,64.66,63.69,64.12,5578,2,0
2024-05-22,63.17,63.29,61.82,62.15,7993,2,0
2024-05-23,62.31,62.68,61.22,61.57,7429,2,0
2024-05-24,61.89,62.01,61.26,61.68,5268,1,0
2024-05-28,62.2,62.85,61.7,62.11,7274,2,0
2024-05-29,61.4,61.57,60.84,61.02,4659,0,0
2024-05-30,62.41,63.33,62.15,62.49,6280,2,0
2024-05-31,62.73,63.52,61.75,62.96,7314,2,0
2024-06-03,63.22,63.51,62.56,63.42,7420,2,0
2024-06-04,63.5,64.1,63.05,63.3,8313,2,0
2024-06-05,63.38,63.55,62.75,63.51,6619,2,0
2024-06-06,65.04,67.81,64.73,66.99,10594,2,0
2024-06-07,66.75,68.29,66.2,67.31,10974,2,0
2024-06-10,67.37,67.43,65.82,67.08,7344,2,0
2024-06-11,66.78,67.01,64.4,64.74,8055,2,0
2024-06-12,65.51,65.63,62.9,63.48,7653,2,0
2024-06-13,63.09,63.58,61.54,61.61,7147,0,0
2024-06-14,61.55,61.55,60.31,60.56,7204,2,0
2024-06-17,60.06,60.62,59.48,60.08,8489,2,0
2024-06-18,59.67,60.1,59.01,59.04,6080,2,0
2024-06-20,59.26,59.99,58.78,59.75,8068,2,0
2024-06-21,60.1,60.74,59.65,60.64,5973,2,0
2024-06-24,60.5,60.5,59.46,59.49,6365,2,0
2024-06-25,59.25,59.55,58.96,59.3,6507,2,0
2024-06-26,59.08,59.23,58.03,58.31,5677,2,0
2024-06-27,57.46,58.47,57.2,58.3,6435,2,0
2024-06-28,58.31,58.74,57.89,58.03,6470,2,0
2024-07-01,58.15,58.34,57.03,57.8,7000,2,0
2024-07-02,58.8,59.26,58.31,58.96,6425,2,0
2024-07-03,58.98,60.01,58.87,59.61,4457,2,0
2024-07-05,59.0,60.15,58.86,59.74,4729,2,0
2024-07-08,59.75,60.0,58.62,59.08,5763,2,0
2024-07-09,58.65,59.69,58.41,59.01,5770,2,0
2024-07-10,59.21,59.28,58.22,58.97,5646,2,0
2024-07-11,59.81,60.92,59.45,59.99,6656,2,0
2024-07-12,60.19,60.5,59.78,60.26,5638,2,0
