time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,405.98,406.08,400.24,402.64,44064,2,0
2024-01-03,400.11,400.94,397.89,398.3,47985,2,0
2024-01-04,396.74,399.57,396.05,396.33,43939,2,0
2024-01-05,396.61,399.5,395.35,396.8,45553,2,0
2024-01-08,398.13,405.18,398.09,405.18,33400,2,0
2024-01-09,402.22,406.67,401.71,405.78,41329,2,0
2024-01-10,406.6,409.51,405.18,408.62,38459,2,0
2024-01-11,410.21,411.19,404.24,409.44,55453,2,0
2024-01-12,410.31,411.24,408.14,409.64,46859,2,0
2024-01-16,408.66,411.1,406.82,409.46,53664,2,0
2024-01-17,406.13,407.58,402.91,407.45,47066,2,0
2024-01-18,411.26,413.57,409.16,413.29,50658,2,0
2024-01-19,415.07,421.34,414.61,421.03,44923,2,0
2024-01-22,423.72,424.71,421.11,421.68,47281,2,0
2024-01-23,422.16,423.64,420.56,423.52,37512,2,0
2024-01-24,427.07,429.84,425.32,425.62,46561,2,0
2024-01-25,427.52,429.04,423.99,426.04,53807,2,0
2024-01-26,424.51,426.19,423.16,423.78,44866,2,0
2024-01-29,423.99,428.34,423.61,428.1,34755,2,0
2024-01-30,427.24,427.67,424.38,425.38,38431,2,0
2024-01-31,420.72,422.86,416.78,417.42,55203,2,0
2024-02-01,418.9,422.37,417.81,421.82,49290,2,0
2024-02-02,423.63,430.23,422.79,429.44,53681,2,0
2024-02-05,428.84,429.58,425.01,428.88,46274,2,0
2024-02-06,430.11,430.2,425.22,427.45,50689,2,0
2024-02-07,430.05,432.82,429.08,431.94,45041,2,0
2024-02-08,431.89,433.55,431.42,432.59,37582,2,0
2024-02-09,433.69,437.83,433.14,437.09,32693,0,0
2024-02-12,436.52,439.13,434.65,435.18,39851,2,0
2024-02-13,427.17,431.26,425.33,428.45,52012,0,0
2024-02-14,431.48,433.44,428.86,433.37,44998,2,0
2024-02-15,434.03,434.97,431.32,434.39,46583,2,0
2024-02-16,434.47,434.84,429.86,430.47,48821,2,0
2024-02-20,429.74,430.04,423.53,426.95,55657,2,0
2024-02-21,424.9,425.59,421.62,425.54,51697,2,0
2024-02-22,433.84,439.11,433.71,438.29,44707,0,0
2024-02-23,440.36,440.58,435.77,437.13,50956,2,0
2024-02-26,438.26,438.58,436.35,436.73,42633,2,0
2024-02-27,437.44,437.98,435.02,437.65,41831,2,0
2024-02-28,435.47,436.65,434.28,435.25,39461,2,0
2024-02-29,438.5,440.08,435.02,440.03,43983,2,0
2024-03-01,440.82,446.56,439.86,445.81,41469,2,0
2024-03-04,445.19,446.03,443.77,444.0,37527,2,0
2024-03-05,440.56,440.58,433.64,436.08,49391,2,0
2024-03-06,440.42,441.98,436.89,438.92,58997,2,0
2024-03-07,442.35,446.7,440.86,445.76,43735,2,0
2024-03-08,445.81,448.63,438.35,439.33,67107,2,0
2024-03-11,436.58,438.64,435.43,437.28,52525,2,0
2024-03-12,439.86,444.01,436.45,443.78,51167,2,0
2024-03-13,441.75,442.16,439.12,440.17,44460,2,0
2024-03-14,440.89,442.02,436.39,438.7,58374,2,0
2024-03-15,435.9,436.67,432.75,433.72,53799,2,0
2024-03-18,439.42,441.02,437.24,437.25,48516,2,0
2024-03-19,434.8,438.96,433.33,438.85,49830,2,0
2024-03-20,440.09,444.11,438.06,443.62,48716,2,0
2024-03-21,448.62,449.34,445.67,446.09,47017,2,0
2024-03-22,445.5,447.47,444.48,446.63,40390,2,0
2024-03-25,443.53,446.25,442.53,444.73,36358,2,0
2024-03-26,446.14,447.22,443.1,443.26,37248,2,0
2024-03-27,445.97,445.97,441.92,444.79,40790,2,0
2024-03-28,444.06,445.61,443.64,444.57,36814,2,0
2024-04-01,444.76,447.51,443.01,444.89,39878,2,0
2024-04-02,440.03,441.4,438.03,441.18,36086,2,0
2024-04-03,439.43,443.99,439.2,441.94,38348,2,0
2024-04-04,446.22,446.94,435.12,435.18,45227,2,0
2024-04-05,437.27,443.15,435.94,440.72,54330,2,0
2024-04-08,441.33,442.49,439.21,440.5,40431,2,0
2024-04-09,442.81,443.21,437.43,441.82,49460,2,0
2024-04-10,437.07,439.23,436.27,438.75,58441,2,0
2024-04-11,439.53,446.32,437.95,445.72,44708,2,0
2024-04-12,441.46,442.22,436.87,438.07,52048,2,0
2024-04-15,441.15,441.82,430.2,431.09,56529,2,0
2024-04-16,430.66,433.73,429.74,431.12,61719,1,0
2024-04-17,432.93,433.06,424.9,426.38,60176,2,0
2024-04-18,425.75,428.23,422.84,423.28,55447,2,0
2024-04-19,421.77,422.72,413.06,414.86,67709,2,0
2024-04-22,416.89,421.17,413.93,418.41,49040,2,0
2024-04-23,421.29,426.25,420.6,424.82,45394,2,0
2024-04-24,428.46,429.71,424.2,426.81,50558,2,0
2024-04-25,418.5,425.3,418.13,424.32,59360,2,0
2024-04-26,427.23,432.54,426.91,431.27,47209,2,0
2024-04-29,433.52,433.75,429.98,432.64,44606,2,0
2024-04-30,430.89,432.53,425.0,425.02,49863,2,0
2024-05-01,422.76,430.11,420.65,421.9,64405,2,0
2024-05-02,424.67,427.8,420.6,426.53,51035,2,0
2024-05-03,433.94,436.33,432.84,435.24,46725,2,0
2024-05-06,436.83,440.23,436.51,440.21,33273,2,0
2024-05-07,441.08,441.96,439.59,440.5,40317,2,0
2024-05-08,438.21,441.48,437.86,440.37,37296,2,0
2024-05-09,440.43,441.59,438.47,440.83,38800,2,0
2024-05-10,442.73,444.3,440.5,442.31,36786,2,0
2024-05-13,443.87,443.91,441.64,442.89,33439,2,0
2024-05-14,442.98,446.45,442.46,446.29,38337,2,0
2024-05-15,448.41,453.13,446.9,452.89,36062,2,0
2024-05-16,452.59,454.68,451.98,452.26,36479,2,0
2024-05-17,452.29,452.71,449.52,451.33,33921,2,0
2024-05-20,452.21,455.57,452.17,454.47,31067,2,0
2024-05-21,453.03,455.97,452.9,455.91,28335,2,0
2024-05-22,456.15,456.8,453.06,455.14,33095,2,0
2024-05-23,459.7,459.88,451.84,453.56,52443,2,0
2024-05-24,454.96,459.19,454.56,457.89,36785,0,0
2024-05-28,459.47,459.69,456.68,459.02,39000,2,0
2024-05-29,456.17,458.22,455.8,456.13,39573,2,0
2024-05-30,455.23,455.63,450.2,451.52,43795,2,0
2024-05-31,451.85,452.45,443.05,450.98,47320,0,0
2024-06-03,454.42,455.56,447.89,452.55,49512,2,0
2024-06-04,452.63,455.57,451.11,454.52,50412,2,0
2024-06-05,457.66,463.58,456.8,463.4,36915,2,0
2024-06-06,464.17,464.52,462.18,463.18,43724,2,0
2024-06-07,462.46,465.73,461.82,463.07,49651,2,0
2024-06-10,461.78,465.17,461.67,464.37,42066,2,0
2024-06-11,463.32,467.84,462.03,467.8,39838,2,0
2024-06-12,472.02,476.47,471.93,474.6,47195,2,0
2024-06-13,477.74,478.37,474.41,477.48,45826,2,0
2024-06-14,476.64,478.96,476.03,478.88,43419,2,0
2024-06-17,479.57,486.84,478.13,485.03,40612,2,0
2024-06-18,485.35,485.88,483.41,485.29,38039,2,0
2024-06-20,485.78,486.82,479.64,481.26,54296,2,0
2024-06-21,480.61,482.53,478.67,480.1,46587,2,0
