time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,110.1,110.7,107.59,108.81,1533,2,0
2024-01-03,106.16,107.41,105.12,105.66,1542,1,0
2024-01-04,101.69,104.1,101.0,102.99,1760,2,0
2024-01-05,102.38,104.22,101.76,103.06,1494,1,0
2024-01-08,103.33,106.13,102.65,105.27,1491,2,0
2024-01-09,103.93,105.41,103.26,103.74,1114,1,0
2024-01-10,103.42,104.62,102.2,104.46,987,1,0
2024-01-11,103.86,104.12,101.35,103.51,1397,3,0
2024-01-12,103.54,104.4,101.53,102.37,1214,1,0
2024-01-16,100.8,102.51,100.4,101.11,1791,1,0
2024-01-17,99.18,99.95,98.28,99.75,1537,1,0
2024-01-18,101.57,103.91,100.89,103.78,1818,1,0
2024-01-19,104.26,106.17,103.75,105.36,1770,2,0
2024-01-22,106.26,107.15,105.57,106.77,1638,1,0
2024-01-23,106.9,108.18,106.52,107.76,1435,1,0
2024-01-24,107.24,108.28,105.52,105.95,1590,1,0
2024-01-25,107.04,107.04,105.53,106.41,1780,1,0
2024-01-26,105.0,105.54,102.85,103.48,1698,1,0
2024-01-29,103.58,103.83,102.5,103.66,1955,1,0
2024-01-30,102.5,103.15,100.04,100.13,1920,1,0
2024-01-31,100.1,101.97,98.28,99.42,2823,1,0
2024-02-01,104.13,107.45,102.5,105.7,2892,1,0
2024-02-02,104.06,104.73,102.21,103.53,3064,1,0
2024-02-05,103.39,108.09,103.14,107.19,2136,1,0
2024-02-06,107.1,108.7,106.5,108.61,1542,1,0
2024-02-07,109.1,111.07,107.9,110.68,1469,2,0
2024-02-08,110.49,113.64,110.34,112.64,2153,1,0
2024-02-09,112.6,113.51,112.07,112.14,1859,3,0
2024-02-12,112.1,114.76,111.39,113.58,1972,1,0
2024-02-13,110.23,112.65,109.82,111.36,1931,2,0
2024-02-14,112.29,113.87,111.73,113.45,2350,2,0
2024-02-15,113.62,114.72,113.0,113.53,1702,1,0
2024-02-16,113.16,113.9,112.0,112.03,1642,1,0
2024-02-20,110.78,112.5,110.33,111.7,2276,1,0
2024-02-21,110.49,111.8,110.0,111.54,2308,2,0
2024-02-22,112.02,113.74,112.0,113.21,1419,2,0
2024-02-23,112.78,113.75,112.2,112.84,1862,2,0
2024-02-26,113.01,114.22,112.57,113.29,1672,1,0
2024-02-27,114.15,114.66,113.5,113.81,1707,1,0
2024-02-28,112.25,113.39,111.71,111.83,1551,2,0
2024-02-29,113.59,114.71,112.17,114.32,1722,2,0
2024-03-01,115.16,120.2,114.85,119.35,2490,1,0
2024-03-04,120.1,121.62,119.62,119.98,1870,1,0
2024-03-05,118.01,118.12,112.12,113.08,2058,2,0
2024-03-06,114.94,118.58,114.94,115.62,1345,2,0
2024-03-07,117.18,119.81,116.74,118.49,1787,2,0
2024-03-08,118.94,119.46,115.92,116.18,2526,2,0
2024-03-11,115.4,117.43,114.47,117.16,1643,2,0
2024-03-12,117.98,120.37,116.25,120.08,2137,1,0
2024-03-13,118.16,119.85,115.48,115.96,1889,3,0
2024-03-14,115.0,116.15,112.29,113.38,2032,2,0
2024-03-15,112.11,113.06,111.34,111.81,2306,1,0
2024-03-18,112.91,113.37,110.77,111.2,1670,1,0
2024-03-19,109.69,111.08,108.83,110.59,1846,3,0
2024-03-20,110.87,114.14,109.5,113.28,2070,2,0
2024-03-21,115.2,117.84,114.53,115.29,1911,2,0
2024-03-22,114.31,115.67,113.84,114.41,1094,1,0
2024-03-25,112.26,114.16,112.0,113.65,1512,1,0
2024-03-26,112.81,114.76,112.59,112.79,1909,2,0
2024-03-27,112.82,114.69,112.03,114.55,1668,1,0
2024-03-28,114.05,115.71,113.99,114.83,1785,3,0
2024-04-01,114.94,116.6,113.45,113.96,1209,2,0
2024-04-02,112.65,114.11,112.0,113.78,2075,2,0
2024-04-03,112.2,115.43,111.87,114.8,924,1,0
2024-04-04,115.52,116.58,112.32,113.02,1390,2,0
2024-04-05,112.76,115.13,112.76,114.84,1294,2,0
2024-04-08,113.61,115.44,113.12,114.18,2286,2,0
2024-04-09,115.52,116.18,114.42,116.0,2264,2,0
2024-04-10,114.66,115.1,112.36,113.46,2153,2,0
2024-04-11,113.12,116.27,112.49,115.6,1629,3,0
2024-04-12,112.46,113.56,110.74,111.42,2379,2,0
2024-04-15,111.85,112.51,109.0,109.92,1444,2,0
2024-04-16,110.26,111.93,109.62,111.16,1407,2,0
2024-04-17,110.83,111.56,109.37,110.12,1905,2,0
2024-04-18,108.55,109.98,107.58,107.67,1448,1,0
2024-04-19,106.38,107.57,104.2,104.94,1104,1,0
2024-04-22,105.25,107.75,104.2,106.75,1320,1,0
2024-04-23,106.77,108.79,106.11,107.75,1067,3,0
2024-04-24,110.63,113.44,110.3,111.96,1575,3,0
2024-04-25,111.71,115.55,111.15,114.52,1481,2,0
2024-04-26,114.4,117.04,114.4,116.75,2271,1,0
2024-04-29,116.41,118.86,115.73,118.75,2511,2,0
2024-04-30,117.97,118.91,116.61,116.82,1334,3,0
2024-05-01,113.01,116.0,111.71,111.89,2103,1,0
2024-05-02,101.0,102.26,94.25,95.24,2299,1,0
2024-05-03,95.67,97.19,95.2,95.69,1236,0,0
2024-05-06,95.88,97.13,95.13,96.12,1461,1,0
2024-05-07,96.42,97.63,95.74,96.71,1041,2,0
2024-05-08,95.78,97.24,94.64,95.91,974,1,0
2024-05-09,94.98,97.4,94.85,97.03,1151,1,0
2024-05-10,97.35,97.73,96.5,97.53,613,1,0
2024-05-13,97.87,99.14,97.7,98.23,875,1,0
2024-05-14,98.81,99.31,98.02,99.03,841,1,0
2024-05-15,98.81,99.95,98.65,99.91,1169,1,0
2024-05-16,98.9,100.62,98.27,99.33,1052,1,0
2024-05-17,99.13,99.39,97.25,98.19,701,1,0
2024-05-20,97.97,99.56,97.97,98.57,891,1,0
2024-05-21,97.49,98.43,96.79,98.01,723,2,0
2024-05-22,98.33,99.8,98.06,99.16,1351,1,0
2024-05-23,98.79,99.01,95.5,96.79,1153,1,0
2024-05-24,96.87,98.52,96.87,98.05,1022,2,0
2024-05-28,98.31,99.27,97.48,97.79,1218,2,0
2024-05-29,96.37,97.2,95.89,96.17,1103,2,0
2024-05-30,96.0,97.28,96.0,96.89,927,1,0
2024-05-31,97.08,98.12,94.99,97.89,1165,3,0
2024-06-03,98.11,98.28,96.17,97.97,1137,1,0
2024-06-04,97.61,98.06,96.21,97.47,1064,1,0
2024-06-05,97.77,99.66,96.69,99.38,1129,1,0
2024-06-06,98.45,100.53,97.82,99.88,1161,2,0
2024-06-07,99.0,100.16,98.05,99.39,1380,1,0
2024-06-10,98.71,103.43,98.71,102.29,1239,1,0
2024-06-11,100.39,104.12,100.06,103.92,1234,1,0
2024-06-12,106.26,109.31,105.32,108.37,1341,2,0
2024-06-13,110.0,113.72,108.37,113.4,1387,1,0
2024-06-14,112.34,113.53,110.92,112.38,2400,1,0
2024-06-17,112.13,114.94,110.0,114.09,1464,1,0
2024-06-18,113.92,115.77,113.76,114.58,1160,2,0
2024-06-20,113.8,115.05,112.11,112.52,1136,3,0
2024-06-21,110.71,113.66,110.0,113.24,1233,1,0
2024-06-24,112.19,115.47,112.19,113.3,1255,1,0
2024-06-25,112.36,115.55,112.25,115.23,900,1,0
2024-06-26,114.69,115.84,112.12,113.85,1061,2,0
2024-06-27,113.02,113.97,110.81,111.99,782,1,0
2024-06-28,113.14,116.39,113.14,115.84,1143,1,0
2024-07-01,115.34,117.99,114.73,117.45,1111,3,0
2024-07-02,117.7,119.08,117.0,118.94,915,4,0
