time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,41.71,42.45,41.13,42.11,742,1,0
2024-01-03,41.42,41.62,40.03,40.14,727,1,0
2024-01-04,40.0,40.71,40.0,40.13,780,1,0
2024-01-05,39.61,40.9,39.56,40.2,578,2,0
2024-01-08,40.09,42.16,39.97,41.91,633,1,0
2024-01-09,40.83,42.11,40.43,41.8,790,1,0
2024-01-10,41.64,42.38,41.34,42.24,575,2,0
2024-01-11,41.91,42.48,41.04,42.31,674,1,0
2024-01-12,42.34,42.85,41.9,42.39,577,1,0
2024-01-16,41.33,42.41,41.25,42.27,674,1,0
2024-01-17,41.23,42.24,41.13,42.14,523,1,0
2024-01-18,42.28,42.62,41.57,42.47,730,1,0
2024-01-19,42.18,43.57,41.99,43.35,641,1,0
2024-01-22,43.8,44.95,43.8,44.81,654,1,0
2024-01-23,44.59,44.9,44.05,44.48,1008,1,0
2024-01-24,44.27,44.63,43.31,43.39,1083,1,0
2024-01-25,43.45,44.32,43.03,43.26,667,1,0
2024-01-26,42.93,43.8,42.82,42.89,672,2,0
2024-01-29,42.55,44.44,42.35,44.41,659,1,0
2024-01-30,43.93,44.37,43.73,44.01,678,1,0
2024-01-31,43.59,43.93,42.27,42.49,771,1,0
2024-02-01,42.6,43.01,41.57,42.14,871,1,0
2024-02-02,41.1,42.57,40.91,42.18,777,2,0
2024-02-05,41.28,41.42,40.56,40.97,733,2,0
2024-02-06,40.4,42.04,40.04,41.92,730,1,0
2024-02-07,41.45,42.12,40.91,41.42,762,1,0
2024-02-08,41.4,42.98,40.88,42.71,562,1,0
2024-02-09,42.42,43.32,42.27,43.13,586,1,0
2024-02-12,43.03,44.22,43.02,43.76,739,1,0
2024-02-13,41.48,42.48,41.08,41.42,1039,1,0
2024-02-14,41.86,43.99,41.86,43.83,857,1,0
2024-02-15,44.28,44.72,43.21,43.79,637,1,0
2024-02-16,42.51,43.41,42.31,42.48,800,1,0
2024-02-20,41.63,42.22,41.2,42.14,536,1,0
2024-02-21,41.2,41.86,41.1,41.67,581,1,0
2024-02-22,43.79,46.61,43.57,45.69,1112,1,0
2024-02-23,46.93,47.57,46.16,47.36,972,1,0
2024-02-26,46.86,47.85,46.0,46.58,632,2,0
2024-02-27,46.74,47.33,46.33,46.83,551,1,0
2024-02-28,45.19,46.38,45.03,45.52,606,1,0
2024-02-29,45.7,46.77,45.25,46.25,755,1,0
2024-03-01,45.76,46.52,45.36,46.19,710,1,0
2024-03-04,46.37,47.07,44.58,46.86,755,1,0
2024-03-05,45.98,46.63,45.3,45.78,814,1,0
2024-03-06,45.83,46.79,45.46,46.57,620,1,0
2024-03-07,46.87,47.79,46.63,47.28,640,2,0
2024-03-08,47.44,48.96,47.44,48.78,656,2,0
2024-03-11,48.57,49.39,48.23,48.86,570,1,0
2024-03-12,48.62,50.08,48.08,49.78,602,1,0
2024-03-13,49.36,50.38,49.35,50.33,543,1,0
2024-03-14,50.01,50.14,48.34,48.53,679,1,0
2024-03-15,47.8,48.77,47.74,48.3,876,1,0
2024-03-18,48.19,49.66,48.02,49.29,790,1,0
2024-03-19,48.62,50.93,48.62,50.4,939,1,0
2024-03-20,49.67,51.24,49.66,50.92,835,1,0
2024-03-21,51.07,52.57,50.65,52.46,813,1,0
2024-03-22,51.83,52.09,51.24,51.33,547,1,0
2024-03-25,50.94,51.44,49.83,49.99,510,1,0
2024-03-26,50.33,51.59,50.19,50.89,611,1,0
2024-03-27,51.87,52.49,51.15,52.36,600,1,0
2024-03-28,52.05,53.28,52.05,52.62,598,1,0
2024-04-01,51.94,52.12,50.0,50.47,753,1,0
2024-04-02,48.72,50.72,48.72,50.53,498,1,0
2024-04-03,50.05,52.02,50.04,51.87,738,1,0
2024-04-04,52.64,53.57,50.93,51.05,686,1,0
2024-04-05,50.63,52.84,50.57,52.41,580,1,0
2024-04-08,52.33,53.69,52.33,53.27,439,1,0
2024-04-09,53.6,53.83,52.87,53.68,547,3,0
2024-04-10,50.98,52.83,50.98,51.81,937,3,0
2024-04-11,51.98,53.76,51.75,53.53,692,1,0
2024-04-12,52.76,52.76,51.0,51.34,578,2,0
2024-04-15,51.08,51.73,49.83,50.23,813,1,0
2024-04-16,49.57,51.02,49.55,50.48,1135,1,0
2024-04-17,50.7,50.98,50.04,50.04,759,1,0
2024-04-18,49.55,50.81,49.48,49.65,671,1,0
2024-04-19,49.56,50.8,49.42,49.89,864,1,0
2024-04-22,50.28,51.79,49.64,51.52,750,3,0
2024-04-23,52.03,53.58,51.46,53.25,684,1,0
2024-04-24,52.96,54.04,52.78,53.74,579,1,0
2024-04-25,52.25,52.96,51.58,52.73,611,1,0
2024-04-26,52.12,53.8,52.08,53.27,503,2,0
2024-04-29,53.29,53.65,52.43,52.43,565,1,0
2024-04-30,51.75,52.48,51.21,51.21,564,2,0
2024-05-01,51.01,52.77,50.7,51.53,1211,2,0
2024-05-02,53.45,59.6,53.45,59.54,1460,1,0
2024-05-03,59.71,60.89,58.84,60.42,904,1,0
