time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,865.0,904.07,865.0,903.24,996,25,0
2024-01-03,903.76,923.0,897.21,917.93,715,22,0
2024-01-04,914.5,924.1,906.87,910.59,903,19,0
2024-01-05,900.8,922.3,900.8,913.73,760,33,0
2024-01-08,874.99,902.67,874.99,902.67,1067,14,0
2024-01-09,890.35,902.71,887.55,902.01,678,25,0
2024-01-10,892.11,906.72,892.11,906.05,603,35,0
2024-01-11,898.0,916.19,898.0,915.93,984,21,0
2024-01-12,916.0,934.89,916.0,931.92,748,14,0
2024-01-16,928.9,936.85,928.9,936.85,1674,16,0
2024-01-17,932.0,942.43,922.0,929.49,1006,16,0
2024-01-18,922.0,937.2,917.7,928.16,1090,28,0
2024-01-19,929.17,937.0,928.0,930.76,867,26,0
2024-01-22,933.0,942.85,922.0,942.04,605,33,0
2024-01-23,939.0,954.62,939.0,954.21,927,30,0
2024-01-24,952.0,954.04,941.64,944.56,849,34,0
2024-01-25,952.8,955.0,944.51,946.88,716,34,0
2024-01-26,947.33,952.76,937.34,939.04,529,29,0
2024-01-29,939.0,956.0,939.0,955.36,1116,20,0
2024-01-30,954.61,959.47,943.85,957.09,850,21,0
2024-01-31,954.77,964.36,941.2,941.2,1334,29,0
2024-02-01,941.55,964.32,933.42,953.52,2339,25,0
2024-02-02,967.0,970.08,939.0,942.26,958,35,0
2024-02-05,930.05,938.99,921.95,936.06,2001,22,0
2024-02-06,935.01,942.59,927.0,934.29,592,35,0
2024-02-07,933.46,954.03,933.46,936.61,831,23,0
2024-02-08,933.0,946.37,930.0,944.7,794,16,0
2024-02-09,944.26,956.95,944.0,950.77,958,9,0
2024-02-12,950.28,952.3,941.05,947.24,676,12,0
2024-02-13,940.65,946.58,933.11,937.12,636,36,0
2024-02-14,940.66,951.52,936.13,946.96,756,39,0
2024-02-15,948.07,957.88,948.0,953.14,608,30,0
2024-02-16,950.0,955.92,941.5,944.64,549,27,0
2024-02-20,948.0,961.32,941.78,946.56,772,24,0
2024-02-21,951.3,956.59,945.0,950.52,610,29,0
2024-02-22,950.11,972.02,947.0,964.73,714,24,0
2024-02-23,974.45,984.83,965.16,981.51,766,28,0
2024-02-26,976.84,994.89,975.0,987.79,568,15,0
2024-02-27,989.34,995.03,975.0,991.62,554,35,0
2024-02-28,992.0,997.74,986.49,987.65,756,22,0
2024-02-29,986.0,986.0,965.0,965.0,657,42,0
2024-03-01,967.77,988.18,964.88,983.06,606,26,0
2024-03-04,980.0,982.77,966.0,969.66,579,22,0
2024-03-05,967.0,968.07,953.0,964.7,866,30,0
2024-03-06,955.0,973.66,955.0,969.68,784,28,0
2024-03-07,973.0,978.61,967.86,970.51,559,23,0
2024-03-08,965.0,974.96,962.42,967.22,416,42,0
2024-03-11,970.04,977.04,960.0,962.58,583,52,0
2024-03-12,962.25,975.52,962.25,970.4,503,20,0
2024-03-13,973.47,975.63,960.61,963.75,661,24,0
2024-03-14,961.15,966.75,950.98,955.99,756,41,0
2024-03-15,956.28,964.85,951.82,960.69,542,23,0
2024-03-18,957.2,969.08,955.7,957.75,705,35,0
2024-03-19,964.87,965.88,957.65,960.41,993,27,0
2024-03-20,956.04,966.19,947.0,962.93,705,51,0
2024-03-21,968.92,978.77,966.95,966.95,745,19,0
2024-03-22,968.0,974.65,966.0,967.61,762,42,0
2024-03-25,958.0,962.6,956.0,961.01,818,43,0
2024-03-26,962.5,966.52,957.0,963.55,655,37,0
2024-03-27,966.19,974.19,960.9,965.47,699,33,0
2024-03-28,966.3,967.13,959.0,961.98,885,29,0
2024-04-01,957.9,969.18,954.12,968.0,748,29,0
2024-04-02,954.7,959.06,950.46,954.69,784,12,0
2024-04-03,955.46,960.19,948.48,949.74,947,22,0
2024-04-04,958.0,960.94,934.38,936.26,864,38,0
2024-04-05,936.01,948.56,933.0,941.42,581,36,0
2024-04-08,936.79,942.35,935.0,938.1,524,21,0
2024-04-09,941.39,947.82,935.77,940.27,523,31,0
2024-04-10,931.46,937.32,923.76,935.0,892,35,0
2024-04-11,927.0,928.17,906.0,919.82,933,20,0
2024-04-12,910.82,911.04,898.0,901.41,767,31,0
2024-04-15,912.27,920.31,895.1,898.0,664,40,0
2024-04-16,898.16,899.64,890.0,893.61,640,25,0
2024-04-17,902.79,910.89,895.01,900.74,789,34,0
2024-04-18,901.26,902.2,890.0,893.0,546,23,0
2024-04-19,907.34,910.2,891.0,893.07,695,47,0
2024-04-22,901.58,908.39,895.87,898.87,1033,19,0
2024-04-23,906.59,910.95,901.81,906.4,721,37,0
2024-04-24,905.28,914.81,903.33,905.56,660,49,0
2024-04-25,901.72,902.75,876.0,887.24,635,54,0
2024-04-26,882.01,886.44,875.33,881.24,558,29,0
2024-04-29,886.96,896.31,883.37,889.2,337,36,0
2024-04-30,881.41,895.78,879.04,891.31,656,33,0
2024-05-01,888.43,912.31,885.0,902.04,567,20,0
2024-05-02,893.0,942.83,893.0,933.94,917,41,0
2024-05-03,927.97,956.41,927.89,953.76,555,30,0
2024-05-06,953.42,959.78,947.54,954.88,899,24,0
2024-05-07,958.87,968.76,952.06,966.71,652,40,0
2024-05-08,967.95,967.95,950.41,955.48,634,40,0
2024-05-09,956.5,969.27,956.0,966.31,558,29,0
2024-05-10,960.43,978.64,958.75,974.88,773,43,0
2024-05-13,972.0,981.4,971.41,974.34,285,62,0
2024-05-14,969.8,987.18,969.8,983.4,399,41,0
2024-05-15,985.71,987.13,965.0,975.47,826,26,0
2024-05-16,970.0,977.25,965.12,966.51,702,14,0
2024-05-17,965.06,980.43,963.71,979.27,822,32,0
2024-05-20,978.0,987.77,977.98,983.19,561,23,0
2024-05-21,982.97,995.26,982.97,994.04,1270,25,0
2024-05-22,984.36,995.84,980.05,984.09,697,52,0
2024-05-23,978.9,991.15,975.67,978.3,864,35,0
2024-05-24,981.0,994.81,981.0,983.18,730,27,0
2024-05-28,970.0,973.73,963.05,969.89,709,39,0
2024-05-29,964.99,970.69,956.97,966.32,933,30,0
2024-05-30,960.82,970.01,952.0,969.61,894,29,0
2024-05-31,960.62,979.5,960.62,977.28,506,34,0
2024-06-03,978.43,1000.34,976.18,987.72,840,35,0
2024-06-04,985.85,999.41,985.85,991.14,616,26,0
2024-06-05,990.0,1013.36,988.99,1005.08,689,39,0
2024-06-06,1006.29,1014.43,995.85,999.46,895,13,0
2024-06-07,999.17,1006.49,993.2,1002.72,764,27,0
2024-06-10,994.0,1002.6,990.0,998.48,748,25,0
2024-06-11,998.39,1014.07,998.39,1009.32,656,32,0
2024-06-12,1011.73,1029.25,1006.2,1025.48,1096,22,0
2024-06-13,1015.0,1029.99,1015.0,1027.44,1492,38,0
2024-06-14,1027.4,1041.38,1017.94,1033.02,1008,35,0
2024-06-17,1032.09,1049.33,1026.0,1045.53,1140,23,0
2024-06-18,1043.0,1051.6,1035.0,1038.05,724,33,0
2024-06-20,1038.47,1045.33,1027.06,1042.66,962,26,0
2024-06-21,1046.3,1059.5,1039.1,1053.45,1228,8,0
2024-06-24,1051.0,1066.82,1051.0,1061.24,956,26,0
2024-06-25,1072.41,1080.31,1060.73,1071.1,1437,21,0
2024-06-26,1066.0,1074.97,1048.0,1064.35,781,31,0
2024-06-27,1067.61,1068.15,1045.1,1048.56,732,28,0
2024-06-28,1049.48,1055.46,1040.49,1051.02,687,40,0
2024-07-01,1041.45,1068.55,1040.97,1054.11,678,35,0
2024-07-02,1055.33,1055.33,1030.0,1044.51,1227,18,0
2024-07-03,1041.23,1042.34,1011.0,1025.29,586,12,0
2024-07-05,1026.31,1038.93,1026.31,1035.0,852,41,0
2024-07-08,1035.3,1053.68,1035.0,1047.76,717,42,0
2024-07-09,1050.0,1058.24,1040.0,1052.11,855,26,0
2024-07-10,1052.0,1072.08,1050.47,1069.6,898,48,0
2024-07-11,1068.8,1089.92,1068.8,1076.9,936,40,0
2024-07-12,1086.23,1105.61,1084.0,1099.3,1063,18,0
2024-07-15,1091.35,1098.25,1077.61,1079.8,693,31,0
2024-07-16,1081.11,1099.71,1081.11,1091.08,547,61,0
2024-07-17,1088.0,1098.16,1076.12,1082.79,673,26,0
2024-07-18,1086.81,1095.82,1060.12,1064.35,747,30,0
2024-07-19,1068.08,1073.9,1055.62,1062.54,815,38,0
2024-07-22,1072.74,1075.53,1062.98,1066.71,960,39,0
2024-07-23,1060.0,1074.45,1054.0,1056.31,611,32,0
2024-07-24,1054.99,1065.51,1050.0,1057.94,1495,29,0
2024-07-25,1066.43,1099.86,1058.22,1062.14,1015,29,0
2024-07-26,1064.19,1090.22,1064.19,1077.5,810,45,0
2024-07-29,1075.66,1083.86,1073.02,1077.5,702,34,0
2024-07-30,1080.01,1088.64,1064.71,1077.03,610,36,0
2024-07-31,1080.01,1089.61,1068.17,1073.59,651,16,0
2024-08-01,1053.93,1100.48,1042.7,1089.89,746,35,0
2024-08-02,1102.49,1110.01,1067.87,1079.19,643,39,0
2024-08-05,1080.0,1080.0,1050.03,1070.48,814,41,0
2024-08-06,1069.52,1090.26,1062.38,1066.03,690,16,0
2024-08-07,1071.43,1076.28,1060.23,1064.19,430,31,0
2024-08-08,1072.16,1109.82,1068.24,1107.98,602,46,0
2024-08-09,1109.02,1132.11,1109.02,1131.08,685,34,0
2024-08-12,1123.37,1129.22,1110.0,1119.04,493,50,0
2024-08-13,1126.04,1159.07,1122.09,1154.65,620,42,0
2024-08-14,1150.0,1160.15,1138.0,1155.11,647,36,0
2024-08-15,1163.29,1176.81,1151.55,1172.27,548,29,0
2024-08-16,1171.0,1184.49,1167.53,1178.72,593,42,0
2024-08-19,1181.2,1196.8,1176.24,1196.15,544,59,0
2024-08-20,1194.79,1199.68,1185.12,1190.04,378,36,0
2024-08-21,1193.0,1200.58,1182.18,1183.94,554,23,0
2024-08-22,1186.0,1190.71,1180.0,1186.04,447,54,0
2024-08-23,1194.88,1201.19,1187.53,1195.32,502,42,0
2024-08-26,1197.92,1204.81,1195.16,1196.0,339,56,0
2024-08-27,1196.96,1209.91,1194.0,1201.19,457,26,0
2024-08-28,1199.59,1206.4,1190.59,1198.61,500,44,0
2024-08-29,1200.01,1207.87,1175.0,1178.57,644,30,0
2024-08-30,1183.9,1190.52,1171.0,1183.09,525,30,0
2024-09-03,1182.69,1190.3,1160.0,1167.89,665,31,0
2024-09-04,1163.0,1182.32,1163.0,1179.37,472,36,0
2024-09-05,1170.35,1170.35,1142.44,1145.7,545,38,0
2024-09-06,1144.88,1151.8,1127.0,1130.45,580,27,0
2024-09-09,1129.0,1149.7,1129.0,1141.31,749,23,0
2024-09-10,1140.96,1140.99,1120.0,1134.7,350,73,0
2024-09-11,1121.87,1141.67,1111.24,1139.47,416,27,0
2024-09-12,1144.3,1167.25,1128.06,1164.39,735,41,0
2024-09-13,1162.9,1170.07,1149.23,1153.36,816,21,0
2024-09-16,1155.0,1159.59,1150.0,1150.61,659,30,0
2024-09-17,1148.02,1148.8,1133.31,1145.42,937,39,0
2024-09-18,1130.0,1153.69,1130.0,1138.99,909,41,0
2024-09-19,1152.57,1164.55,1145.37,1149.64,865,48,0
2024-09-20,1141.03,1148.49,1135.0,1140.43,571,62,0
2024-09-23,1133.0,1154.19,1080.0,1091.21,997,40,0
2024-09-24,1062.66,1064.31,1020.0,1040.7,1471,32,0
2024-09-25,1033.0,1043.01,1008.0,1029.92,1096,31,0
2024-09-26,1050.84,1051.37,1030.0,1038.41,959,27,0
2024-09-27,1038.25,1068.93,1037.24,1039.04,941,24,0
2024-09-30,1040.0,1057.24,1039.16,1046.88,837,35,0
2024-10-01,1053.01,1058.78,1040.02,1046.17,1085,36,0
2024-10-02,1030.0,1045.06,1025.0,1040.16,843,21,0
2024-10-03,1032.11,1035.37,1011.26,1013.18,871,25,0
2024-10-04,1018.86,1019.13,1007.07,1011.22,876,16,0
2024-10-07,1010.27,1010.74,990.31,992.8,977,24,0
2024-10-08,1000.53,1006.19,992.88,1004.73,791,38,0
2024-10-09,1001.59,1013.67,1001.0,1011.33,635,32,0
2024-10-10,1012.07,1012.07,997.1,999.07,855,24,0
2024-10-11,1003.69,1016.15,995.05,1015.0,502,25,0
2024-10-14,1016.77,1023.42,1008.24,1010.97,666,34,0
2024-10-15,1001.0,1022.42,1001.0,1015.63,846,34,0
2024-10-16,1013.2,1018.74,1005.54,1005.54,585,36,0
2024-10-17,1011.6,1012.17,997.0,998.74,489,21,0
2024-10-18,995.63,1002.02,990.0,990.0,503,36,0
2024-10-21,985.57,990.12,966.41,969.02,731,19,0
2024-10-22,962.0,971.38,918.01,958.33,1004,44,0
2024-10-23,951.05,952.17,932.2,938.1,882,44,0
2024-10-24,946.16,946.16,928.09,928.09,586,36,0
2024-10-25,933.01,943.07,927.84,931.99,786,22,0
2024-10-28,934.77,942.51,925.35,925.35,617,25,0
2024-10-29,927.75,930.9,923.4,926.2,475,31,0
2024-10-30,919.48,934.25,915.0,922.76,566,49,0
2024-10-31,863.0,870.0,815.4,833.08,1545,20,0
2024-11-01,840.0,860.33,837.5,840.28,728,18,0
2024-11-04,845.0,850.75,825.88,827.85,710,34,0
2024-11-05,824.08,835.33,819.0,826.33,506,36,0
2024-11-06,836.52,836.52,813.0,813.19,638,30,0
2024-11-07,814.05,831.92,814.05,821.22,696,43,0
2024-11-08,826.4,829.57,822.15,827.64,568,26,0
2024-11-11,825.0,832.38,820.0,824.49,605,25,0
2024-11-12,823.0,828.11,816.07,817.86,765,21,0
2024-11-13,815.28,822.12,802.32,803.6,809,24,0
2024-11-14,795.15,802.52,780.0,780.0,635,34,0
2024-11-15,777.22,778.0,752.68,754.33,868,33,0
2024-11-18,751.92,761.33,751.0,761.06,638,20,0
2024-11-19,750.88,756.0,736.21,743.95,711,31,0
2024-11-20,738.25,749.62,736.0,741.43,476,30,0
2024-11-21,740.0,756.0,735.01,743.01,495,43,0
2024-11-22,743.15,751.07,738.75,738.75,652,23,0
2024-11-25,742.91,756.88,741.37,746.76,579,37,0
2024-11-26,740.0,753.43,736.23,750.16,650,37,0
2024-11-27,755.19,762.03,749.02,752.91,441,27,0
2024-11-29,747.5,753.99,740.0,749.5,353,28,0
2024-12-02,749.81,762.49,749.1,760.26,510,20,0
2024-12-03,761.76,761.76,747.5,747.5,595,22,0
2024-12-04,747.65,756.09,744.01,754.3,546,7,0
2024-12-05,753.37,766.89,749.0,766.89,693,32,0
2024-12-06,768.44,777.16,763.08,776.49,588,24,0
2024-12-09,773.92,799.8,772.0,782.84,808,25,0
2024-12-10,788.0,788.99,762.01,774.0,826,10,0
2024-12-11,779.63,780.78,765.26,772.81,973,23,0
2024-12-12,766.36,776.49,740.0,740.0,791,26,0
2024-12-13,734.0,738.18,728.03,729.79,520,38,0
2024-12-16,726.17,738.68,722.0,722.9,650,18,0
2024-12-17,721.87,744.0,721.24,740.55,771,19,0
2024-12-18,737.83,742.69,712.55,713.93,688,35,0
2024-12-19,708.4,712.65,693.0,706.28,876,33,0
2024-12-20,710.5,716.07,700.0,700.0,680,38,0
2024-12-23,708.07,717.98,702.1,714.85,601,29,0
2024-12-24,712.25,715.06,706.01,710.93,358,39,0
2024-12-26,709.96,718.26,709.01,714.26,528,24,0
2024-12-27,709.91,717.12,708.88,710.38,582,32,0
2024-12-30,707.0,707.0,700.03,702.29,579,31,0
2024-12-31,702.64,711.86,701.11,711.1,533,20,0
2025-01-07,718.95,733.19,716.26,730.45,429,25,0
2025-01-08,728.0,742.73,723.0,732.0,773,28,0
2025-01-10,711.83,717.5,691.0,695.33,649,27,0
2025-01-13,673.28,716.59,673.28,715.35,843,29,0
2025-01-14,713.63,713.63,686.0,688.29,716,21,0
2025-01-15,698.99,711.25,695.35,703.4,647,37,0
2025-01-16,702.42,705.5,691.33,693.07,731,11,0
2025-01-17,702.74,702.74,680.22,680.6,690,31,0
2025-01-21,687.01,690.97,681.4,685.45,595,30,0
