time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,19.15,19.69,19.11,19.46,2586,1,0
2024-01-03,19.15,19.16,18.75,18.82,2983,1,0
2024-01-04,18.73,19.19,18.72,18.96,1993,1,0
2024-01-05,18.88,19.5,18.82,19.33,2635,1,0
2024-01-08,19.31,19.5,19.17,19.5,1869,0,0
2024-01-09,19.34,19.41,19.08,19.09,1547,1,0
2024-01-10,19.03,19.06,18.72,18.89,1517,1,0
2024-01-11,18.78,18.8,18.36,18.55,2132,1,0
2024-01-12,18.63,18.72,18.1,18.27,2924,1,0
2024-01-16,18.0,18.18,17.87,17.96,1855,1,0
2024-01-17,17.57,18.04,17.52,17.93,2144,1,0
2024-01-18,18.04,18.12,17.69,17.96,1747,1,0
2024-01-19,17.72,18.66,17.7,18.6,2665,1,0
2024-01-22,18.79,19.1,18.73,19.07,1717,1,0
2024-01-23,19.16,19.2,18.77,18.98,1787,1,0
2024-01-24,19.08,19.32,18.96,19.24,1781,1,0
2024-01-25,19.45,19.51,18.94,19.16,2479,1,0
2024-01-26,19.19,19.33,19.02,19.16,1788,1,0
2024-01-29,19.15,19.41,19.1,19.37,1084,1,0
2024-01-30,19.44,19.64,19.35,19.46,1527,1,0
2024-01-31,18.8,19.26,18.67,18.7,3578,1,0
2024-02-01,18.73,18.8,17.52,18.25,3863,1,0
2024-02-02,17.96,18.38,17.87,18.27,3440,1,0
2024-02-05,18.07,18.1,17.81,17.95,2318,1,0
2024-02-06,17.92,18.13,17.72,17.88,2734,1,0
2024-02-07,17.93,18.03,17.42,17.83,2973,1,0
2024-02-08,17.72,17.98,17.65,17.87,1977,1,0
2024-02-09,17.84,18.09,17.72,17.96,1898,1,0
2024-02-12,18.16,18.67,18.02,18.47,2591,1,0
2024-02-13,18.0,18.14,17.61,17.9,2666,0,0
2024-02-14,18.19,18.33,18.06,18.27,2291,1,0
2024-02-15,18.48,18.82,18.42,18.56,2321,1,0
2024-02-16,18.37,18.59,18.26,18.48,2152,0,0
