time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,161.33,163.11,160.88,162.78,417,7,0
2024-01-03,162.97,164.53,162.0,163.78,508,6,0
2024-01-04,164.0,165.69,162.5,163.8,583,2,0
2024-01-05,164.14,166.94,163.55,166.41,430,3,0
2024-01-08,167.13,168.06,164.5,167.96,584,2,0
2024-01-09,166.8,166.8,163.75,164.19,633,5,0
2024-01-10,163.7,165.97,163.29,165.57,465,4,0
2024-01-11,164.55,167.76,163.47,167.36,588,2,0
2024-01-12,168.05,168.78,167.16,168.54,514,4,0
2024-01-16,168.28,170.67,166.89,168.86,606,4,0
2024-01-17,167.22,169.29,166.6,166.72,549,4,0
2024-01-18,165.0,168.3,165.0,168.26,593,3,0
2024-01-19,167.57,168.9,166.64,167.8,680,2,0
2024-01-22,167.41,169.76,166.99,169.1,386,6,0
2024-01-23,168.77,169.84,167.49,168.33,598,5,0
2024-01-24,167.71,170.5,167.71,168.52,485,3,0
2024-01-25,168.5,169.58,167.0,168.53,593,2,0
2024-01-26,167.62,171.04,165.6,170.75,728,5,0
2024-01-29,169.45,172.05,169.45,172.01,955,4,0
2024-01-30,171.12,172.65,170.02,172.62,644,4,0
2024-01-31,172.24,175.14,170.98,173.69,703,2,0
2024-02-01,171.84,172.33,169.08,171.58,768,2,0
2024-02-02,168.9,169.7,162.96,166.92,1008,4,0
2024-02-05,165.73,168.44,165.1,167.73,585,3,0
2024-02-06,166.06,168.15,165.32,166.96,724,3,0
2024-02-07,166.28,169.46,166.28,168.87,576,6,0
2024-02-08,167.97,168.62,165.23,167.29,518,3,0
2024-02-09,165.69,167.94,164.7,167.93,599,4,0
2024-02-12,166.31,169.86,166.0,168.08,565,3,0
2024-02-13,167.66,168.56,164.96,166.27,649,7,0
2024-02-14,166.2,169.13,165.25,168.92,579,3,0
2024-02-15,168.15,172.13,168.15,170.64,510,5,0
2024-02-16,169.2,172.08,168.66,168.66,447,6,0
2024-02-20,168.25,170.65,168.25,169.42,484,5,0
2024-02-21,168.69,170.09,168.17,169.12,511,5,0
2024-02-22,169.12,171.96,168.65,171.52,659,4,0
2024-02-23,170.41,174.24,170.41,173.72,462,3,0
2024-02-26,172.57,174.5,171.27,171.82,460,5,0
2024-02-27,170.71,175.19,169.98,174.74,526,7,0
2024-02-28,174.16,179.26,174.16,177.5,619,5,0
2024-02-29,177.45,177.45,174.04,176.25,529,4,0
2024-03-01,176.86,178.45,175.07,176.24,554,5,0
2024-03-04,176.94,179.28,176.01,176.77,628,2,0
2024-03-05,176.32,179.0,176.05,178.11,640,6,0
2024-03-06,177.92,182.9,177.92,182.84,860,5,0
2024-03-07,181.84,184.53,181.84,182.9,577,4,0
2024-03-08,182.39,183.68,180.38,181.65,635,4,0
2024-03-11,181.49,183.97,179.42,183.05,394,4,0
2024-03-12,182.9,184.56,182.23,184.16,452,0,0
2024-03-13,183.21,185.66,183.21,184.92,397,3,0
2024-03-14,184.56,185.77,182.4,183.62,573,5,0
2024-03-15,182.2,185.81,182.2,184.29,563,8,0
2024-03-18,184.57,185.22,183.12,183.38,488,4,0
2024-03-19,184.01,185.31,182.71,183.69,461,8,0
2024-03-20,183.07,185.67,182.67,185.67,514,5,0
2024-03-21,185.43,186.38,183.75,185.57,403,4,0
2024-03-22,185.09,189.32,185.07,188.9,558,3,0
2024-03-25,188.37,193.4,186.93,190.89,715,8,0
2024-03-26,190.36,193.65,190.36,192.43,484,9,0
2024-03-27,191.84,193.56,190.15,193.13,514,6,0
2024-03-28,192.49,194.68,192.15,192.49,474,6,0
2024-04-01,191.17,195.09,189.75,194.55,633,2,0
2024-04-02,193.91,195.79,191.66,192.83,581,4,0
2024-04-03,192.35,194.31,191.26,193.5,471,5,0
2024-04-04,193.23,194.18,190.53,190.83,368,8,0
2024-04-05,191.35,194.28,191.35,193.58,497,7,0
2024-04-08,193.39,195.33,192.27,194.54,481,2,0
2024-04-09,194.21,194.93,187.86,189.27,686,2,0
2024-04-10,186.5,191.01,186.5,189.86,536,1,0
2024-04-11,188.33,188.33,183.93,184.72,835,8,0
2024-04-12,183.49,185.3,183.4,184.48,482,3,0
2024-04-15,184.85,185.47,180.51,181.36,660,6,0
2024-04-16,181.08,181.42,180.03,180.53,623,4,0
2024-04-17,180.03,181.07,178.46,179.84,585,5,0
2024-04-18,180.07,182.57,180.07,182.08,689,7,0
2024-04-19,181.57,186.6,181.04,185.62,486,7,0
2024-04-22,185.78,190.09,184.75,188.36,671,2,0
2024-04-23,188.28,190.73,188.28,189.89,430,5,0
2024-04-24,187.54,191.08,187.54,190.48,400,7,0
2024-04-25,189.37,191.78,188.47,190.58,510,7,0
2024-04-26,189.11,191.25,187.41,188.82,486,7,0
2024-04-29,188.7,190.48,187.46,188.95,490,8,0
2024-04-30,187.41,189.07,186.63,186.63,488,7,0
2024-05-01,186.6,191.78,185.1,190.53,631,4,0
2024-05-02,190.56,192.6,187.92,191.1,617,4,0
