time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,175.8,183.03,175.8,179.07,598,7,0
2024-01-03,171.31,174.21,169.83,170.93,807,11,0
2024-01-04,169.87,174.32,169.72,171.25,688,14,0
2024-01-05,167.0,174.74,167.0,170.94,613,13,0
2024-01-08,167.77,176.79,167.72,176.21,732,9,0
2024-01-09,172.63,181.11,170.08,173.0,852,4,0
2024-01-10,172.0,177.95,170.1,177.39,959,9,0
2024-01-11,173.98,178.68,172.61,178.0,676,13,0
2024-01-12,178.91,180.2,172.26,173.29,599,11,0
2024-01-16,170.61,173.95,167.19,172.55,759,9,0
2024-01-17,167.76,170.95,167.0,170.28,827,6,0
2024-01-18,171.22,174.55,168.13,173.87,767,9,0
2024-01-19,171.23,178.61,168.9,177.76,845,4,0
2024-01-22,176.61,184.68,176.23,184.23,731,7,0
2024-01-23,182.68,187.43,179.2,186.64,934,4,0
2024-01-24,187.0,188.34,179.67,181.56,700,10,0
2024-01-25,181.62,185.74,179.09,185.14,732,8,0
2024-01-26,197.68,202.47,193.18,193.29,1058,10,0
2024-01-29,190.84,192.45,185.05,191.76,798,9,0
2024-01-30,192.2,196.42,190.83,192.97,879,7,0
2024-01-31,191.75,193.27,187.61,188.88,750,9,0
2024-02-01,190.61,192.48,185.52,191.93,779,7,0
2024-02-02,188.86,196.37,187.23,195.4,752,12,0
2024-02-05,193.7,196.8,189.31,196.0,489,16,0
2024-02-06,193.54,201.78,193.54,200.07,675,13,0
2024-02-07,200.35,203.78,197.49,201.82,625,8,0
2024-02-08,198.28,208.03,198.28,203.58,916,10,0
2024-02-09,201.75,207.4,201.75,204.97,696,12,0
2024-02-12,202.0,206.84,202.0,205.44,649,9,0
2024-02-13,197.84,201.83,194.21,198.32,615,10,0
2024-02-14,196.48,206.08,196.48,206.08,713,11,0
2024-02-15,206.71,209.87,204.7,205.74,630,11,0
2024-02-16,202.95,210.86,201.32,208.24,733,11,0
2024-02-20,204.65,205.95,196.28,199.45,1928,5,0
2024-02-21,189.77,201.7,189.77,193.7,806,12,0
2024-02-22,194.99,198.93,190.02,193.25,845,7,0
2024-02-23,193.24,199.28,192.47,196.01,822,8,0
2024-02-26,193.37,195.8,190.73,191.46,750,8,0
2024-02-27,188.57,194.48,187.95,192.43,596,8,0
2024-02-28,191.26,195.94,189.55,195.46,665,8,0
2024-02-29,195.0,197.93,192.41,193.52,667,7,0
2024-03-01,192.25,196.08,188.87,194.84,896,9,0
2024-03-04,194.93,198.74,193.33,195.67,699,8,0
2024-03-05,193.36,193.49,189.22,191.61,680,5,0
2024-03-06,192.88,196.41,192.28,195.08,521,10,0
2024-03-07,194.01,199.61,194.01,197.87,679,5,0
2024-03-08,199.69,202.49,194.0,194.8,483,7,0
2024-03-11,192.4,194.94,192.4,192.83,363,14,0
2024-03-12,190.74,194.09,190.5,191.92,526,9,0
2024-03-13,189.04,196.07,189.04,194.28,446,13,0
2024-03-14,192.25,194.65,190.9,193.25,515,10,0
2024-03-15,190.42,194.13,189.0,189.4,475,13,0
2024-03-18,190.91,194.38,189.56,193.97,659,8,0
2024-03-19,189.97,198.63,189.97,198.48,443,9,0
2024-03-20,194.72,198.57,194.07,196.6,513,14,0
2024-03-21,194.19,200.08,194.19,199.17,456,9,0
2024-03-22,198.0,199.84,196.0,197.71,405,13,0
2024-03-25,195.52,195.52,183.7,184.78,654,10,0
2024-03-26,184.0,186.57,182.88,183.43,563,9,0
2024-03-27,183.79,185.32,182.59,184.65,372,12,0
2024-03-28,182.91,186.91,182.26,183.66,428,8,0
2024-04-01,181.12,183.31,179.53,182.07,472,10,0
