time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,120.58,121.82,118.98,119.79,812,4,0
2024-01-03,116.75,118.51,116.0,118.14,904,4,0
2024-01-04,117.29,119.19,116.06,118.34,640,3,0
2024-01-05,117.48,119.91,116.41,118.12,465,2,0
2024-01-08,116.71,120.05,116.27,119.79,766,2,0
2024-01-09,118.18,120.38,118.18,120.2,643,3,0
2024-01-10,120.41,121.96,120.0,121.5,663,4,0
2024-01-11,121.58,122.49,119.0,120.59,651,1,0
2024-01-12,123.18,124.95,121.88,122.31,688,2,0
2024-01-16,119.95,121.46,119.42,120.62,494,6,0
2024-01-17,117.56,119.35,116.13,116.87,797,3,0
2024-01-18,116.11,116.56,115.01,115.82,574,4,0
2024-01-19,115.63,116.31,114.48,116.05,674,4,0
2024-01-22,114.96,117.03,114.96,116.63,522,6,0
2024-01-23,117.18,118.97,116.59,118.77,579,3,0
2024-01-24,120.21,120.21,114.2,114.6,697,2,0
2024-01-25,115.35,116.61,115.0,115.72,655,4,0
2024-01-26,115.61,116.46,115.0,115.0,515,1,0
2024-01-29,115.0,116.31,113.3,116.02,565,6,0
2024-01-30,114.72,115.85,113.88,115.04,837,3,0
2024-01-31,115.15,117.41,113.85,114.13,802,7,0
2024-02-01,114.98,117.63,114.98,116.8,1063,1,0
2024-02-02,114.0,114.71,112.0,114.01,838,2,0
2024-02-05,111.97,112.38,110.52,111.53,602,4,0
2024-02-06,111.57,113.15,111.57,112.63,544,2,0
2024-02-07,112.26,112.81,111.75,112.49,518,4,0
2024-02-08,111.61,112.26,111.0,111.88,636,3,0
2024-02-09,111.0,111.78,110.45,111.37,612,2,0
2024-02-12,111.0,112.57,111.0,111.91,627,2,0
2024-02-13,109.2,109.2,106.0,106.27,749,3,0
2024-02-14,106.5,107.58,106.11,107.2,1230,1,0
2024-02-15,111.5,112.8,108.72,109.22,1016,3,0
2024-02-16,108.0,110.59,107.8,108.66,884,3,0
2024-02-20,109.08,110.23,106.8,107.17,828,2,0
2024-02-21,105.5,106.74,105.06,106.34,783,3,0
2024-02-22,104.79,104.79,103.51,104.08,750,2,0
2024-02-23,103.5,106.83,103.5,106.57,683,2,0
2024-02-26,104.0,104.93,103.47,104.58,678,2,0
2024-02-27,104.25,104.7,102.25,102.77,605,1,0
2024-02-28,101.82,101.95,100.5,101.17,759,1,0
2024-02-29,102.45,102.96,101.55,102.48,673,4,0
2024-03-01,102.75,106.35,101.74,105.64,1020,2,0
2024-03-04,107.5,111.26,107.25,109.97,1045,1,0
2024-03-05,110.43,111.17,109.24,110.33,942,1,0
2024-03-06,111.18,112.67,110.43,110.57,843,3,0
2024-03-07,111.27,112.35,110.43,111.4,660,3,0
2024-03-08,112.43,112.94,110.77,112.44,747,1,0
2024-03-11,113.1,116.22,112.0,114.85,705,1,0
2024-03-12,112.5,113.48,111.26,112.01,649,3,0
2024-03-13,113.18,114.56,112.58,114.04,470,4,0
2024-03-14,112.61,113.34,111.02,111.67,472,4,0
2024-03-15,111.0,112.28,111.0,111.17,571,3,0
2024-03-18,110.92,111.3,109.7,109.95,685,3,0
2024-03-19,108.93,109.04,107.8,108.1,493,3,0
2024-03-20,107.42,112.82,107.13,111.8,757,4,0
2024-03-21,111.88,113.01,110.0,110.13,706,2,0
2024-03-22,109.12,109.93,108.75,108.94,587,4,0
2024-03-25,109.85,112.16,109.85,110.59,400,4,0
2024-03-26,110.85,111.79,109.95,109.95,389,3,0
2024-03-27,111.16,119.64,110.67,118.96,818,3,0
2024-03-28,120.26,122.37,118.6,121.87,692,3,0
2024-04-01,123.89,124.07,121.77,122.1,652,3,0
2024-04-02,122.66,123.55,121.3,122.49,611,7,0
2024-04-03,122.45,122.92,121.43,122.5,588,3,0
2024-04-04,120.95,124.15,120.0,122.37,878,2,0
2024-04-05,121.98,125.31,120.93,125.23,919,2,0
2024-04-08,125.72,125.72,121.44,122.71,661,3,0
2024-04-09,125.44,125.44,122.81,124.75,652,2,0
2024-04-10,120.99,123.66,120.92,122.94,740,4,0
2024-04-11,123.44,123.44,120.93,122.66,689,4,0
2024-04-12,123.55,124.3,119.25,119.8,973,5,0
2024-04-15,120.14,121.8,118.6,121.01,744,5,0
2024-04-16,118.6,122.1,118.6,120.69,691,7,0
2024-04-17,120.2,123.23,120.2,122.1,716,5,0
2024-04-18,123.93,123.94,120.84,121.6,914,1,0
2024-04-19,121.49,123.66,121.15,122.53,783,5,0
2024-04-22,118.4,121.29,118.0,118.82,726,5,0
2024-04-23,117.62,121.42,117.62,120.19,575,4,0
2024-04-24,119.23,121.04,119.0,120.77,474,3,0
2024-04-25,120.0,124.57,120.0,124.01,882,2,0
2024-04-26,124.15,125.21,123.8,124.3,681,1,0
2024-04-29,124.0,124.75,122.06,124.17,525,3,0
2024-04-30,120.62,122.5,119.63,119.89,684,3,0
2024-05-01,121.01,122.84,120.0,120.44,782,5,0
2024-05-02,119.9,122.19,118.5,121.39,524,3,0
2024-05-03,122.14,122.38,120.05,121.94,645,2,0
2024-05-06,125.1,125.1,123.33,123.77,524,2,0
2024-05-07,123.38,124.48,123.0,123.97,566,4,0
2024-05-08,123.19,123.94,122.38,123.23,478,2,0
2024-05-09,122.17,125.72,121.15,125.17,645,2,0
2024-05-10,126.3,128.09,125.0,127.25,653,4,0
2024-05-13,126.55,127.55,125.15,126.1,695,5,0
2024-05-14,127.07,128.52,125.59,128.23,532,2,0
2024-05-15,128.47,130.96,128.0,130.31,629,2,0
2024-05-16,129.28,130.18,127.98,129.47,585,3,0
2024-05-17,130.41,133.18,130.21,132.44,471,2,0
2024-05-20,133.47,134.28,132.01,133.99,628,3,0
2024-05-21,133.0,134.51,132.01,134.11,716,3,0
2024-05-22,132.31,133.37,129.49,130.21,668,3,0
2024-05-23,129.98,129.98,128.0,128.47,580,4,0
2024-05-24,128.89,130.16,128.0,128.27,552,3,0
2024-05-28,129.81,130.93,128.97,130.5,578,5,0
2024-05-29,129.17,129.8,128.0,128.0,457,5,0
2024-05-30,128.15,129.89,127.07,127.75,378,7,0
2024-05-31,128.01,128.42,125.5,127.8,572,4,0
2024-06-03,127.63,128.89,127.5,128.35,571,3,0
2024-06-04,125.62,127.02,125.0,126.54,535,8,0
2024-06-05,126.4,128.67,125.11,128.32,528,4,0
2024-06-06,128.0,131.33,128.0,130.62,847,1,0
2024-06-07,127.34,127.34,123.17,123.6,500,4,0
2024-06-10,123.11,123.85,122.07,123.3,584,4,0
2024-06-11,122.52,122.55,121.21,122.46,718,2,0
2024-06-12,124.2,124.2,121.22,121.59,646,6,0
2024-06-13,120.58,121.74,119.37,120.48,490,6,0
2024-06-14,120.28,121.62,119.5,121.5,407,3,0
2024-06-17,120.37,121.77,119.65,121.3,554,3,0
2024-06-18,120.3,122.58,120.07,121.93,524,4,0
2024-06-20,122.26,125.14,122.0,123.7,840,4,0
2024-06-21,123.55,125.27,122.0,124.39,567,6,0
2024-06-24,125.03,125.91,124.07,124.26,447,2,0
2024-06-25,123.02,123.64,122.23,122.58,395,6,0
2024-06-26,122.67,125.16,122.16,124.67,429,3,0
2024-06-27,126.27,126.83,125.01,125.38,313,3,0
2024-06-28,126.01,126.72,123.63,125.06,418,6,0
2024-07-01,125.0,125.98,124.56,124.68,375,5,0
2024-07-02,125.01,126.75,125.0,126.02,434,2,0
2024-07-03,127.77,130.16,127.18,129.2,308,2,0
2024-07-05,129.25,131.5,128.88,130.64,485,7,0
2024-07-08,129.31,131.06,128.32,131.04,809,1,0
2024-07-09,130.37,131.33,129.54,131.3,775,4,0
2024-07-10,132.59,134.4,132.28,132.84,1078,1,0
2024-07-11,135.0,136.21,132.32,135.9,867,2,0
2024-07-12,134.13,136.54,133.65,135.83,670,3,0
2024-07-15,134.94,137.71,134.71,136.58,738,4,0
2024-07-16,137.3,140.45,135.9,139.67,493,7,0
2024-07-17,139.16,140.03,138.03,139.31,427,5,0
2024-07-18,138.84,139.81,137.19,138.61,547,4,0
2024-07-19,135.0,138.64,135.0,137.93,558,4,0
2024-07-22,137.03,137.63,135.03,136.89,364,8,0
2024-07-23,136.7,138.8,136.08,138.08,399,9,0
2024-07-24,138.52,139.94,136.66,137.48,436,7,0
2024-07-25,133.84,137.11,133.0,135.16,489,7,0
2024-07-26,136.12,137.04,134.36,134.62,399,8,0
2024-07-29,134.97,135.81,133.94,135.6,434,5,0
2024-07-30,135.76,137.27,135.12,136.3,400,4,0
2024-07-31,137.51,139.1,136.68,137.61,524,7,0
2024-08-01,135.99,139.08,135.99,137.4,524,6,0
2024-08-02,139.29,140.55,134.08,134.6,1064,7,0
2024-08-05,126.0,130.16,125.6,129.1,1074,5,0
2024-08-06,128.63,131.03,127.6,128.78,898,5,0
2024-08-07,129.26,130.12,127.59,128.24,891,3,0
2024-08-08,127.0,131.75,126.56,127.63,589,7,0
2024-08-09,128.47,129.8,126.71,129.18,461,6,0
2024-08-12,130.22,133.71,129.38,132.92,549,9,0
2024-08-13,133.09,134.08,132.05,133.1,407,5,0
2024-08-14,131.74,132.04,130.01,131.23,391,8,0
2024-08-15,131.13,133.25,130.0,132.26,471,3,0
2024-08-16,133.5,136.49,132.36,136.29,637,6,0
2024-08-19,136.51,138.13,136.51,137.42,590,5,0
2024-08-20,139.4,140.88,137.59,138.65,572,6,0
2024-08-21,138.32,141.18,137.97,140.45,470,5,0
2024-08-22,139.0,139.64,137.8,138.75,500,9,0
2024-08-23,139.46,141.34,138.61,140.97,439,5,0
2024-08-26,141.45,141.99,140.83,141.12,337,7,0
2024-08-27,139.0,141.98,139.0,141.84,395,1,0
2024-08-28,140.0,140.78,138.97,140.03,364,4,0
2024-08-29,140.97,142.43,140.53,141.18,287,4,0
2024-08-30,140.31,141.34,138.92,139.99,421,5,0
2024-09-03,137.15,137.33,133.88,134.98,505,4,0
2024-09-04,134.67,136.85,133.77,136.06,428,10,0
2024-09-05,138.0,139.35,136.68,137.19,307,9,0
2024-09-06,137.0,137.56,133.77,133.77,427,8,0
2024-09-09,134.04,134.85,133.6,134.48,327,9,0
2024-09-10,133.97,136.19,133.97,135.63,342,6,0
2024-09-11,135.0,136.67,133.75,136.52,499,8,0
2024-09-12,138.18,141.8,137.25,140.24,573,9,0
2024-09-13,142.03,144.61,141.49,142.63,561,3,0
2024-09-16,142.33,143.05,139.96,141.0,546,3,0
2024-09-17,138.75,141.94,138.0,140.07,465,4,0
2024-09-18,138.0,144.21,138.0,138.74,819,5,0
2024-09-19,139.75,141.39,138.41,139.75,733,8,0
2024-09-20,142.16,144.21,141.6,142.89,635,7,0
2024-09-23,143.74,145.38,143.28,143.44,580,8,0
2024-09-24,142.73,147.6,142.4,146.0,1194,6,0
2024-09-25,146.0,147.11,144.53,145.97,537,7,0
2024-09-26,146.88,147.23,145.1,145.63,1003,8,0
2024-09-27,145.16,145.98,141.51,141.69,911,3,0
2024-09-30,141.14,141.14,138.68,139.88,708,6,0
2024-10-01,140.93,142.76,139.88,141.41,663,2,0
2024-10-02,141.43,143.24,140.35,141.73,551,6,0
2024-10-03,140.0,140.36,139.05,139.42,423,6,0
2024-10-04,138.8,140.45,138.41,138.79,499,11,0
2024-10-07,136.85,138.03,136.17,136.48,482,7,0
2024-10-08,135.69,137.79,135.0,137.38,483,4,0
2024-10-09,136.0,137.6,135.5,137.56,485,11,0
2024-10-10,138.48,139.99,137.52,139.92,535,5,0
2024-10-11,140.55,142.33,140.55,141.61,618,6,0
2024-10-14,140.9,142.13,139.93,142.1,382,5,0
2024-10-15,142.0,145.88,141.72,145.73,583,5,0
2024-10-16,146.83,148.63,145.15,147.01,634,6,0
2024-10-17,147.33,149.48,146.99,147.89,1087,7,0
2024-10-18,149.32,153.54,149.06,152.23,582,3,0
2024-10-21,154.0,154.8,151.51,152.2,557,4,0
2024-10-22,153.67,154.35,152.8,153.86,480,4,0
2024-10-23,152.52,153.93,150.74,151.88,554,7,0
2024-10-24,152.12,152.12,147.68,151.14,881,5,0
2024-10-25,149.0,150.92,147.72,150.23,593,6,0
2024-10-28,149.02,152.03,148.63,150.75,477,6,0
2024-10-29,152.0,153.58,150.7,153.5,556,4,0
2024-10-30,151.33,152.63,150.35,150.93,543,5,0
2024-10-31,148.68,149.14,145.27,145.71,584,5,0
2024-11-01,146.37,147.49,144.45,145.31,453,4,0
2024-11-04,144.68,146.34,143.5,144.92,421,5,0
2024-11-05,145.45,148.16,145.38,147.87,432,4,0
2024-11-06,138.14,144.94,138.14,144.36,909,8,0
2024-11-07,148.85,148.85,143.94,146.81,604,6,0
2024-11-08,145.34,149.99,145.34,149.46,673,5,0
2024-11-11,144.22,144.78,141.12,142.98,647,10,0
2024-11-12,141.71,143.6,137.62,140.83,561,3,0
2024-11-13,142.47,144.55,139.48,139.48,686,9,0
2024-11-14,138.62,141.47,137.93,139.92,727,6,0
2024-11-15,139.84,141.01,139.22,139.93,442,4,0
2024-11-18,143.0,146.17,142.25,145.63,571,7,0
2024-11-19,147.0,147.71,144.62,147.71,659,1,0
2024-11-20,146.19,148.97,145.94,148.09,560,5,0
2024-11-21,149.1,149.28,146.93,148.12,656,5,0
2024-11-22,148.16,149.74,148.0,148.54,479,6,0
2024-11-25,144.62,146.48,144.0,144.15,766,4,0
2024-11-26,143.66,146.42,142.69,145.78,483,7,0
2024-11-27,146.6,147.53,144.78,145.2,425,9,0
2024-11-29,147.08,147.75,145.61,145.61,248,7,0
2024-12-02,144.74,147.73,144.12,147.25,550,3,0
2024-12-03,148.34,150.55,147.63,148.25,656,6,0
2024-12-04,147.95,148.79,147.46,147.46,384,8,0
2024-12-05,147.12,147.99,144.75,145.56,397,7,0
2024-12-06,145.03,145.05,142.51,143.92,358,5,0
2024-12-09,147.27,150.2,146.69,147.96,667,5,0
2024-12-10,149.0,149.76,147.6,147.61,425,6,0
2024-12-11,148.51,153.95,148.25,153.75,588,6,0
2024-12-12,150.58,151.99,150.0,150.0,500,8,0
2024-12-13,148.23,148.96,146.02,146.59,497,4,0
2024-12-16,146.03,146.8,145.0,145.15,459,1,0
2024-12-17,143.04,144.67,143.04,143.83,516,6,0
2024-12-18,142.53,143.09,135.18,135.18,656,1,0
2024-12-19,136.21,136.27,133.5,133.65,508,5,0
2024-12-20,133.97,137.01,133.0,133.06,750,3,0
2024-12-23,132.6,133.6,131.5,132.59,463,5,0
2024-12-24,132.37,133.35,132.2,133.07,246,7,0
2024-12-26,132.43,134.59,132.3,134.2,404,3,0
2024-12-27,132.01,134.4,132.01,133.52,392,6,0
2024-12-30,130.91,132.07,130.59,130.8,558,4,0
2024-12-31,130.95,132.22,130.95,131.44,507,8,0
2025-01-02,133.65,134.69,132.8,134.11,576,6,0
2025-01-03,133.56,134.51,132.63,134.34,578,6,0
2025-01-06,134.14,134.24,132.01,132.01,594,6,0
2025-01-07,134.68,136.77,133.02,133.19,462,6,0
2025-01-08,133.15,136.45,132.38,136.14,717,7,0
2025-01-10,138.18,138.18,133.62,134.65,589,6,0
2025-01-13,132.47,134.79,130.74,133.68,557,2,0
2025-01-14,134.4,136.15,133.64,135.47,593,4,0
2025-01-15,136.08,136.9,134.42,136.3,630,3,0
2025-01-16,137.6,139.68,136.9,138.08,541,6,0
2025-01-17,136.52,139.31,136.52,138.42,668,6,0
2025-01-21,139.34,141.37,138.99,140.39,602,4,0
2025-01-22,140.72,140.72,138.04,138.6,433,8,0
2025-01-23,137.25,138.59,135.7,138.59,592,5,0
2025-01-24,139.27,139.97,138.08,139.13,670,5,0
2025-01-27,136.41,138.33,135.22,138.33,588,4,0
2025-01-28,137.76,139.27,136.95,138.78,553,4,0
2025-01-29,139.0,139.33,135.55,137.41,541,2,0
2025-01-30,138.3,141.8,136.99,141.1,736,4,0
2025-01-31,140.46,140.83,138.26,139.45,585,4,0
2025-02-03,139.5,142.15,138.12,140.85,850,4,0
2025-02-04,141.2,142.73,139.59,141.97,708,6,0
2025-02-05,143.16,146.14,142.91,144.91,748,4,0
2025-02-06,143.66,145.03,143.26,144.95,683,4,0
2025-02-07,145.25,146.61,143.9,144.3,699,3,0
2025-02-10,146.64,147.52,145.51,146.65,470,7,0
2025-02-11,145.06,146.37,144.58,144.66,466,5,0
2025-02-12,143.82,148.39,143.04,146.76,696,6,0
2025-02-13,149.3,155.43,144.24,153.25,838,8,0
2025-02-14,153.49,153.49,146.63,146.68,674,4,0
2025-02-18,147.08,149.62,146.0,148.74,769,4,0
2025-02-19,147.95,149.75,147.07,149.22,601,3,0
2025-02-20,149.61,152.32,149.19,152.12,650,3,0
2025-02-21,150.13,150.24,147.87,148.32,738,5,0
2025-02-24,148.52,151.5,147.31,151.14,625,4,0
2025-02-25,149.52,150.97,147.5,150.65,730,2,0
2025-02-26,148.51,152.24,148.13,150.34,551,6,0
2025-02-27,148.26,148.71,144.6,144.6,677,3,0
2025-02-28,142.67,146.98,142.2,146.39,630,2,0
2025-03-03,149.07,149.71,146.92,147.55,651,6,0
2025-03-04,149.12,149.51,146.44,147.58,681,6,0
2025-03-05,147.27,150.66,147.27,150.66,579,6,0
2025-03-06,148.78,150.43,148.26,149.73,693,4,0
2025-03-07,149.81,155.1,149.75,153.85,758,3,0
2025-03-10,152.63,156.21,151.39,151.51,703,4,0
2025-03-11,153.93,156.9,152.52,154.04,677,5,0
2025-03-12,153.2,153.9,151.5,153.39,657,6,0
2025-03-13,151.94,155.94,151.47,153.09,662,5,0
2025-03-14,153.36,155.25,152.34,153.81,577,2,0
2025-03-17,154.53,155.77,154.13,154.61,578,1,0
2025-03-18,155.56,157.5,154.04,154.45,580,5,0
2025-03-19,153.0,155.08,152.7,154.67,724,7,0
2025-03-20,153.49,156.44,152.76,155.23,509,7,0
2025-03-21,153.01,157.14,152.59,156.92,702,5,0
2025-03-24,157.22,158.76,155.85,156.79,639,2,0
2025-03-25,157.81,161.81,157.81,159.71,597,9,0
2025-03-26,160.27,161.3,159.01,159.32,536,6,0
2025-03-27,160.5,163.67,160.0,160.58,559,5,0
2025-03-28,161.96,163.64,160.04,162.1,886,6,0
2025-03-31,162.52,164.86,159.72,163.07,847,7,0
2025-04-01,162.76,164.4,161.45,164.11,751,5,0
2025-04-02,161.81,164.68,161.5,164.68,906,7,0
2025-04-03,158.0,168.68,158.0,166.77,929,5,0
2025-04-04,161.8,161.8,154.82,155.5,1351,6,0
2025-04-07,151.98,161.15,151.14,156.57,1352,12,0
2025-04-08,160.02,163.0,153.25,154.77,880,10,0
2025-04-09,159.55,168.29,157.05,164.33,1137,0,0
2025-04-10,165.07,172.44,165.07,171.07,1156,13,0
2025-04-11,174.98,181.43,174.77,179.46,1197,1,0
2025-04-14,176.01,182.77,176.01,181.5,863,7,0
2025-04-15,182.78,185.45,180.17,184.92,864,2,0
2025-04-16,188.81,190.91,185.14,185.88,996,8,0
2025-04-17,184.52,186.42,183.1,184.86,672,5,0
2025-04-21,189.34,189.34,183.5,185.38,796,4,0
2025-04-22,184.45,185.85,180.21,180.77,774,3,0
2025-04-23,173.47,180.84,173.0,180.74,854,7,0
2025-04-24,182.3,183.75,181.02,183.6,531,4,0
2025-04-25,178.81,180.79,177.82,178.27,683,5,0
2025-04-28,177.38,181.11,177.0,180.55,738,4,0
2025-04-29,179.07,180.65,178.5,180.43,995,6,0
2025-04-30,178.86,182.6,177.53,181.86,572,7,0
2025-05-01,177.0,179.44,176.15,178.01,982,6,0
2025-05-02,179.33,179.33,175.0,175.82,788,4,0
2025-05-05,177.17,179.26,175.28,179.09,974,3,0
2025-05-06,180.94,184.68,179.35,184.54,892,5,0
2025-05-07,180.39,183.98,180.12,182.71,1182,6,0
2025-05-08,178.03,182.9,178.02,178.65,898,8,0
2025-05-09,180.33,184.29,178.01,183.91,688,3,0
2025-05-12,175.31,176.02,170.25,170.77,1024,8,0
2025-05-13,170.17,170.5,167.7,169.11,685,4,0
2025-05-14,165.24,165.97,163.8,165.78,775,5,0
2025-05-15,165.72,169.21,164.6,168.8,559,3,0
2025-05-16,166.61,171.12,166.08,171.09,594,5,0
2025-05-19,172.38,173.01,170.45,172.5,650,6,0
2025-05-20,172.98,177.56,172.11,177.46,764,4,0
2025-05-21,178.36,179.9,176.78,179.57,813,2,0
2025-05-22,178.8,178.8,175.01,176.74,671,4,0
2025-05-23,178.36,181.43,175.36,180.19,675,5,0
2025-05-27,177.92,180.11,177.79,178.62,558,10,0
2025-05-28,178.66,179.91,177.15,178.07,577,5,0
2025-05-29,177.83,180.36,176.53,179.51,906,6,0
2025-05-30,177.59,179.94,176.2,176.89,1132,4,0
2025-06-02,179.71,187.18,179.01,186.67,846,4,0
2025-06-03,183.3,185.54,182.04,184.87,731,6,0
2025-06-04,185.15,186.5,182.87,183.69,611,4,0
2025-06-05,185.02,186.79,182.26,183.03,812,3,0
2025-06-06,181.16,182.53,175.1,175.51,807,7,0
2025-06-09,176.03,177.78,172.9,176.47,622,7,0
2025-06-10,175.86,177.02,172.64,173.13,676,3,0
2025-06-11,172.83,174.33,172.27,173.85,499,7,0
2025-06-12,175.87,179.41,175.59,178.9,760,7,0
2025-06-13,180.5,183.35,179.31,181.91,725,6,0
2025-06-16,179.78,181.79,178.92,179.5,918,4,0
2025-06-17,179.53,180.41,177.53,179.57,586,6,0
2025-06-18,178.63,180.44,177.6,179.0,527,10,0
2025-06-20,178.91,181.75,177.69,179.11,584,8,0
2025-06-23,180.02,185.2,179.77,182.84,628,6,0
2025-06-24,175.5,179.36,175.0,178.1,571,6,0
2025-06-25,176.76,177.99,176.0,176.3,426,3,0
2025-06-26,177.58,179.86,176.51,179.29,518,6,0
2025-06-27,174.29,175.31,172.41,174.81,634,3,0
2025-06-30,175.5,177.99,173.3,177.89,733,5,0
2025-07-01,179.66,179.66,176.91,177.51,511,6,0
2025-07-02,177.22,180.37,177.19,179.14,507,1,0
2025-07-03,177.34,179.97,177.06,179.07,384,6,0
2025-07-07,160.14,168.35,156.83,167.94,1651,1,0
2025-07-08,164.13,165.02,158.51,160.0,1449,1,0
2025-07-09,158.5,161.18,158.0,160.21,848,4,0
2025-07-10,159.8,160.23,157.75,159.55,882,4,0
2025-07-11,159.25,160.83,158.4,159.84,913,4,0
2025-07-14,159.67,162.15,159.0,159.69,1037,4,0
2025-07-15,158.33,158.5,155.75,157.68,1259,3,0
2025-07-16,157.66,159.5,156.0,157.32,948,3,0
2025-07-17,154.6,155.51,152.53,155.01,922,2,0
2025-07-18,155.51,155.82,154.07,154.48,882,3,0
2025-07-21,157.2,159.15,156.6,157.23,941,3,0
2025-07-22,158.0,159.73,156.53,157.69,911,1,0
2025-07-23,157.33,157.89,155.61,156.96,870,3,0
2025-07-24,155.05,157.21,154.4,155.68,761,3,0
2025-07-25,154.88,155.54,153.42,154.77,982,2,0
2025-07-28,153.33,153.33,151.5,151.67,831,3,0
2025-07-29,151.5,153.04,150.7,152.48,864,3,0
2025-07-30,150.75,153.41,150.75,151.9,1062,3,0
2025-07-31,152.28,153.97,150.7,151.11,845,2,0
2025-08-01,154.77,154.77,151.44,152.75,1239,2,0
2025-08-04,154.68,156.95,154.38,156.44,790,2,0
2025-08-05,155.79,161.71,155.79,160.16,1459,2,0
2025-08-06,160.55,161.75,160.0,161.42,1287,1,0
2025-08-07,162.32,166.83,162.1,164.5,1413,2,0
2025-08-08,167.13,170.51,166.47,168.63,1019,2,0
2025-08-11,165.18,172.14,164.94,170.54,962,4,0
2025-08-12,170.4,172.29,169.24,172.23,824,3,0
2025-08-13,172.24,174.0,170.44,172.04,1058,5,0
2025-08-14,171.11,172.23,168.4,169.14,897,2,0
2025-08-15,168.5,172.1,167.82,171.41,814,4,0
2025-08-18,170.45,172.6,170.06,171.62,604,2,0
