time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,86.03,87.65,85.54,86.06,890,2,0
2024-01-03,85.02,85.36,83.63,83.87,961,1,0
2024-01-04,83.54,84.01,82.71,83.02,1055,2,0
2024-01-05,81.82,83.68,81.82,82.75,1118,1,0
2024-01-08,82.36,83.57,82.0,83.3,710,1,0
2024-01-09,81.71,82.35,81.2,81.73,888,1,0
2024-01-10,81.69,82.01,80.49,80.85,1022,1,0
2024-01-11,80.34,80.96,79.54,80.8,1085,1,0
2024-01-12,80.65,81.05,79.91,80.66,848,1,0
2024-01-16,79.66,80.54,79.09,80.19,957,1,0
2024-01-17,79.09,80.09,79.09,79.88,1102,1,0
2024-01-18,79.76,80.41,79.3,80.14,1208,1,0
2024-01-19,80.47,80.9,79.39,80.59,1036,1,0
2024-01-22,80.6,81.93,80.6,81.75,970,1,0
2024-01-23,82.33,82.9,81.16,81.16,1125,1,0
2024-01-24,81.38,81.85,80.63,81.01,1224,1,0
2024-01-25,80.69,81.76,80.69,81.13,873,1,0
2024-01-26,80.63,82.31,80.6,81.75,838,1,0
2024-01-29,80.92,81.65,80.79,81.0,1009,1,0
2024-01-30,79.75,82.01,79.69,81.58,1422,1,0
2024-01-31,78.9,81.59,77.02,79.39,1448,1,0
2024-02-01,79.54,79.9,78.04,79.72,1725,1,0
2024-02-02,79.33,81.23,79.24,80.93,1667,1,0
2024-02-05,79.88,79.95,78.43,79.72,1480,1,0
2024-02-06,79.22,80.55,79.22,79.9,1129,1,0
2024-02-07,80.1,80.1,78.87,79.41,1375,1,0
2024-02-08,79.55,80.54,78.78,80.4,1410,1,0
2024-02-09,80.05,81.59,80.05,81.08,1284,1,0
2024-02-12,81.71,82.89,81.32,81.93,871,2,0
2024-02-13,80.51,80.86,79.0,79.65,1315,1,0
2024-02-14,80.2,81.13,79.38,80.57,1609,1,0
2024-02-15,80.97,82.46,80.96,82.21,1310,1,0
2024-02-16,81.38,82.18,80.81,80.81,1223,1,0
2024-02-20,79.92,80.81,79.43,79.96,1294,1,0
2024-02-21,79.07,80.22,79.0,79.94,1166,1,0
2024-02-22,79.1,79.85,78.65,79.32,1264,1,0
2024-02-23,79.22,80.22,79.03,79.92,903,1,0
2024-02-26,79.4,80.73,79.4,80.5,1017,1,0
2024-02-27,80.21,81.05,80.0,80.87,1127,1,0
2024-02-28,80.01,80.81,79.85,80.0,1321,1,0
2024-02-29,80.02,81.17,79.98,80.39,1123,1,0
2024-03-01,80.1,80.73,79.25,80.53,1017,1,0
2024-03-04,80.8,83.14,80.57,81.85,1061,1,0
2024-03-05,80.85,81.71,78.26,78.3,1416,1,0
2024-03-06,78.51,79.65,77.19,79.41,1510,1,0
2024-03-07,79.79,80.6,79.78,80.25,1047,1,0
2024-03-08,80.1,81.8,80.1,81.15,1539,1,0
2024-03-11,80.55,80.76,79.6,79.88,1105,1,0
2024-03-12,79.16,81.13,79.16,80.42,1308,1,0
2024-03-13,80.47,81.33,80.42,80.44,1362,1,0
2024-03-14,80.18,80.49,78.43,78.69,1142,1,0
2024-03-15,78.13,79.31,78.13,78.73,1340,1,0
2024-03-18,78.85,79.1,77.87,78.23,1198,1,0
