time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,89.83,90.61,88.11,88.8,5325,1,0
2024-01-03,86.92,88.25,85.86,86.48,6700,1,0
2024-01-04,86.41,89.75,85.7,87.88,6844,1,0
2024-01-05,86.83,90.95,86.83,89.25,5964,1,0
2024-01-08,90.41,94.86,90.13,93.74,5654,0,0
2024-01-09,92.82,93.42,90.35,91.56,6039,1,0
2024-01-10,91.41,91.41,88.36,89.78,5680,1,0
2024-01-11,89.28,89.28,85.56,86.67,7138,1,0
2024-01-12,86.2,87.25,85.3,86.0,5682,1,0
2024-01-16,85.78,87.05,84.2,84.79,5430,1,0
2024-01-17,83.65,84.02,81.8,84.01,5384,1,0
2024-01-18,84.5,84.55,82.41,83.97,5327,1,0
2024-01-19,85.71,87.07,83.6,86.91,6173,1,0
2024-01-22,87.65,91.52,86.65,88.41,6116,1,0
2024-01-23,89.2,90.93,88.54,90.73,5893,1,0
2024-01-24,94.17,94.6,88.06,88.18,7297,1,0
2024-01-25,88.56,90.9,87.91,88.96,5805,1,0
2024-01-26,89.42,91.43,88.51,89.0,4498,1,0
2024-01-29,89.1,93.31,88.99,93.28,2880,1,0
2024-01-30,91.98,92.45,89.85,90.79,2956,1,0
2024-01-31,89.19,92.19,88.03,88.17,3665,1,0
2024-02-01,88.7,90.18,87.2,88.55,3364,1,0
2024-02-02,89.0,91.19,87.89,91.05,3637,1,0
2024-02-05,90.34,90.34,86.75,87.53,3674,1,0
2024-02-06,89.33,93.32,89.2,93.29,4648,1,0
2024-02-07,93.21,96.01,91.82,94.44,4270,1,0
2024-02-08,94.85,98.38,93.05,94.64,4461,1,0
2024-02-09,94.77,96.77,93.67,95.8,4312,1,0
2024-02-12,96.62,99.76,96.35,98.6,4731,1,0
2024-02-13,94.32,95.86,87.56,90.02,5661,1,0
2024-02-14,90.55,91.64,87.28,91.14,4911,1,0
2024-02-15,91.74,95.13,91.05,94.43,5559,1,0
2024-02-16,78.15,78.15,70.99,71.82,8653,1,0
2024-02-20,66.88,68.28,66.0,67.17,6875,1,0
2024-02-21,66.99,67.94,63.57,63.93,6097,1,0
2024-02-22,63.76,64.45,62.25,63.28,5350,1,0
2024-02-23,63.79,65.14,62.85,64.41,4915,1,0
2024-02-26,64.61,65.8,63.62,64.36,5210,1,0
2024-02-27,62.0,64.04,61.43,63.76,5066,1,0
2024-02-28,63.1,64.75,62.75,63.68,4354,1,0
2024-02-29,64.3,64.98,62.81,63.22,4421,1,0
2024-03-01,63.0,63.79,62.62,63.35,3913,1,0
2024-03-04,62.8,63.64,61.09,62.98,5029,1,0
2024-03-05,62.33,64.67,62.26,62.75,5093,1,0
2024-03-06,62.41,62.7,61.3,62.63,4836,1,0
2024-03-07,62.25,63.24,61.34,63.05,3901,1,0
2024-03-08,64.51,65.72,63.33,64.5,5621,1,0
2024-03-11,63.88,65.52,63.88,64.28,3821,1,0
2024-03-12,64.27,65.15,62.95,64.08,3648,1,0
2024-03-13,64.24,66.01,64.18,64.44,3699,1,0
2024-03-14,65.8,66.68,63.44,64.66,4408,1,0
2024-03-15,64.91,65.13,63.77,63.91,3879,1,0
2024-03-18,63.66,64.22,62.8,63.36,3601,1,0
2024-03-19,65.13,66.05,63.7,64.57,4160,1,0
2024-03-20,64.63,65.54,63.45,64.91,4946,1,0
2024-03-21,65.21,65.36,63.81,63.81,3195,1,0
2024-03-22,64.03,64.25,62.72,63.56,2815,1,0
2024-03-25,63.66,64.95,63.39,64.61,2606,1,0
2024-03-26,64.85,65.79,64.01,64.65,2904,1,0
2024-03-27,65.01,65.49,64.15,65.48,2924,1,0
2024-03-28,65.6,66.59,64.8,65.19,2937,1,0
2024-04-01,64.8,65.16,63.24,64.14,3351,1,0
2024-04-02,61.72,63.15,61.56,62.86,3052,1,0
