time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,306.0,309.22,303.91,306.05,1086,13,0
2024-01-03,304.98,307.66,302.55,303.74,1145,9,0
2024-01-04,303.0,307.34,303.0,304.31,1628,5,0
2024-01-05,301.8,305.91,301.8,304.31,810,14,0
2024-01-08,303.27,306.59,301.8,306.23,1164,8,0
2024-01-09,301.8,304.59,301.8,302.67,1263,5,0
2024-01-10,302.35,304.03,301.0,302.07,802,5,0
2024-01-11,302.0,305.42,299.5,304.84,1198,5,0
2024-01-12,306.0,307.2,302.2,304.4,964,7,0
2024-01-16,300.81,302.04,297.5,298.23,929,6,0
2024-01-17,293.88,296.15,293.04,295.75,916,4,0
2024-01-18,294.8,300.3,294.8,300.28,1349,6,0
2024-01-19,299.46,304.84,296.86,303.19,888,2,0
2024-01-22,303.46,306.42,303.46,305.11,938,4,0
2024-01-23,304.66,306.28,303.0,303.97,786,8,0
2024-01-24,303.75,305.08,300.04,300.31,1031,7,0
2024-01-25,301.19,306.71,301.19,303.89,1152,5,0
2024-01-26,302.77,306.0,302.02,302.32,688,9,0
2024-01-29,301.45,304.32,300.3,303.78,809,2,0
2024-01-30,302.0,307.63,302.0,306.63,918,1,0
2024-01-31,260.5,268.61,252.61,252.61,2360,1,0
2024-02-01,256.57,265.09,256.0,260.56,1574,1,0
2024-02-02,261.0,270.79,259.25,268.5,1624,6,0
2024-02-05,265.04,268.98,262.5,266.64,1241,4,0
2024-02-06,265.26,266.03,259.79,260.3,1296,4,0
2024-02-07,260.1,270.03,260.1,269.15,1396,4,0
2024-02-08,270.0,279.43,270.0,277.72,1245,6,0
2024-02-09,278.77,284.13,278.0,283.51,1294,2,0
2024-02-12,282.5,285.48,279.52,280.61,1190,4,0
2024-02-13,275.0,279.91,273.5,278.49,1484,3,0
2024-02-14,278.68,280.02,276.2,279.37,1579,4,0
2024-02-15,280.5,283.3,278.0,281.06,1296,1,0
2024-02-16,280.73,283.15,278.73,279.91,1122,7,0
2024-02-20,275.0,284.72,271.75,272.52,1546,3,0
2024-02-21,270.54,274.86,268.28,274.39,1329,6,0
2024-02-22,276.0,280.24,275.95,278.21,1313,3,0
2024-02-23,279.27,282.78,278.63,280.1,1327,4,0
2024-02-26,277.56,280.43,276.5,277.59,1165,4,0
2024-02-27,279.09,281.59,279.0,280.79,1335,6,0
2024-02-28,280.0,286.29,280.0,286.14,1227,6,0
2024-02-29,284.4,287.11,281.9,284.21,1094,7,0
2024-03-01,285.67,289.54,284.0,289.38,1241,4,0
2024-03-04,289.05,289.59,284.0,287.5,1059,6,0
2024-03-05,286.58,288.33,284.0,287.52,1454,5,0
2024-03-06,287.68,291.95,285.56,290.54,993,8,0
2024-03-07,294.75,294.76,290.0,294.0,942,6,0
2024-03-08,295.0,298.48,291.72,294.06,1299,5,0
2024-03-11,290.0,292.17,283.0,284.97,1073,6,0
2024-03-12,284.75,284.75,279.29,283.39,1155,6,0
2024-03-13,281.25,287.6,281.0,283.85,873,4,0
2024-03-14,285.25,286.45,277.04,279.33,1049,7,0
2024-03-15,277.19,280.71,277.19,279.88,1104,7,0
2024-03-18,283.03,283.53,277.83,277.83,892,4,0
2024-03-19,268.66,278.63,268.66,277.89,1562,5,0
2024-03-20,276.68,285.04,263.0,282.19,1439,5,0
2024-03-21,282.0,291.9,282.0,289.55,1109,8,0
2024-03-22,289.29,289.31,284.06,285.86,1170,6,0
2024-03-25,283.07,284.84,282.0,282.57,1091,3,0
2024-03-26,283.64,287.12,283.38,284.15,1081,3,0
2024-03-27,284.56,291.63,283.43,291.13,1512,3,0
2024-03-28,289.75,292.26,289.0,291.3,746,8,0
2024-04-01,290.27,290.27,283.02,283.43,1084,6,0
2024-04-02,281.86,283.29,278.15,279.57,813,6,0
2024-04-03,278.22,283.41,278.22,280.23,901,8,0
2024-04-04,280.13,284.12,275.0,276.92,1113,9,0
2024-04-05,277.0,279.19,275.32,278.45,880,8,0
2024-04-08,280.78,282.95,278.25,281.97,882,6,0
2024-04-09,284.16,287.9,283.51,285.89,1182,7,0
2024-04-10,279.0,282.2,276.23,281.83,1201,6,0
2024-04-11,279.53,288.73,278.95,288.04,977,2,0
2024-04-12,283.54,287.55,282.48,284.12,1352,2,0
2024-04-15,288.73,290.05,283.31,285.37,1364,5,0
2024-04-16,282.37,283.0,275.2,280.83,1345,6,0
2024-04-17,282.26,282.26,275.55,279.0,1245,9,0
2024-04-18,279.85,279.85,273.0,273.4,1502,5,0
2024-04-19,273.0,274.84,269.24,270.25,1443,5,0
2024-04-22,270.7,275.41,269.34,273.39,1449,5,0
2024-04-23,272.13,278.72,272.0,275.64,977,5,0
2024-04-24,276.0,278.78,273.84,276.19,1061,9,0
2024-04-25,272.43,278.65,271.06,277.37,1463,7,0
2024-04-26,275.21,282.41,274.64,280.24,937,3,0
2024-04-29,281.25,281.29,277.24,279.11,1042,7,0
2024-04-30,277.09,278.85,270.7,270.7,947,10,0
2024-05-01,270.04,273.39,267.0,269.07,1397,4,0
2024-05-02,271.26,272.85,267.25,268.93,1256,9,0
2024-05-03,272.65,277.29,272.22,273.82,1509,4,0
2024-05-06,275.78,277.96,275.05,276.62,1354,5,0
2024-05-07,267.29,282.01,263.0,271.94,2713,9,0
2024-05-08,268.77,273.85,265.0,273.15,1509,2,0
2024-05-09,271.51,272.12,268.28,270.09,1145,4,0
2024-05-10,270.26,273.9,268.88,272.85,1387,6,0
2024-05-13,271.73,273.0,267.75,268.68,966,6,0
2024-05-14,267.75,273.99,267.75,270.53,1284,6,0
2024-05-15,271.59,276.06,271.0,275.38,963,5,0
2024-05-16,273.29,273.29,269.0,271.04,962,8,0
2024-05-17,271.42,273.4,268.18,269.68,811,7,0
2024-05-20,269.59,272.5,268.43,270.6,962,4,0
2024-05-21,268.5,272.6,268.5,270.31,1217,5,0
2024-05-22,270.08,277.67,269.01,269.87,898,5,0
2024-05-23,269.19,269.19,261.86,261.97,873,5,0
2024-05-24,262.87,265.92,262.87,263.57,975,4,0
2024-05-28,263.52,263.53,257.5,258.12,1050,6,0
2024-05-29,255.99,257.31,254.4,254.98,1056,4,0
