time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,137.43,139.24,136.99,137.67,4610,1,0
2024-01-03,137.03,137.57,134.43,134.83,4424,1,0
2024-01-04,134.23,136.05,134.23,135.33,4814,1,0
2024-01-05,135.06,136.08,134.2,134.37,4402,1,0
2024-01-08,134.5,135.93,134.0,135.78,3698,1,0
2024-01-09,134.4,136.16,134.0,135.69,4868,1,0
2024-01-10,136.16,136.81,135.54,135.9,3814,1,0
2024-01-11,135.33,136.8,134.77,136.78,3620,1,0
2024-01-12,137.25,137.25,135.95,136.5,4237,1,0
2024-01-16,135.96,137.01,135.68,137.01,4400,1,0
2024-01-17,135.92,136.75,135.34,135.59,5152,1,0
2024-01-18,135.08,137.64,134.98,137.44,4637,1,0
2024-01-19,136.97,138.41,136.44,137.45,5275,1,0
2024-01-22,137.65,138.31,137.25,138.19,4109,1,0
2024-01-23,138.99,139.33,137.29,138.9,3547,1,0
2024-01-24,138.66,139.86,138.32,138.52,3685,1,0
2024-01-25,139.56,141.04,139.56,140.77,4814,1,0
2024-01-26,140.71,141.98,140.27,141.77,3995,1,0
2024-01-29,141.79,142.93,140.9,142.88,3794,1,0
2024-01-30,142.0,143.07,141.04,142.42,3690,1,0
2024-01-31,141.57,142.86,139.41,140.21,4414,1,0
2024-02-01,141.04,142.99,140.36,142.99,4594,1,0
2024-02-02,141.66,144.68,140.83,143.49,5026,1,0
2024-02-05,142.01,143.04,141.28,142.77,4245,1,0
2024-02-06,142.52,142.52,141.16,141.94,4261,1,0
2024-02-07,141.28,143.95,141.28,143.19,3963,1,0
2024-02-08,144.9,146.02,144.68,145.84,3945,1,0
2024-02-09,145.2,146.39,145.2,145.89,3946,1,0
2024-02-12,145.39,145.89,144.37,145.17,4167,1,0
2024-02-13,143.88,145.01,143.35,145.0,4156,1,0
2024-02-14,145.01,145.2,143.46,144.34,4465,1,0
2024-02-15,144.9,144.97,143.47,144.35,3997,1,0
2024-02-16,143.68,145.43,142.8,144.0,3295,1,0
2024-02-20,143.94,144.78,143.68,144.04,3066,2,0
2024-02-21,143.56,145.53,142.99,144.68,3494,1,0
2024-02-22,145.08,146.89,144.7,146.83,3223,2,0
2024-02-23,146.92,149.52,146.92,147.91,3229,1,0
2024-02-26,148.12,148.92,147.07,147.65,3067,1,0
2024-02-27,148.26,149.82,147.73,149.63,2800,1,0
2024-02-28,149.17,151.01,149.1,150.46,3563,1,0
2024-02-29,150.2,150.44,148.52,148.82,3305,1,0
2024-03-01,147.96,150.07,147.72,149.67,3084,1,0
2024-03-04,150.4,150.53,149.07,149.89,3341,1,0
2024-03-05,149.35,150.24,147.85,148.85,2986,1,0
2024-03-06,144.92,149.82,144.27,148.09,3864,1,0
2024-03-07,149.0,149.68,145.56,145.78,2958,1,0
2024-03-08,145.91,147.1,144.52,145.71,2797,1,0
2024-03-11,145.54,146.78,144.14,145.68,3036,2,0
2024-03-12,145.16,146.75,144.63,146.39,2647,2,0
2024-03-13,146.12,147.87,145.61,147.07,2511,1,0
2024-03-14,146.16,147.66,145.58,145.97,2815,1,0
2024-03-15,145.03,147.09,144.25,144.73,3101,1,0
2024-03-18,144.7,146.04,143.94,144.01,2490,1,0
2024-03-19,144.31,146.51,143.94,146.47,2643,1,0
2024-03-20,146.32,147.3,145.87,146.88,2377,1,0
2024-03-21,146.98,148.76,146.87,147.04,2018,1,0
2024-03-22,145.93,146.79,145.05,145.13,1976,1,0
2024-03-25,145.25,145.41,144.05,144.33,2270,1,0
2024-03-26,144.46,145.09,144.01,144.37,1981,1,0
2024-03-27,145.99,147.07,145.3,146.86,2376,1,0
2024-03-28,147.34,148.03,146.46,146.75,2124,1,0
2024-04-01,146.37,146.58,144.51,145.0,1799,1,0
2024-04-02,143.85,144.14,142.5,143.67,2167,1,0
2024-04-03,143.27,143.91,140.8,141.42,2267,0,0
2024-04-04,142.37,142.9,139.28,139.66,4356,1,0
2024-04-05,139.26,140.5,139.04,139.58,3278,2,0
2024-04-08,139.9,141.18,139.05,140.18,2958,1,0
2024-04-09,141.0,142.12,139.0,139.96,3197,1,0
2024-04-10,137.13,139.19,137.13,138.4,3591,1,0
2024-04-11,138.08,140.27,137.97,139.9,2910,1,0
2024-04-12,137.31,138.53,135.41,135.85,4296,1,0
2024-04-15,137.1,137.1,133.38,133.51,4200,1,0
2024-04-16,133.4,134.65,132.33,133.81,3480,2,0
2024-04-17,133.95,134.26,131.9,132.83,3232,1,0
2024-04-18,133.29,133.9,131.45,131.56,3286,1,0
2024-04-19,131.59,133.85,131.17,133.12,4180,1,0
2024-04-22,133.75,134.58,132.49,133.51,3620,1,0
2024-04-23,133.67,134.02,132.81,132.85,3333,1,0
2024-04-24,131.84,133.25,131.84,132.58,3619,1,0
2024-04-25,132.2,132.87,130.5,132.1,3615,1,0
2024-04-26,131.96,134.22,131.62,133.69,3296,1,0
2024-04-29,132.84,133.1,130.01,130.82,4016,1,0
2024-04-30,130.0,130.84,129.05,129.39,3326,1,0
2024-05-01,128.63,129.44,127.59,127.68,3928,1,0
2024-05-02,127.93,128.77,127.33,127.33,5458,1,0
2024-05-03,127.84,131.36,127.59,130.63,3958,1,0
2024-05-06,130.72,132.4,130.68,132.39,3085,1,0
2024-05-07,132.66,133.27,131.34,131.63,3341,1,0
2024-05-08,130.83,132.81,130.31,132.78,3351,1,0
2024-05-09,132.96,135.02,132.76,134.84,3725,1,0
2024-05-10,135.01,135.57,133.25,133.37,3161,1,0
2024-05-13,134.0,135.74,133.23,133.35,2279,1,0
2024-05-14,134.03,134.23,132.13,132.9,2295,1,0
2024-05-15,132.6,134.11,132.48,132.87,2858,1,0
2024-05-16,133.06,135.39,132.9,134.21,3604,1,0
2024-05-17,133.59,134.15,132.03,132.1,3140,1,0
2024-05-20,131.76,132.32,130.47,131.36,3373,1,0
2024-05-21,131.21,132.94,131.0,132.19,3271,1,0
2024-05-22,132.36,133.48,130.65,131.34,4603,1,0
2024-05-23,131.01,132.81,130.0,131.84,4586,1,0
2024-05-24,142.0,145.09,141.34,142.15,4713,1,0
2024-05-28,140.35,141.44,137.36,137.38,3766,1,0
2024-05-29,137.07,139.27,137.07,138.93,2854,1,0
2024-05-30,140.5,143.68,139.33,139.57,3471,1,0
2024-05-31,139.5,140.3,137.75,139.37,3448,1,0
2024-06-03,139.4,141.36,139.08,141.05,3291,1,0
2024-06-04,140.57,142.74,139.73,140.87,2836,1,0
2024-06-05,140.6,144.43,140.1,144.13,2383,1,0
2024-06-06,143.5,144.45,142.93,144.02,2377,1,0
2024-06-07,144.02,144.83,143.24,144.27,3488,1,0
2024-06-10,144.01,145.22,143.83,144.61,3048,1,0
2024-06-11,143.83,144.55,142.33,144.49,2908,1,0
2024-06-12,143.91,145.1,143.2,144.19,3247,1,0
2024-06-13,143.62,146.19,143.62,145.67,2861,1,0
2024-06-14,145.65,146.55,145.44,145.89,2078,1,0
2024-06-17,145.13,150.42,145.01,150.2,2402,1,0
2024-06-18,148.11,149.92,148.0,148.51,3195,2,0
2024-06-20,148.28,149.23,146.64,147.13,2732,1,0
2024-06-21,148.72,149.56,147.45,149.19,2330,1,0
2024-06-24,148.76,149.75,148.07,149.25,2299,1,0
2024-06-25,148.65,149.15,147.39,148.3,2027,1,0
2024-06-26,147.27,149.24,147.27,148.49,2695,2,0
2024-06-27,148.03,148.31,145.79,145.87,2536,1,0
