time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,52.41,54.1,52.0,53.44,744,1,0
2024-01-03,52.0,52.21,49.87,50.08,633,1,0
2024-01-04,49.95,50.6,49.34,50.18,630,1,0
2024-01-05,49.63,51.11,49.52,50.32,546,3,0
2024-01-08,49.91,52.23,49.91,51.79,516,2,0
2024-01-09,50.59,50.72,49.12,50.36,644,3,0
2024-01-10,49.05,50.88,49.05,50.34,572,1,0
2024-01-11,49.73,50.13,49.16,49.97,490,2,0
2024-01-12,49.99,50.7,49.45,49.74,508,1,0
2024-01-16,49.02,50.53,49.0,50.44,533,1,0
2024-01-17,49.45,51.57,49.2,51.34,590,1,0
2024-01-18,51.71,52.69,50.71,52.06,686,1,0
2024-01-19,52.12,54.08,51.06,53.74,871,1,0
2024-01-22,54.18,54.56,52.65,53.81,771,1,0
2024-01-23,54.12,54.27,52.93,53.56,530,1,0
2024-01-24,54.38,54.47,53.0,53.17,709,1,0
2024-01-25,53.29,54.42,53.29,53.82,555,2,0
2024-01-26,53.4,54.39,53.4,54.25,374,2,0
2024-01-29,53.98,55.67,53.55,55.45,470,1,0
2024-01-30,55.0,55.65,54.34,55.35,516,1,0
2024-01-31,54.73,56.01,53.78,54.6,682,2,0
2024-02-01,54.03,55.41,54.0,54.97,796,2,0
2024-02-02,54.0,55.56,53.38,54.92,567,2,0
2024-02-05,54.0,54.61,53.25,53.96,531,2,0
2024-02-06,53.64,55.07,53.5,54.86,531,1,0
2024-02-07,54.81,55.38,53.98,55.09,600,1,0
2024-02-08,56.87,59.1,56.5,57.87,808,1,0
2024-02-09,57.93,58.84,56.77,58.67,618,1,0
2024-02-12,58.42,59.59,57.89,59.08,749,1,0
2024-02-13,56.47,57.97,56.13,56.78,734,2,0
2024-02-14,56.9,58.22,56.56,57.92,629,2,0
2024-02-15,57.75,59.08,57.42,58.87,618,1,0
2024-02-16,57.89,59.13,57.38,58.31,444,2,0
2024-02-20,57.78,58.09,57.07,57.94,521,1,0
2024-02-21,57.04,58.01,56.31,57.45,754,1,0
2024-02-22,57.08,58.06,56.99,56.99,610,2,0
2024-02-23,56.75,58.14,56.75,57.56,472,1,0
2024-02-26,57.0,57.26,55.51,55.7,651,1,0
2024-02-27,55.86,56.45,55.17,55.98,610,1,0
2024-02-28,55.13,56.69,55.0,56.59,520,1,0
2024-02-29,56.67,58.28,56.34,58.01,504,1,0
2024-03-01,57.07,58.13,56.27,57.72,571,2,0
2024-03-04,57.47,58.17,56.94,57.48,486,1,0
2024-03-05,56.63,57.53,56.19,56.46,605,2,0
2024-03-06,56.99,57.23,56.24,56.8,650,1,0
2024-03-07,56.93,57.97,56.56,57.75,458,1,0
2024-03-08,58.03,58.47,56.15,57.06,547,2,0
2024-03-11,56.1,57.28,56.09,56.64,498,1,0
2024-03-12,56.3,57.61,56.08,57.34,458,1,0
2024-03-13,57.24,57.9,56.75,57.08,423,1,0
2024-03-14,56.56,56.78,55.32,55.66,492,2,0
2024-03-15,55.5,55.93,54.44,54.79,622,2,0
2024-03-18,54.66,55.64,54.6,55.06,593,1,0
2024-03-19,54.8,55.54,54.4,55.09,467,1,0
2024-03-20,54.42,56.62,54.04,56.27,490,3,0
2024-03-21,55.71,56.71,55.22,56.43,651,2,0
2024-03-22,56.56,56.88,55.88,56.17,530,1,0
2024-03-25,56.43,57.77,56.02,57.15,448,2,0
2024-03-26,57.43,59.84,57.26,59.43,614,2,0
2024-03-27,59.96,60.1,59.0,59.71,512,1,0
2024-03-28,59.65,60.57,58.8,59.61,611,2,0
2024-04-01,60.48,61.84,60.48,61.24,725,1,0
2024-04-02,59.87,61.61,59.53,61.58,466,1,0
2024-04-03,60.86,62.74,60.52,62.34,593,3,0
2024-04-04,62.37,63.16,59.55,59.62,536,2,0
2024-04-05,59.53,61.63,59.51,61.33,591,2,0
2024-04-08,61.33,61.88,60.97,61.33,403,1,0
2024-04-09,60.96,62.17,60.47,61.77,630,1,0
2024-04-10,60.0,60.84,59.78,60.48,549,2,0
2024-04-11,60.05,61.65,59.62,61.42,661,1,0
2024-04-12,60.19,60.87,59.46,59.62,365,2,0
2024-04-15,60.28,61.06,59.18,59.75,561,1,0
2024-04-16,59.54,59.86,58.15,59.6,660,4,0
2024-04-17,59.78,60.53,58.5,58.55,541,2,0
2024-04-18,58.0,59.03,57.34,57.6,498,3,0
2024-04-19,57.54,58.4,56.59,57.12,611,1,0
2024-04-22,57.52,58.38,56.68,58.05,530,2,0
2024-04-23,58.22,59.4,57.78,58.66,580,4,0
