time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,146.4,148.59,143.97,144.51,553,3,0
2024-01-03,141.1,142.72,137.77,141.59,659,7,0
2024-01-04,139.95,142.37,138.1,138.36,850,3,0
2024-01-05,137.03,140.93,135.33,139.24,492,6,0
2024-01-08,137.31,141.76,135.79,141.33,456,6,0
2024-01-09,138.72,140.66,136.52,139.9,461,5,0
2024-01-10,139.25,140.76,137.53,140.37,540,5,0
2024-01-11,138.49,140.15,136.54,137.86,605,5,0
2024-01-12,138.19,139.52,136.64,138.37,526,3,0
2024-01-16,135.24,136.24,133.51,134.39,604,4,0
2024-01-17,131.06,133.96,131.0,133.66,536,5,0
2024-01-18,132.97,137.61,132.15,137.28,518,3,0
2024-01-19,137.65,140.98,136.19,140.08,664,3,0
2024-01-22,139.52,141.68,139.07,140.17,451,7,0
2024-01-23,139.47,140.79,137.86,138.59,570,6,0
2024-01-24,139.34,140.34,135.71,135.85,464,6,0
2024-01-25,135.96,139.04,135.19,137.46,451,4,0
2024-01-26,138.13,138.52,135.94,136.57,417,2,0
2024-01-29,135.0,139.12,135.0,138.69,470,2,0
2024-01-30,137.85,140.09,136.24,138.77,470,3,0
2024-01-31,137.66,137.88,133.0,133.38,1059,8,0
2024-02-01,134.37,137.52,132.99,136.57,845,4,0
2024-02-02,134.1,139.62,134.09,139.33,793,3,0
2024-02-05,136.64,136.94,134.38,135.82,718,8,0
2024-02-06,134.71,137.94,133.75,137.22,696,2,0
2024-02-07,137.09,142.55,135.7,140.79,872,3,0
2024-02-08,143.75,152.22,143.75,147.52,1010,8,0
2024-02-09,148.02,152.61,147.32,151.58,906,6,0
2024-02-12,150.7,155.59,149.23,154.3,883,3,0
2024-02-13,146.05,152.63,146.05,149.5,963,5,0
2024-02-14,152.25,153.61,149.41,152.82,1337,4,0
2024-02-15,153.08,157.76,151.86,157.01,749,5,0
2024-02-16,155.51,162.02,154.58,161.04,691,5,0
2024-02-20,157.03,159.03,156.96,158.2,705,7,0
2024-02-21,156.28,160.84,155.65,160.43,661,4,0
2024-02-22,161.14,167.49,161.14,166.72,1011,3,0
2024-02-23,165.76,168.89,165.34,168.2,841,3,0
2024-02-26,165.62,168.48,165.52,167.25,864,6,0
2024-02-27,166.71,170.33,166.07,168.97,837,6,0
2024-02-28,167.48,170.82,166.74,170.26,591,5,0
2024-02-29,169.71,172.35,169.08,172.14,805,7,0
2024-03-01,170.1,172.43,170.1,171.02,609,7,0
2024-03-04,170.54,173.4,169.39,172.02,694,7,0
2024-03-05,168.92,170.8,165.61,166.6,804,3,0
2024-03-06,166.49,168.32,165.99,166.66,633,5,0
2024-03-07,167.62,169.92,167.18,168.98,737,4,0
2024-03-08,172.84,175.23,171.05,172.63,868,6,0
2024-03-11,170.2,171.34,167.62,170.92,534,6,0
2024-03-12,171.37,176.06,171.0,175.44,612,3,0
2024-03-13,173.88,175.88,173.87,174.5,474,2,0
2024-03-14,172.5,173.29,169.14,170.43,436,1,0
2024-03-15,169.61,173.69,168.17,172.15,628,11,0
2024-03-18,172.25,174.66,171.29,172.8,540,5,0
2024-03-19,171.4,174.51,171.32,174.13,607,6,0
2024-03-20,173.16,178.2,172.19,177.62,619,6,0
2024-03-21,177.65,183.61,177.65,182.27,662,5,0
2024-03-22,180.36,182.6,179.42,180.53,541,2,0
2024-03-25,180.52,182.68,177.72,177.87,453,7,0
2024-03-26,177.67,179.85,176.43,178.73,846,1,0
2024-03-27,178.44,179.72,176.37,178.31,727,1,0
