time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,163.95,165.91,163.95,164.63,1260,1,0
2024-01-03,166.62,166.62,163.53,163.85,1542,1,0
2024-01-04,163.86,165.75,163.4,163.93,1277,1,0
2024-01-05,163.47,164.09,162.46,163.24,1287,1,0
2024-01-08,163.52,164.27,162.01,163.95,945,1,0
2024-01-09,163.5,164.55,162.89,163.59,993,2,0
2024-01-10,162.66,164.24,162.66,164.07,1409,2,0
2024-01-11,164.0,164.21,163.0,164.16,1295,2,0
2024-01-12,163.52,166.1,163.1,166.08,1289,1,0
2024-01-16,165.41,166.51,164.85,165.46,1369,2,0
2024-01-17,165.21,168.05,165.2,166.15,1246,1,0
2024-01-18,165.83,167.55,165.66,167.37,1046,1,0
2024-01-19,168.09,169.14,167.17,168.63,1462,1,0
2024-01-22,168.73,169.05,167.26,168.69,1425,1,0
2024-01-23,168.81,169.85,167.81,169.59,1236,1,0
2024-01-24,169.62,170.33,169.18,169.25,1607,1,0
2024-01-25,168.51,170.35,168.51,170.26,1471,1,0
2024-01-26,170.28,171.34,170.28,171.12,1223,1,0
2024-01-29,170.94,171.72,170.35,171.3,986,1,0
2024-01-30,171.35,172.91,171.02,172.66,1564,1,0
2024-01-31,173.3,173.39,170.09,170.97,1741,1,0
2024-02-01,170.5,173.75,169.5,173.54,1487,1,0
2024-02-02,173.89,174.43,172.29,173.67,1516,1,0
2024-02-05,172.95,174.08,172.5,173.33,4213,1,0
2024-02-06,172.8,173.72,172.19,173.46,3743,1,0
2024-02-07,173.45,175.32,173.0,174.41,3465,1,0
2024-02-08,174.25,175.04,173.0,174.54,3183,1,0
2024-02-09,174.69,174.85,172.75,173.35,3363,1,0
2024-02-12,172.35,172.8,171.05,171.83,3787,1,0
2024-02-13,173.5,176.46,173.21,175.68,3266,0,0
2024-02-14,176.03,178.7,176.03,178.31,3915,1,0
2024-02-15,177.99,179.95,176.92,179.86,3323,1,0
2024-02-16,179.8,181.29,179.25,180.28,2500,1,0
2024-02-20,180.46,181.96,179.6,179.76,3278,1,0
2024-02-21,179.88,181.47,179.05,181.03,2542,1,0
2024-02-22,181.57,183.94,180.69,183.41,2537,2,0
2024-02-23,183.4,185.27,183.35,184.85,2253,1,0
2024-02-26,185.0,186.19,184.61,185.0,2591,2,0
2024-02-27,183.75,184.87,183.75,184.78,2555,1,0
2024-02-28,189.85,190.6,184.41,185.84,2968,2,0
2024-02-29,183.68,184.41,182.5,183.35,2566,1,0
2024-03-01,182.31,183.64,182.0,183.54,2037,1,0
2024-03-04,183.84,185.16,182.9,184.58,2013,1,0
2024-03-05,184.0,185.01,182.5,183.45,1712,2,0
2024-03-06,183.07,184.61,183.07,183.87,1953,1,0
2024-03-07,184.0,184.75,183.3,183.63,1510,1,0
2024-03-08,182.86,184.62,182.6,183.96,2159,2,0
2024-03-11,183.3,184.45,182.6,184.33,1605,1,0
2024-03-12,183.88,186.01,183.62,185.57,1729,2,0
2024-03-13,185.04,185.94,184.0,185.56,1485,1,0
2024-03-14,185.89,186.04,184.08,186.02,1824,1,0
2024-03-15,185.83,186.22,184.65,185.83,2235,1,0
2024-03-18,186.02,188.07,185.79,187.3,1538,2,0
2024-03-19,187.33,188.34,186.83,187.95,1528,2,0
2024-03-20,187.64,188.55,187.0,187.46,1348,1,0
2024-03-21,187.0,189.34,187.0,189.05,1517,1,0
2024-03-22,188.0,190.7,188.0,190.3,1594,1,0
2024-03-25,189.66,190.55,188.9,189.6,1822,1,0
2024-03-26,189.2,190.34,189.0,189.97,1986,2,0
2024-03-27,190.05,191.28,189.68,191.06,2278,2,0
2024-03-28,191.3,191.97,190.88,191.45,2118,2,0
2024-04-01,189.93,190.71,189.15,189.84,1939,1,0
2024-04-02,189.28,190.26,188.73,188.99,2852,1,0
2024-04-03,188.63,189.47,188.12,188.95,2934,1,0
2024-04-04,189.48,189.53,186.16,186.56,2952,1,0
2024-04-05,186.78,188.45,186.3,188.01,3383,1,0
2024-04-08,187.5,189.13,187.25,188.46,3026,1,0
2024-04-09,188.59,189.22,187.31,188.72,3018,1,0
2024-04-10,187.25,190.13,187.25,189.79,3211,1,0
2024-04-11,189.08,189.49,187.47,188.86,3110,2,0
2024-04-12,188.15,188.95,187.0,187.47,3749,2,0
2024-04-15,189.15,189.62,186.53,187.03,2960,2,0
2024-04-16,188.32,188.86,186.8,187.32,4283,1,0
2024-04-17,187.89,189.11,186.55,188.86,4276,2,0
2024-04-18,188.62,189.7,188.1,188.47,3634,1,0
2024-04-19,189.47,190.4,188.7,189.79,4489,1,0
2024-04-22,190.47,192.7,190.19,191.65,2492,1,0
2024-04-23,190.71,192.61,190.0,190.31,2814,1,0
2024-04-24,190.49,192.58,189.53,192.12,3615,1,0
2024-04-25,192.19,193.79,190.5,193.36,3817,1,0
2024-04-26,192.7,193.63,191.27,192.0,3551,1,0
2024-04-29,192.02,193.58,191.77,193.08,2800,1,0
2024-04-30,192.65,194.03,191.44,191.44,3716,2,0
2024-05-01,181.0,187.33,181.0,185.78,3025,2,0
2024-05-02,187.39,187.49,185.51,186.15,3064,2,0
2024-05-03,186.22,186.22,183.72,185.59,1958,1,0
2024-05-06,185.53,186.58,185.34,186.54,2002,2,0
2024-05-07,187.04,188.39,186.73,188.38,1731,2,0
2024-05-08,188.4,189.25,187.14,187.23,2270,1,0
2024-05-09,187.61,188.12,186.58,187.97,1810,1,0
2024-05-10,188.81,189.72,188.81,189.36,1624,2,0
2024-05-13,188.51,189.39,187.82,188.05,1528,1,0
2024-05-14,187.35,189.14,187.13,187.37,1847,1,0
2024-05-15,187.0,188.13,186.3,186.86,1816,2,0
2024-05-16,187.1,187.93,186.0,187.77,1978,1,0
2024-05-17,186.71,188.62,186.16,188.21,1729,3,0
2024-05-20,187.4,187.54,185.66,185.68,1226,1,0
2024-05-21,185.76,186.67,185.75,186.33,1579,1,0
2024-05-22,185.7,186.97,185.7,186.48,1474,2,0
2024-05-23,186.28,186.87,185.5,186.26,1498,2,0
2024-05-24,185.95,186.72,184.4,186.37,1452,2,0
2024-05-28,185.0,185.35,183.33,183.49,1221,2,0
2024-05-29,182.13,182.63,181.5,181.5,1702,2,0
2024-05-30,181.22,182.74,180.8,181.91,1625,2,0
2024-05-31,181.32,184.91,181.0,184.83,1970,3,0
2024-06-03,185.16,185.97,183.5,185.13,1127,3,0
2024-06-04,184.5,187.24,184.5,186.91,1707,1,0
2024-06-05,187.26,188.34,185.0,187.68,1195,3,0
2024-06-06,187.47,188.35,185.87,186.9,1443,2,0
2024-06-07,187.12,189.1,186.29,187.08,1738,2,0
2024-06-10,186.93,188.04,186.71,187.41,1466,2,0
2024-06-11,186.33,187.54,185.5,186.3,1526,3,0
2024-06-12,185.06,187.69,185.0,187.06,2047,2,0
2024-06-13,186.27,187.53,185.1,187.24,1387,3,0
2024-06-14,186.1,188.68,185.36,188.32,1060,2,0
2024-06-17,187.98,192.06,187.98,191.4,1100,3,0
2024-06-18,191.14,192.15,190.6,191.77,1250,2,0
2024-06-20,190.79,192.25,190.6,191.68,1358,2,0
2024-06-21,191.57,192.24,190.97,191.62,1277,2,0
2024-06-24,191.84,194.8,191.84,194.41,1333,1,0
2024-06-25,193.72,195.08,192.99,194.11,1095,2,0
2024-06-26,193.11,194.32,192.54,193.81,1282,3,0
2024-06-27,194.01,195.28,193.42,194.5,1205,3,0
2024-06-28,194.34,195.72,193.45,194.14,1879,1,0
2024-07-01,193.25,194.94,192.0,192.53,1558,1,0
2024-07-02,191.93,193.56,191.46,193.14,1329,1,0
2024-07-03,192.71,193.86,191.99,193.44,643,4,0
2024-07-05,193.45,195.01,192.47,194.87,1280,2,0
2024-07-08,195.02,196.07,194.26,195.45,1341,1,0
2024-07-09,193.99,195.66,193.33,195.25,888,2,0
2024-07-10,195.02,196.99,193.85,196.4,1123,2,0
2024-07-11,197.24,199.3,197.0,198.78,1912,1,0
2024-07-12,198.59,201.28,198.59,200.36,1590,1,0
2024-07-15,200.26,201.48,199.27,200.76,1931,2,0
2024-07-16,201.22,204.16,201.19,203.87,1907,3,0
2024-07-17,204.2,206.43,203.29,205.51,2062,1,0
2024-07-18,204.47,206.44,204.02,204.27,2221,3,0
2024-07-19,205.11,205.11,203.0,203.18,2399,2,0
2024-07-22,203.09,205.04,202.81,204.63,1847,3,0
2024-07-23,203.07,203.07,198.13,198.74,2014,1,0
2024-07-24,197.68,200.65,197.13,199.34,1805,1,0
2024-07-25,199.99,202.01,189.24,189.51,1555,1,0
2024-07-26,189.09,191.84,188.75,190.24,1517,1,0
2024-07-29,190.78,193.36,190.58,192.28,1103,3,0
2024-07-30,192.17,194.33,191.51,192.28,893,3,0
2024-07-31,192.61,194.82,192.36,194.2,1474,1,0
2024-08-01,194.12,197.31,193.22,196.89,1570,1,0
2024-08-02,198.76,200.0,195.94,199.59,1472,2,0
2024-08-05,199.88,199.88,193.32,194.84,1306,4,0
2024-08-06,195.83,199.4,195.2,196.46,1228,3,0
2024-08-07,196.77,203.04,196.12,201.31,1891,2,0
2024-08-08,200.31,201.9,200.0,200.73,1192,4,0
2024-08-09,200.25,201.46,197.6,201.24,1051,3,0
2024-08-12,199.45,200.9,198.43,199.28,871,3,0
2024-08-13,199.07,200.37,199.0,199.99,902,3,0
2024-08-14,199.4,202.57,199.28,202.14,760,4,0
2024-08-15,202.5,203.19,201.18,202.51,687,7,0
2024-08-16,202.47,203.67,201.62,203.11,699,6,0
2024-08-19,202.68,204.88,202.12,204.66,663,4,0
2024-08-20,205.0,205.46,204.04,205.07,711,4,0
2024-08-21,205.11,205.8,204.52,205.46,572,5,0
2024-08-22,206.1,207.7,205.41,206.38,747,3,0
2024-08-23,206.31,207.22,205.38,206.41,710,3,0
2024-08-26,206.21,208.5,206.02,206.6,726,5,0
2024-08-27,206.5,207.33,205.92,206.57,844,5,0
2024-08-28,207.42,208.11,205.5,207.16,775,4,0
2024-08-29,206.73,208.46,205.08,205.68,1068,1,0
2024-08-30,205.44,208.54,205.0,208.04,1070,2,0
2024-09-03,207.5,208.23,204.61,205.59,1218,2,0
2024-09-04,205.71,207.76,204.65,207.29,919,4,0
2024-09-05,206.83,207.09,204.17,205.0,827,3,0
2024-09-06,205.5,206.2,202.5,203.11,805,6,0
2024-09-09,203.88,207.06,203.0,205.02,830,5,0
2024-09-10,204.91,206.77,204.44,206.1,864,3,0
2024-09-11,204.7,205.16,200.24,204.76,1087,4,0
2024-09-12,203.22,205.19,202.13,205.1,945,6,0
2024-09-13,204.45,206.53,204.2,205.72,875,4,0
2024-09-16,205.99,207.56,205.04,205.04,946,4,0
2024-09-17,204.44,204.6,201.29,201.67,1009,3,0
2024-09-18,200.5,201.82,198.06,199.16,1077,4,0
2024-09-19,199.42,201.17,197.25,200.79,1149,1,0
2024-09-20,198.0,201.17,197.6,201.14,1149,3,0
2024-09-23,200.73,203.24,200.73,202.57,929,3,0
2024-09-24,201.79,203.39,201.5,203.16,985,6,0
2024-09-25,203.57,204.78,203.0,204.21,1152,3,0
2024-09-26,204.32,204.79,200.48,200.9,769,3,0
2024-09-27,200.25,201.34,199.06,199.35,915,2,0
2024-09-30,199.0,200.58,198.4,200.44,1101,3,0
2024-10-01,199.88,201.67,198.96,201.14,1137,7,0
2024-10-02,200.18,200.98,199.42,199.84,652,4,0
2024-10-03,199.59,201.88,199.5,201.69,1412,2,0
2024-10-04,200.13,200.86,199.42,200.53,1214,2,0
2024-10-07,198.83,199.76,197.47,197.84,1121,2,0
2024-10-08,199.12,202.31,199.03,202.02,1106,2,0
2024-10-09,201.1,205.04,200.89,204.91,1189,4,0
2024-10-10,204.96,204.99,203.0,203.0,950,1,0
2024-10-11,203.75,204.52,202.14,204.52,778,6,0
2024-10-14,203.65,206.76,203.65,205.27,866,8,0
2024-10-15,206.47,208.33,206.0,206.0,1062,2,0
2024-10-16,205.5,207.11,204.47,205.2,993,2,0
2024-10-17,205.63,206.06,204.45,205.65,928,3,0
2024-10-18,204.54,205.83,204.0,204.72,771,3,0
2024-10-21,204.1,205.16,202.93,204.04,829,4,0
2024-10-22,202.91,204.09,202.0,203.74,882,5,0
2024-10-23,202.94,204.48,202.25,203.74,998,4,0
