time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,276.72,282.13,276.44,281.14,439,11,0
2024-01-03,276.85,281.63,275.13,278.56,460,11,0
2024-01-04,279.13,280.8,274.06,274.79,391,4,0
2024-01-05,273.01,277.96,272.36,277.37,498,20,0
2024-01-08,277.5,284.55,273.32,284.11,571,3,0
2024-01-09,280.39,280.39,276.2,276.5,693,14,0
2024-01-10,274.74,277.36,274.74,276.13,459,14,0
2024-01-11,275.56,280.75,275.0,280.01,556,8,0
2024-01-12,280.82,281.75,277.68,281.03,246,20,0
2024-01-16,280.28,280.83,277.7,278.47,432,14,0
2024-01-17,273.36,279.74,273.36,278.7,572,6,0
2024-01-18,278.06,281.18,277.1,279.59,290,10,0
2024-01-19,277.8,279.89,275.42,278.31,612,9,0
2024-01-22,276.6,283.16,276.33,282.49,366,15,0
2024-01-23,283.32,285.65,280.11,281.19,349,15,0
2024-01-24,280.0,283.82,280.0,280.0,523,18,0
2024-01-25,280.53,283.31,279.32,280.27,428,9,0
2024-01-26,278.95,283.45,278.95,280.3,335,15,0
2024-01-29,280.0,284.53,278.0,283.8,259,27,0
2024-01-30,282.45,290.88,282.45,290.07,297,9,0
2024-01-31,289.98,291.26,282.67,284.76,548,21,0
2024-02-01,285.78,290.29,285.0,289.07,334,13,0
2024-02-02,286.52,291.66,285.0,289.7,486,6,0
2024-02-05,285.12,288.77,283.0,287.78,488,21,0
2024-02-06,182.19,291.35,182.19,291.3,265,14,0
2024-02-07,290.87,298.38,290.87,297.74,365,13,0
2024-02-08,295.79,298.22,293.58,297.23,310,9,0
2024-02-09,297.0,299.61,296.82,298.79,439,10,0
2024-02-12,299.53,302.84,296.9,297.78,476,5,0
2024-02-13,291.91,293.01,286.0,288.44,650,14,0
2024-02-14,290.82,295.0,288.0,293.47,638,8,0
2024-02-15,307.24,332.05,307.24,331.33,626,17,0
2024-02-16,330.21,332.41,325.31,326.1,588,10,0
2024-02-20,321.27,325.25,316.7,317.71,572,4,0
2024-02-21,314.6,318.82,312.55,315.6,616,2,0
2024-02-22,314.58,319.97,313.81,318.65,475,4,0
2024-02-23,317.37,325.04,316.27,323.46,580,6,0
2024-02-26,320.0,327.52,320.0,325.57,476,14,0
2024-02-27,322.72,324.63,321.98,321.98,374,10,0
