time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,84.16,86.01,84.11,85.22,9246,1,0
2024-01-03,85.42,86.89,85.33,85.59,10008,1,0
2024-01-04,85.65,86.57,85.42,85.45,9332,1,0
2024-01-05,85.55,85.71,84.85,85.36,8599,1,0
2024-01-08,84.76,86.17,84.7,85.76,8008,1,0
2024-01-09,85.5,85.97,84.97,85.75,8321,1,0
2024-01-10,85.77,86.44,85.65,85.99,6724,1,0
2024-01-11,85.71,85.98,84.72,85.4,8946,1,0
2024-01-12,86.22,86.72,85.98,86.32,9779,1,0
2024-01-16,86.04,86.08,85.03,85.52,9745,1,0
2024-01-17,85.55,86.8,84.9,85.11,9702,1,0
2024-01-18,84.91,85.83,84.79,85.45,10088,1,0
2024-01-19,84.96,85.79,84.41,85.51,9674,1,0
2024-01-22,85.71,86.16,85.15,85.19,9036,1,0
2024-01-23,88.01,92.36,88.01,89.46,12383,1,0
2024-01-24,89.37,89.97,88.7,89.47,8112,1,0
2024-01-25,90.06,91.1,89.57,90.85,11479,1,0
2024-01-26,90.68,91.13,90.11,90.4,8557,1,0
2024-01-29,90.47,90.67,89.69,90.11,6532,1,0
2024-01-30,90.09,91.09,90.01,90.58,7738,1,0
2024-01-31,90.78,91.85,90.65,91.17,9326,1,0
2024-02-01,91.48,92.17,90.75,92.04,9277,1,0
2024-02-02,92.01,92.69,91.42,92.06,11738,1,0
2024-02-05,91.3,92.64,90.88,92.26,9659,1,0
2024-02-06,91.74,92.65,91.15,92.36,8364,1,0
2024-02-07,92.7,92.7,91.81,91.9,7984,1,0
2024-02-08,91.99,92.38,90.9,91.11,7368,1,0
2024-02-09,91.17,91.6,90.31,90.43,7363,1,0
2024-02-12,90.67,91.9,90.21,91.13,9542,1,0
2024-02-13,91.41,91.41,89.85,90.55,11616,0,0
2024-02-14,90.96,91.6,90.84,91.28,11216,1,0
2024-02-15,91.43,92.24,91.3,91.75,8464,1,0
2024-02-16,91.35,92.09,90.93,90.98,10608,1,0
2024-02-20,91.32,92.28,90.56,90.92,9500,1,0
2024-02-21,90.9,91.41,90.0,90.34,9365,1,0
2024-02-22,89.48,89.82,88.89,89.55,8970,1,0
2024-02-23,89.47,90.48,89.45,90.0,9231,1,0
2024-02-26,89.91,90.84,89.91,90.1,6142,1,0
2024-02-27,89.87,90.44,89.41,90.41,8310,1,0
2024-02-28,90.37,91.23,89.53,89.92,3620,1,0
2024-02-29,90.34,90.51,89.25,89.83,6602,1,0
2024-03-01,89.38,89.96,88.92,89.8,5210,1,0
2024-03-04,89.74,90.12,89.12,89.84,7068,1,0
2024-03-05,89.63,90.8,89.6,89.98,9064,1,0
2024-03-06,89.79,90.74,89.7,90.22,10269,1,0
2024-03-07,90.54,91.23,90.02,90.49,6829,1,0
2024-03-08,90.4,90.9,90.1,90.77,9167,1,0
2024-03-11,90.48,91.82,90.48,91.48,9424,1,0
2024-03-12,90.78,91.0,89.42,90.14,7116,1,0
2024-03-13,90.05,90.71,89.81,90.4,5438,1,0
2024-03-14,91.84,92.97,91.48,91.49,9181,0,0
2024-03-15,92.08,93.06,91.9,92.64,8942,1,0
2024-03-18,92.86,93.89,92.31,93.25,4610,1,0
2024-03-19,94.77,95.38,94.01,94.77,5043,1,0
2024-03-20,94.75,95.51,94.37,94.87,8259,1,0
2024-03-21,94.85,95.48,94.07,94.3,4520,1,0
2024-03-22,94.6,95.81,94.6,95.6,8538,1,0
2024-03-25,95.85,96.2,95.26,95.7,3218,1,0
2024-03-26,95.53,96.54,95.51,96.14,5927,1,0
2024-03-27,96.29,97.49,96.29,97.39,6091,1,0
2024-03-28,97.63,98.04,97.46,97.66,6035,1,0
2024-04-01,97.65,98.15,97.13,97.89,5843,1,0
2024-04-02,97.6,98.68,97.56,98.41,6437,1,0
2024-04-03,97.74,98.01,97.15,97.62,8466,1,0
2024-04-04,98.19,99.23,97.88,99.2,7817,1,0
2024-04-05,99.72,101.69,99.72,101.62,9162,1,0
2024-04-08,101.96,102.23,101.26,101.75,8646,1,0
2024-04-09,101.27,101.58,100.28,101.31,5910,1,0
2024-04-10,100.62,101.75,100.22,101.4,10346,1,0
2024-04-11,101.28,101.57,99.8,100.89,8249,1,0
2024-04-12,101.69,102.32,99.45,100.03,8818,1,0
2024-04-15,101.59,101.66,100.01,100.01,9131,1,0
2024-04-16,100.3,101.31,100.2,100.72,11345,1,0
2024-04-17,101.34,101.79,100.13,100.69,7708,1,0
2024-04-18,100.93,101.87,100.5,100.73,4496,1,0
2024-04-19,101.09,102.23,101.0,101.51,4016,1,0
2024-04-22,101.69,102.23,101.36,101.37,3897,1,0
2024-04-23,99.92,103.86,99.9,101.13,5236,1,0
2024-04-24,101.03,101.12,100.01,100.87,4066,1,0
2024-04-25,100.6,101.86,100.55,101.71,3634,1,0
2024-04-26,101.61,101.73,100.27,101.4,3054,1,0
2024-04-29,101.73,102.6,101.62,102.38,3116,1,0
2024-04-30,102.39,102.79,101.59,101.61,3162,1,0
2024-05-01,101.5,101.95,101.12,101.15,4326,1,0
2024-05-02,101.43,101.88,101.0,101.56,3140,1,0
2024-05-03,101.71,101.77,100.67,101.38,3049,1,0
2024-05-06,101.9,102.03,101.6,101.8,2406,1,0
2024-05-07,102.28,103.16,102.22,103.08,3003,1,0
2024-05-08,102.96,104.08,102.8,103.81,2816,1,0
2024-05-09,104.1,105.66,104.1,105.61,3233,1,0
2024-05-10,105.83,106.51,105.53,106.36,2721,1,0
2024-05-13,106.55,107.8,105.73,105.75,2754,1,0
2024-05-14,105.88,106.19,105.63,105.76,2972,1,0
2024-05-15,105.66,105.94,105.13,105.42,3431,1,0
2024-05-16,104.51,105.33,104.14,104.31,2888,1,0
2024-05-17,104.0,104.71,103.7,104.08,4145,1,0
2024-05-20,104.41,105.42,104.35,104.92,3086,1,0
2024-05-21,105.8,105.86,105.33,105.52,2727,1,0
2024-05-22,105.31,106.44,105.26,106.13,3857,1,0
2024-05-23,106.73,107.28,105.32,105.46,3393,1,0
2024-05-24,106.05,106.55,105.83,106.18,2220,1,0
2024-05-28,105.77,106.3,105.28,105.46,3698,1,0
2024-05-29,104.81,105.2,104.49,104.5,2681,1,0
2024-05-30,104.86,105.85,104.86,105.54,2990,1,0
2024-05-31,105.48,107.59,105.21,107.53,4379,1,0
2024-06-03,107.33,108.6,106.77,107.11,3238,1,0
2024-06-04,107.0,108.37,107.0,107.85,3141,1,0
2024-06-05,107.86,108.51,107.47,108.37,3198,1,0
2024-06-06,108.07,108.41,107.72,108.17,2716,1,0
2024-06-07,108.03,108.53,107.79,108.09,2588,1,0
2024-06-10,107.88,108.01,106.64,107.12,2884,1,0
2024-06-11,106.22,107.13,106.17,106.92,3522,1,0
2024-06-12,107.01,107.69,106.46,106.85,3165,1,0
2024-06-13,106.4,106.4,103.83,105.13,4373,1,0
2024-06-14,104.6,104.94,103.41,104.12,3040,1,0
2024-06-17,103.51,104.42,103.44,104.31,2751,1,0
2024-06-18,104.51,105.28,104.5,104.68,3031,1,0
2024-06-20,104.66,105.69,104.37,105.12,2849,1,0
2024-06-21,104.94,106.17,104.68,105.66,2676,1,0
2024-06-24,106.0,107.45,100.92,101.88,5876,1,0
2024-06-25,100.41,102.66,100.01,101.6,5665,1,0
2024-06-26,100.22,101.37,100.15,101.23,2418,1,0
2024-06-27,101.43,101.66,100.42,100.53,3017,1,0
2024-06-28,100.72,100.85,100.05,100.05,3171,1,0
2024-07-01,101.11,101.49,99.3,99.5,2172,1,0
2024-07-02,99.12,100.61,99.06,100.44,3378,1,0
2024-07-03,100.48,101.02,100.36,100.56,1203,1,0
2024-07-05,100.13,100.45,99.55,100.36,2319,1,0
2024-07-08,101.0,101.05,100.13,100.18,2063,1,0
2024-07-09,100.12,101.43,100.12,101.23,2831,1,0
2024-07-10,100.6,101.13,99.41,100.58,2833,1,0
2024-07-11,100.43,102.64,100.21,101.6,3209,1,0
2024-07-12,102.18,102.74,101.01,101.2,3606,1,0
2024-07-15,102.23,102.55,101.57,101.59,2744,1,0
2024-07-16,101.81,103.68,101.75,103.6,3418,1,0
2024-07-17,104.05,105.23,104.0,104.95,6166,1,0
2024-07-18,104.91,105.44,103.78,103.81,3292,1,0
2024-07-19,104.21,104.21,102.62,102.77,2773,1,0
2024-07-22,102.52,103.79,102.52,103.68,4941,1,0
2024-07-23,104.1,105.56,103.8,104.88,3799,1,0
2024-07-24,105.2,105.83,104.0,104.66,6142,1,0
2024-07-25,111.09,115.77,111.09,113.22,9256,1,0
2024-07-26,113.77,115.22,113.47,113.62,4592,1,0
2024-07-29,113.57,114.61,113.27,114.47,2899,1,0
2024-07-30,114.79,117.02,114.49,116.95,3743,1,0
2024-07-31,116.93,118.08,116.45,117.45,4365,1,0
2024-08-01,117.41,117.84,116.0,116.66,4306,1,0
2024-08-02,116.62,118.24,115.06,116.46,4346,1,0
2024-08-05,115.97,116.01,114.32,115.28,4892,1,0
2024-08-06,115.16,116.79,114.09,114.37,4226,1,0
2024-08-07,113.7,115.92,113.6,113.95,4239,1,0
2024-08-08,113.85,115.81,113.7,114.94,4283,1,0
2024-08-09,114.95,116.25,114.87,116.07,2398,1,0
2024-08-12,117.07,117.23,115.75,116.57,3390,1,0
2024-08-13,116.89,117.23,116.04,116.79,2465,1,0
2024-08-14,116.67,117.81,116.58,117.5,2869,1,0
2024-08-15,118.42,118.48,117.5,118.06,3045,1,0
2024-08-16,117.87,118.4,117.55,117.84,2412,1,0
2024-08-19,118.0,118.51,117.97,118.32,1784,1,0
2024-08-20,118.3,118.67,117.21,117.96,2972,1,0
2024-08-21,118.23,118.39,116.95,117.33,2692,1,0
2024-08-22,117.65,117.98,117.15,117.86,2981,1,0
2024-08-23,118.12,118.88,117.86,118.51,3686,1,0
2024-08-26,118.93,119.7,118.37,118.49,2599,1,0
2024-08-27,118.49,119.57,118.37,119.38,2128,1,0
2024-08-28,119.85,121.32,119.74,120.74,3763,1,0
2024-08-29,120.99,122.74,120.53,122.17,4102,1,0
2024-08-30,122.29,123.68,121.95,123.56,3027,1,0
2024-09-03,123.29,123.59,120.66,120.78,4703,1,0
2024-09-04,121.54,122.32,120.76,121.12,3277,1,0
2024-09-05,121.41,121.47,118.63,119.42,3286,1,0
2024-09-06,120.02,120.66,118.06,118.47,4334,1,0
2024-09-09,120.19,121.32,119.75,121.09,3535,1,0
2024-09-10,121.25,121.28,119.91,120.26,3711,1,0
2024-09-11,119.0,119.35,117.34,119.26,4838,1,0
2024-09-12,119.12,120.13,118.77,119.91,3077,1,0
2024-09-13,119.5,120.16,118.88,119.2,3671,1,0
2024-09-16,119.5,120.41,118.06,119.18,4749,1,0
2024-09-17,118.36,119.02,117.73,118.61,4607,1,0
2024-09-18,118.34,119.48,117.76,117.92,3490,1,0
2024-09-19,118.12,119.19,117.25,118.78,5301,1,0
2024-09-20,117.92,118.8,117.85,117.99,4705,1,0
2024-09-23,118.38,120.46,118.21,120.19,3563,1,0
2024-09-24,119.16,120.24,119.09,120.05,4214,1,0
2024-09-25,120.36,121.43,120.35,120.73,6603,1,0
2024-09-26,120.4,121.84,120.3,120.56,3790,1,0
2024-09-27,120.28,121.21,119.79,120.44,4888,1,0
2024-09-30,120.75,121.26,119.75,121.21,3687,1,0
2024-10-01,120.56,124.58,120.0,124.26,8689,1,0
2024-10-02,124.6,124.76,123.62,124.01,4094,1,0
2024-10-03,124.37,124.83,123.19,123.5,3874,1,0
2024-10-04,123.2,124.87,123.15,124.78,4306,1,0
2024-10-07,124.47,125.63,124.09,124.96,4092,1,0
2024-10-08,125.39,125.44,123.26,123.49,3280,1,0
2024-10-09,123.08,124.72,122.8,123.97,4422,1,0
2024-10-10,123.3,124.02,122.4,122.92,4442,1,0
2024-10-11,123.18,123.85,122.9,123.82,5153,1,0
2024-10-14,123.36,124.82,123.26,124.64,3039,1,0
2024-10-15,126.2,126.78,124.63,124.9,6011,1,0
2024-10-16,124.89,126.19,124.15,126.19,4343,1,0
2024-10-17,125.7,126.45,125.1,125.72,5894,1,0
2024-10-18,125.49,126.13,125.0,125.98,2959,1,0
2024-10-21,125.98,126.34,124.68,125.85,4350,1,0
2024-10-22,127.5,127.64,123.5,125.72,4026,1,0
2024-10-23,126.41,127.49,125.55,127.07,4887,1,0
2024-10-24,125.8,126.56,125.1,125.14,3560,1,0
2024-10-25,125.85,126.18,124.76,125.05,5615,1,0
2024-10-28,125.0,125.9,124.57,125.3,3529,1,0
2024-10-29,125.04,125.04,122.65,122.75,2881,1,0
2024-10-30,122.01,122.78,121.7,121.95,2961,1,0
2024-10-31,120.7,122.03,120.7,121.1,3447,1,0
2024-11-01,121.07,121.54,118.75,118.79,3728,1,0
2024-11-04,119.3,119.45,117.83,117.96,3178,1,0
2024-11-05,118.03,119.08,117.69,119.07,2948,1,0
2024-11-06,121.66,122.21,120.15,121.68,3038,1,0
2024-11-07,121.55,121.63,119.96,120.07,2448,1,0
2024-11-08,121.25,124.21,120.75,123.35,5531,1,0
2024-11-11,124.22,125.52,124.0,124.49,4866,1,0
2024-11-12,124.58,124.58,122.27,123.09,2948,1,0
2024-11-13,123.21,123.89,122.9,123.53,3124,1,0
2024-11-14,122.93,122.93,117.52,118.92,4152,1,0
2024-11-15,117.85,118.73,117.12,118.3,3642,1,0
2024-11-18,118.91,119.71,118.4,119.24,2964,1,0
2024-11-19,120.31,120.48,118.5,118.8,3686,1,0
2024-11-20,118.58,119.27,117.66,119.0,2810,1,0
2024-11-21,119.04,120.86,118.8,120.33,3842,1,0
2024-11-22,120.71,121.81,120.45,120.76,2028,1,0
2024-11-25,119.87,120.91,118.04,118.49,3432,1,0
2024-11-26,119.07,121.03,118.7,120.67,2354,1,0
2024-11-27,121.01,121.69,120.35,120.36,2480,1,0
2024-11-29,120.59,121.8,120.56,121.64,1176,1,0
2024-12-02,121.14,121.28,118.51,118.64,2384,1,0
2024-12-03,118.65,118.7,117.86,118.06,2195,1,0
2024-12-04,117.65,119.35,117.55,119.21,2722,1,0
2024-12-05,118.76,118.93,117.64,118.5,2094,1,0
2024-12-06,117.95,118.3,117.4,117.86,2343,1,0
2024-12-09,117.4,117.4,114.23,116.5,3431,1,0
2024-12-10,116.63,118.19,115.91,117.5,3370,1,0
2024-12-11,117.63,117.63,116.2,116.81,2833,1,0
2024-12-12,116.55,116.81,115.6,115.86,2338,1,0
2024-12-13,115.95,117.9,115.95,117.84,3134,1,0
2024-12-16,116.98,118.25,116.86,118.0,2412,1,0
2024-12-17,117.42,118.06,117.02,117.51,2310,1,0
2024-12-18,116.78,117.35,114.6,114.71,2215,1,0
2024-12-19,115.25,117.22,115.25,115.66,2998,1,0
2024-12-20,114.9,116.76,114.85,116.38,4605,1,0
2024-12-23,116.07,116.87,115.79,116.72,2914,1,0
2024-12-24,115.85,116.92,115.85,116.88,1335,1,0
2024-12-26,116.41,117.59,116.25,117.08,1887,1,0
2024-12-27,116.39,117.45,116.01,116.71,2511,1,0
2024-12-30,115.31,115.8,114.52,115.21,2236,1,0
2024-12-31,115.35,115.96,114.88,115.62,2958,1,0
2025-01-02,116.73,116.97,115.5,115.99,2030,1,0
2025-01-03,116.04,116.59,115.8,115.82,1943,1,0
2025-01-06,115.56,115.56,113.72,113.96,2098,1,0
2025-01-07,113.94,115.21,113.94,114.63,2903,1,0
2025-01-08,114.52,116.08,114.4,115.83,2926,1,0
2025-01-10,115.76,116.46,114.8,114.91,3525,1,0
2025-01-13,114.52,117.9,114.52,117.79,3689,1,0
2025-01-14,118.42,119.38,118.1,119.31,3426,1,0
2025-01-15,119.9,120.11,118.15,119.07,2517,1,0
2025-01-16,119.18,120.44,119.1,120.37,2751,1,0
2025-01-17,120.13,121.33,119.56,121.22,2692,1,0
2025-01-21,122.84,125.76,122.84,125.47,3519,1,0
2025-01-22,125.24,125.24,123.56,124.32,3230,1,0
2025-01-23,125.56,126.76,124.58,126.35,3522,1,0
2025-01-24,125.81,126.25,125.01,125.18,2428,1,0
2025-01-27,127.51,127.55,124.37,124.65,3698,1,0
2025-01-28,129.71,132.16,126.08,128.0,4198,1,0
2025-01-29,127.25,129.65,125.06,125.2,3791,1,0
2025-01-30,125.5,129.18,125.5,128.85,3106,1,0
2025-01-31,128.27,129.88,127.46,129.07,3961,1,0
2025-02-03,128.88,130.49,127.55,129.88,3345,1,0
2025-02-04,129.4,129.91,128.01,128.4,3328,1,0
2025-02-05,129.16,129.49,128.25,129.1,2564,1,0
2025-02-06,129.34,129.61,127.52,128.7,2639,1,0
2025-02-07,128.68,128.95,127.26,128.07,2898,1,0
2025-02-10,128.22,128.26,126.85,128.1,2968,1,0
2025-02-11,129.01,129.21,127.76,129.01,3150,1,0
2025-02-12,128.0,128.55,126.44,126.76,3454,1,0
2025-02-13,126.8,127.59,125.25,125.8,3743,1,0
2025-02-14,124.37,125.0,121.35,122.6,3566,1,0
2025-02-18,124.71,125.22,123.3,123.49,3393,1,0
2025-02-19,124.61,126.56,124.01,125.25,4493,1,0
2025-02-20,124.57,125.29,123.16,125.24,3464,1,0
2025-02-21,124.72,125.36,122.67,123.23,4148,1,0
2025-02-24,124.9,126.14,124.6,125.35,3904,1,0
2025-02-25,125.74,127.88,125.67,127.13,3648,1,0
2025-02-26,127.26,128.28,126.76,127.11,2569,1,0
2025-02-27,127.86,130.95,127.86,130.33,5301,1,0
2025-02-28,131.95,133.08,130.6,132.99,4546,1,0
2025-03-03,135.0,135.0,132.9,133.65,4645,1,0
2025-03-04,133.65,134.48,128.5,128.65,6495,1,0
2025-03-05,129.23,130.51,128.21,129.72,4173,1,0
2025-03-06,128.35,128.76,125.9,128.25,4451,1,0
2025-03-07,127.24,128.85,126.2,128.34,3791,2,0
2025-03-10,127.15,129.77,126.27,128.51,4615,1,0
2025-03-11,128.22,129.02,127.05,128.2,4739,1,0
