time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02,68.06,69.11,67.6,69.1,12720,1,0
2024-01-03,67.28,67.6,66.3,67.17,14179,1,0
2024-01-04,66.55,67.91,66.5,66.94,15013,1,0
2024-01-05,66.82,68.02,66.59,67.08,14041,1,0
2024-01-08,67.03,68.15,66.51,67.81,9843,1,0
2024-01-09,66.97,67.36,66.6,66.68,9996,1,0
2024-01-10,65.76,66.32,65.49,65.78,10642,1,0
2024-01-11,65.31,65.65,64.82,65.4,15105,1,0
2024-01-12,65.72,66.04,64.47,65.25,14907,1,0
2024-01-16,64.34,64.87,63.73,64.16,13659,1,0
2024-01-17,59.98,63.86,59.66,63.57,13630,1,0
2024-01-18,62.41,62.99,61.92,62.74,12179,0,0
2024-01-19,62.49,63.79,61.9,63.77,11739,1,0
2024-01-22,63.94,64.54,63.28,63.72,9634,1,0
2024-01-23,64.0,64.28,63.43,63.97,8928,1,0
2024-01-24,64.33,64.67,63.43,63.47,9546,1,0
2024-01-25,63.81,64.04,63.13,63.79,10831,1,0
2024-01-26,63.72,64.7,63.72,63.94,9395,1,0
2024-01-29,63.67,64.07,63.36,63.87,5478,1,0
2024-01-30,63.73,64.47,63.35,64.36,6411,1,0
2024-01-31,63.55,64.14,62.9,63.02,8699,1,0
2024-02-01,62.9,63.37,61.14,62.27,9239,1,0
2024-02-02,61.81,63.31,61.5,62.94,10349,1,0
2024-02-05,62.36,62.76,61.45,62.46,6436,1,0
2024-02-06,62.22,62.87,61.66,61.84,6414,1,0
2024-02-07,62.03,62.76,61.67,62.45,8047,1,0
2024-02-08,62.01,62.91,61.9,62.41,6778,1,0
2024-02-09,62.48,63.39,62.3,63.38,7771,1,0
2024-02-12,63.6,65.12,63.43,64.53,9263,1,0
2024-02-13,63.8,63.87,61.68,62.74,10056,1,0
2024-02-14,63.15,63.18,62.11,62.95,9230,1,0
2024-02-15,63.35,65.23,63.35,64.55,9470,1,0
2024-02-16,64.4,64.89,63.86,64.38,8567,1,0
2024-02-20,63.66,64.34,63.37,63.51,8608,1,0
2024-02-21,63.28,64.16,62.89,64.09,8684,1,0
2024-02-22,64.56,65.19,64.33,64.6,8492,1,0
2024-02-23,64.52,65.14,64.28,64.56,8377,1,0
2024-02-26,64.34,65.15,64.29,64.43,7551,1,0
2024-02-27,64.66,65.37,64.66,65.33,8153,1,0
2024-02-28,65.36,66.06,64.95,65.63,6516,1,0
2024-02-29,66.26,66.83,65.86,66.75,7057,1,0
2024-03-01,66.68,66.86,65.68,66.46,8577,1,0
2024-03-04,66.85,68.16,66.47,67.64,7805,1,0
2024-03-05,67.74,68.44,67.47,68.1,10162,1,0
2024-03-06,68.19,68.45,67.12,68.09,12188,1,0
2024-03-07,68.63,68.81,68.13,68.19,9412,1,0
2024-03-08,68.25,69.01,67.17,67.19,10492,1,0
2024-03-11,67.34,67.65,66.81,66.98,8026,1,0
2024-03-12,67.22,67.29,65.82,66.58,7661,1,0
2024-03-13,66.91,67.6,66.67,67.14,8295,1,0
2024-03-14,67.05,67.29,66.01,66.59,9727,1,0
2024-03-15,66.58,67.8,66.46,66.99,8641,1,0
2024-03-18,66.81,67.56,66.67,67.42,6419,1,0
2024-03-19,67.5,68.45,67.33,68.37,6840,1,0
2024-03-20,68.1,69.77,68.03,69.72,9629,1,0
2024-03-21,70.54,71.99,70.53,71.86,8608,1,0
2024-03-22,72.45,72.6,71.58,71.67,6505,1,0
2024-03-25,71.74,72.3,70.96,71.29,6392,1,0
2024-03-26,71.35,71.48,70.92,71.03,5506,1,0
2024-03-27,71.33,72.35,71.29,72.34,6039,1,0
2024-03-28,72.23,72.55,71.67,72.41,7535,1,0
2024-04-01,72.52,72.61,71.83,72.44,7757,1,0
2024-04-02,72.05,72.08,70.96,71.43,5872,1,0
2024-04-03,71.69,72.21,71.28,71.46,7894,1,0
2024-04-04,72.41,72.95,71.07,71.35,7497,1,0
2024-04-05,71.46,72.11,71.2,71.77,10051,1,0
2024-04-08,72.27,72.76,71.8,72.41,6579,1,0
2024-04-09,72.66,72.78,71.47,72.24,9821,1,0
2024-04-10,70.75,72.05,70.1,71.18,9779,1,0
2024-04-11,70.85,71.27,69.81,70.75,8163,1,0
2024-04-12,69.98,70.86,69.62,69.98,11834,0,0
2024-04-15,70.96,73.64,70.95,71.31,13535,1,0
2024-04-16,71.17,73.25,70.32,73.06,12117,1,0
2024-04-17,73.41,73.5,72.31,72.52,10440,1,0
2024-04-18,72.45,73.81,71.9,72.77,5615,0,0
2024-04-19,73.11,73.86,72.81,73.3,6241,1,0
2024-04-22,73.88,74.96,73.17,74.19,4958,1,0
2024-04-23,74.33,75.32,74.15,75.12,4651,0,0
2024-04-24,74.44,75.53,74.31,75.21,4548,1,0
2024-04-25,75.43,75.43,74.0,74.82,4809,1,0
2024-04-26,74.6,75.28,74.5,75.0,3530,1,0
2024-04-29,74.78,75.47,74.4,74.64,4003,1,0
2024-04-30,74.12,74.23,73.6,73.91,4163,1,0
2024-05-01,74.14,75.37,73.4,74.56,5968,1,0
2024-05-02,75.11,75.44,74.31,75.24,4573,1,0
2024-05-03,76.33,76.37,75.15,76.06,6624,1,0
2024-05-06,76.43,76.91,75.84,76.85,6304,1,0
2024-05-07,76.89,76.93,75.42,75.51,3685,1,0
2024-05-08,75.42,76.61,75.3,76.46,2833,1,0
2024-05-09,76.03,76.29,75.45,75.51,2976,1,0
2024-05-10,75.9,76.24,75.5,76.21,6662,1,0
2024-05-13,76.06,76.08,74.66,74.74,2311,1,0
2024-05-14,75.12,77.25,75.01,77.1,3884,1,0
2024-05-15,77.77,78.78,77.37,78.74,3703,1,0
2024-05-16,77.74,78.5,77.3,78.14,4430,1,0
2024-05-17,77.65,79.21,77.65,78.77,3509,1,0
2024-05-20,78.62,79.11,78.13,78.64,3449,1,0
2024-05-21,78.46,79.33,78.06,78.96,3423,1,0
2024-05-22,78.65,79.46,75.0,75.42,5167,1,0
2024-05-23,73.65,73.81,71.67,72.37,7012,1,0
2024-05-24,72.74,73.06,72.15,72.22,2979,1,0
2024-05-28,71.81,71.84,70.55,70.72,3425,1,0
2024-05-29,69.56,70.76,69.47,70.54,2812,1,0
2024-05-30,70.68,71.83,70.57,71.83,4399,1,0
2024-05-31,72.22,73.28,71.57,73.23,3875,1,0
2024-06-03,72.82,73.09,72.01,72.34,3494,1,0
2024-06-04,71.75,72.51,71.63,71.97,3301,1,0
2024-06-05,72.36,74.65,72.25,74.37,4157,1,0
2024-06-06,73.85,74.58,73.71,74.1,4127,1,0
2024-06-07,73.91,74.85,73.67,73.91,5287,1,0
2024-06-10,73.61,74.17,73.02,74.12,2813,1,0
2024-06-11,73.5,73.82,72.62,73.45,6888,1,0
2024-06-12,74.74,74.98,73.45,73.63,9704,1,0
2024-06-13,73.17,73.68,72.69,73.39,5680,1,0
2024-06-14,72.25,73.47,72.09,73.13,4348,1,0
2024-06-17,72.51,72.85,72.0,72.81,3614,1,0
2024-06-18,72.43,73.12,72.42,72.79,3381,1,0
2024-06-20,72.31,73.02,72.16,72.74,3793,1,0
2024-06-21,71.99,73.57,71.91,73.34,3261,1,0
2024-06-24,73.45,74.97,73.2,74.62,3265,1,0
2024-06-25,73.79,74.27,73.47,73.96,3385,1,0
2024-06-26,73.5,73.94,73.27,73.29,3338,1,0
2024-06-27,72.7,73.51,72.5,73.47,4979,1,0
2024-06-28,73.67,74.19,73.09,73.59,4584,1,0
2024-07-01,74.0,74.14,73.26,73.38,3769,1,0
2024-07-02,73.46,74.17,73.22,74.14,4248,1,0
2024-07-03,74.15,74.6,73.77,74.16,3572,1,0
2024-07-05,73.67,73.95,73.15,73.19,3368,1,0
2024-07-08,74.27,74.46,73.11,73.22,3733,1,0
2024-07-09,73.18,74.88,73.18,74.44,4091,1,0
2024-07-10,74.23,74.71,74.13,74.6,4423,1,0
2024-07-11,74.78,76.42,74.7,76.04,4641,1,0
2024-07-12,76.29,76.69,75.17,75.36,4157,1,0
2024-07-15,73.44,76.08,73.44,75.09,5129,1,0
2024-07-16,70.06,70.4,67.46,67.65,7574,1,0
2024-07-17,65.9,66.05,61.01,63.75,7630,1,0
2024-07-18,62.81,63.3,61.84,62.3,6540,1,0
2024-07-19,62.2,62.76,61.31,61.99,5817,1,0
2024-07-22,63.3,64.77,63.11,64.76,4523,1,0
2024-07-23,64.95,66.34,64.86,65.17,4433,1,0
2024-07-24,65.42,66.35,63.98,64.07,5635,1,0
2024-07-25,65.05,66.87,64.66,66.3,5144,1,0
2024-07-26,66.86,67.37,66.47,66.51,3759,1,0
2024-07-29,66.23,66.23,65.02,65.34,3751,1,0
2024-07-30,65.5,65.92,64.16,64.87,3200,1,0
2024-07-31,65.14,65.3,64.56,65.29,3561,1,0
2024-08-01,65.37,65.52,63.4,63.75,4690,1,0
2024-08-02,62.53,64.08,62.12,63.35,6117,1,0
2024-08-05,61.59,62.9,61.34,62.25,5639,1,0
2024-08-06,62.03,63.76,61.51,62.88,5147,1,0
2024-08-07,63.4,63.88,62.05,62.17,4732,1,0
2024-08-08,62.59,63.11,62.1,62.63,3741,1,0
2024-08-09,62.26,62.79,62.06,62.47,3413,1,0
2024-08-12,62.64,62.7,61.21,61.66,3136,1,0
2024-08-13,61.65,62.47,61.31,62.44,3331,1,0
2024-08-14,63.51,65.95,63.15,65.46,4156,1,0
2024-08-15,66.05,66.15,64.58,65.09,2902,1,0
2024-08-16,65.03,65.53,64.87,65.45,2569,1,0
2024-08-19,65.89,66.12,65.3,65.55,2124,1,0
2024-08-20,65.3,65.3,64.71,64.84,2036,1,0
2024-08-21,64.87,65.1,64.2,64.51,3185,1,0
2024-08-22,63.14,64.45,63.01,64.23,4427,1,0
2024-08-23,64.6,65.11,63.74,64.21,4575,1,0
2024-08-26,64.5,65.25,64.14,64.37,3078,1,0
2024-08-27,64.16,64.29,63.7,63.9,2442,1,0
2024-08-28,63.65,64.41,63.21,63.88,3455,1,0
2024-08-29,64.0,64.95,63.81,64.94,3488,0,0
2024-08-30,65.34,65.52,64.53,65.11,3132,1,0
